,CSV Name,Prediction Value,AlphaRank
141,ranked_345.csv,0.5004370808601379,345
775,ranked_813.csv,0.46421825885772705,813
272,ranked_989.csv,0.4440617561340332,989
830,ranked_920.csv,0.43594154715538025,920
296,ranked_720.csv,0.4356454610824585,720
638,ranked_582.csv,0.43339672684669495,582
402,ranked_190.csv,0.4281306266784668,190
625,ranked_218.csv,0.4280824661254883,218
804,ranked_642.csv,0.4278078079223633,642
107,ranked_131.csv,0.42015960812568665,131
416,ranked_564.csv,0.41757073998451233,564
769,ranked_73.csv,0.4156647324562073,73
535,ranked_242.csv,0.41109699010849,242
209,ranked_694.csv,0.4103224575519562,694
336,ranked_776.csv,0.409795343875885,776
610,ranked_109.csv,0.40849825739860535,109
567,ranked_82.csv,0.406349241733551,82
801,ranked_683.csv,0.4059722423553467,683
587,ranked_484.csv,0.40529558062553406,484
954,ranked_143.csv,0.4052037000656128,143
330,ranked_457.csv,0.40369486808776855,457
953,ranked_432.csv,0.4035674035549164,432
808,ranked_463.csv,0.40333083271980286,463
367,ranked_222.csv,0.40037301182746887,222
74,ranked_876.csv,0.3968503475189209,876
776,ranked_781.csv,0.3963121473789215,781
204,ranked_923.csv,0.39470988512039185,923
814,ranked_76.csv,0.3944886326789856,76
431,ranked_81.csv,0.39420443773269653,81
267,ranked_85.csv,0.3939282298088074,85
63,ranked_86.csv,0.39375483989715576,86
20,ranked_21.csv,0.39266788959503174,21
337,ranked_111.csv,0.39259517192840576,111
148,ranked_616.csv,0.39202985167503357,616
551,ranked_992.csv,0.3916894495487213,992
138,ranked_123.csv,0.3915881812572479,123
178,ranked_640.csv,0.3913843035697937,640
215,ranked_53.csv,0.3907207250595093,53
864,ranked_382.csv,0.3907155394554138,382
378,ranked_554.csv,0.3880213797092438,554
863,ranked_706.csv,0.38621068000793457,706
683,ranked_58.csv,0.3836030960083008,58
582,ranked_129.csv,0.3821978271007538,129
973,ranked_169.csv,0.38129255175590515,169
397,ranked_604.csv,0.38123181462287903,604
122,ranked_152.csv,0.37970802187919617,152
788,ranked_368.csv,0.37897250056266785,368
383,ranked_812.csv,0.3786393404006958,812
64,ranked_488.csv,0.37797918915748596,488
240,ranked_217.csv,0.3762762248516083,217
940,ranked_48.csv,0.3724888861179352,48
565,ranked_181.csv,0.37145447731018066,181
591,ranked_155.csv,0.37137705087661743,155
321,ranked_460.csv,0.37075313925743103,460
532,ranked_946.csv,0.36986929178237915,946
201,ranked_254.csv,0.3693712055683136,254
957,ranked_72.csv,0.3690827786922455,72
526,ranked_424.csv,0.3672112822532654,424
197,ranked_221.csv,0.36642012000083923,221
429,ranked_820.csv,0.36624202132225037,820
463,ranked_390.csv,0.36598727107048035,390
757,ranked_835.csv,0.36070889234542847,835
421,ranked_158.csv,0.3603731095790863,158
697,ranked_620.csv,0.36005547642707825,620
725,ranked_232.csv,0.35912710428237915,232
800,ranked_303.csv,0.35910168290138245,303
154,ranked_172.csv,0.35813605785369873,172
633,ranked_789.csv,0.3579215705394745,789
927,ranked_10.csv,0.3576880097389221,10
922,ranked_145.csv,0.3575645685195923,145
737,ranked_396.csv,0.3546505272388458,396
233,ranked_321.csv,0.3545970022678375,321
291,ranked_987.csv,0.3534561097621918,987
282,ranked_191.csv,0.3532540798187256,191
161,ranked_389.csv,0.35311561822891235,389
491,ranked_154.csv,0.3517192304134369,154
355,ranked_305.csv,0.35092610120773315,305
391,ranked_809.csv,0.3508082926273346,809
760,ranked_914.csv,0.3504534959793091,914
243,ranked_468.csv,0.3492168188095093,468
216,ranked_12.csv,0.3490171730518341,12
593,ranked_903.csv,0.3479844033718109,903
785,ranked_183.csv,0.34776490926742554,183
403,ranked_918.csv,0.34755679965019226,918
790,ranked_236.csv,0.3473692536354065,236
524,ranked_960.csv,0.3466093838214874,960
432,ranked_445.csv,0.34650203585624695,445
298,ranked_803.csv,0.3463650047779083,803
816,ranked_246.csv,0.34623122215270996,246
972,ranked_33.csv,0.34611842036247253,33
155,ranked_135.csv,0.34611254930496216,135
23,ranked_543.csv,0.3451608717441559,543
145,ranked_490.csv,0.34505587816238403,490
580,ranked_285.csv,0.345024436712265,285
860,ranked_958.csv,0.34501564502716064,958
851,ranked_703.csv,0.34479808807373047,703
664,ranked_986.csv,0.34340015053749084,986
594,ranked_879.csv,0.3422780930995941,879
684,ranked_891.csv,0.34196802973747253,891
612,ranked_978.csv,0.34193551540374756,978
235,ranked_439.csv,0.34193286299705505,439
908,ranked_493.csv,0.3404998183250427,493
552,ranked_401.csv,0.3402634263038635,401
578,ranked_437.csv,0.33988019824028015,437
727,ranked_387.csv,0.3389979898929596,387
370,ranked_20.csv,0.3384564518928528,20
542,ranked_645.csv,0.3372126519680023,645
270,ranked_716.csv,0.33584168553352356,716
752,ranked_800.csv,0.33559513092041016,800
689,ranked_55.csv,0.3348418176174164,55
287,ranked_121.csv,0.3343616724014282,121
947,ranked_866.csv,0.33428072929382324,866
906,ranked_491.csv,0.3340536057949066,491
386,ranked_257.csv,0.33397600054740906,257
327,ranked_57.csv,0.333856999874115,57
844,ranked_301.csv,0.33333709836006165,301
661,ranked_244.csv,0.33229371905326843,244
130,ranked_967.csv,0.33204078674316406,967
309,ranked_225.csv,0.3316265344619751,225
941,ranked_259.csv,0.33117398619651794,259
400,ranked_52.csv,0.3308544158935547,52
253,ranked_248.csv,0.32910531759262085,248
598,ranked_979.csv,0.328941285610199,979
571,ranked_649.csv,0.32864996790885925,649
331,ranked_730.csv,0.3284798562526703,730
339,ranked_461.csv,0.3283143937587738,461
882,ranked_376.csv,0.3282940685749054,376
658,ranked_497.csv,0.3279266059398651,497
448,ranked_233.csv,0.32764458656311035,233
666,ranked_357.csv,0.32759732007980347,357
946,ranked_418.csv,0.3257336914539337,418
713,ranked_539.csv,0.32555297017097473,539
898,ranked_397.csv,0.3250563144683838,397
753,ranked_97.csv,0.32502296566963196,97
180,ranked_137.csv,0.32482436299324036,137
395,ranked_374.csv,0.3244520127773285,374
111,ranked_530.csv,0.32343247532844543,530
833,ranked_893.csv,0.3231922686100006,893
176,ranked_166.csv,0.32312560081481934,166
9,ranked_359.csv,0.32286393642425537,359
813,ranked_976.csv,0.3228355646133423,976
877,ranked_278.csv,0.3221431076526642,278
