,CSV Name,Prediction Value,AlphaRank
5,ranked_968.csv,0.2317761778831482,968
365,ranked_446.csv,0.19096720218658447,446
721,ranked_889.csv,0.16082599759101868,889
411,ranked_801.csv,0.14280037581920624,801
711,ranked_938.csv,0.1416674703359604,938
592,ranked_971.csv,0.1348123997449875,971
98,ranked_981.csv,0.12956511974334717,981
571,ranked_649.csv,0.11819490045309067,649
794,ranked_873.csv,0.11688433587551117,873
836,ranked_508.csv,0.11190598458051682,508
451,ranked_821.csv,0.1096411868929863,821
547,ranked_850.csv,0.10563304275274277,850
668,ranked_667.csv,0.10474593937397003,667
102,ranked_637.csv,0.1039692685008049,637
905,ranked_745.csv,0.1017480194568634,745
709,ranked_611.csv,0.10001794993877411,611
478,ranked_552.csv,0.099529929459095,552
631,ranked_42.csv,0.09827585518360138,42
349,ranked_260.csv,0.09732890129089355,260
959,ranked_179.csv,0.09588971734046936,179
215,ranked_53.csv,0.0951044112443924,53
869,ranked_573.csv,0.09432932734489441,573
321,ranked_460.csv,0.09401538223028183,460
208,ranked_194.csv,0.09369684010744095,194
641,ranked_119.csv,0.09230855852365494,119
178,ranked_640.csv,0.09092621505260468,640
480,ranked_128.csv,0.08983632177114487,128
879,ranked_318.csv,0.08977062255144119,318
580,ranked_285.csv,0.08961640298366547,285
144,ranked_208.csv,0.08917548507452011,208
46,ranked_477.csv,0.08732986450195312,477
330,ranked_457.csv,0.08715216815471649,457
198,ranked_690.csv,0.08707141131162643,690
7,ranked_185.csv,0.08696895092725754,185
540,ranked_113.csv,0.08635827153921127,113
83,ranked_151.csv,0.08579634875059128,151
500,ranked_453.csv,0.08540179580450058,453
935,ranked_421.csv,0.08518922328948975,421
694,ranked_793.csv,0.08429530262947083,793
457,ranked_65.csv,0.0840534046292305,65
126,ranked_108.csv,0.08401546627283096,108
130,ranked_967.csv,0.08366651087999344,967
160,ranked_141.csv,0.08288179337978363,141
452,ranked_228.csv,0.08248502016067505,228
997,ranked_646.csv,0.08238450437784195,646
498,ranked_298.csv,0.08190716803073883,298
107,ranked_131.csv,0.08144672960042953,131
421,ranked_158.csv,0.08128733187913895,158
762,ranked_688.csv,0.0810297355055809,688
912,ranked_205.csv,0.08082342892885208,205
673,ranked_871.csv,0.07982257753610611,871
785,ranked_183.csv,0.07850629091262817,183
367,ranked_222.csv,0.07846734672784805,222
501,ranked_148.csv,0.07824674248695374,148
341,ranked_215.csv,0.07816273719072342,215
337,ranked_111.csv,0.07742008566856384,111
180,ranked_137.csv,0.07720319926738739,137
821,ranked_874.csv,0.07674232125282288,874
672,ranked_555.csv,0.07661085575819016,555
105,ranked_100.csv,0.07652129977941513,100
738,ranked_454.csv,0.07605720311403275,454
263,ranked_188.csv,0.07602354884147644,188
623,ranked_268.csv,0.07599879056215286,268
896,ranked_858.csv,0.07598962634801865,858
460,ranked_174.csv,0.07550611346960068,174
473,ranked_930.csv,0.07547386735677719,930
362,ranked_142.csv,0.07536289840936661,142
385,ranked_280.csv,0.07498089224100113,280
196,ranked_791.csv,0.07491018623113632,791
415,ranked_926.csv,0.0745878517627716,926
404,ranked_170.csv,0.07439553737640381,170
483,ranked_733.csv,0.07385453581809998,733
732,ranked_717.csv,0.07354041188955307,717
138,ranked_123.csv,0.07216279953718185,123
424,ranked_917.csv,0.07187347114086151,917
637,ranked_587.csv,0.07162946462631226,587
736,ranked_962.csv,0.07149387151002884,962
90,ranked_283.csv,0.07083751261234283,283
176,ranked_166.csv,0.07002624869346619,166
731,ranked_945.csv,0.06843540072441101,945
122,ranked_152.csv,0.06782155483961105,152
701,ranked_974.csv,0.06762966513633728,974
770,ranked_371.csv,0.06746171414852142,371
127,ranked_973.csv,0.06733718514442444,973
458,ranked_565.csv,0.06709221750497818,565
893,ranked_999.csv,0.06681260466575623,999
192,ranked_69.csv,0.06674313545227051,69
502,ranked_89.csv,0.06672434508800507,89
450,ranked_862.csv,0.06670542061328888,862
791,ranked_598.csv,0.06626592576503754,598
659,ranked_713.csv,0.06602869927883148,713
