,CSV Name,Prediction Value,AlphaRank
847,ranked_509.csv,0.2728586494922638,509
752,ranked_800.csv,0.27254998683929443,800
23,ranked_543.csv,0.24151918292045593,543
513,ranked_577.csv,0.2357916682958603,577
225,ranked_455.csv,0.23455241322517395,455
650,ranked_815.csv,0.227025106549263,815
833,ranked_893.csv,0.22436584532260895,893
443,ranked_456.csv,0.22240106761455536,456
935,ranked_421.csv,0.22077026963233948,421
345,ranked_381.csv,0.2179313600063324,381
241,ranked_466.csv,0.21390902996063232,466
873,ranked_32.csv,0.21253183484077454,32
131,ranked_581.csv,0.2100256383419037,581
157,ranked_550.csv,0.20932437479496002,550
435,ranked_591.csv,0.20705720782279968,591
444,ranked_406.csv,0.20641547441482544,406
618,ranked_289.csv,0.20466795563697815,289
279,ranked_394.csv,0.20361526310443878,394
813,ranked_976.csv,0.20349137485027313,976
61,ranked_522.csv,0.20106732845306396,522
770,ranked_371.csv,0.1909952014684677,371
893,ranked_999.csv,0.19030432403087616,999
369,ranked_372.csv,0.19015195965766907,372
204,ranked_923.csv,0.18934746086597443,923
568,ranked_438.csv,0.1877281218767166,438
778,ranked_877.csv,0.1869611144065857,877
877,ranked_278.csv,0.18266049027442932,278
590,ranked_881.csv,0.18153074383735657,881
551,ranked_992.csv,0.1812308430671692,992
774,ranked_718.csv,0.1766204535961151,718
604,ranked_863.csv,0.17570415139198303,863
264,ranked_952.csv,0.17514266073703766,952
593,ranked_903.csv,0.1746566742658615,903
394,ranked_106.csv,0.1746015101671219,106
644,ranked_934.csv,0.17343851923942566,934
524,ranked_960.csv,0.17137156426906586,960
8,ranked_995.csv,0.1700717955827713,995
797,ranked_533.csv,0.1692976951599121,533
170,ranked_908.csv,0.1685437560081482,908
755,ranked_839.csv,0.16621974110603333,839
412,ranked_240.csv,0.16560706496238708,240
451,ranked_821.csv,0.16442400217056274,821
612,ranked_978.csv,0.16427341103553772,978
731,ranked_945.csv,0.1641017645597458,945
32,ranked_31.csv,0.1632428914308548,31
763,ranked_916.csv,0.1627761423587799,916
291,ranked_987.csv,0.1610879749059677,987
689,ranked_55.csv,0.1601114720106125,55
680,ranked_980.csv,0.16010405123233795,980
280,ranked_777.csv,0.160073384642601,777
134,ranked_975.csv,0.1595228761434555,975
371,ranked_597.csv,0.1585954874753952,597
598,ranked_979.csv,0.15830621123313904,979
812,ranked_954.csv,0.15786109864711761,954
69,ranked_700.csv,0.1577029973268509,700
327,ranked_57.csv,0.1573973298072815,57
346,ranked_825.csv,0.1573045253753662,825
643,ranked_807.csv,0.1566373109817505,807
431,ranked_81.csv,0.15636283159255981,81
407,ranked_965.csv,0.1553793102502823,965
499,ranked_230.csv,0.15528161823749542,230
292,ranked_911.csv,0.15515220165252686,911
655,ranked_395.csv,0.15392829477787018,395
566,ranked_878.csv,0.1534862518310547,878
273,ranked_961.csv,0.15241026878356934,961
208,ranked_194.csv,0.15217742323875427,194
973,ranked_169.csv,0.15169909596443176,169
81,ranked_906.csv,0.15115587413311005,906
679,ranked_868.csv,0.15100295841693878,868
308,ranked_890.csv,0.1505649834871292,890
332,ranked_103.csv,0.15051019191741943,103
686,ranked_949.csv,0.15020498633384705,949
734,ranked_944.csv,0.14930737018585205,944
322,ranked_338.csv,0.14920145273208618,338
977,ranked_936.csv,0.14884883165359497,936
34,ranked_993.csv,0.14864924550056458,993
830,ranked_920.csv,0.14863106608390808,920
282,ranked_191.csv,0.14828945696353912,191
117,ranked_982.csv,0.1482432782649994,982
66,ranked_761.csv,0.14737841486930847,761
902,ranked_922.csv,0.14713655412197113,922
858,ranked_795.csv,0.1470690667629242,795
585,ranked_307.csv,0.146677628159523,307
745,ranked_880.csv,0.14633558690547943,880
562,ranked_872.csv,0.14615553617477417,872
173,ranked_193.csv,0.14604836702346802,193
74,ranked_876.csv,0.1460445672273636,876
818,ranked_977.csv,0.14565733075141907,977
711,ranked_938.csv,0.14557364583015442,938
912,ranked_205.csv,0.14540544152259827,205
43,ranked_413.csv,0.14474084973335266,413
532,ranked_946.csv,0.14453327655792236,946
882,ranked_376.csv,0.1444571614265442,376
656,ranked_991.csv,0.14439694583415985,991
903,ranked_956.csv,0.14412586390972137,956
473,ranked_930.csv,0.14390622079372406,930
803,ranked_855.csv,0.1433146893978119,855
206,ranked_948.csv,0.14200742542743683,948
794,ranked_873.csv,0.14132387936115265,873
262,ranked_888.csv,0.14011250436306,888
525,ranked_852.csv,0.13973911106586456,852
674,ranked_912.csv,0.1394244283437729,912
672,ranked_555.csv,0.1393624246120453,555
792,ranked_806.csv,0.13930217921733856,806
616,ranked_898.csv,0.13794280588626862,898
878,ranked_928.csv,0.1375005841255188,928
721,ranked_889.csv,0.13746489584445953,889
163,ranked_848.csv,0.13742972910404205,848
881,ranked_266.csv,0.13702495396137238,266
645,ranked_770.csv,0.1369437426328659,770
226,ranked_691.csv,0.13678212463855743,691
202,ranked_617.csv,0.13656854629516602,617
746,ranked_263.csv,0.1359851360321045,263
1,ranked_931.csv,0.13594602048397064,931
874,ranked_243.csv,0.13568440079689026,243
167,ranked_199.csv,0.1352822333574295,199
71,ranked_894.csv,0.13453003764152527,894
892,ranked_680.csv,0.13370895385742188,680
375,ranked_915.csv,0.13370069861412048,915
750,ranked_608.csv,0.13358189165592194,608
470,ranked_985.csv,0.1334569901227951,985
952,ranked_909.csv,0.13339108228683472,909
559,ranked_343.csv,0.13310013711452484,343
780,ranked_963.csv,0.13304202258586884,963
569,ranked_932.csv,0.13269004225730896,932
591,ranked_155.csv,0.13259562849998474,155
210,ranked_518.csv,0.13226059079170227,518
112,ranked_712.csv,0.1321275681257248,712
911,ranked_786.csv,0.13208895921707153,786
857,ranked_701.csv,0.13197539746761322,701
772,ranked_625.csv,0.13187287747859955,625
504,ranked_352.csv,0.13097544014453888,352
626,ranked_814.csv,0.1309635043144226,814
802,ranked_896.csv,0.13094288110733032,896
199,ranked_416.csv,0.13076184689998627,416
537,ranked_830.csv,0.13069714605808258,830
195,ranked_970.csv,0.1302850842475891,970
260,ranked_629.csv,0.13008658587932587,629
517,ranked_955.csv,0.12980668246746063,955
659,ranked_713.csv,0.12951898574829102,713
197,ranked_221.csv,0.12944884598255157,221
75,ranked_942.csv,0.12937597930431366,942
3,ranked_653.csv,0.129303440451622,653
177,ranked_538.csv,0.12922891974449158,538
132,ranked_709.csv,0.12914283573627472,709
179,ranked_695.csv,0.1289185732603073,695
151,ranked_692.csv,0.12890225648880005,692
418,ranked_767.csv,0.12871131300926208,767
918,ranked_726.csv,0.12862646579742432,726
5,ranked_968.csv,0.12856854498386383,968
829,ranked_95.csv,0.12854844331741333,95
664,ranked_986.csv,0.12794655561447144,986
904,ranked_719.csv,0.1278926432132721,719
510,ranked_197.csv,0.12753696739673615,197
459,ranked_156.csv,0.12719370424747467,156
118,ranked_304.csv,0.12704886496067047,304
479,ranked_253.csv,0.12702767550945282,253
747,ranked_947.csv,0.1269555240869522,947
486,ranked_983.csv,0.12679944932460785,983
299,ranked_984.csv,0.12665407359600067,984
507,ranked_276.csv,0.12641924619674683,276
945,ranked_964.csv,0.1263512670993805,964
766,ranked_783.csv,0.12622377276420593,783
673,ranked_871.csv,0.12609505653381348,871
844,ranked_301.csv,0.12602700293064117,301
429,ranked_820.csv,0.1254587471485138,820
839,ranked_319.csv,0.12539924681186676,319
534,ranked_766.csv,0.12539513409137726,766
137,ranked_953.csv,0.12535712122917175,953
783,ranked_778.csv,0.12498218566179276,778
88,ranked_378.csv,0.12495790421962738,378
989,ranked_940.csv,0.12461825460195541,940
694,ranked_793.csv,0.12446814775466919,793
324,ranked_758.csv,0.12433499842882156,758
45,ranked_784.csv,0.1243346706032753,784
765,ranked_347.csv,0.12402493506669998,347
323,ranked_586.csv,0.12359996885061264,586
360,ranked_913.csv,0.12347576767206192,913
4,ranked_377.csv,0.12342642992734909,377
953,ranked_432.csv,0.12339796870946884,432
68,ranked_998.csv,0.12333998084068298,998
521,ranked_590.csv,0.1232517808675766,590
325,ranked_937.csv,0.12316332757472992,937
54,ranked_746.csv,0.12281134724617004,746
888,ranked_226.csv,0.12271495163440704,226
448,ranked_233.csv,0.12257257103919983,233
964,ranked_481.csv,0.12254077196121216,481
985,ranked_262.csv,0.12240881472826004,262
897,ranked_385.csv,0.1223950907588005,385
