,CSV Name,Prediction Value,AlphaRank
959,ranked_179.csv,0.2756902277469635,179
840,ranked_614.csv,0.2478952258825302,614
345,ranked_381.csv,0.23257097601890564,381
578,ranked_437.csv,0.21592439711093903,437
766,ranked_783.csv,0.2049391269683838,783
475,ranked_360.csv,0.18494969606399536,360
434,ranked_721.csv,0.16654254496097565,721
932,ranked_782.csv,0.15661871433258057,782
328,ranked_310.csv,0.14786824584007263,310
526,ranked_424.csv,0.1432354897260666,424
869,ranked_573.csv,0.1426759511232376,573
710,ranked_661.csv,0.13642339408397675,661
312,ranked_369.csv,0.1340670883655548,369
199,ranked_416.csv,0.13020938634872437,416
218,ranked_495.csv,0.12495449930429459,495
651,ranked_391.csv,0.12201344221830368,391
669,ranked_708.csv,0.12066890299320221,708
324,ranked_758.csv,0.12065532058477402,758
142,ranked_735.csv,0.11992887407541275,735
339,ranked_461.csv,0.11824911087751389,461
444,ranked_406.csv,0.11818056553602219,406
854,ranked_654.csv,0.11817312240600586,654
296,ranked_720.csv,0.1161099448800087,720
322,ranked_338.csv,0.11541946977376938,338
366,ranked_725.csv,0.11383339017629623,725
14,ranked_551.csv,0.11346154659986496,551
56,ranked_373.csv,0.11109331995248795,373
321,ranked_460.csv,0.10954135656356812,460
698,ranked_126.csv,0.10801003873348236,126
149,ranked_601.csv,0.10668729245662689,601
62,ranked_631.csv,0.10193327069282532,631
818,ranked_977.csv,0.10191269963979721,977
101,ranked_677.csv,0.09935278445482254,677
606,ranked_760.csv,0.0987146720290184,760
758,ranked_504.csv,0.09854202717542648,504
304,ranked_734.csv,0.09845827519893646,734
136,ranked_773.csv,0.09676466137170792,773
632,ranked_797.csv,0.09649708122015,797
809,ranked_660.csv,0.09645084291696548,660
979,ranked_400.csv,0.0963829830288887,400
409,ranked_739.csv,0.09482232481241226,739
494,ranked_41.csv,0.09373226016759872,41
830,ranked_920.csv,0.09349328279495239,920
182,ranked_796.csv,0.09265732020139694,796
757,ranked_835.csv,0.09208131581544876,835
762,ranked_688.csv,0.09087451547384262,688
740,ranked_370.csv,0.08890669792890549,370
214,ranked_330.csv,0.08806364983320236,330
501,ranked_148.csv,0.08799999207258224,148
280,ranked_777.csv,0.08639509975910187,777
219,ranked_425.csv,0.08632121235132217,425
541,ranked_853.csv,0.08622875064611435,853
50,ranked_705.csv,0.08618288487195969,705
246,ranked_414.csv,0.08575060963630676,414
645,ranked_770.csv,0.08563902229070663,770
793,ranked_196.csv,0.08525453507900238,196
143,ranked_525.csv,0.0850098580121994,525
856,ranked_907.csv,0.08493504673242569,907
379,ranked_643.csv,0.08449279516935349,643
405,ranked_685.csv,0.08385872095823288,685
483,ranked_733.csv,0.08314410597085953,733
413,ranked_828.csv,0.08208466321229935,828
132,ranked_709.csv,0.08108783513307571,709
305,ranked_524.csv,0.08062579482793808,524
200,ranked_161.csv,0.07829967886209488,161
693,ranked_165.csv,0.0766504779458046,165
976,ranked_441.csv,0.07522875815629959,441
179,ranked_695.csv,0.07456296682357788,695
11,ranked_671.csv,0.0725359171628952,671
670,ranked_875.csv,0.07226552069187164,875
270,ranked_716.csv,0.07093357294797897,716
306,ranked_540.csv,0.0702449306845665,540
837,ranked_860.csv,0.0701989084482193,860
890,ranked_757.csv,0.06993743032217026,757
279,ranked_394.csv,0.06943618506193161,394
153,ranked_544.csv,0.06873579323291779,544
928,ranked_358.csv,0.06860906630754471,358
485,ranked_513.csv,0.06764204800128937,513
574,ranked_473.csv,0.06668246537446976,473
196,ranked_791.csv,0.06610003113746643,791
423,ranked_899.csv,0.06562241166830063,899
700,ranked_486.csv,0.06540270894765854,486
361,ranked_738.csv,0.0653034970164299,738
482,ranked_342.csv,0.06511470675468445,342
355,ranked_305.csv,0.06498348712921143,305
895,ranked_536.csv,0.06478071212768555,536
863,ranked_706.csv,0.06423703581094742,706
395,ranked_374.csv,0.06362895667552948,374
548,ranked_729.csv,0.06362598389387131,729
472,ranked_609.csv,0.06321068853139877,609
551,ranked_992.csv,0.06264623999595642,992
22,ranked_314.csv,0.0625414326786995,314
835,ranked_627.csv,0.06243567168712616,627
919,ranked_748.csv,0.0623987540602684,748
198,ranked_690.csv,0.06238297373056412,690
713,ranked_539.csv,0.06226415932178497,539
388,ranked_482.csv,0.06212400645017624,482
41,ranked_765.csv,0.062118589878082275,765
732,ranked_717.csv,0.06189313530921936,717
986,ranked_933.csv,0.06176576763391495,933
802,ranked_896.csv,0.060864515602588654,896
283,ranked_562.csv,0.060828156769275665,562
166,ranked_471.csv,0.06080165505409241,471
17,ranked_655.csv,0.06067995727062225,655
285,ranked_605.csv,0.06000813841819763,605
555,ranked_485.csv,0.05989060550928116,485
660,ranked_337.csv,0.059713371098041534,337
675,ranked_845.csv,0.059606119990348816,845
646,ranked_686.csv,0.05947773903608322,686
498,ranked_298.csv,0.05907920002937317,298
902,ranked_922.csv,0.05870070308446884,922
613,ranked_657.csv,0.05866248160600662,657
450,ranked_862.csv,0.058328889310359955,862
