,CSV Name,Prediction Value,AlphaRank
818,ranked_977.csv,0.36894601583480835,977
142,ranked_735.csv,0.35426250100135803,735
195,ranked_970.csv,0.34483638405799866,970
700,ranked_486.csv,0.34103748202323914,486
134,ranked_975.csv,0.33800873160362244,975
432,ranked_445.csv,0.3353460133075714,445
973,ranked_169.csv,0.3302587568759918,169
102,ranked_637.csv,0.3281278610229492,637
98,ranked_981.csv,0.3208076059818268,981
925,ranked_673.csv,0.3168802261352539,673
697,ranked_620.csv,0.3166690170764923,620
282,ranked_191.csv,0.3151765763759613,191
757,ranked_835.csv,0.3132381737232208,835
83,ranked_151.csv,0.3091096580028534,151
982,ranked_925.csv,0.305262953042984,925
524,ranked_960.csv,0.3044736981391907,960
120,ranked_584.csv,0.3005008101463318,584
634,ranked_140.csv,0.2933163344860077,140
34,ranked_993.csv,0.28974875807762146,993
518,ranked_635.csv,0.2883075475692749,635
679,ranked_868.csv,0.28528743982315063,868
94,ranked_433.csv,0.28459009528160095,433
406,ranked_831.csv,0.28060823678970337,831
174,ranked_269.csv,0.27801889181137085,269
545,ranked_247.csv,0.27682146430015564,247
71,ranked_894.csv,0.2751425504684448,894
392,ranked_306.csv,0.2709648907184601,306
642,ranked_833.csv,0.27068763971328735,833
690,ranked_841.csv,0.26827338337898254,841
302,ranked_571.csv,0.26747140288352966,571
761,ranked_207.csv,0.2594603896141052,207
577,ranked_531.csv,0.25924068689346313,531
950,ranked_865.csv,0.25665557384490967,865
144,ranked_208.csv,0.25431716442108154,208
694,ranked_793.csv,0.2542663812637329,793
770,ranked_371.csv,0.25320443511009216,371
321,ranked_460.csv,0.2529512047767639,460
571,ranked_649.csv,0.2506139576435089,649
373,ranked_994.csv,0.25022464990615845,994
334,ranked_684.csv,0.25010624527931213,684
604,ranked_863.csv,0.24931244552135468,863
611,ranked_957.csv,0.24925725162029266,957
686,ranked_949.csv,0.24729517102241516,949
252,ranked_622.csv,0.2470397651195526,622
68,ranked_998.csv,0.24654100835323334,998
136,ranked_773.csv,0.2447989583015442,773
349,ranked_260.csv,0.24443843960762024,260
620,ranked_249.csv,0.24414584040641785,249
264,ranked_952.csv,0.2431662678718567,952
553,ranked_354.csv,0.24091318249702454,354
527,ranked_811.csv,0.24064688384532928,811
820,ranked_213.csv,0.24026967585086823,213
563,ranked_829.csv,0.23970960080623627,829
902,ranked_922.csv,0.2397085279226303,922
945,ranked_964.csv,0.2391536384820938,964
130,ranked_967.csv,0.23611032962799072,967
797,ranked_533.csv,0.23563063144683838,533
