,CSV Name,Prediction Value,AlphaRank
501,ranked_148.csv,0.3712102472782135,148
819,ranked_175.csv,0.37019839882850647,175
154,ranked_172.csv,0.3633798360824585,172
561,ranked_78.csv,0.362510085105896,78
834,ranked_118.csv,0.35790732502937317,118
189,ranked_127.csv,0.35586991906166077,127
825,ranked_56.csv,0.34976625442504883,56
421,ranked_158.csv,0.34556442499160767,158
7,ranked_185.csv,0.34454962611198425,185
29,ranked_36.csv,0.34433233737945557,36
565,ranked_181.csv,0.3431158661842346,181
871,ranked_51.csv,0.3422405421733856,51
282,ranked_191.csv,0.34078535437583923,191
933,ranked_171.csv,0.33378103375434875,171
317,ranked_43.csv,0.33342841267585754,43
242,ranked_180.csv,0.33162394165992737,180
167,ranked_199.csv,0.32022812962532043,199
370,ranked_20.csv,0.31931158900260925,20
73,ranked_44.csv,0.3171696364879608,44
972,ranked_33.csv,0.31707948446273804,33
6,ranked_3.csv,0.3160470724105835,3
957,ranked_72.csv,0.3157825171947479,72
693,ranked_165.csv,0.3156638741493225,165
213,ranked_182.csv,0.3147737681865692,182
203,ranked_105.csv,0.31386953592300415,105
657,ranked_125.csv,0.31375133991241455,125
880,ranked_45.csv,0.31323206424713135,45
698,ranked_126.csv,0.312021404504776,126
32,ranked_31.csv,0.31172069907188416,31
72,ranked_168.csv,0.31041809916496277,168
567,ranked_82.csv,0.3096422553062439,82
528,ranked_110.csv,0.30944299697875977,110
372,ranked_139.csv,0.3092973828315735,139
589,ranked_124.csv,0.30911919474601746,124
244,ranked_91.csv,0.308694064617157,91
886,ranked_34.csv,0.3083091080188751,34
520,ranked_14.csv,0.30776891112327576,14
603,ranked_138.csv,0.30746889114379883,138
754,ranked_195.csv,0.30745214223861694,195
327,ranked_57.csv,0.3074248433113098,57
787,ranked_102.csv,0.30671820044517517,102
60,ranked_6.csv,0.3065553307533264,6
601,ranked_75.csv,0.3062346577644348,75
509,ranked_39.csv,0.30577871203422546,39
400,ranked_52.csv,0.30449846386909485,52
614,ranked_192.csv,0.30445367097854614,192
951,ranked_15.csv,0.3019665777683258,15
315,ranked_101.csv,0.3011244833469391,101
926,ranked_146.csv,0.3011075556278229,146
822,ranked_198.csv,0.30014920234680176,198
689,ranked_55.csv,0.29864954948425293,55
861,ranked_104.csv,0.2984279990196228,104
402,ranked_190.csv,0.2981380224227905,190
332,ranked_103.csv,0.29803410172462463,103
155,ranked_135.csv,0.29783162474632263,135
125,ranked_90.csv,0.29727429151535034,90
83,ranked_151.csv,0.2967682182788849,151
955,ranked_68.csv,0.2954869866371155,68
785,ranked_183.csv,0.2954006791114807,183
691,ranked_92.csv,0.29456162452697754,92
122,ranked_152.csv,0.2942456007003784,152
263,ranked_188.csv,0.29309868812561035,188
610,ranked_109.csv,0.29054826498031616,109
595,ranked_136.csv,0.288402795791626,136
396,ranked_107.csv,0.28793832659721375,107
591,ranked_155.csv,0.28765323758125305,155
814,ranked_76.csv,0.28743550181388855,76
160,ranked_141.csv,0.285887211561203,141
927,ranked_10.csv,0.2840237319469452,10
459,ranked_156.csv,0.28356271982192993,156
954,ranked_143.csv,0.28325048089027405,143
333,ranked_62.csv,0.2827502489089966,62
368,ranked_67.csv,0.2818869650363922,67
617,ranked_5.csv,0.2817869186401367,5
540,ranked_113.csv,0.28083717823028564,113
494,ranked_41.csv,0.2807718813419342,41
853,ranked_77.csv,0.27921420335769653,77
267,ranked_85.csv,0.2791179120540619,85
968,ranked_150.csv,0.27904659509658813,150
873,ranked_32.csv,0.2776423692703247,32
735,ranked_13.csv,0.27630704641342163,13
238,ranked_61.csv,0.2760043144226074,61
529,ranked_23.csv,0.27511143684387207,23
128,ranked_8.csv,0.2750754952430725,8
502,ranked_89.csv,0.2740476727485657,89
220,ranked_11.csv,0.2737523019313812,11
599,ranked_46.csv,0.27364274859428406,46
190,ranked_120.csv,0.2731914222240448,120
793,ranked_196.csv,0.2719370126724243,196
511,ranked_9.csv,0.27075788378715515,9
631,ranked_42.csv,0.26925861835479736,42
284,ranked_47.csv,0.2691184878349304,47
107,ranked_131.csv,0.26895061135292053,131
848,ranked_132.csv,0.2673386335372925,132
303,ranked_147.csv,0.2672385573387146,147
739,ranked_50.csv,0.267195463180542,50
959,ranked_179.csv,0.2670139670372009,179
722,ranked_66.csv,0.2666361927986145,66
192,ranked_69.csv,0.2654472291469574,69
205,ranked_38.csv,0.2650448679924011,38
446,ranked_149.csv,0.26469069719314575,149
20,ranked_21.csv,0.26439368724823,21
