,CSV Name,Prediction Value,AlphaRank
895,ranked_536.csv,0.8022117018699646,536
949,ranked_549.csv,0.754957914352417,549
176,ranked_166.csv,0.6092972755432129,166
758,ranked_504.csv,0.603496253490448,504
979,ranked_400.csv,0.5971032381057739,400
657,ranked_125.csv,0.5918256640434265,125
348,ranked_592.csv,0.5858065485954285,592
743,ranked_615.csv,0.5687142014503479,615
463,ranked_390.csv,0.5666471123695374,390
58,ranked_556.csv,0.5655999183654785,556
665,ranked_679.csv,0.5574437379837036,679
610,ranked_109.csv,0.552691638469696,109
841,ranked_353.csv,0.5360624194145203,353
106,ranked_593.csv,0.5333857536315918,593
387,ranked_411.csv,0.5326045751571655,411
700,ranked_486.csv,0.5320749878883362,486
247,ranked_478.csv,0.5280135273933411,478
653,ranked_430.csv,0.5219748616218567,430
118,ranked_304.csv,0.521019458770752,304
627,ranked_366.csv,0.5193102955818176,366
484,ranked_367.csv,0.5100549459457397,367
914,ranked_329.csv,0.5050397515296936,329
603,ranked_138.csv,0.4951794445514679,138
702,ranked_451.csv,0.49380528926849365,451
449,ranked_153.csv,0.49348339438438416,153
215,ranked_53.csv,0.4934544265270233,53
820,ranked_213.csv,0.49077239632606506,213
638,ranked_582.csv,0.48993855714797974,582
990,ranked_515.csv,0.48721781373023987,515
504,ranked_352.csv,0.48283901810646057,352
984,ranked_26.csv,0.4794050455093384,26
495,ranked_724.csv,0.47727006673812866,724
131,ranked_581.csv,0.47674575448036194,581
478,ranked_552.csv,0.4735167920589447,552
96,ranked_281.csv,0.4721530079841614,281
520,ranked_14.csv,0.4718371331691742,14
41,ranked_765.csv,0.46809497475624084,765
815,ranked_561.csv,0.46534302830696106,561
85,ranked_427.csv,0.4647199511528015,427
570,ranked_412.csv,0.46460655331611633,412
553,ranked_354.csv,0.4630570411682129,354
258,ranked_98.csv,0.461111843585968,98
368,ranked_67.csv,0.4600050747394562,67
870,ranked_274.csv,0.45858851075172424,274
899,ranked_589.csv,0.45684897899627686,589
707,ranked_398.csv,0.4557093679904938,398
46,ranked_477.csv,0.4552088975906372,477
140,ranked_494.csv,0.45432549715042114,494
441,ranked_537.csv,0.4532962739467621,537
514,ranked_201.csv,0.4524574279785156,201
107,ranked_131.csv,0.4519731402397156,131
599,ranked_46.csv,0.45158666372299194,46
519,ranked_346.csv,0.4506823718547821,346
625,ranked_218.csv,0.4486500322818756,218
111,ranked_530.csv,0.4478406310081482,530
329,ranked_585.csv,0.4475049078464508,585
584,ranked_25.csv,0.4465501606464386,25
416,ranked_564.csv,0.4454061686992645,564
728,ranked_442.csv,0.44524505734443665,442
880,ranked_45.csv,0.4449734687805176,45
996,ranked_470.csv,0.444655179977417,470
422,ranked_286.csv,0.444568008184433,286
135,ranked_93.csv,0.44251248240470886,93
369,ranked_372.csv,0.4419781565666199,372
304,ranked_734.csv,0.4414964020252228,734
191,ranked_24.csv,0.4408966600894928,24
696,ranked_580.csv,0.44013839960098267,580
105,ranked_100.csv,0.4387957453727722,100
538,ranked_474.csv,0.4374711513519287,474
327,ranked_57.csv,0.4371390640735626,57
326,ranked_447.csv,0.4361961781978607,447
684,ranked_891.csv,0.4341183602809906,891
660,ranked_337.csv,0.4332854747772217,337
770,ranked_371.csv,0.4327435791492462,371
27,ranked_632.csv,0.43262454867362976,632
874,ranked_243.csv,0.4322045147418976,243
145,ranked_490.csv,0.4318906366825104,490
501,ranked_148.csv,0.4287886917591095,148
12,ranked_214.csv,0.428484171628952,214
882,ranked_376.csv,0.4280703663825989,376
567,ranked_82.csv,0.4275367259979248,82
400,ranked_52.csv,0.4259563088417053,52
738,ranked_454.csv,0.4258352816104889,454
55,ranked_476.csv,0.42378705739974976,476
844,ranked_301.csv,0.42347434163093567,301
499,ranked_230.csv,0.4230985641479492,230
867,ranked_265.csv,0.4209458827972412,265
637,ranked_587.csv,0.4204142987728119,587
714,ranked_883.csv,0.42020872235298157,883
862,ranked_299.csv,0.42003270983695984,299
427,ranked_178.csv,0.4188371002674103,178
293,ranked_547.csv,0.41847696900367737,547
885,ranked_924.csv,0.4180142879486084,924
682,ranked_737.csv,0.4179947078227997,737
940,ranked_48.csv,0.4177986681461334,48
681,ranked_176.csv,0.4168260395526886,176
535,ranked_242.csv,0.41641873121261597,242
255,ranked_450.csv,0.4154776930809021,450
871,ranked_51.csv,0.41498786211013794,51
341,ranked_215.csv,0.4149714410305023,215
601,ranked_75.csv,0.41439151763916016,75
496,ranked_529.csv,0.41263025999069214,529
502,ranked_89.csv,0.4126085937023163,89
238,ranked_61.csv,0.4124819040298462,61
826,ranked_628.csv,0.4121073782444,628
800,ranked_303.csv,0.40944889187812805,303
203,ranked_105.csv,0.408069908618927,105
333,ranked_62.csv,0.40511929988861084,62
787,ranked_102.csv,0.40479981899261475,102
782,ranked_54.csv,0.4043249189853668,54
683,ranked_58.csv,0.4041958153247833,58
241,ranked_466.csv,0.4029257297515869,466
389,ranked_606.csv,0.4024393558502197,606
444,ranked_406.csv,0.4020560383796692,406
386,ranked_257.csv,0.40133848786354065,257
936,ranked_386.csv,0.40132683515548706,386
689,ranked_55.csv,0.40130916237831116,55
235,ranked_439.csv,0.4002176821231842,439
184,ranked_434.csv,0.40011832118034363,434
600,ranked_512.csv,0.3995388150215149,512
354,ranked_379.csv,0.3984766900539398,379
4,ranked_377.csv,0.39806315302848816,377
0,ranked_546.csv,0.39776185154914856,546
889,ranked_296.csv,0.3974746763706207,296
73,ranked_44.csv,0.3965861201286316,44
458,ranked_565.csv,0.39489832520484924,565
86,ranked_498.csv,0.3946976363658905,498
481,ranked_459.csv,0.3922576308250427,459
437,ranked_496.csv,0.39135193824768066,496
500,ranked_453.csv,0.3899594843387604,453
974,ranked_409.csv,0.3899368941783905,409
157,ranked_550.csv,0.3892444670200348,550
420,ranked_365.csv,0.38854721188545227,365
253,ranked_248.csv,0.38826045393943787,248
409,ranked_739.csv,0.3881280720233917,739
836,ranked_508.csv,0.387783020734787,508
872,ranked_295.csv,0.3875330686569214,295
113,ranked_689.csv,0.38718071579933167,689
162,ranked_503.csv,0.3870232403278351,503
376,ranked_157.csv,0.38643285632133484,157
727,ranked_387.csv,0.3858403265476227,387
556,ranked_212.csv,0.38564568758010864,212
103,ranked_492.csv,0.3853829801082611,492
967,ranked_245.csv,0.38433361053466797,245
471,ranked_328.csv,0.3835430145263672,328
37,ranked_526.csv,0.38338425755500793,526
284,ranked_47.csv,0.38249969482421875,47
851,ranked_703.csv,0.3820047676563263,703
631,ranked_42.csv,0.3819911777973175,42
337,ranked_111.csv,0.38139843940734863,111
331,ranked_730.csv,0.38052675127983093,730
716,ranked_570.csv,0.37975892424583435,570
480,ranked_128.csv,0.3797200322151184,128
739,ranked_50.csv,0.379463255405426,50
651,ranked_391.csv,0.3792159855365753,391
169,ranked_568.csv,0.37881413102149963,568
825,ranked_56.csv,0.3787038326263428,56
285,ranked_605.csv,0.37847790122032166,605
164,ranked_122.csv,0.37738409638404846,122
432,ranked_445.csv,0.3770917057991028,445
40,ranked_743.csv,0.37518686056137085,743
624,ranked_134.csv,0.37516462802886963,134
227,ranked_559.csv,0.3746813237667084,559
249,ranked_291.csv,0.3737996816635132,291
574,ranked_473.csv,0.37336575984954834,473
640,ranked_500.csv,0.37280693650245667,500
763,ranked_916.csv,0.3722122609615326,916
819,ranked_175.csv,0.37217286229133606,175
560,ranked_275.csv,0.3721211850643158,275
126,ranked_108.csv,0.37205269932746887,108
529,ranked_23.csv,0.37170642614364624,23
713,ranked_539.csv,0.3710908591747284,539
161,ranked_389.csv,0.37094447016716003,389
847,ranked_509.csv,0.3705410361289978,509
97,ranked_572.csv,0.37028446793556213,572
410,ranked_114.csv,0.37020567059516907,114
835,ranked_627.csv,0.37001746892929077,627
391,ranked_809.csv,0.36947235465049744,809
194,ranked_18.csv,0.3681797981262207,18
705,ranked_755.csv,0.3679594099521637,755
793,ranked_196.csv,0.36788418889045715,196
629,ranked_837.csv,0.3677797317504883,837
174,ranked_269.csv,0.3677062690258026,269
303,ranked_147.csv,0.3672592341899872,147
994,ranked_612.csv,0.3670928180217743,612
283,ranked_562.csv,0.3667111396789551,562
35,ranked_402.csv,0.36639198660850525,402
672,ranked_555.csv,0.3663078844547272,555
167,ranked_199.csv,0.3661210238933563,199
201,ranked_254.csv,0.36588990688323975,254
350,ranked_363.csv,0.36544784903526306,363
42,ranked_528.csv,0.3649442791938782,528
372,ranked_139.csv,0.3649301528930664,139
192,ranked_69.csv,0.362240195274353,69
508,ranked_282.csv,0.3619510233402252,282
708,ranked_173.csv,0.3619094491004944,173
121,ranked_407.csv,0.3616909980773926,407
622,ranked_521.csv,0.3614690601825714,521
457,ranked_65.csv,0.36123257875442505,65
251,ranked_638.csv,0.3609130084514618,638
343,ranked_542.csv,0.3606056272983551,542
363,ranked_355.csv,0.3602795898914337,355
322,ranked_338.csv,0.3592938482761383,338
23,ranked_543.csv,0.3569257855415344,543
926,ranked_146.csv,0.3568710386753082,146
269,ranked_594.csv,0.3565000593662262,594
421,ranked_158.csv,0.35624945163726807,158
942,ranked_431.csv,0.3561778664588928,431
210,ranked_518.csv,0.35603010654449463,518
808,ranked_463.csv,0.3559642732143402,463
797,ranked_533.csv,0.3556581735610962,533
362,ranked_142.csv,0.35557955503463745,142
367,ranked_222.csv,0.35519421100616455,222
751,ranked_19.csv,0.35515889525413513,19
555,ranked_485.csv,0.35388338565826416,485
509,ranked_39.csv,0.35297244787216187,39
214,ranked_330.csv,0.3526354134082794,330
344,ranked_64.csv,0.3515823185443878,64
335,ranked_520.csv,0.35147160291671753,520
128,ranked_8.csv,0.35112062096595764,8
114,ranked_487.csv,0.35049957036972046,487
261,ranked_322.csv,0.35010021924972534,322
786,ranked_475.csv,0.3499850034713745,475
586,ranked_502.csv,0.34946829080581665,502
892,ranked_680.csv,0.3489930331707001,680
428,ranked_506.csv,0.3484592139720917,506
777,ranked_234.csv,0.34773489832878113,234
393,ranked_163.csv,0.3476231098175049,163
677,ranked_22.csv,0.34761133790016174,22
533,ranked_216.csv,0.3466520607471466,216
143,ranked_525.csv,0.34627988934516907,525
345,ranked_381.csv,0.3462665379047394,381
759,ranked_919.csv,0.3462444841861725,919
417,ranked_293.csv,0.34564009308815,293
364,ranked_2.csv,0.34507203102111816,2
695,ranked_40.csv,0.34470683336257935,40
883,ranked_388.csv,0.3444240987300873,388
150,ranked_200.csv,0.34430059790611267,200
506,ranked_553.csv,0.3441690504550934,553
450,ranked_862.csv,0.3431835472583771,862
905,ranked_745.csv,0.3429618179798126,745
927,ranked_10.csv,0.34201061725616455,10
921,ranked_88.csv,0.3419175148010254,88
207,ranked_583.csv,0.34169748425483704,583
65,ranked_511.csv,0.3415875732898712,511
152,ranked_309.csv,0.3412476181983948,309
313,ranked_297.csv,0.34035003185272217,297
36,ranked_333.csv,0.3396168649196625,333
462,ranked_49.csv,0.3386170566082001,49
724,ranked_270.csv,0.3379470407962799,270
891,ranked_308.csv,0.33781173825263977,308
165,ranked_664.csv,0.33779603242874146,664
440,ranked_675.csv,0.3366931974887848,675
554,ranked_60.csv,0.33550021052360535,60
18,ranked_697.csv,0.33523687720298767,697
274,ranked_350.csv,0.33453062176704407,350
834,ranked_118.csv,0.33446308970451355,118
239,ranked_133.csv,0.3337506651878357,133
487,ranked_63.csv,0.33371052145957947,63
228,ranked_676.csv,0.33338597416877747,676
542,ranked_645.csv,0.3328867554664612,645
526,ranked_424.csv,0.33270975947380066,424
56,ranked_373.csv,0.3321812152862549,373
869,ranked_573.csv,0.33215564489364624,573
155,ranked_135.csv,0.3320105969905853,135
774,ranked_718.csv,0.33184555172920227,718
615,ranked_462.csv,0.33119675517082214,462
946,ranked_418.csv,0.33095917105674744,418
332,ranked_103.csv,0.33071476221084595,103
829,ranked_95.csv,0.3298015892505646,95
674,ranked_912.csv,0.32928362488746643,912
276,ranked_384.csv,0.3288505971431732,384
849,ranked_882.csv,0.3286835849285126,882
89,ranked_17.csv,0.328524649143219,17
378,ranked_554.csv,0.32845696806907654,554
451,ranked_821.csv,0.32831695675849915,821
50,ranked_705.csv,0.3281783163547516,705
39,ranked_332.csv,0.32813718914985657,332
190,ranked_120.csv,0.3280709981918335,120
843,ranked_514.csv,0.32794201374053955,514
805,ranked_465.csv,0.3278723657131195,465
845,ranked_59.csv,0.327769011259079,59
704,ranked_302.csv,0.3269663453102112,302
955,ranked_68.csv,0.3266424834728241,68
543,ranked_336.csv,0.3265323340892792,336
901,ranked_623.csv,0.3264234960079193,623
617,ranked_5.csv,0.3263792395591736,5
785,ranked_183.csv,0.3260256350040436,183
291,ranked_987.csv,0.32591772079467773,987
290,ranked_4.csv,0.32498034834861755,4
621,ranked_116.csv,0.32494935393333435,116
219,ranked_425.csv,0.32445240020751953,425
577,ranked_531.csv,0.324378103017807,531
564,ranked_130.csv,0.32422786951065063,130
279,ranked_394.csv,0.3240339457988739,394
842,ranked_736.csv,0.3237762749195099,736
211,ranked_790.csv,0.32224276661872864,790
95,ranked_788.csv,0.32209882140159607,788
507,ranked_276.csv,0.3207106292247772,276
767,ranked_311.csv,0.32066717743873596,311
971,ranked_383.csv,0.3201626241207123,383
807,ranked_312.csv,0.31973958015441895,312
171,ranked_505.csv,0.31952834129333496,505
958,ranked_79.csv,0.3190697729587555,79
139,ranked_410.csv,0.3180689811706543,410
352,ranked_472.csv,0.31695154309272766,472
833,ranked_893.csv,0.3167153298854828,893
764,ranked_464.csv,0.3165077865123749,464
557,ranked_316.csv,0.3162200152873993,316
742,ranked_239.csv,0.3157135248184204,239
796,ranked_279.csv,0.31571200489997864,279
649,ranked_7.csv,0.31558123230934143,7
908,ranked_493.csv,0.3150719106197357,493
43,ranked_413.csv,0.31471553444862366,413
980,ranked_569.csv,0.3146367073059082,569
636,ranked_344.csv,0.31459298729896545,344
740,ranked_370.csv,0.3143153488636017,370
390,ranked_0.csv,0.31421077251434326,0
811,ranked_900.csv,0.3141106367111206,900
69,ranked_700.csv,0.3139764070510864,700
722,ranked_66.csv,0.3139292895793915,66
534,ranked_766.csv,0.3130978047847748,766
754,ranked_195.csv,0.31281259655952454,195
493,ranked_510.csv,0.3118284046649933,510
755,ranked_839.csv,0.31175702810287476,839
608,ranked_364.csv,0.3114093244075775,364
9,ranked_359.csv,0.31073322892189026,359
199,ranked_416.csv,0.3105889856815338,416
511,ranked_9.csv,0.3094922602176666,9
281,ranked_167.csv,0.30921125411987305,167
328,ranked_310.csv,0.3086543381214142,310
