,CSV Name,Prediction Value,AlphaRank
576,ranked_362.csv,0.10831192135810852,362
375,ranked_915.csv,0.10170865803956985,915
115,ranked_284.csv,0.0980362594127655,284
985,ranked_262.csv,0.09602982550859451,262
932,ranked_782.csv,0.0936753898859024,782
392,ranked_306.csv,0.08903797715902328,306
704,ranked_302.csv,0.0781354084610939,302
543,ranked_336.csv,0.07652627676725388,336
585,ranked_307.csv,0.07573023438453674,307
458,ranked_565.csv,0.07541456818580627,565
744,ranked_867.csv,0.07282618433237076,867
226,ranked_691.csv,0.07036343216896057,691
197,ranked_221.csv,0.07023795694112778,221
198,ranked_690.csv,0.06802593171596527,690
770,ranked_371.csv,0.06668289005756378,371
471,ranked_328.csv,0.06663980334997177,328
4,ranked_377.csv,0.06451962888240814,377
889,ranked_296.csv,0.06441621482372284,296
70,ranked_423.csv,0.06279762089252472,423
330,ranked_457.csv,0.06183648109436035,457
766,ranked_783.csv,0.06142395734786987,783
555,ranked_485.csv,0.061303697526454926,485
703,ranked_251.csv,0.061227552592754364,251
671,ranked_849.csv,0.061109259724617004,849
929,ranked_272.csv,0.06043665111064911,272
636,ranked_344.csv,0.05874953418970108,344
346,ranked_825.csv,0.057884737849235535,825
498,ranked_298.csv,0.05729580670595169,298
796,ranked_279.csv,0.05694896727800369,279
433,ranked_843.csv,0.05570890009403229,843
653,ranked_430.csv,0.05522941052913666,430
580,ranked_285.csv,0.05515120178461075,285
535,ranked_242.csv,0.05457258224487305,242
746,ranked_263.csv,0.05437207221984863,263
385,ranked_280.csv,0.05371467024087906,280
678,ranked_844.csv,0.05317997187376022,844
684,ranked_891.csv,0.05289285629987717,891
812,ranked_954.csv,0.05253694951534271,954
674,ranked_912.csv,0.052076928317546844,912
91,ranked_229.csv,0.051864780485630035,229
24,ranked_698.csv,0.051687031984329224,698
321,ranked_460.csv,0.05160408467054367,460
152,ranked_309.csv,0.051277779042720795,309
721,ranked_889.csv,0.05026603490114212,889
225,ranked_455.csv,0.050216108560562134,455
946,ranked_418.csv,0.04996547847986221,418
547,ranked_850.csv,0.04989202320575714,850
100,ranked_750.csv,0.04957108199596405,750
477,ranked_267.csv,0.049517884850502014,267
