,CSV Name,Prediction Value,AlphaRank
319,ranked_972.csv,0.48084557056427,972
264,ranked_952.csv,0.42484012246131897,952
470,ranked_985.csv,0.419370174407959,985
701,ranked_974.csv,0.41754424571990967,974
163,ranked_848.csv,0.4103023111820221,848
82,ranked_723.csv,0.40468016266822815,723
736,ranked_962.csv,0.4011211097240448,962
206,ranked_948.csv,0.4006845951080322,948
952,ranked_909.csv,0.39559710025787354,909
67,ranked_950.csv,0.3943002223968506,950
272,ranked_989.csv,0.3937487304210663,989
818,ranked_977.csv,0.39159199595451355,977
763,ranked_916.csv,0.38108572363853455,916
706,ranked_774.csv,0.37956348061561584,774
30,ranked_794.csv,0.37786516547203064,794
407,ranked_965.csv,0.3776373267173767,965
875,ranked_740.csv,0.37109658122062683,740
810,ranked_951.csv,0.3604044020175934,951
515,ranked_816.csv,0.3521997332572937,816
308,ranked_890.csv,0.3507635295391083,890
600,ranked_512.csv,0.34514591097831726,512
986,ranked_933.csv,0.34460100531578064,933
524,ranked_960.csv,0.34401851892471313,960
296,ranked_720.csv,0.3436657190322876,720
536,ranked_892.csv,0.34318268299102783,892
254,ranked_990.csv,0.3352600932121277,990
998,ranked_897.csv,0.32924333214759827,897
347,ranked_969.csv,0.32861649990081787,969
435,ranked_591.csv,0.31838974356651306,591
989,ranked_940.csv,0.3181273639202118,940
373,ranked_994.csv,0.3136742115020752,994
68,ranked_998.csv,0.311196893453598,998
668,ranked_667.csv,0.30837470293045044,667
137,ranked_953.csv,0.30805647373199463,953
938,ranked_895.csv,0.3006548583507538,895
766,ranked_783.csv,0.3004544675350189,783
385,ranked_280.csv,0.2995847463607788,280
75,ranked_942.csv,0.29622116684913635,942
34,ranked_993.csv,0.2935487926006317,993
486,ranked_983.csv,0.2921069264411926,983
674,ranked_912.csv,0.29168564081192017,912
656,ranked_991.csv,0.29114270210266113,991
644,ranked_934.csv,0.2898271083831787,934
299,ranked_984.csv,0.2880702018737793,984
26,ranked_988.csv,0.28606146574020386,988
340,ranked_943.csv,0.28368398547172546,943
849,ranked_882.csv,0.28300920128822327,882
295,ranked_648.csv,0.28267765045166016,648
856,ranked_907.csv,0.28152337670326233,907
245,ranked_331.csv,0.27986380457878113,331
280,ranked_777.csv,0.2768450677394867,777
669,ranked_708.csv,0.2767726480960846,708
944,ranked_799.csv,0.27477559447288513,799
127,ranked_973.csv,0.2746974527835846,973
241,ranked_466.csv,0.27190884947776794,466
587,ranked_484.csv,0.26946377754211426,484
825,ranked_56.csv,0.2685656249523163,56
598,ranked_979.csv,0.2675708830356598,979
675,ranked_845.csv,0.2665598690509796,845
604,ranked_863.csv,0.2642197012901306,863
729,ranked_639.csv,0.2624344527721405,639
416,ranked_564.csv,0.2562064528465271,564
664,ranked_986.csv,0.25598448514938354,986
686,ranked_949.csv,0.254935085773468,949
813,ranked_976.csv,0.25419431924819946,976
283,ranked_562.csv,0.25377029180526733,562
424,ranked_917.csv,0.25291457772254944,917
796,ranked_279.csv,0.25273633003234863,279
98,ranked_981.csv,0.25126904249191284,981
419,ranked_532.csv,0.250552237033844,532
680,ranked_980.csv,0.2499205321073532,980
893,ranked_999.csv,0.24936817586421967,999
945,ranked_964.csv,0.24925068020820618,964
862,ranked_299.csv,0.2483733892440796,299
925,ranked_673.csv,0.24786794185638428,673
760,ranked_914.csv,0.24449403584003448,914
513,ranked_577.csv,0.24439270794391632,577
532,ranked_946.csv,0.2430771440267563,946
673,ranked_871.csv,0.2430381327867508,871
70,ranked_423.csv,0.24220645427703857,423
575,ranked_669.csv,0.24068231880664825,669
369,ranked_372.csv,0.23947682976722717,372
525,ranked_852.csv,0.2383197546005249,852
892,ranked_680.csv,0.2372058480978012,680
371,ranked_597.csv,0.23521533608436584,597
551,ranked_992.csv,0.23406215012073517,992
356,ranked_996.csv,0.23341232538223267,996
581,ranked_861.csv,0.23139062523841858,861
607,ranked_650.csv,0.23114335536956787,650
247,ranked_478.csv,0.2286059409379959,478
994,ranked_612.csv,0.22612251341342926,612
757,ranked_835.csv,0.22257143259048462,835
691,ranked_92.csv,0.22205395996570587,92
611,ranked_957.csv,0.22038154304027557,957
480,ranked_128.csv,0.2196570783853531,128
458,ranked_565.csv,0.21869853138923645,565
824,ranked_870.csv,0.21792083978652954,870
728,ranked_442.csv,0.21762065589427948,442
647,ranked_578.csv,0.21736019849777222,578
310,ranked_83.csv,0.21672508120536804,83
152,ranked_309.csv,0.21539843082427979,309
375,ranked_915.csv,0.21533216536045074,915
620,ranked_249.csv,0.21368242800235748,249
406,ranked_831.csv,0.21291577816009521,831
291,ranked_987.csv,0.21290846168994904,987
683,ranked_58.csv,0.2127872258424759,58
941,ranked_259.csv,0.21147477626800537,259
612,ranked_978.csv,0.21144533157348633,978
623,ranked_268.csv,0.21111130714416504,268
704,ranked_302.csv,0.2103998214006424,302
561,ranked_78.csv,0.21025411784648895,78
957,ranked_72.csv,0.20946747064590454,72
565,ranked_181.csv,0.20934787392616272,181
322,ranked_338.csv,0.20932066440582275,338
853,ranked_77.csv,0.20778372883796692,77
512,ranked_884.csv,0.20763437449932098,884
379,ranked_643.csv,0.20754164457321167,643
772,ranked_625.csv,0.2067410796880722,625
815,ranked_561.csv,0.20672518014907837,561
138,ranked_123.csv,0.20624180138111115,123
300,ranked_202.csv,0.20586815476417542,202
314,ranked_808.csv,0.20546004176139832,808
436,ranked_802.csv,0.20434127748012543,802
246,ranked_414.csv,0.20074491202831268,414
650,ranked_815.csv,0.20065723359584808,815
325,ranked_937.csv,0.2005700170993805,937
754,ranked_195.csv,0.1997208595275879,195
854,ranked_654.csv,0.1996494084596634,654
479,ranked_253.csv,0.1995519995689392,253
912,ranked_205.csv,0.19930262863636017,205
976,ranked_441.csv,0.19926506280899048,441
559,ranked_343.csv,0.19900797307491302,343
277,ranked_469.csv,0.1981879323720932,469
22,ranked_314.csv,0.1979944109916687,314
133,ranked_231.csv,0.19768811762332916,231
352,ranked_472.csv,0.19727207720279694,472
538,ranked_474.csv,0.19716039299964905,474
251,ranked_638.csv,0.19692927598953247,638
367,ranked_222.csv,0.19661207497119904,222
975,ranked_320.csv,0.19651764631271362,320
222,ranked_939.csv,0.19529558718204498,939
797,ranked_533.csv,0.19488893449306488,533
437,ranked_496.csv,0.1943395882844925,496
122,ranked_152.csv,0.19157855212688446,152
47,ranked_517.csv,0.19148728251457214,517
477,ranked_267.csv,0.19107308983802795,267
597,ranked_448.csv,0.19106926023960114,448
552,ranked_401.csv,0.19093143939971924,401
655,ranked_395.csv,0.19075869023799896,395
572,ranked_674.csv,0.19072993099689484,674
717,ranked_94.csv,0.1906549036502838,94
303,ranked_147.csv,0.19018344581127167,147
378,ranked_554.csv,0.18967528641223907,554
759,ranked_919.csv,0.18951666355133057,919
800,ranked_303.csv,0.18906483054161072,303
399,ranked_255.csv,0.18892019987106323,255
242,ranked_180.csv,0.18785622715950012,180
878,ranked_928.csv,0.18750205636024475,928
126,ranked_108.csv,0.1874902993440628,108
942,ranked_431.csv,0.18689489364624023,431
958,ranked_79.csv,0.18688024580478668,79
609,ranked_901.csv,0.18676698207855225,901
930,ranked_419.csv,0.18663065135478973,419
816,ranked_246.csv,0.18639959394931793,246
926,ranked_146.csv,0.18624356389045715,146
15,ranked_859.csv,0.1861901581287384,859
909,ranked_827.csv,0.18602845072746277,827
830,ranked_920.csv,0.18601061403751373,920
55,ranked_476.csv,0.18598733842372894,476
920,ranked_567.csv,0.1850491464138031,567
787,ranked_102.csv,0.18500865995883942,102
700,ranked_486.csv,0.18254037201404572,486
651,ranked_391.csv,0.18214969336986542,391
869,ranked_573.csv,0.1815701723098755,573
65,ranked_511.csv,0.18115554749965668,511
519,ranked_346.csv,0.18076609075069427,346
712,ranked_535.csv,0.18061955273151398,535
508,ranked_282.csv,0.180494025349617,282
739,ranked_50.csv,0.18027380108833313,50
734,ranked_944.csv,0.18020309507846832,944
143,ranked_525.csv,0.1799601912498474,525
339,ranked_461.csv,0.179758220911026,461
740,ranked_370.csv,0.17946173250675201,370
61,ranked_522.csv,0.1794119030237198,522
199,ranked_416.csv,0.1792198270559311,416
574,ranked_473.csv,0.1784917116165161,473
462,ranked_49.csv,0.1784755289554596,49
294,ranked_479.csv,0.17837797105312347,479
913,ranked_408.csv,0.1780894249677658,408
123,ranked_574.csv,0.1770862191915512,574
31,ranked_966.csv,0.17687350511550903,966
645,ranked_770.csv,0.17673201858997345,770
921,ranked_88.csv,0.1767289787530899,88
962,ranked_429.csv,0.17668363451957703,429
450,ranked_862.csv,0.17666925489902496,862
134,ranked_975.csv,0.17645278573036194,975
622,ranked_521.csv,0.17642353475093842,521
752,ranked_800.csv,0.1763930469751358,800
311,ranked_237.csv,0.1761104017496109,237
432,ranked_445.csv,0.17594023048877716,445
405,ranked_685.csv,0.17573381960391998,685
54,ranked_746.csv,0.17564433813095093,746
546,ranked_361.csv,0.17563143372535706,361
847,ranked_509.csv,0.17557671666145325,509
132,ranked_709.csv,0.17518138885498047,709
113,ranked_689.csv,0.1751236617565155,689
902,ranked_922.csv,0.175010547041893,922
982,ranked_925.csv,0.1747925728559494,925
804,ranked_642.csv,0.17459136247634888,642
103,ranked_492.csv,0.17454557120800018,492
72,ranked_168.csv,0.1740737408399582,168
445,ranked_941.csv,0.17369475960731506,941
808,ranked_463.csv,0.17368267476558685,463
213,ranked_182.csv,0.17350271344184875,182
482,ranked_342.csv,0.1730787605047226,342
558,ranked_595.csv,0.172969788312912,595
785,ranked_183.csv,0.17250847816467285,183
208,ranked_194.csv,0.17230795323848724,194
16,ranked_235.csv,0.17229318618774414,235
439,ranked_613.csv,0.17222200334072113,613
145,ranked_490.csv,0.17145726084709167,490
928,ranked_358.csv,0.171412393450737,358
503,ranked_519.csv,0.17066101729869843,519
707,ranked_398.csv,0.1704925000667572,398
582,ranked_129.csv,0.17042863368988037,129
193,ranked_652.csv,0.17042843997478485,652
895,ranked_536.csv,0.17042124271392822,536
784,ranked_711.csv,0.17022833228111267,711
836,ranked_508.csv,0.17020869255065918,508
402,ranked_190.csv,0.17010514438152313,190
987,ranked_177.csv,0.1693330556154251,177
709,ranked_611.csv,0.16916489601135254,611
260,ranked_629.csv,0.168917715549469,629
637,ranked_587.csv,0.16868054866790771,587
889,ranked_296.csv,0.16867801547050476,296
410,ranked_114.csv,0.1681932955980301,114
564,ranked_130.csv,0.16787844896316528,130
278,ranked_417.csv,0.1678743213415146,417
605,ranked_483.csv,0.16726501286029816,483
388,ranked_482.csv,0.16698889434337616,482
185,ranked_405.csv,0.16694515943527222,405
107,ranked_131.csv,0.16671335697174072,131
11,ranked_671.csv,0.16658921539783478,671
838,ranked_452.csv,0.1657990962266922,452
959,ranked_179.csv,0.16570529341697693,179
181,ranked_87.csv,0.16547343134880066,87
97,ranked_572.csv,0.16475583612918854,572
51,ranked_399.csv,0.16475161910057068,399
148,ranked_616.csv,0.1636897325515747,616
267,ranked_85.csv,0.16355568170547485,85
658,ranked_497.csv,0.16339395940303802,497
357,ranked_467.csv,0.16332848370075226,467
653,ranked_430.csv,0.16275577247142792,430
87,ranked_728.csv,0.16266809403896332,728
745,ranked_880.csv,0.16242755949497223,880
485,ranked_513.csv,0.16236601769924164,513
859,ranked_557.csv,0.162273570895195,557
248,ranked_271.csv,0.16165779531002045,271
78,ranked_886.csv,0.1616392880678177,886
789,ranked_681.csv,0.16122102737426758,681
908,ranked_493.csv,0.16103437542915344,493
64,ranked_488.csv,0.1602882444858551,488
269,ranked_594.csv,0.16015300154685974,594
345,ranked_381.csv,0.16015031933784485,381
693,ranked_165.csv,0.16005049645900726,165
993,ranked_817.csv,0.15930284559726715,817
634,ranked_140.csv,0.1588069200515747,140
826,ranked_628.csv,0.15878593921661377,628
331,ranked_730.csv,0.15805993974208832,730
19,ranked_527.csv,0.1577703058719635,527
182,ranked_796.csv,0.15768100321292877,796
265,ranked_164.csv,0.15745703876018524,164
589,ranked_124.csv,0.15738245844841003,124
215,ranked_53.csv,0.15720590949058533,53
724,ranked_270.csv,0.1571623831987381,270
262,ranked_888.csv,0.15682731568813324,888
463,ranked_390.csv,0.1567954421043396,390
422,ranked_286.csv,0.15672235190868378,286
212,ranked_902.csv,0.1564023196697235,902
969,ranked_768.csv,0.15624044835567474,768
387,ranked_411.csv,0.15615008771419525,411
104,ranked_742.csv,0.15592409670352936,742
398,ranked_507.csv,0.1559179574251175,507
555,ranked_485.csv,0.15577106177806854,485
977,ranked_936.csv,0.15516610443592072,936
531,ranked_805.csv,0.15498019754886627,805
219,ranked_425.csv,0.15492191910743713,425
141,ranked_345.csv,0.15482261776924133,345
501,ranked_148.csv,0.15478168427944183,148
261,ranked_322.csv,0.15475912392139435,322
203,ranked_105.csv,0.1547163426876068,105
354,ranked_379.csv,0.1543472558259964,379
933,ranked_171.csv,0.1543106585741043,171
459,ranked_156.csv,0.1540060043334961,156
297,ranked_607.csv,0.1539900153875351,607
263,ranked_188.csv,0.15388275682926178,188
901,ranked_623.csv,0.15385259687900543,623
318,ranked_317.csv,0.15381698310375214,317
827,ranked_534.csv,0.15358798205852509,534
14,ranked_551.csv,0.15344029664993286,551
741,ranked_99.csv,0.15338866412639618,99
580,ranked_285.csv,0.15312683582305908,285
929,ranked_272.csv,0.15301355719566345,272
249,ranked_291.csv,0.1529061496257782,291
243,ranked_468.csv,0.15282122790813446,468
41,ranked_765.csv,0.152297705411911,765
257,ranked_670.csv,0.15222389996051788,670
341,ranked_215.csv,0.15212494134902954,215
130,ranked_967.csv,0.15184414386749268,967
911,ranked_786.csv,0.15184056758880615,786
662,ranked_252.csv,0.151804119348526,252
828,ranked_621.csv,0.15179800987243652,621
776,ranked_781.csv,0.15178313851356506,781
798,ranked_832.csv,0.15169347822666168,832
343,ranked_542.csv,0.15153354406356812,542
923,ranked_823.csv,0.15127292275428772,823
197,ranked_221.csv,0.151096910238266,221
116,ranked_277.csv,0.1510246992111206,277
844,ranked_301.csv,0.15086548030376434,301
985,ranked_262.csv,0.150516539812088,262
115,ranked_284.csv,0.1504061073064804,284
924,ranked_186.csv,0.1497068703174591,186
386,ranked_257.csv,0.14888010919094086,257
973,ranked_169.csv,0.14879940450191498,169
298,ranked_803.csv,0.1487492322921753,803
864,ranked_382.csv,0.1487470120191574,382
92,ranked_747.csv,0.14858338236808777,747
144,ranked_208.csv,0.14855268597602844,208
968,ranked_150.csv,0.14842207729816437,150
820,ranked_213.csv,0.1483663022518158,213
5,ranked_968.csv,0.14812517166137695,968
528,ranked_110.csv,0.14799971878528595,110
585,ranked_307.csv,0.14792883396148682,307
335,ranked_520.csv,0.14740242063999176,520
758,ranked_504.csv,0.14726781845092773,504
481,ranked_459.csv,0.14697933197021484,459
963,ranked_780.csv,0.14691463112831116,780
161,ranked_389.csv,0.14680887758731842,389
716,ranked_570.csv,0.14679835736751556,570
874,ranked_243.csv,0.14670376479625702,243
336,ranked_776.csv,0.14667512476444244,776
523,ranked_775.csv,0.14644604921340942,775
228,ranked_676.csv,0.14638535678386688,676
603,ranked_138.csv,0.14608681201934814,138
569,ranked_932.csv,0.14594727754592896,932
498,ranked_298.csv,0.14580711722373962,298
83,ranked_151.csv,0.1454640030860901,151
135,ranked_93.csv,0.1451319456100464,93
914,ranked_329.csv,0.14504696428775787,329
846,ranked_647.csv,0.14462152123451233,647
2,ranked_704.csv,0.1445658951997757,704
232,ranked_209.csv,0.1444188952445984,209
786,ranked_475.csv,0.1441846340894699,475
773,ranked_854.csv,0.1441825032234192,854
614,ranked_192.csv,0.14379428327083588,192
348,ranked_592.csv,0.1437232941389084,592
851,ranked_703.csv,0.14336663484573364,703
253,ranked_248.csv,0.1432248204946518,248
167,ranked_199.csv,0.14303284883499146,199
788,ranked_368.csv,0.14286713302135468,368
725,ranked_232.csv,0.14269521832466125,232
136,ranked_773.csv,0.14257007837295532,773
997,ranked_646.csv,0.142469584941864,646
857,ranked_701.csv,0.14238125085830688,701
157,ranked_550.csv,0.1422952562570572,550
168,ranked_326.csv,0.1422891467809677,326
160,ranked_141.csv,0.14189068973064423,141
922,ranked_145.csv,0.14186444878578186,145
360,ranked_913.csv,0.14184291660785675,913
841,ranked_353.csv,0.1416631042957306,353
594,ranked_879.csv,0.14115172624588013,879
207,ranked_583.csv,0.1405990719795227,583
202,ranked_617.csv,0.1402697116136551,617
