,CSV Name,Prediction Value,AlphaRank
28,ranked_74.csv,0.29845452308654785,74
610,ranked_109.csv,0.2961856424808502,109
601,ranked_75.csv,0.2947223484516144,75
373,ranked_994.csv,0.2836512625217438,994
509,ranked_39.csv,0.281294047832489,39
927,ranked_10.csv,0.27963072061538696,10
522,ranked_35.csv,0.2790848910808563,35
267,ranked_85.csv,0.27903270721435547,85
624,ranked_134.csv,0.2788674831390381,134
494,ranked_41.csv,0.27776890993118286,41
561,ranked_78.csv,0.27765896916389465,78
13,ranked_71.csv,0.2776000499725342,71
457,ranked_65.csv,0.27510330080986023,65
751,ranked_19.csv,0.2746093273162842,19
315,ranked_101.csv,0.27414289116859436,101
190,ranked_120.csv,0.27281516790390015,120
689,ranked_55.csv,0.27202215790748596,55
337,ranked_111.csv,0.2713422477245331,111
362,ranked_142.csv,0.2705482542514801,142
377,ranked_112.csv,0.27021485567092896,112
454,ranked_80.csv,0.27018919587135315,80
954,ranked_143.csv,0.27006345987319946,143
873,ranked_32.csv,0.2700594961643219,32
880,ranked_45.csv,0.2682056427001953,45
370,ranked_20.csv,0.26818540692329407,20
164,ranked_122.csv,0.26765942573547363,122
871,ranked_51.csv,0.2661503255367279,51
649,ranked_7.csv,0.26602473855018616,7
825,ranked_56.csv,0.26550057530403137,56
753,ranked_97.csv,0.26491621136665344,97
344,ranked_64.csv,0.2646608352661133,64
194,ranked_18.csv,0.2643680274486542,18
376,ranked_157.csv,0.26427605748176575,157
491,ranked_154.csv,0.2641943097114563,154
681,ranked_176.csv,0.26405754685401917,176
631,ranked_42.csv,0.2638854682445526,42
628,ranked_27.csv,0.2634504735469818,27
958,ranked_79.csv,0.2628554701805115,79
333,ranked_62.csv,0.2627297043800354,62
814,ranked_76.csv,0.26258164644241333,76
921,ranked_88.csv,0.26248738169670105,88
691,ranked_92.csv,0.262380450963974,92
511,ranked_9.csv,0.26126232743263245,9
462,ranked_49.csv,0.26070839166641235,49
60,ranked_6.csv,0.26028046011924744,6
220,ranked_11.csv,0.2600724697113037,11
617,ranked_5.csv,0.2593931555747986,5
529,ranked_23.csv,0.2593647539615631,23
192,ranked_69.csv,0.2593024671077728,69
717,ranked_94.csv,0.2592947781085968,94
105,ranked_100.csv,0.25928664207458496,100
894,ranked_16.csv,0.25917261838912964,16
641,ranked_119.csv,0.2587628662586212,119
683,ranked_58.csv,0.2581953704357147,58
795,ranked_30.csv,0.2578907310962677,30
410,ranked_114.csv,0.25787726044654846,114
520,ranked_14.csv,0.25722184777259827,14
528,ranked_110.csv,0.2571330964565277,110
735,ranked_13.csv,0.25711455941200256,13
449,ranked_153.csv,0.25677573680877686,153
926,ranked_146.csv,0.2566230297088623,146
695,ranked_40.csv,0.25566980242729187,40
595,ranked_136.csv,0.25540482997894287,136
834,ranked_118.csv,0.2552269399166107,118
271,ranked_84.csv,0.25516170263290405,84
741,ranked_99.csv,0.2550913095474243,99
364,ranked_2.csv,0.25503647327423096,2
238,ranked_61.csv,0.25503164529800415,61
125,ranked_90.csv,0.2549029588699341,90
396,ranked_107.csv,0.254876047372818,107
639,ranked_159.csv,0.25402945280075073,159
991,ranked_28.csv,0.2535204291343689,28
955,ranked_68.csv,0.2534332573413849,68
203,ranked_105.csv,0.2530849874019623,105
951,ranked_15.csv,0.2529791295528412,15
657,ranked_125.csv,0.252775102853775,125
452,ranked_228.csv,0.252763032913208,228
160,ranked_141.csv,0.25261613726615906,141
368,ranked_67.csv,0.25253790616989136,67
933,ranked_171.csv,0.25210830569267273,171
393,ranked_163.csv,0.25209513306617737,163
215,ranked_53.csv,0.25200098752975464,53
621,ranked_116.csv,0.2518312633037567,116
281,ranked_167.csv,0.2518194019794464,167
460,ranked_174.csv,0.25168147683143616,174
972,ranked_33.csv,0.25155583024024963,33
400,ranked_52.csv,0.25148555636405945,52
390,ranked_0.csv,0.25146713852882385,0
582,ranked_129.csv,0.2514502704143524,129
189,ranked_127.csv,0.25136125087738037,127
722,ranked_66.csv,0.2510095238685608,66
459,ranked_156.csv,0.2509802579879761,156
147,ranked_96.csv,0.2497246414422989,96
855,ranked_203.csv,0.24971641600131989,203
427,ranked_178.csv,0.24947777390480042,178
510,ranked_197.csv,0.24936650693416595,197
782,ranked_54.csv,0.24883370101451874,54
567,ranked_82.csv,0.24857197701931,82
349,ranked_260.csv,0.24828919768333435,260
394,ranked_106.csv,0.24815595149993896,106
216,ranked_12.csv,0.2481020838022232,12
984,ranked_26.csv,0.24789361655712128,26
502,ranked_89.csv,0.24752658605575562,89
303,ranked_147.csv,0.24685093760490417,147
981,ranked_144.csv,0.24683189392089844,144
853,ranked_77.csv,0.24645565450191498,77
446,ranked_149.csv,0.24599161744117737,149
317,ranked_43.csv,0.24531874060630798,43
290,ranked_4.csv,0.2442351132631302,4
242,ranked_180.csv,0.24418270587921143,180
777,ranked_234.csv,0.2436891496181488,234
107,ranked_131.csv,0.24357269704341888,131
508,ranked_282.csv,0.24291540682315826,282
244,ranked_91.csv,0.24275989830493927,91
421,ranked_158.csv,0.24259085953235626,158
135,ranked_93.csv,0.24246536195278168,93
20,ranked_21.csv,0.2414204180240631,21
200,ranked_161.csv,0.2412205934524536,161
835,ranked_627.csv,0.24115723371505737,627
176,ranked_166.csv,0.24103526771068573,166
284,ranked_47.csv,0.24094344675540924,47
404,ranked_170.csv,0.24089573323726654,170
554,ranked_60.csv,0.2405940145254135,60
606,ranked_760.csv,0.2403065413236618,760
828,ranked_621.csv,0.24016691744327545,621
959,ranked_179.csv,0.2397216409444809,179
248,ranked_271.csv,0.238975390791893,271
422,ranked_286.csv,0.23890037834644318,286
487,ranked_63.csv,0.23877331614494324,63
181,ranked_87.csv,0.2386460304260254,87
83,ranked_151.csv,0.23864436149597168,151
54,ranked_746.csv,0.23804213106632233,746
896,ranked_858.csv,0.23761647939682007,858
940,ranked_48.csv,0.23727132380008698,48
155,ranked_135.csv,0.23699301481246948,135
912,ranked_205.csv,0.23678801953792572,205
236,ranked_162.csv,0.2366132140159607,162
32,ranked_31.csv,0.23634713888168335,31
968,ranked_150.csv,0.23599256575107574,150
126,ranked_108.csv,0.23569001257419586,108
556,ranked_212.csv,0.2356525957584381,212
138,ranked_123.csv,0.23551104962825775,123
342,ranked_117.csv,0.23547428846359253,117
813,ranked_976.csv,0.23511779308319092,976
265,ranked_164.csv,0.2350078523159027,164
154,ranked_172.csv,0.2349623143672943,172
599,ranked_46.csv,0.23440858721733093,46
6,ranked_3.csv,0.23353925347328186,3
180,ranked_137.csv,0.23348593711853027,137
845,ranked_59.csv,0.23334498703479767,59
902,ranked_922.csv,0.23299403488636017,922
