,CSV Name,Prediction Value,AlphaRank
487,ranked_63.csv,0.12338542193174362,63
238,ranked_61.csv,0.11432114988565445,61
169,ranked_568.csv,0.10529268532991409,568
942,ranked_431.csv,0.10328653454780579,431
628,ranked_27.csv,0.09720251709222794,27
377,ranked_112.csv,0.09401055425405502,112
492,ranked_626.csv,0.08507422357797623,626
321,ranked_460.csv,0.07883734256029129,460
599,ranked_46.csv,0.07856280356645584,46
827,ranked_534.csv,0.07827288657426834,534
743,ranked_615.csv,0.07602658122777939,615
28,ranked_74.csv,0.06928025931119919,74
147,ranked_96.csv,0.0683436244726181,96
83,ranked_151.csv,0.06821823120117188,151
625,ranked_218.csv,0.06776964664459229,218
605,ranked_483.csv,0.06751813739538193,483
722,ranked_66.csv,0.06683076173067093,66
199,ranked_416.csv,0.06670616567134857,416
845,ranked_59.csv,0.06588458269834518,59
758,ranked_504.csv,0.06522895395755768,504
873,ranked_32.csv,0.06510644406080246,32
333,ranked_62.csv,0.06435395777225494,62
454,ranked_80.csv,0.06371874362230301,80
970,ranked_715.csv,0.06203055381774902,715
522,ranked_35.csv,0.06012789160013199,35
203,ranked_105.csv,0.059754595160484314,105
540,ranked_113.csv,0.05971450358629227,113
65,ranked_511.csv,0.059181131422519684,511
791,ranked_598.csv,0.05860735476016998,598
464,ranked_575.csv,0.05847800523042679,575
784,ranked_711.csv,0.05840860307216644,711
398,ranked_507.csv,0.05832812190055847,507
343,ranked_542.csv,0.0579826682806015,542
258,ranked_98.csv,0.05755648761987686,98
266,ranked_273.csv,0.057438574731349945,273
125,ranked_90.csv,0.0560951828956604,90
218,ranked_495.csv,0.05490187555551529,495
793,ranked_196.csv,0.05475584417581558,196
900,ranked_633.csv,0.054698191583156586,633
178,ranked_640.csv,0.054438620805740356,640
91,ranked_229.csv,0.05405857414007187,229
215,ranked_53.csv,0.053890667855739594,53
287,ranked_121.csv,0.05334330350160599,121
13,ranked_71.csv,0.052363909780979156,71
113,ranked_689.csv,0.05171694606542587,689
578,ranked_437.csv,0.0516296923160553,437
111,ranked_530.csv,0.051127560436725616,530
237,ranked_641.csv,0.05111575126647949,641
365,ranked_446.csv,0.050979696214199066,446
191,ranked_24.csv,0.05088695138692856,24
940,ranked_48.csv,0.0507793128490448,48
750,ranked_608.csv,0.05023612082004547,608
58,ranked_556.csv,0.050146132707595825,556
158,ranked_576.csv,0.049966342747211456,576
742,ranked_239.csv,0.049956224858760834,239
192,ranked_69.csv,0.04995556175708771,69
