,CSV Name,Prediction Value,AlphaRank
96,ranked_281.csv,0.49360257387161255,281
544,ranked_211.csv,0.49265578389167786,211
688,ranked_223.csv,0.49251654744148254,223
326,ranked_447.csv,0.49117717146873474,447
874,ranked_243.csv,0.4866238534450531,243
661,ranked_244.csv,0.4855644106864929,244
172,ranked_238.csv,0.4847962260246277,238
16,ranked_235.csv,0.48416033387184143,235
620,ranked_249.csv,0.4836447238922119,249
891,ranked_308.csv,0.4809286594390869,308
253,ranked_248.csv,0.4808543026447296,248
725,ranked_232.csv,0.473008394241333,232
367,ranked_222.csv,0.46955162286758423,222
499,ranked_230.csv,0.46880805492401123,230
452,ranked_228.csv,0.4675309956073761,228
881,ranked_266.csv,0.46503230929374695,266
867,ranked_265.csv,0.4639988839626312,265
36,ranked_333.csv,0.46397271752357483,333
422,ranked_286.csv,0.46345382928848267,286
800,ranked_303.csv,0.4630018174648285,303
174,ranked_269.csv,0.4629169702529907,269
325,ranked_937.csv,0.46235373616218567,937
447,ranked_250.csv,0.46205782890319824,250
183,ranked_219.csv,0.46189141273498535,219
266,ranked_273.csv,0.4618496894836426,273
605,ranked_483.csv,0.4615185856819153,483
361,ranked_738.csv,0.46100491285324097,738
572,ranked_674.csv,0.4609207212924957,674
820,ranked_213.csv,0.4608348608016968,213
841,ranked_353.csv,0.4604329764842987,353
301,ranked_335.csv,0.4600884020328522,335
917,ranked_227.csv,0.4597639739513397,227
862,ranked_299.csv,0.4583323001861572,299
217,ranked_404.csv,0.4571373462677002,404
477,ranked_267.csv,0.45695799589157104,267
588,ranked_206.csv,0.4568178057670593,206
597,ranked_448.csv,0.4566228687763214,448
929,ranked_272.csv,0.4558846950531006,272
395,ranked_374.csv,0.4553306996822357,374
807,ranked_312.csv,0.4550326466560364,312
448,ranked_233.csv,0.45325443148612976,233
983,ranked_415.csv,0.453199177980423,415
579,ranked_256.csv,0.4523642957210541,256
816,ranked_246.csv,0.4520705044269562,246
710,ranked_661.csv,0.45206892490386963,661
761,ranked_207.csv,0.45199695229530334,207
479,ranked_253.csv,0.45196107029914856,253
386,ranked_257.csv,0.4510693848133087,257
442,ranked_356.csv,0.45070648193359375,356
240,ranked_217.csv,0.45070555806159973,217
580,ranked_285.csv,0.45035916566848755,285
937,ranked_264.csv,0.4497612416744232,264
67,ranked_950.csv,0.44921961426734924,950
498,ranked_298.csv,0.44840219616889954,298
703,ranked_251.csv,0.4482548236846924,251
727,ranked_387.csv,0.4466562271118164,387
966,ranked_749.csv,0.4466487467288971,749
482,ranked_342.csv,0.4460586607456207,342
186,ranked_287.csv,0.4458889961242676,287
38,ranked_702.csv,0.44525158405303955,702
962,ranked_429.csv,0.4445411264896393,429
384,ranked_458.csv,0.4442175328731537,458
147,ranked_96.csv,0.442355751991272,96
203,ranked_105.csv,0.4417446255683899,105
912,ranked_205.csv,0.44127875566482544,205
511,ranked_9.csv,0.4405670166015625,9
483,ranked_733.csv,0.4402034282684326,733
351,ranked_636.csv,0.43985170125961304,636
105,ranked_100.csv,0.4394320845603943,100
118,ranked_304.csv,0.43931812047958374,304
960,ranked_744.csv,0.43899473547935486,744
382,ranked_656.csv,0.43876898288726807,656
864,ranked_382.csv,0.4384707808494568,382
309,ranked_225.csv,0.43846502900123596,225
876,ranked_678.csv,0.43844354152679443,678
22,ranked_314.csv,0.43810710310935974,314
322,ranked_338.csv,0.43707358837127686,338
790,ranked_236.csv,0.4370593726634979,236
556,ranked_212.csv,0.4369831383228302,212
872,ranked_295.csv,0.4368160665035248,295
705,ranked_755.csv,0.4362639784812927,755
554,ranked_60.csv,0.43597862124443054,60
508,ranked_282.csv,0.43578532338142395,282
239,ranked_133.csv,0.4355930685997009,133
490,ranked_258.csv,0.435482919216156,258
412,ranked_240.csv,0.4354501962661743,240
225,ranked_455.csv,0.4353301227092743,455
323,ranked_586.csv,0.43525296449661255,586
116,ranked_277.csv,0.43495213985443115,277
652,ranked_288.csv,0.43480727076530457,288
390,ranked_0.csv,0.4337519407272339,0
4,ranked_377.csv,0.4336974620819092,377
724,ranked_270.csv,0.43346017599105835,270
857,ranked_701.csv,0.43332377076148987,701
533,ranked_216.csv,0.43328002095222473,216
180,ranked_137.csv,0.4332038462162018,137
90,ranked_283.csv,0.4330027401447296,283
726,ranked_349.csv,0.43279337882995605,349
526,ranked_424.csv,0.4327385425567627,424
400,ranked_52.csv,0.43272194266319275,52
927,ranked_10.csv,0.4324318468570709,10
92,ranked_747.csv,0.43238207697868347,747
639,ranked_159.csv,0.4322665333747864,159
576,ranked_362.csv,0.43171074986457825,362
468,ranked_70.csv,0.4316345453262329,70
664,ranked_986.csv,0.4314442574977875,986
696,ranked_580.csv,0.4313737750053406,580
851,ranked_703.csv,0.4312214255332947,703
462,ranked_49.csv,0.4309929609298706,49
238,ranked_61.csv,0.430937796831131,61
228,ranked_676.csv,0.43078625202178955,676
25,ranked_241.csv,0.43076592683792114,241
421,ranked_158.csv,0.43072909116744995,158
758,ranked_504.csv,0.43036702275276184,504
832,ranked_523.csv,0.43026164174079895,523
311,ranked_237.csv,0.43008744716644287,237
478,ranked_552.csv,0.4300081133842468,552
799,ranked_224.csv,0.42976534366607666,224
560,ranked_275.csv,0.429689884185791,275
565,ranked_181.csv,0.42958569526672363,181
125,ranked_90.csv,0.4291355013847351,90
229,ranked_403.csv,0.4290960729122162,403
641,ranked_119.csv,0.4289090931415558,119
328,ranked_310.csv,0.42872175574302673,310
372,ranked_139.csv,0.42863279581069946,139
959,ranked_179.csv,0.42858394980430603,179
10,ranked_545.csv,0.4283420145511627,545
102,ranked_637.csv,0.42831799387931824,637
63,ranked_86.csv,0.4282388687133789,86
150,ranked_200.csv,0.4273453950881958,200
399,ranked_255.csv,0.427141010761261,255
342,ranked_117.csv,0.42706337571144104,117
879,ranked_318.csv,0.4268287718296051,318
341,ranked_215.csv,0.42679929733276367,215
845,ranked_59.csv,0.42674359679222107,59
634,ranked_140.csv,0.42671483755111694,140
903,ranked_956.csv,0.4265062212944031,956
844,ranked_301.csv,0.42648380994796753,301
502,ranked_89.csv,0.4263826608657837,89
491,ranked_154.csv,0.42613106966018677,154
967,ranked_245.csv,0.4260416030883789,245
772,ranked_625.csv,0.42582568526268005,625
72,ranked_168.csv,0.4255267083644867,168
347,ranked_969.csv,0.4254739582538605,969
11,ranked_671.csv,0.4254084825515747,671
840,ranked_614.csv,0.42501091957092285,614
233,ranked_321.csv,0.424996018409729,321
232,ranked_209.csv,0.4249609112739563,209
66,ranked_761.csv,0.4247201085090637,761
855,ranked_203.csv,0.4247199594974518,203
48,ranked_563.csv,0.4246729612350464,563
192,ranked_69.csv,0.4241972267627716,69
770,ranked_371.csv,0.4241946339607239,371
562,ranked_872.csv,0.42402327060699463,872
904,ranked_719.csv,0.424018919467926,719
247,ranked_478.csv,0.42380332946777344,478
745,ranked_880.csv,0.42353323101997375,880
409,ranked_739.csv,0.4234781265258789,739
275,ranked_1.csv,0.42346635460853577,1
742,ranked_239.csv,0.42345166206359863,239
47,ranked_517.csv,0.4234054982662201,517
625,ranked_218.csv,0.4230954349040985,218
516,ranked_921.csv,0.4230351150035858,921
58,ranked_556.csv,0.42284122109413147,556
197,ranked_221.csv,0.42276236414909363,221
456,ranked_501.csv,0.4227517247200012,501
892,ranked_680.csv,0.4226384460926056,680
985,ranked_262.csv,0.4222778379917145,262
514,ranked_201.csv,0.4222320318222046,201
216,ranked_12.csv,0.4222111403942108,12
348,ranked_592.csv,0.422116219997406,592
245,ranked_331.csv,0.4213724434375763,331
201,ranked_254.csv,0.42109283804893494,254
756,ranked_722.csv,0.42104482650756836,722
250,ranked_210.csv,0.4206975996494293,210
346,ranked_825.csv,0.420642614364624,825
155,ranked_135.csv,0.42062661051750183,135
264,ranked_952.csv,0.42033126950263977,952
431,ranked_81.csv,0.42021292448043823,81
428,ranked_506.csv,0.42019122838974,506
573,ranked_334.csv,0.42015746235847473,334
571,ranked_649.csv,0.42005059123039246,649
284,ranked_47.csv,0.4200171232223511,47
489,ranked_315.csv,0.4198596477508545,315
957,ranked_72.csv,0.41962388157844543,72
559,ranked_343.csv,0.419596403837204,343
274,ranked_350.csv,0.4195680320262909,350
532,ranked_946.csv,0.4193905293941498,946
649,ranked_7.csv,0.41932085156440735,7
564,ranked_130.csv,0.41927191615104675,130
488,ranked_818.csv,0.41859155893325806,818
414,ranked_904.csv,0.41847550868988037,904
313,ranked_297.csv,0.41839301586151123,297
144,ranked_208.csv,0.4178498387336731,208
877,ranked_278.csv,0.417793333530426,278
321,ranked_460.csv,0.4176407754421234,460
623,ranked_268.csv,0.4175609052181244,268
676,ranked_869.csv,0.4175017774105072,869
589,ranked_124.csv,0.4174288511276245,124
162,ranked_503.csv,0.41738492250442505,503
739,ranked_50.csv,0.4173588454723358,50
410,ranked_114.csv,0.41735562682151794,114
152,ranked_309.csv,0.417259156703949,309
370,ranked_20.csv,0.41720816493034363,20
364,ranked_2.csv,0.41716134548187256,2
32,ranked_31.csv,0.4169825315475464,31
521,ranked_590.csv,0.4169518053531647,590
84,ranked_651.csv,0.41694876551628113,651
754,ranked_195.csv,0.41694384813308716,195
430,ranked_292.csv,0.41691744327545166,292
107,ranked_131.csv,0.416850745677948,131
23,ranked_543.csv,0.41680458188056946,543
606,ranked_760.csv,0.4166225790977478,760
50,ranked_705.csv,0.41654977202415466,705
955,ranked_68.csv,0.4164949059486389,68
318,ranked_317.csv,0.4162558615207672,317
60,ranked_6.csv,0.41616663336753845,6
303,ranked_147.csv,0.4160011112689972,147
257,ranked_670.csv,0.4157590866088867,670
281,ranked_167.csv,0.4156707525253296,167
871,ranked_51.csv,0.4154505133628845,51
793,ranked_196.csv,0.41537919640541077,196
362,ranked_142.csv,0.41534796357154846,142
954,ranked_143.csv,0.41534143686294556,143
624,ranked_134.csv,0.4153135418891907,134
603,ranked_138.csv,0.41519883275032043,138
290,ranked_4.csv,0.4150792956352234,4
256,ranked_37.csv,0.41506436467170715,37
437,ranked_496.csv,0.4150436222553253,496
