,CSV Name,Prediction Value,AlphaRank
438,ranked_997.csv,0.21383467316627502,997
664,ranked_986.csv,0.16701611876487732,986
961,ranked_444.csv,0.15859615802764893,444
744,ranked_867.csv,0.13068455457687378,867
191,ranked_24.csv,0.12206308543682098,24
773,ranked_854.csv,0.11549733579158783,854
457,ranked_65.csv,0.10761897265911102,65
647,ranked_578.csv,0.10501810908317566,578
269,ranked_594.csv,0.10140933841466904,594
720,ranked_428.csv,0.09793764352798462,428
411,ranked_801.csv,0.09542275220155716,801
660,ranked_337.csv,0.09468244761228561,337
788,ranked_368.csv,0.09407675266265869,368
293,ranked_547.csv,0.09397264569997787,547
361,ranked_738.csv,0.09213582426309586,738
603,ranked_138.csv,0.09207281470298767,138
638,ranked_582.csv,0.09174482524394989,582
545,ranked_247.csv,0.08779080212116241,247
432,ranked_445.csv,0.0873817428946495,445
684,ranked_891.csv,0.08641006797552109,891
842,ranked_736.csv,0.08542364835739136,736
613,ranked_657.csv,0.08502287417650223,657
288,ranked_630.csv,0.08421791344881058,630
925,ranked_673.csv,0.0839325338602066,673
429,ranked_820.csv,0.0838710218667984,820
826,ranked_628.csv,0.08367571234703064,628
778,ranked_877.csv,0.08351504057645798,877
607,ranked_650.csv,0.0816773846745491,650
214,ranked_330.csv,0.08134775608778,330
854,ranked_654.csv,0.08134327828884125,654
61,ranked_522.csv,0.08125557750463486,522
717,ranked_94.csv,0.08057284355163574,94
472,ranked_609.csv,0.08023384213447571,609
572,ranked_674.csv,0.0798523798584938,674
521,ranked_590.csv,0.0789094790816307,590
915,ranked_707.csv,0.0785539373755455,707
987,ranked_177.csv,0.07804589718580246,177
723,ranked_624.csv,0.0779985561966896,624
172,ranked_238.csv,0.07797393947839737,238
69,ranked_700.csv,0.07771095633506775,700
44,ranked_756.csv,0.07740003615617752,756
646,ranked_686.csv,0.07735906541347504,686
99,ranked_731.csv,0.07711941003799438,731
840,ranked_614.csv,0.07710237801074982,614
483,ranked_733.csv,0.07691508531570435,733
68,ranked_998.csv,0.07675895094871521,998
904,ranked_719.csv,0.076378233730793,719
750,ranked_608.csv,0.0760093629360199,608
331,ranked_730.csv,0.07549385726451874,730
774,ranked_718.csv,0.07497600466012955,718
792,ranked_806.csv,0.07497487217187881,806
863,ranked_706.csv,0.07460823655128479,706
694,ranked_793.csv,0.07444514334201813,793
893,ranked_999.csv,0.0743011012673378,999
24,ranked_698.csv,0.0740819126367569,698
317,ranked_43.csv,0.07398070394992828,43
760,ranked_914.csv,0.07345603406429291,914
339,ranked_461.csv,0.07344502955675125,461
270,ranked_716.csv,0.0734114944934845,716
0,ranked_546.csv,0.07284340262413025,546
148,ranked_616.csv,0.07283786684274673,616
523,ranked_775.csv,0.07272925227880478,775
453,ranked_804.csv,0.07232557982206345,804
