,CSV Name,Prediction Value,AlphaRank
291,ranked_987.csv,0.015121087431907654,987
325,ranked_937.csv,0.011039510369300842,937
40,ranked_743.csv,0.009817969053983688,743
340,ranked_943.csv,0.009368167258799076,943
612,ranked_978.csv,0.008405245840549469,978
418,ranked_767.csv,0.008396916091442108,767
598,ranked_979.csv,0.008190701715648174,979
931,ranked_710.csv,0.008189495652914047,710
950,ranked_865.csv,0.008132284507155418,865
550,ranked_847.csv,0.007842421531677246,847
324,ranked_758.csv,0.0071518439799547195,758
272,ranked_989.csv,0.0069261640310287476,989
478,ranked_552.csv,0.006871087476611137,552
792,ranked_806.csv,0.006780997384339571,806
686,ranked_949.csv,0.00673504127189517,949
542,ranked_645.csv,0.00664996262639761,645
830,ranked_920.csv,0.0065949154086411,920
878,ranked_928.csv,0.00655656773597002,928
98,ranked_981.csv,0.006131340749561787,981
673,ranked_871.csv,0.0060021355748176575,871
748,ranked_751.csv,0.005963589996099472,751
752,ranked_800.csv,0.0056546651758253574,800
142,ranked_735.csv,0.005431062541902065,735
810,ranked_951.csv,0.004632672294974327,951
632,ranked_797.csv,0.004627269692718983,797
986,ranked_933.csv,0.004475869704037905,933
440,ranked_675.csv,0.004430013243108988,675
77,ranked_682.csv,0.00417668092995882,682
304,ranked_734.csv,0.004044660367071629,734
109,ranked_687.csv,0.003982097841799259,687
692,ranked_864.csv,0.0038505317643284798,864
308,ranked_890.csv,0.00316496379673481,890
988,ranked_714.csv,0.0030751479789614677,714
45,ranked_784.csv,0.003072192892432213,784
818,ranked_977.csv,0.002871692180633545,977
34,ranked_993.csv,0.002800537273287773,993
684,ranked_891.csv,0.0026722252368927,891
760,ranked_914.csv,0.002625979483127594,914
733,ranked_659.csv,0.0025336723774671555,659
590,ranked_881.csv,0.00246506929397583,881
100,ranked_750.csv,0.002383992075920105,750
633,ranked_789.csv,0.0023533692583441734,789
719,ranked_663.csv,0.0022794241085648537,663
170,ranked_908.csv,0.0022624004632234573,908
682,ranked_737.csv,0.0021755024790763855,737
998,ranked_897.csv,0.002153298817574978,897
204,ranked_923.csv,0.0021393364295363426,923
209,ranked_694.csv,0.0021255044266581535,694
776,ranked_781.csv,0.0019540926441550255,781
874,ranked_243.csv,0.001938842236995697,243
416,ranked_564.csv,0.0019013816490769386,564
346,ranked_825.csv,0.0018819523975253105,825
736,ranked_962.csv,0.0018541458994150162,962
745,ranked_880.csv,0.0018433881923556328,880
933,ranked_171.csv,0.0017793942242860794,171
680,ranked_980.csv,0.0017461702227592468,980
717,ranked_94.csv,0.001652175560593605,94
78,ranked_886.csv,0.0016262121498584747,886
415,ranked_926.csv,0.0016039777547121048,926
949,ranked_549.csv,0.0014689033851027489,549
97,ranked_572.csv,0.0014676079154014587,572
438,ranked_997.csv,0.0014650123193860054,997
5,ranked_968.csv,0.0014359820634126663,968
959,ranked_179.csv,0.0014098649844527245,179
650,ranked_815.csv,0.0013952795416116714,815
122,ranked_152.csv,0.001378689892590046,152
195,ranked_970.csv,0.001361149363219738,970
606,ranked_760.csv,0.0012481613084673882,760
240,ranked_217.csv,0.0011949148029088974,217
557,ranked_316.csv,0.0010212156921625137,316
711,ranked_938.csv,0.0010190196335315704,938
672,ranked_555.csv,0.001007375307381153,555
234,ranked_838.csv,0.0009833145886659622,838
656,ranked_991.csv,0.0009675286710262299,991
794,ranked_873.csv,0.0009499453008174896,873
397,ranked_604.csv,0.0009461436420679092,604
549,ranked_824.csv,0.0008897753432393074,824
353,ranked_935.csv,0.0008789515122771263,935
347,ranked_969.csv,0.0008586281910538673,969
519,ranked_346.csv,0.0008542099967598915,346
535,ranked_242.csv,0.0008508879691362381,242
253,ranked_248.csv,0.0007914286106824875,248
734,ranked_944.csv,0.0007908428087830544,944
136,ranked_773.csv,0.0007904302328824997,773
823,ranked_857.csv,0.000784037634730339,857
790,ranked_236.csv,0.0006446866318583488,236
7,ranked_185.csv,0.0005394313484430313,185
273,ranked_961.csv,0.0005165254697203636,961
299,ranked_984.csv,0.0004949700087308884,984
305,ranked_524.csv,0.00043031200766563416,524
905,ranked_745.csv,0.00040673278272151947,745
41,ranked_765.csv,0.0004030391573905945,765
569,ranked_932.csv,0.0003881780430674553,932
298,ranked_803.csv,0.00038665998727083206,803
31,ranked_966.csv,0.00036646146327257156,966
926,ranked_146.csv,0.0003247242420911789,146
309,ranked_225.csv,0.00027845147997140884,225
551,ranked_992.csv,0.00023876409977674484,992
822,ranked_198.csv,0.00021309219300746918,198
929,ranked_272.csv,0.00016376376152038574,272
554,ranked_60.csv,0.0001553250476717949,60
534,ranked_766.csv,0.00014529936015605927,766
562,ranked_872.csv,8.045975118875504e-05,872
968,ranked_150.csv,5.8249570429325104e-05,150
28,ranked_74.csv,5.776900798082352e-05,74
545,ranked_247.csv,3.9140693843364716e-05,247
302,ranked_571.csv,2.2726133465766907e-05,571
492,ranked_626.csv,-1.8375925719738007e-05,626
130,ranked_967.csv,-6.520841270685196e-05,967
459,ranked_156.csv,-7.455237209796906e-05,156
627,ranked_366.csv,-8.150283247232437e-05,366
259,ranked_762.csv,-0.00010091066360473633,762
487,ranked_63.csv,-0.00012541096657514572,63
837,ranked_860.csv,-0.00013220123946666718,860
580,ranked_285.csv,-0.00015373621135950089,285
453,ranked_804.csv,-0.00018013641238212585,804
726,ranked_349.csv,-0.0001856451854109764,349
354,ranked_379.csv,-0.00018662679940462112,379
313,ranked_297.csv,-0.00018778257071971893,297
781,ranked_836.csv,-0.0001887679100036621,836
220,ranked_11.csv,-0.00019416864961385727,11
486,ranked_983.csv,-0.0001989174634218216,983
553,ranked_354.csv,-0.00021330174058675766,354
331,ranked_730.csv,-0.000215175561606884,730
626,ranked_814.csv,-0.000227486714720726,814
886,ranked_34.csv,-0.00023035425692796707,34
289,ranked_819.csv,-0.00023816153407096863,819
629,ranked_837.csv,-0.00025050435215234756,837
681,ranked_176.csv,-0.0002572573721408844,176
