,CSV Name,Prediction Value,AlphaRank
792,ranked_806.csv,0.16059038043022156,806
391,ranked_809.csv,0.15604908764362335,809
909,ranked_827.csv,0.13067780435085297,827
947,ranked_866.csv,0.1253380924463272,866
612,ranked_978.csv,0.12464673072099686,978
272,ranked_989.csv,0.11354906111955643,989
98,ranked_981.csv,0.112202949821949,981
403,ranked_918.csv,0.10725417733192444,918
633,ranked_789.csv,0.10340403765439987,789
803,ranked_855.csv,0.1019977554678917,855
993,ranked_817.csv,0.10122652351856232,817
298,ranked_803.csv,0.10079788416624069,803
436,ranked_802.csv,0.09887778759002686,802
451,ranked_821.csv,0.09822271019220352,821
531,ranked_805.csv,0.09719597548246384,805
429,ranked_820.csv,0.09582070261240005,820
849,ranked_882.csv,0.09169786423444748,882
525,ranked_852.csv,0.09133674949407578,852
438,ranked_997.csv,0.09062565118074417,997
346,ranked_825.csv,0.08877135068178177,825
632,ranked_797.csv,0.08769147843122482,797
896,ranked_858.csv,0.0869331881403923,858
566,ranked_878.csv,0.08564405888319016,878
650,ranked_815.csv,0.08406788855791092,815
773,ranked_854.csv,0.08051349967718124,854
264,ranked_952.csv,0.0797295793890953,952
75,ranked_942.csv,0.07893461734056473,942
530,ranked_834.csv,0.07856187969446182,834
445,ranked_941.csv,0.07824210822582245,941
408,ranked_910.csv,0.0778125748038292,910
289,ranked_819.csv,0.07770105451345444,819
80,ranked_785.csv,0.07763384282588959,785
626,ranked_814.csv,0.07743709534406662,814
415,ranked_926.csv,0.07714327424764633,926
824,ranked_870.csv,0.07683822512626648,870
643,ranked_807.csv,0.07393500953912735,807
234,ranked_838.csv,0.07376811653375626,838
956,ranked_787.csv,0.07313426584005356,787
694,ranked_793.csv,0.07291171699762344,793
536,ranked_892.csv,0.07219768315553665,892
550,ranked_847.csv,0.07187174260616302,847
675,ranked_845.csv,0.07183797657489777,845
823,ranked_857.csv,0.0713546872138977,857
497,ranked_792.csv,0.07062990963459015,792
211,ranked_790.csv,0.07057937979698181,790
182,ranked_796.csv,0.07011158019304276,796
944,ranked_799.csv,0.06938258558511734,799
170,ranked_908.csv,0.06868907809257507,908
911,ranked_786.csv,0.06867849081754684,786
604,ranked_863.csv,0.06834892928600311,863
68,ranked_998.csv,0.0670376569032669,998
127,ranked_973.csv,0.06688094884157181,973
952,ranked_909.csv,0.06684631109237671,909
319,ranked_972.csv,0.06538334488868713,972
731,ranked_945.csv,0.06494936347007751,945
474,ranked_184.csv,0.0648467168211937,184
998,ranked_897.csv,0.06442335993051529,897
34,ranked_993.csv,0.06438010931015015,993
690,ranked_841.csv,0.0643688514828682,841
684,ranked_891.csv,0.06434033066034317,891
583,ranked_905.csv,0.06427480280399323,905
373,ranked_994.csv,0.06415034830570221,994
620,ranked_249.csv,0.06407436728477478,249
383,ranked_812.csv,0.06356824189424515,812
196,ranked_791.csv,0.06325176358222961,791
250,ranked_210.csv,0.06275363266468048,210
817,ranked_851.csv,0.06271853297948837,851
771,ranked_115.csv,0.06259920448064804,115
422,ranked_286.csv,0.06255180388689041,286
714,ranked_883.csv,0.06239303946495056,883
433,ranked_843.csv,0.06234949082136154,843
734,ranked_944.csv,0.062242984771728516,944
424,ranked_917.csv,0.06175012141466141,917
476,ranked_846.csv,0.0617336705327034,846
292,ranked_911.csv,0.061421580612659454,911
752,ranked_800.csv,0.06127898395061493,800
610,ranked_109.csv,0.06052935868501663,109
856,ranked_907.csv,0.06014617532491684,907
821,ranked_874.csv,0.060049280524253845,874
201,ranked_254.csv,0.05990026891231537,254
755,ranked_839.csv,0.05981461703777313,839
757,ranked_835.csv,0.059798337519168854,835
711,ranked_938.csv,0.05974225699901581,938
90,ranked_283.csv,0.05959285795688629,283
372,ranked_139.csv,0.059257201850414276,139
671,ranked_849.csv,0.05881437659263611,849
736,ranked_962.csv,0.058404989540576935,962
524,ranked_960.csv,0.058297522366046906,960
648,ranked_856.csv,0.05806475877761841,856
414,ranked_904.csv,0.05805523693561554,904
938,ranked_895.csv,0.057482801377773285,895
745,ranked_880.csv,0.05741730332374573,880
787,ranked_102.csv,0.056835584342479706,102
954,ranked_143.csv,0.05651649087667465,143
164,ranked_122.csv,0.05650428682565689,122
486,ranked_983.csv,0.056328579783439636,983
673,ranked_871.csv,0.05588754266500473,871
549,ranked_824.csv,0.055503979325294495,824
488,ranked_818.csv,0.05531449615955353,818
71,ranked_894.csv,0.054999999701976776,894
680,ranked_980.csv,0.05495157092809677,980
21,ranked_959.csv,0.0549110546708107,959
308,ranked_890.csv,0.0547969713807106,890
674,ranked_912.csv,0.054773107171058655,912
327,ranked_57.csv,0.054320916533470154,57
780,ranked_963.csv,0.054208479821681976,963
406,ranked_831.csv,0.05416952818632126,831
825,ranked_56.csv,0.05414782464504242,56
265,ranked_164.csv,0.05414661020040512,164
628,ranked_27.csv,0.054137952625751495,27
310,ranked_83.csv,0.05408594757318497,83
457,ranked_65.csv,0.054049648344516754,65
238,ranked_61.csv,0.05403347313404083,61
160,ranked_141.csv,0.054001808166503906,141
589,ranked_124.csv,0.053905390202999115,124
347,ranked_969.csv,0.05382832884788513,969
155,ranked_135.csv,0.053722381591796875,135
921,ranked_88.csv,0.05365820974111557,88
5,ranked_968.csv,0.05365738272666931,968
527,ranked_811.csv,0.05364152789115906,811
850,ranked_393.csv,0.05351115018129349,393
125,ranked_90.csv,0.05344335734844208,90
105,ranked_100.csv,0.05339483916759491,100
83,ranked_151.csv,0.05331292748451233,151
137,ranked_953.csv,0.05330391228199005,953
262,ranked_888.csv,0.053223684430122375,888
950,ranked_865.csv,0.05277639627456665,865
541,ranked_853.csv,0.05261409282684326,853
810,ranked_951.csv,0.05250995606184006,951
532,ranked_946.csv,0.05244062840938568,946
887,ranked_339.csv,0.05228371173143387,339
878,ranked_928.csv,0.052278757095336914,928
598,ranked_979.csv,0.05223935842514038,979
7,ranked_185.csv,0.052179835736751556,185
398,ranked_507.csv,0.052147120237350464,507
91,ranked_229.csv,0.05174054950475693,229
547,ranked_850.csv,0.05172289162874222,850
206,ranked_948.csv,0.05163918435573578,948
573,ranked_334.csv,0.05163563787937164,334
594,ranked_879.csv,0.051587603986263275,879
562,ranked_872.csv,0.05156344175338745,872
273,ranked_961.csv,0.0515308603644371,961
913,ranked_408.csv,0.05139203369617462,408
948,ranked_602.csv,0.0513729453086853,602
678,ranked_844.csv,0.05133844166994095,844
760,ranked_914.csv,0.05127426236867905,914
914,ranked_329.csv,0.05117363482713699,329
515,ranked_816.csv,0.050847284495830536,816
704,ranked_302.csv,0.050756461918354034,302
283,ranked_562.csv,0.050736963748931885,562
423,ranked_899.csv,0.05071254074573517,899
4,ranked_377.csv,0.0506867915391922,377
385,ranked_280.csv,0.05061931163072586,280
514,ranked_201.csv,0.05059275031089783,201
962,ranked_429.csv,0.050550058484077454,429
508,ranked_282.csv,0.050456032156944275,282
971,ranked_383.csv,0.05042647570371628,383
156,ranked_348.csv,0.050405457615852356,348
822,ranked_198.csv,0.05040339380502701,198
353,ranked_935.csv,0.05037911236286163,935
571,ranked_649.csv,0.05034805089235306,649
654,ranked_826.csv,0.050343990325927734,826
392,ranked_306.csv,0.05025925487279892,306
299,ranked_984.csv,0.05024880915880203,984
12,ranked_214.csv,0.05024348199367523,214
30,ranked_794.csv,0.0501880869269371,794
459,ranked_156.csv,0.05015178024768829,156
375,ranked_915.csv,0.0500638410449028,915
152,ranked_309.csv,0.05002827197313309,309
303,ranked_147.csv,0.04996030777692795,147
352,ranked_472.csv,0.04992938041687012,472
477,ranked_267.csv,0.04988439381122589,267
230,ranked_204.csv,0.049873992800712585,204
268,ranked_449.csv,0.049845047295093536,449
858,ranked_795.csv,0.04976677894592285,795
923,ranked_823.csv,0.0496925488114357,823
229,ranked_403.csv,0.04966586083173752,403
827,ranked_534.csv,0.049635447561740875,534
965,ranked_885.csv,0.04963374137878418,885
575,ranked_669.csv,0.04942445456981659,669
141,ranked_345.csv,0.04933746159076691,345
698,ranked_126.csv,0.04931081086397171,126
15,ranked_859.csv,0.04916071891784668,859
449,ranked_153.csv,0.04914648085832596,153
619,ranked_644.csv,0.04912937432527542,644
297,ranked_607.csv,0.04905252903699875,607
708,ranked_173.csv,0.048970237374305725,173
122,ranked_152.csv,0.04894368350505829,152
202,ranked_617.csv,0.04890250414609909,617
154,ranked_172.csv,0.04886530339717865,172
200,ranked_161.csv,0.04885586351156235,161
556,ranked_212.csv,0.04884956032037735,212
968,ranked_150.csv,0.04882815480232239,150
987,ranked_177.csv,0.04881363362073898,177
922,ranked_145.csv,0.0487973615527153,145
402,ranked_190.csv,0.04878336936235428,190
540,ranked_113.csv,0.04878266900777817,113
341,ranked_215.csv,0.04877419024705887,215
924,ranked_186.csv,0.04875686764717102,186
59,ranked_668.csv,0.048735857009887695,668
489,ranked_315.csv,0.04871438443660736,315
491,ranked_154.csv,0.048706598579883575,154
682,ranked_737.csv,0.048699647188186646,737
496,ranked_529.csv,0.04869373142719269,529
263,ranked_188.csv,0.04868736118078232,188
937,ranked_264.csv,0.04868298023939133,264
82,ranked_723.csv,0.048671454191207886,723
763,ranked_916.csv,0.048669420182704926,916
918,ranked_726.csv,0.048665016889572144,726
163,ranked_848.csv,0.04865299165248871,848
167,ranked_199.csv,0.04863940179347992,199
697,ranked_620.csv,0.04862239211797714,620
931,ranked_710.csv,0.048612773418426514,710
187,ranked_634.csv,0.048612430691719055,634
789,ranked_681.csv,0.04858016222715378,681
138,ranked_123.csv,0.0485624223947525,123
92,ranked_747.csv,0.04854173958301544,747
542,ranked_645.csv,0.04853132367134094,645
774,ranked_718.csv,0.048521652817726135,718
742,ranked_239.csv,0.04849696904420853,239
350,ranked_363.csv,0.04842168092727661,363
710,ranked_661.csv,0.048373743891716,661
97,ranked_572.csv,0.04835256189107895,572
87,ranked_728.csv,0.04835060238838196,728
915,ranked_707.csv,0.04830621927976608,707
257,ranked_670.csv,0.048305146396160126,670
709,ranked_611.csv,0.04827851057052612,611
663,ranked_732.csv,0.04825180023908615,732
101,ranked_677.csv,0.048242680728435516,677
142,ranked_735.csv,0.04822481423616409,735
362,ranked_142.csv,0.04821018874645233,142
655,ranked_395.csv,0.048208318650722504,395
977,ranked_936.csv,0.04820413887500763,936
179,ranked_695.csv,0.04820239543914795,695
109,ranked_687.csv,0.04820229113101959,687
630,ranked_693.csv,0.048200517892837524,693
261,ranked_322.csv,0.04819878190755844,322
84,ranked_651.csv,0.04819844663143158,651
837,ranked_860.csv,0.04817532002925873,860
460,ranked_174.csv,0.04816127568483353,174
608,ranked_364.csv,0.04815901070833206,364
434,ranked_721.csv,0.048157475888729095,721
432,ranked_445.csv,0.048127368092536926,445
519,ranked_346.csv,0.04812433570623398,346
24,ranked_698.csv,0.04806990921497345,698
593,ranked_903.csv,0.0480659157037735,903
450,ranked_862.csv,0.04805358499288559,862
38,ranked_702.csv,0.04803591966629028,702
863,ranked_706.csv,0.04802641272544861,706
838,ranked_452.csv,0.048006340861320496,452
295,ranked_648.csv,0.04800388962030411,648
517,ranked_955.csv,0.04800163954496384,955
331,ranked_730.csv,0.047993458807468414,730
56,ranked_373.csv,0.0479637086391449,373
994,ranked_612.csv,0.047963447868824005,612
659,ranked_713.csv,0.04796049743890762,713
981,ranked_144.csv,0.04794250428676605,144
548,ranked_729.csv,0.0478726401925087,729
247,ranked_478.csv,0.047865986824035645,478
970,ranked_715.csv,0.04785124212503433,715
226,ranked_691.csv,0.047790221869945526,691
884,ranked_658.csv,0.047757573425769806,658
828,ranked_621.csv,0.047706685960292816,621
665,ranked_679.csv,0.04769645631313324,679
132,ranked_709.csv,0.047682493925094604,709
86,ranked_498.csv,0.047650255262851715,498
756,ranked_722.csv,0.04758594185113907,722
646,ranked_686.csv,0.04758068174123764,686
976,ranked_441.csv,0.047525741159915924,441
228,ranked_676.csv,0.047489672899246216,676
467,ranked_771.csv,0.047479912638664246,771
359,ranked_436.csv,0.04745756834745407,436
165,ranked_664.csv,0.047454431653022766,664
52,ranked_727.csv,0.04744083434343338,727
854,ranked_654.csv,0.047439657151699066,654
670,ranked_875.csv,0.04741016775369644,875
112,ranked_712.csv,0.04737447202205658,712
611,ranked_957.csv,0.047354765236377716,957
178,ranked_640.csv,0.04727841913700104,640
58,ranked_556.csv,0.047243498265743256,556
334,ranked_684.csv,0.0472196489572525,684
692,ranked_864.csv,0.04721757024526596,864
269,ranked_594.csv,0.047198355197906494,594
121,ranked_407.csv,0.04718884080648422,407
427,ranked_178.csv,0.04718603938817978,178
351,ranked_636.csv,0.04717195779085159,636
326,ranked_447.csv,0.04716327041387558,447
435,ranked_591.csv,0.04716324806213379,591
526,ranked_424.csv,0.04715922474861145,424
572,ranked_674.csv,0.04713508486747742,674
645,ranked_770.csv,0.047119058668613434,770
705,ranked_755.csv,0.04709789901971817,755
380,ranked_696.csv,0.04709266126155853,696
195,ranked_970.csv,0.047091513872146606,970
102,ranked_637.csv,0.04706253856420517,637
237,ranked_641.csv,0.04704558104276657,641
126,ranked_108.csv,0.04703173786401749,108
253,ranked_248.csv,0.04700186103582382,248
996,ranked_470.csv,0.04696530103683472,470
374,ranked_772.csv,0.04696076363325119,772
582,ranked_129.csv,0.04693944752216339,129
842,ranked_736.csv,0.04692220687866211,736
396,ranked_107.csv,0.04691720008850098,107
840,ranked_614.csv,0.046902500092983246,614
209,ranked_694.csv,0.04688084125518799,694
