,CSV Name,Prediction Value,AlphaRank
757,ranked_835.csv,0.3615822494029999,835
336,ranked_776.csv,0.32739514112472534,776
705,ranked_755.csv,0.3152688145637512,755
486,ranked_983.csv,0.3041646182537079,983
659,ranked_713.csv,0.30187171697616577,713
440,ranked_675.csv,0.3006780743598938,675
986,ranked_933.csv,0.28929954767227173,933
497,ranked_792.csv,0.2715618312358856,792
338,ranked_558.csv,0.26604148745536804,558
461,ranked_665.csv,0.2643715739250183,665
113,ranked_689.csv,0.26324164867401123,689
525,ranked_852.csv,0.2611410319805145,852
648,ranked_856.csv,0.2605145275592804,856
647,ranked_578.csv,0.25957638025283813,578
539,ranked_672.csv,0.25287115573883057,672
109,ranked_687.csv,0.24882620573043823,687
343,ranked_542.csv,0.24575848877429962,542
225,ranked_455.csv,0.24330587685108185,455
803,ranked_855.csv,0.2423187792301178,855
92,ranked_747.csv,0.23678366839885712,747
734,ranked_944.csv,0.22913354635238647,944
142,ranked_735.csv,0.22601835429668427,735
416,ranked_564.csv,0.22478516399860382,564
715,ranked_842.csv,0.2247559279203415,842
98,ranked_981.csv,0.21683481335639954,981
671,ranked_849.csv,0.21632051467895508,849
865,ranked_599.csv,0.21475574374198914,599
94,ranked_433.csv,0.2143208533525467,433
965,ranked_885.csv,0.20880427956581116,885
563,ranked_829.csv,0.20826566219329834,829
885,ranked_924.csv,0.20814460515975952,924
532,ranked_946.csv,0.20758062601089478,946
264,ranked_952.csv,0.2074163407087326,952
240,ranked_217.csv,0.20735064148902893,217
567,ranked_82.csv,0.20680704712867737,82
204,ranked_923.csv,0.20538614690303802,923
612,ranked_978.csv,0.20336781442165375,978
503,ranked_519.csv,0.20150479674339294,519
970,ranked_715.csv,0.2004714012145996,715
352,ranked_472.csv,0.20003923773765564,472
950,ranked_865.csv,0.1968337744474411,865
492,ranked_626.csv,0.1936168670654297,626
599,ranked_46.csv,0.19339783489704132,46
817,ranked_851.csv,0.1933612823486328,851
676,ranked_869.csv,0.19152885675430298,869
513,ranked_577.csv,0.19144174456596375,577
920,ranked_567.csv,0.19094952940940857,567
673,ranked_871.csv,0.18925319612026215,871
670,ranked_875.csv,0.18772432208061218,875
596,ranked_666.csv,0.1868085265159607,666
745,ranked_880.csv,0.1863652914762497,880
851,ranked_703.csv,0.18447230756282806,703
117,ranked_982.csv,0.18355455994606018,982
26,ranked_988.csv,0.1835181564092636,988
157,ranked_550.csv,0.18277813494205475,550
714,ranked_883.csv,0.18091991543769836,883
937,ranked_264.csv,0.18073850870132446,264
472,ranked_609.csv,0.1796424835920334,609
110,ranked_489.csv,0.17939119040966034,489
414,ranked_904.csv,0.17891211807727814,904
227,ranked_559.csv,0.1786479353904724,559
187,ranked_634.csv,0.17724385857582092,634
311,ranked_237.csv,0.17647111415863037,237
295,ranked_648.csv,0.1762855350971222,648
329,ranked_585.csv,0.1759212613105774,585
379,ranked_643.csv,0.17514699697494507,643
521,ranked_590.csv,0.1743268370628357,590
910,ranked_764.csv,0.17408931255340576,764
405,ranked_685.csv,0.17378057539463043,685
516,ranked_921.csv,0.17306353151798248,921
320,ranked_516.csv,0.17282900214195251,516
683,ranked_58.csv,0.17202872037887573,58
162,ranked_503.csv,0.17195388674736023,503
696,ranked_580.csv,0.171784907579422,580
810,ranked_951.csv,0.17163580656051636,951
635,ranked_566.csv,0.17093293368816376,566
787,ranked_102.csv,0.17063884437084198,102
919,ranked_748.csv,0.17025411128997803,748
542,ranked_645.csv,0.17013736069202423,645
619,ranked_644.csv,0.1699293702840805,644
801,ranked_683.csv,0.16849572956562042,683
562,ranked_872.csv,0.16808559000492096,872
309,ranked_225.csv,0.16806787252426147,225
903,ranked_956.csv,0.16777797043323517,956
230,ranked_204.csv,0.1675136387348175,204
748,ranked_751.csv,0.1674269288778305,751
925,ranked_673.csv,0.1664583683013916,673
644,ranked_934.csv,0.16638000309467316,934
692,ranked_864.csv,0.1663518249988556,864
820,ranked_213.csv,0.16595736145973206,213
342,ranked_117.csv,0.16569644212722778,117
155,ranked_135.csv,0.16557276248931885,135
590,ranked_881.csv,0.16537706553936005,881
193,ranked_652.csv,0.1643795669078827,652
40,ranked_743.csv,0.16417641937732697,743
718,ranked_443.csv,0.16392427682876587,443
58,ranked_556.csv,0.16377264261245728,556
825,ranked_56.csv,0.16374215483665466,56
360,ranked_913.csv,0.16321590542793274,913
408,ranked_910.csv,0.1627979427576065,910
998,ranked_897.csv,0.16277436912059784,897
366,ranked_725.csv,0.16265904903411865,725
994,ranked_612.csv,0.1626126915216446,612
235,ranked_439.csv,0.16211576759815216,439
138,ranked_123.csv,0.1620185673236847,123
815,ranked_561.csv,0.1607489436864853,561
675,ranked_845.csv,0.159845769405365,845
158,ranked_576.csv,0.15954996645450592,576
266,ranked_273.csv,0.159316748380661,273
952,ranked_909.csv,0.1589445173740387,909
531,ranked_805.csv,0.1581047624349594,805
270,ranked_716.csv,0.15735909342765808,716
59,ranked_668.csv,0.15712763369083405,668
747,ranked_947.csv,0.15698353946208954,947
609,ranked_901.csv,0.15641964972019196,901
663,ranked_732.csv,0.1563093662261963,732
550,ranked_847.csv,0.15567301213741302,847
288,ranked_630.csv,0.15549634397029877,630
127,ranked_973.csv,0.1553492397069931,973
526,ranked_424.csv,0.1553037017583847,424
606,ranked_760.csv,0.15519608557224274,760
68,ranked_998.csv,0.15513111650943756,998
455,ranked_541.csv,0.1537824422121048,541
105,ranked_100.csv,0.1536366045475006,100
721,ranked_889.csv,0.15341612696647644,889
709,ranked_611.csv,0.1531851589679718,611
697,ranked_620.csv,0.1531585156917572,620
802,ranked_896.csv,0.1530628204345703,896
383,ranked_812.csv,0.1523517519235611,812
413,ranked_828.csv,0.1521809995174408,828
161,ranked_389.csv,0.15207462012767792,389
779,ranked_759.csv,0.15191280841827393,759
517,ranked_955.csv,0.151018425822258,955
926,ranked_146.csv,0.15073533356189728,146
251,ranked_638.csv,0.1506848782300949,638
485,ranked_513.csv,0.14999450743198395,513
180,ranked_137.csv,0.14948219060897827,137
853,ranked_77.csv,0.1486792266368866,77
64,ranked_488.csv,0.147905170917511,488
79,ranked_619.csv,0.1472887545824051,619
730,ranked_779.csv,0.1471458524465561,779
587,ranked_484.csv,0.1467956155538559,484
181,ranked_87.csv,0.14665734767913818,87
347,ranked_969.csv,0.1464889794588089,969
93,ranked_769.csv,0.14642147719860077,769
637,ranked_587.csv,0.14557653665542603,587
451,ranked_821.csv,0.14470568299293518,821
48,ranked_563.csv,0.14464227855205536,563
633,ranked_789.csv,0.14386865496635437,789
884,ranked_658.csv,0.14380627870559692,658
740,ranked_370.csv,0.14299549162387848,370
859,ranked_557.csv,0.14272592961788177,557
19,ranked_527.csv,0.14231915771961212,527
471,ranked_328.csv,0.14141881465911865,328
766,ranked_783.csv,0.14096130430698395,783
335,ranked_520.csv,0.1408972591161728,520
150,ranked_200.csv,0.1407204568386078,200
493,ranked_510.csv,0.14015254378318787,510
454,ranked_80.csv,0.14009426534175873,80
