,CSV Name,Prediction Value,AlphaRank
803,ranked_855.csv,0.20488902926445007,855
537,ranked_830.csv,0.20475739240646362,830
193,ranked_652.csv,0.20005422830581665,652
647,ranked_578.csv,0.19334180653095245,578
675,ranked_845.csv,0.19168204069137573,845
477,ranked_267.csv,0.1897263526916504,267
714,ranked_883.csv,0.18915316462516785,883
116,ranked_277.csv,0.18747761845588684,277
224,ranked_325.csv,0.18662111461162567,325
768,ranked_480.csv,0.18629717826843262,480
969,ranked_768.csv,0.18629546463489532,768
408,ranked_910.csv,0.18456721305847168,910
277,ranked_469.csv,0.1843903511762619,469
249,ranked_291.csv,0.18217024207115173,291
113,ranked_689.csv,0.18191076815128326,689
417,ranked_293.csv,0.18153032660484314,293
406,ranked_831.csv,0.1814040094614029,831
375,ranked_915.csv,0.1795210987329483,915
658,ranked_497.csv,0.17917758226394653,497
908,ranked_493.csv,0.17851169407367706,493
979,ranked_400.csv,0.177699476480484,400
791,ranked_598.csv,0.17758505046367645,598
434,ranked_721.csv,0.17703959345817566,721
407,ranked_965.csv,0.17594407498836517,965
129,ranked_422.csv,0.17523236572742462,422
233,ranked_321.csv,0.17510700225830078,321
85,ranked_427.csv,0.1747395545244217,427
278,ranked_417.csv,0.17386333644390106,417
75,ranked_942.csv,0.17341968417167664,942
1,ranked_931.csv,0.173174187541008,931
573,ranked_334.csv,0.1731204390525818,334
324,ranked_758.csv,0.17309075593948364,758
436,ranked_802.csv,0.17145848274230957,802
973,ranked_169.csv,0.17140915989875793,169
860,ranked_958.csv,0.170617014169693,958
312,ranked_369.csv,0.17051470279693604,369
867,ranked_265.csv,0.16912588477134705,265
86,ranked_498.csv,0.16829949617385864,498
303,ranked_147.csv,0.1677456945180893,147
524,ranked_960.csv,0.16695529222488403,960
615,ranked_462.csv,0.16682298481464386,462
295,ranked_648.csv,0.16468508541584015,648
546,ranked_361.csv,0.16436009109020233,361
999,ranked_323.csv,0.16424688696861267,323
245,ranked_331.csv,0.16359694302082062,331
184,ranked_434.csv,0.16318710148334503,434
909,ranked_827.csv,0.16314111649990082,827
661,ranked_244.csv,0.16274048388004303,244
322,ranked_338.csv,0.1624542474746704,338
161,ranked_389.csv,0.16185343265533447,389
106,ranked_593.csv,0.16137179732322693,593
346,ranked_825.csv,0.16137081384658813,825
306,ranked_540.csv,0.16091644763946533,540
260,ranked_629.csv,0.16062229871749878,629
895,ranked_536.csv,0.1601881980895996,536
428,ranked_506.csv,0.15921132266521454,506
70,ranked_423.csv,0.1585153043270111,423
648,ranked_856.csv,0.1580251008272171,856
172,ranked_238.csv,0.15797185897827148,238
819,ranked_175.csv,0.1578572392463684,175
98,ranked_981.csv,0.1572825014591217,981
856,ranked_907.csv,0.15720537304878235,907
963,ranked_780.csv,0.15622775256633759,780
78,ranked_886.csv,0.15508097410202026,886
694,ranked_793.csv,0.15496516227722168,793
804,ranked_642.csv,0.15469759702682495,642
462,ranked_49.csv,0.15469101071357727,49
988,ranked_714.csv,0.1544789969921112,714
816,ranked_246.csv,0.15363481640815735,246
734,ranked_944.csv,0.15335069596767426,944
254,ranked_990.csv,0.15302774310112,990
594,ranked_879.csv,0.15279607474803925,879
214,ranked_330.csv,0.1526506543159485,330
892,ranked_680.csv,0.15246544778347015,680
562,ranked_872.csv,0.1520334929227829,872
952,ranked_909.csv,0.15196552872657776,909
652,ranked_288.csv,0.1519518494606018,288
746,ranked_263.csv,0.15170042216777802,263
226,ranked_691.csv,0.15155375003814697,691
395,ranked_374.csv,0.15155115723609924,374
978,ranked_752.csv,0.1514611542224884,752
657,ranked_125.csv,0.151005819439888,125
779,ranked_759.csv,0.15098807215690613,759
589,ranked_124.csv,0.15092088282108307,124
656,ranked_991.csv,0.15066872537136078,991
308,ranked_890.csv,0.15011845529079437,890
672,ranked_555.csv,0.14992478489875793,555
733,ranked_659.csv,0.14976973831653595,659
925,ranked_673.csv,0.14971992373466492,673
724,ranked_270.csv,0.14910663664340973,270
954,ranked_143.csv,0.14855220913887024,143
991,ranked_28.csv,0.14807996153831482,28
858,ranked_795.csv,0.14777201414108276,795
134,ranked_975.csv,0.1472727507352829,975
752,ranked_800.csv,0.1470681130886078,800
748,ranked_751.csv,0.1467452496290207,751
42,ranked_528.csv,0.14663471281528473,528
742,ranked_239.csv,0.14656786620616913,239
21,ranked_959.csv,0.1465461701154709,959
890,ranked_757.csv,0.14638662338256836,757
637,ranked_587.csv,0.14617614448070526,587
92,ranked_747.csv,0.14604948461055756,747
286,ranked_300.csv,0.14603139460086823,300
516,ranked_921.csv,0.1460077166557312,921
580,ranked_285.csv,0.14592571556568146,285
815,ranked_561.csv,0.1459227204322815,561
879,ranked_318.csv,0.14583034813404083,318
255,ranked_450.csv,0.14552979171276093,450
996,ranked_470.csv,0.14537253975868225,470
127,ranked_973.csv,0.1453501582145691,973
350,ranked_363.csv,0.14534525573253632,363
388,ranked_482.csv,0.1450296938419342,482
800,ranked_303.csv,0.14480634033679962,303
8,ranked_995.csv,0.1441638469696045,995
370,ranked_20.csv,0.14413848519325256,20
553,ranked_354.csv,0.1439530998468399,354
877,ranked_278.csv,0.1438899040222168,278
914,ranked_329.csv,0.14386789500713348,329
620,ranked_249.csv,0.14353828132152557,249
51,ranked_399.csv,0.14352987706661224,399
543,ranked_336.csv,0.14324261248111725,336
132,ranked_709.csv,0.14320972561836243,709
302,ranked_571.csv,0.14310021698474884,571
799,ranked_224.csv,0.1430264562368393,224
510,ranked_197.csv,0.14290957152843475,197
422,ranked_286.csv,0.14276635646820068,286
319,ranked_972.csv,0.14267407357692719,972
208,ranked_194.csv,0.1425580233335495,194
775,ranked_813.csv,0.14205791056156158,813
460,ranked_174.csv,0.1420462280511856,174
881,ranked_266.csv,0.14204096794128418,266
720,ranked_428.csv,0.14188015460968018,428
950,ranked_865.csv,0.14178963005542755,865
80,ranked_785.csv,0.14175841212272644,785
229,ranked_403.csv,0.14175017178058624,403
992,ranked_560.csv,0.14170514047145844,560
813,ranked_976.csv,0.1416325718164444,976
762,ranked_688.csv,0.14149872958660126,688
809,ranked_660.csv,0.14144377410411835,660
504,ranked_352.csv,0.14143913984298706,352
421,ranked_158.csv,0.14135900139808655,158
790,ranked_236.csv,0.14116956293582916,236
156,ranked_348.csv,0.14113445580005646,348
140,ranked_494.csv,0.1411018669605255,494
703,ranked_251.csv,0.14103911817073822,251
236,ranked_162.csv,0.14073939621448517,162
680,ranked_980.csv,0.14049887657165527,980
502,ranked_89.csv,0.14049232006072998,89
217,ranked_404.csv,0.1404632180929184,404
402,ranked_190.csv,0.14043420553207397,190
420,ranked_365.csv,0.1403104066848755,365
985,ranked_262.csv,0.14028936624526978,262
737,ranked_396.csv,0.13996513187885284,396
489,ranked_315.csv,0.13994662463665009,315
670,ranked_875.csv,0.13986103236675262,875
485,ranked_513.csv,0.13982601463794708,513
25,ranked_241.csv,0.1397780030965805,241
579,ranked_256.csv,0.13973544538021088,256
144,ranked_208.csv,0.1395779848098755,208
153,ranked_544.csv,0.1394864320755005,544
279,ranked_394.csv,0.1394565999507904,394
130,ranked_967.csv,0.1392870396375656,967
362,ranked_142.csv,0.13918662071228027,142
469,ranked_375.csv,0.13910338282585144,375
528,ranked_110.csv,0.1390955001115799,110
853,ranked_77.csv,0.13899345695972443,77
926,ranked_146.csv,0.1389881670475006,146
318,ranked_317.csv,0.13886502385139465,317
152,ranked_309.csv,0.13865739107131958,309
