,CSV Name,Prediction Value,AlphaRank
318,ranked_317.csv,0.11932630091905594,317
834,ranked_118.csv,0.1179458275437355,118
627,ranked_366.csv,0.11569484323263168,366
9,ranked_359.csv,0.11226510256528854,359
973,ranked_169.csv,0.11085037142038345,169
242,ranked_180.csv,0.11008386313915253,180
173,ranked_193.csv,0.10982409864664078,193
608,ranked_364.csv,0.10672453790903091,364
88,ranked_378.csv,0.10562048107385635,378
929,ranked_272.csv,0.10472002625465393,272
838,ranked_452.csv,0.104639433324337,452
600,ranked_512.csv,0.10360585898160934,512
38,ranked_702.csv,0.1030021533370018,702
366,ranked_725.csv,0.10035121440887451,725
234,ranked_838.csv,0.10026814043521881,838
47,ranked_517.csv,0.09995449334383011,517
380,ranked_696.csv,0.09924619644880295,696
33,ranked_220.csv,0.09922722727060318,220
772,ranked_625.csv,0.0988030806183815,625
230,ranked_204.csv,0.09858774393796921,204
636,ranked_344.csv,0.09846953302621841,344
248,ranked_271.csv,0.0984051376581192,271
859,ranked_557.csv,0.09829189628362656,557
270,ranked_716.csv,0.09821683168411255,716
966,ranked_749.csv,0.09814354032278061,749
835,ranked_627.csv,0.098122738301754,627
481,ranked_459.csv,0.09792306274175644,459
908,ranked_493.csv,0.09785787761211395,493
738,ranked_454.csv,0.09718441963195801,454
523,ranked_775.csv,0.096957266330719,775
662,ranked_252.csv,0.09665610641241074,252
358,ranked_763.csv,0.09656807780265808,763
902,ranked_922.csv,0.09652591496706009,922
489,ranked_315.csv,0.09632685780525208,315
761,ranked_207.csv,0.0960821807384491,207
339,ranked_461.csv,0.09551675617694855,461
25,ranked_241.csv,0.09548704326152802,241
334,ranked_684.csv,0.09532836079597473,684
91,ranked_229.csv,0.09512733668088913,229
44,ranked_756.csv,0.09500903636217117,756
827,ranked_534.csv,0.09491999447345734,534
81,ranked_906.csv,0.09422750025987625,906
661,ranked_244.csv,0.09400296956300735,244
702,ranked_451.csv,0.09378304332494736,451
577,ranked_531.csv,0.09376759082078934,531
968,ranked_150.csv,0.09370505064725876,150
659,ranked_713.csv,0.09364671260118484,713
913,ranked_408.csv,0.09332668036222458,408
303,ranked_147.csv,0.09272727370262146,147
773,ranked_854.csv,0.09266182035207748,854
498,ranked_298.csv,0.09242934733629227,298
915,ranked_707.csv,0.09228778630495071,707
698,ranked_126.csv,0.09215714782476425,126
228,ranked_676.csv,0.09207821637392044,676
196,ranked_791.csv,0.09198299050331116,791
728,ranked_442.csv,0.09191428124904633,442
797,ranked_533.csv,0.0917942151427269,533
34,ranked_993.csv,0.09168073534965515,993
460,ranked_174.csv,0.09126811474561691,174
58,ranked_556.csv,0.09119632840156555,556
278,ranked_417.csv,0.0911477580666542,417
443,ranked_456.csv,0.09091579169034958,456
642,ranked_833.csv,0.0908035859465599,833
345,ranked_381.csv,0.09049870073795319,381
645,ranked_770.csv,0.09040151536464691,770
775,ranked_813.csv,0.09039084613323212,813
211,ranked_790.csv,0.08997156471014023,790
611,ranked_957.csv,0.08988992124795914,957
159,ranked_189.csv,0.08969171345233917,189
638,ranked_582.csv,0.0894484668970108,582
760,ranked_914.csv,0.0890740379691124,914
937,ranked_264.csv,0.08895556628704071,264
438,ranked_997.csv,0.08877257257699966,997
265,ranked_164.csv,0.08841924369335175,164
362,ranked_142.csv,0.08839099854230881,142
551,ranked_992.csv,0.08833947032690048,992
720,ranked_428.csv,0.08832535892724991,428
458,ranked_565.csv,0.08722493052482605,565
174,ranked_269.csv,0.08684172481298447,269
176,ranked_166.csv,0.08671960979700089,166
139,ranked_410.csv,0.08665769547224045,410
15,ranked_859.csv,0.08640055358409882,859
737,ranked_396.csv,0.08635213226079941,396
849,ranked_882.csv,0.08629994839429855,882
482,ranked_342.csv,0.08609655499458313,342
206,ranked_948.csv,0.08604209870100021,948
243,ranked_468.csv,0.08582333475351334,468
993,ranked_817.csv,0.08543503284454346,817
178,ranked_640.csv,0.08528518676757812,640
241,ranked_466.csv,0.08512235432863235,466
