,CSV Name,Prediction Value,AlphaRank
55,ranked_476.csv,0.1692190170288086,476
71,ranked_894.csv,0.1633860170841217,894
936,ranked_386.csv,0.16258731484413147,386
70,ranked_423.csv,0.16153670847415924,423
526,ranked_424.csv,0.16077940165996552,424
646,ranked_686.csv,0.14847898483276367,686
580,ranked_285.csv,0.14698851108551025,285
743,ranked_615.csv,0.1466902196407318,615
852,ranked_699.csv,0.1308165043592453,699
79,ranked_619.csv,0.12839224934577942,619
85,ranked_427.csv,0.12749134004116058,427
162,ranked_503.csv,0.12662631273269653,503
38,ranked_702.csv,0.1263325959444046,702
931,ranked_710.csv,0.1250714361667633,710
464,ranked_575.csv,0.1224062368273735,575
27,ranked_632.csv,0.12082439661026001,632
766,ranked_783.csv,0.11649692803621292,783
254,ranked_990.csv,0.11566959321498871,990
112,ranked_712.csv,0.11458539217710495,712
24,ranked_698.csv,0.11422265321016312,698
152,ranked_309.csv,0.1135425940155983,309
578,ranked_437.csv,0.11174806952476501,437
915,ranked_707.csv,0.10912159085273743,707
84,ranked_651.csv,0.1086779460310936,651
169,ranked_568.csv,0.10859157145023346,568
870,ranked_274.csv,0.10692217946052551,274
447,ranked_250.csv,0.10408755391836166,250
804,ranked_642.csv,0.10321024805307388,642
814,ranked_76.csv,0.10149417072534561,76
847,ranked_509.csv,0.10111045837402344,509
698,ranked_126.csv,0.10007993131875992,126
851,ranked_703.csv,0.09921935945749283,703
243,ranked_468.csv,0.09907133132219315,468
719,ranked_663.csv,0.09852693229913712,663
363,ranked_355.csv,0.09841013699769974,355
750,ranked_608.csv,0.09823203831911087,608
802,ranked_896.csv,0.09816793352365494,896
920,ranked_567.csv,0.09743692725896835,567
454,ranked_80.csv,0.09742379188537598,80
320,ranked_516.csv,0.09741188585758209,516
365,ranked_446.csv,0.09723611176013947,446
628,ranked_27.csv,0.09670659899711609,27
455,ranked_541.csv,0.09648338705301285,541
233,ranked_321.csv,0.09632179141044617,321
473,ranked_930.csv,0.09593366831541061,930
471,ranked_328.csv,0.09460603445768356,328
397,ranked_604.csv,0.09310965985059738,604
771,ranked_115.csv,0.09213294833898544,115
448,ranked_233.csv,0.09082189202308655,233
126,ranked_108.csv,0.08865779638290405,108
425,ranked_294.csv,0.08825670927762985,294
282,ranked_191.csv,0.0878327488899231,191
192,ranked_69.csv,0.08770126849412918,69
993,ranked_817.csv,0.08766009658575058,817
784,ranked_711.csv,0.08666827529668808,711
636,ranked_344.csv,0.08635227382183075,344
699,ranked_887.csv,0.08617208898067474,887
200,ranked_161.csv,0.08592735975980759,161
871,ranked_51.csv,0.08577757328748703,51
173,ranked_193.csv,0.08487573266029358,193
822,ranked_198.csv,0.08481639623641968,198
947,ranked_866.csv,0.08464328944683075,866
57,ranked_340.csv,0.08391297608613968,340
941,ranked_259.csv,0.08377482742071152,259
342,ranked_117.csv,0.083685003221035,117
248,ranked_271.csv,0.08328218013048172,271
385,ranked_280.csv,0.08297077566385269,280
308,ranked_890.csv,0.08134230971336365,890
917,ranked_227.csv,0.08083030581474304,227
715,ranked_842.csv,0.08057999610900879,842
218,ranked_495.csv,0.0804627388715744,495
403,ranked_918.csv,0.08041682094335556,918
154,ranked_172.csv,0.0801556333899498,172
114,ranked_487.csv,0.0801071897149086,487
788,ranked_368.csv,0.07986601442098618,368
260,ranked_629.csv,0.07982948422431946,629
256,ranked_37.csv,0.07940853387117386,37
856,ranked_907.csv,0.07929185777902603,907
122,ranked_152.csv,0.07928978651762009,152
586,ranked_502.csv,0.07917092740535736,502
210,ranked_518.csv,0.0790034607052803,518
235,ranked_439.csv,0.07889008522033691,439
379,ranked_643.csv,0.07868080586194992,643
809,ranked_660.csv,0.07858044654130936,660
702,ranked_451.csv,0.07788510620594025,451
382,ranked_656.csv,0.07783625274896622,656
591,ranked_155.csv,0.07721789926290512,155
263,ranked_188.csv,0.07720938324928284,188
627,ranked_366.csv,0.07707233726978302,366
305,ranked_524.csv,0.07688166201114655,524
742,ranked_239.csv,0.07673907279968262,239
35,ranked_402.csv,0.07658085227012634,402
240,ranked_217.csv,0.07625561952590942,217
712,ranked_535.csv,0.07569215446710587,535
926,ranked_146.csv,0.07564327865839005,146
746,ranked_263.csv,0.07531595230102539,263
561,ranked_78.csv,0.07524020224809647,78
995,ranked_662.csv,0.07519663870334625,662
924,ranked_186.csv,0.07502730190753937,186
421,ranked_158.csv,0.07494421303272247,158
797,ranked_533.csv,0.07456193119287491,533
232,ranked_209.csv,0.07438236474990845,209
50,ranked_705.csv,0.07415301352739334,705
404,ranked_170.csv,0.07402274757623672,170
164,ranked_122.csv,0.07363610714673996,122
816,ranked_246.csv,0.07363001257181168,246
819,ranked_175.csv,0.07344010472297668,175
295,ranked_648.csv,0.07338690012693405,648
621,ranked_116.csv,0.07308023422956467,116
53,ranked_618.csv,0.07289580255746841,618
452,ranked_228.csv,0.0725574865937233,228
129,ranked_422.csv,0.0719727873802185,422
545,ranked_247.csv,0.07186837494373322,247
996,ranked_470.csv,0.07144451141357422,470
412,ranked_240.csv,0.07110418379306793,240
197,ranked_221.csv,0.07105846703052521,221
377,ranked_112.csv,0.07029091566801071,112
968,ranked_150.csv,0.0702688917517662,150
491,ranked_154.csv,0.07022957503795624,154
474,ranked_184.csv,0.07020335644483566,184
946,ranked_418.csv,0.06984218209981918,418
609,ranked_901.csv,0.06909964978694916,901
793,ranked_196.csv,0.06860917061567307,196
376,ranked_157.csv,0.06803315877914429,157
141,ranked_345.csv,0.06778383255004883,345
865,ranked_599.csv,0.06771089136600494,599
789,ranked_681.csv,0.06769392639398575,681
540,ranked_113.csv,0.06760428100824356,113
478,ranked_552.csv,0.0673559233546257,552
504,ranked_352.csv,0.06694743037223816,352
815,ranked_561.csv,0.06680738180875778,561
826,ranked_628.csv,0.06662897020578384,628
758,ranked_504.csv,0.06656618416309357,504
801,ranked_683.csv,0.06634169816970825,683
19,ranked_527.csv,0.06601458042860031,527
