,CSV Name,Prediction Value,AlphaRank
336,ranked_776.csv,0.330994188785553,776
424,ranked_917.csv,0.32849326729774475,917
905,ranked_745.csv,0.29446738958358765,745
79,ranked_619.csv,0.28528326749801636,619
11,ranked_671.csv,0.27149298787117004,671
760,ranked_914.csv,0.2685558795928955,914
692,ranked_864.csv,0.2654109299182892,864
884,ranked_658.csv,0.2614157199859619,658
101,ranked_677.csv,0.2542802691459656,677
85,ranked_427.csv,0.24499939382076263,427
256,ranked_37.csv,0.244052916765213,37
515,ranked_816.csv,0.24364396929740906,816
705,ranked_755.csv,0.2376871258020401,755
286,ranked_300.csv,0.23511680960655212,300
758,ranked_504.csv,0.23499201238155365,504
635,ranked_566.csv,0.23295439779758453,566
15,ranked_859.csv,0.232224702835083,859
856,ranked_907.csv,0.2314024120569229,907
801,ranked_683.csv,0.2301560789346695,683
514,ranked_201.csv,0.22826986014842987,201
27,ranked_632.csv,0.22518828511238098,632
978,ranked_752.csv,0.22498084604740143,752
497,ranked_792.csv,0.22286419570446014,792
823,ranked_857.csv,0.22056861221790314,857
543,ranked_336.csv,0.21565018594264984,336
28,ranked_74.csv,0.21519708633422852,74
545,ranked_247.csv,0.21306507289409637,247
830,ranked_920.csv,0.21277257800102234,920
745,ranked_880.csv,0.21239891648292542,880
935,ranked_421.csv,0.20779214799404144,421
929,ranked_272.csv,0.2070557028055191,272
483,ranked_733.csv,0.2069733440876007,733
985,ranked_262.csv,0.20637942850589752,262
652,ranked_288.csv,0.20616449415683746,288
874,ranked_243.csv,0.20587937533855438,243
558,ranked_595.csv,0.2048875391483307,595
917,ranked_227.csv,0.20478416979312897,227
527,ranked_811.csv,0.20469900965690613,811
534,ranked_766.csv,0.2038140743970871,766
276,ranked_384.csv,0.20355218648910522,384
643,ranked_807.csv,0.20346231758594513,807
492,ranked_626.csv,0.20229052007198334,626
298,ranked_803.csv,0.2020377367734909,803
910,ranked_764.csv,0.20165644586086273,764
877,ranked_278.csv,0.20035868883132935,278
588,ranked_206.csv,0.2001434564590454,206
142,ranked_735.csv,0.1999392807483673,735
65,ranked_511.csv,0.199283167719841,511
696,ranked_580.csv,0.19855374097824097,580
482,ranked_342.csv,0.19813822209835052,342
538,ranked_474.csv,0.19777172803878784,474
250,ranked_210.csv,0.19764642417430878,210
676,ranked_869.csv,0.1976020187139511,869
977,ranked_936.csv,0.19716621935367584,936
198,ranked_690.csv,0.19711264967918396,690
381,ranked_588.csv,0.19710186123847961,588
583,ranked_905.csv,0.1967092752456665,905
571,ranked_649.csv,0.1961376965045929,649
542,ranked_645.csv,0.19446046650409698,645
326,ranked_447.csv,0.19428883492946625,447
573,ranked_334.csv,0.1939162015914917,334
883,ranked_388.csv,0.19224140048027039,388
715,ranked_842.csv,0.1921541839838028,842
661,ranked_244.csv,0.19201357662677765,244
67,ranked_950.csv,0.1915484219789505,950
613,ranked_657.csv,0.19138982892036438,657
548,ranked_729.csv,0.19136184453964233,729
234,ranked_838.csv,0.191087007522583,838
404,ranked_170.csv,0.19085034728050232,170
132,ranked_709.csv,0.19077573716640472,709
811,ranked_900.csv,0.19063419103622437,900
472,ranked_609.csv,0.19009345769882202,609
450,ranked_862.csv,0.19003526866436005,862
259,ranked_762.csv,0.18954777717590332,762
932,ranked_782.csv,0.18846051394939423,782
505,ranked_810.csv,0.18845030665397644,810
481,ranked_459.csv,0.18823526799678802,459
346,ranked_825.csv,0.18777795135974884,825
867,ranked_265.csv,0.18774010241031647,265
844,ranked_301.csv,0.18772484362125397,301
485,ranked_513.csv,0.18759669363498688,513
761,ranked_207.csv,0.18754306435585022,207
690,ranked_841.csv,0.1875019073486328,841
541,ranked_853.csv,0.18740765750408173,853
440,ranked_675.csv,0.18731658160686493,675
979,ranked_400.csv,0.1870134323835373,400
507,ranked_276.csv,0.18674132227897644,276
111,ranked_530.csv,0.18662257492542267,530
188,ranked_290.csv,0.18621137738227844,290
294,ranked_479.csv,0.1851973682641983,479
57,ranked_340.csv,0.18485191464424133,340
560,ranked_275.csv,0.1841542273759842,275
897,ranked_385.csv,0.18407608568668365,385
69,ranked_700.csv,0.183881014585495,700
10,ranked_545.csv,0.1838173121213913,545
288,ranked_630.csv,0.1835610270500183,630
734,ranked_944.csv,0.18301354348659515,944
938,ranked_895.csv,0.18263745307922363,895
742,ranked_239.csv,0.1825941652059555,239
241,ranked_466.csv,0.18205209076404572,466
14,ranked_551.csv,0.18177855014801025,551
484,ranked_367.csv,0.18143951892852783,367
279,ranked_394.csv,0.18108516931533813,394
503,ranked_519.csv,0.18100562691688538,519
852,ranked_699.csv,0.18035154044628143,699
845,ranked_59.csv,0.18014055490493774,59
395,ranked_374.csv,0.1799798458814621,374
436,ranked_802.csv,0.17986001074314117,802
145,ranked_490.csv,0.17972004413604736,490
83,ranked_151.csv,0.17966672778129578,151
343,ranked_542.csv,0.17938420176506042,542
386,ranked_257.csv,0.1789277046918869,257
323,ranked_586.csv,0.17844904959201813,586
829,ranked_95.csv,0.17828385531902313,95
607,ranked_650.csv,0.17821113765239716,650
97,ranked_572.csv,0.17812156677246094,572
40,ranked_743.csv,0.17808879911899567,743
617,ranked_5.csv,0.17763350903987885,5
466,ranked_351.csv,0.17758718132972717,351
868,ranked_261.csv,0.177193284034729,261
956,ranked_787.csv,0.17710760235786438,787
238,ranked_61.csv,0.17688891291618347,61
955,ranked_68.csv,0.17687126994132996,68
242,ranked_180.csv,0.17686447501182556,180
467,ranked_771.csv,0.1767943799495697,771
251,ranked_638.csv,0.1765633523464203,638
825,ranked_56.csv,0.17654810845851898,56
934,ranked_927.csv,0.17650106549263,927
106,ranked_593.csv,0.17647051811218262,593
641,ranked_119.csv,0.17610852420330048,119
909,ranked_827.csv,0.1759198009967804,827
442,ranked_356.csv,0.17573639750480652,356
950,ranked_865.csv,0.17526312172412872,865
663,ranked_732.csv,0.17510446906089783,732
722,ranked_66.csv,0.17458289861679077,66
200,ranked_161.csv,0.174530491232872,161
839,ranked_319.csv,0.17395448684692383,319
898,ranked_397.csv,0.1733349710702896,397
923,ranked_823.csv,0.1730167716741562,823
522,ranked_35.csv,0.17239826917648315,35
322,ranked_338.csv,0.1720387041568756,338
227,ranked_559.csv,0.17176255583763123,559
720,ranked_428.csv,0.17149807512760162,428
331,ranked_730.csv,0.17135833203792572,730
718,ranked_443.csv,0.1707507073879242,443
971,ranked_383.csv,0.17061994969844818,383
115,ranked_284.csv,0.17061704397201538,284
136,ranked_773.csv,0.1702580451965332,773
130,ranked_967.csv,0.1701284795999527,967
747,ranked_947.csv,0.17007489502429962,947
293,ranked_547.csv,0.1700260490179062,547
728,ranked_442.csv,0.17002180218696594,442
312,ranked_369.csv,0.16990725696086884,369
693,ranked_165.csv,0.16986632347106934,165
102,ranked_637.csv,0.16970683634281158,637
153,ranked_544.csv,0.16970311105251312,544
1,ranked_931.csv,0.1692105233669281,931
992,ranked_560.csv,0.16910171508789062,560
124,ranked_579.csv,0.16902154684066772,579
126,ranked_108.csv,0.1687726080417633,108
609,ranked_901.csv,0.16869857907295227,901
128,ranked_8.csv,0.16844463348388672,8
30,ranked_794.csv,0.1683766394853592,794
76,ranked_499.csv,0.1681811511516571,499
352,ranked_472.csv,0.1681453436613083,472
282,ranked_191.csv,0.1680069863796234,191
803,ranked_855.csv,0.16788652539253235,855
391,ranked_809.csv,0.16777446866035461,809
681,ranked_176.csv,0.16768310964107513,176
50,ranked_705.csv,0.16759338974952698,705
313,ranked_297.csv,0.1669071912765503,297
104,ranked_742.csv,0.16686458885669708,742
638,ranked_582.csv,0.16660845279693604,582
182,ranked_796.csv,0.1665370911359787,796
554,ranked_60.csv,0.1654435396194458,60
778,ranked_877.csv,0.1654229760169983,877
787,ranked_102.csv,0.16542160511016846,102
649,ranked_7.csv,0.16540132462978363,7
777,ranked_234.csv,0.16515786945819855,234
62,ranked_631.csv,0.1651097685098648,631
348,ranked_592.csv,0.16496089100837708,592
191,ranked_24.csv,0.1645847111940384,24
618,ranked_289.csv,0.16442221403121948,289
407,ranked_965.csv,0.16437731683254242,965
962,ranked_429.csv,0.16407425701618195,429
304,ranked_734.csv,0.1638103872537613,734
376,ranked_157.csv,0.16358336806297302,157
41,ranked_765.csv,0.16353605687618256,765
490,ranked_258.csv,0.16347160935401917,258
24,ranked_698.csv,0.16346074640750885,698
476,ranked_846.csv,0.163191020488739,846
201,ranked_254.csv,0.16312655806541443,254
640,ranked_500.csv,0.16312558948993683,500
217,ranked_404.csv,0.16290880739688873,404
135,ranked_93.csv,0.16277527809143066,93
943,ranked_610.csv,0.16271533071994781,610
516,ranked_921.csv,0.1623300015926361,921
460,ranked_174.csv,0.16230124235153198,174
235,ranked_439.csv,0.16225111484527588,439
756,ranked_722.csv,0.16222228109836578,722
508,ranked_282.csv,0.16209174692630768,282
972,ranked_33.csv,0.16202594339847565,33
822,ranked_198.csv,0.16185477375984192,198
55,ranked_476.csv,0.16182374954223633,476
468,ranked_70.csv,0.16150552034378052,70
518,ranked_635.csv,0.16086828708648682,635
990,ranked_515.csv,0.1602368801832199,515
327,ranked_57.csv,0.16023030877113342,57
916,ranked_29.csv,0.15988579392433167,29
120,ranked_584.csv,0.15985019505023956,584
906,ranked_491.csv,0.15978007018566132,491
565,ranked_181.csv,0.1597367823123932,181
475,ranked_360.csv,0.15949469804763794,360
370,ranked_20.csv,0.15929870307445526,20
412,ranked_240.csv,0.15929405391216278,240
329,ranked_585.csv,0.15923723578453064,585
855,ranked_203.csv,0.15917523205280304,203
970,ranked_715.csv,0.15917305648326874,715
963,ranked_780.csv,0.15914510190486908,780
6,ranked_3.csv,0.15902887284755707,3
175,ranked_798.csv,0.15886199474334717,798
658,ranked_497.csv,0.1588549017906189,497
806,ranked_324.csv,0.1586684286594391,324
78,ranked_886.csv,0.15864123404026031,886
581,ranked_861.csv,0.1585988700389862,861
770,ranked_371.csv,0.15843041241168976,371
903,ranked_956.csv,0.15831010043621063,956
585,ranked_307.csv,0.15806828439235687,307
698,ranked_126.csv,0.1579851359128952,126
360,ranked_913.csv,0.15768827497959137,913
531,ranked_805.csv,0.15756849944591522,805
730,ranked_779.csv,0.15743279457092285,779
729,ranked_639.csv,0.15740391612052917,639
765,ranked_347.csv,0.15710319578647614,347
818,ranked_977.csv,0.1570889949798584,977
667,ranked_603.csv,0.15706075727939606,603
88,ranked_378.csv,0.15703317523002625,378
454,ranked_80.csv,0.15695230662822723,80
913,ranked_408.csv,0.15688513219356537,408
265,ranked_164.csv,0.15681132674217224,164
5,ranked_968.csv,0.15676461160182953,968
180,ranked_137.csv,0.15673306584358215,137
974,ranked_409.csv,0.15665596723556519,409
209,ranked_694.csv,0.15640930831432343,694
572,ranked_674.csv,0.15634480118751526,674
470,ranked_985.csv,0.15602461993694305,985
564,ranked_130.csv,0.15601332485675812,130
299,ranked_984.csv,0.15572552382946014,984
659,ranked_713.csv,0.15561974048614502,713
400,ranked_52.csv,0.15559062361717224,52
254,ranked_990.csv,0.1555148810148239,990
619,ranked_644.csv,0.1553918719291687,644
445,ranked_941.csv,0.1553625613451004,941
127,ranked_973.csv,0.15515320003032684,973
879,ranked_318.csv,0.1550525426864624,318
280,ranked_777.csv,0.15491090714931488,777
109,ranked_687.csv,0.15485437214374542,687
108,ranked_426.csv,0.15481552481651306,426
968,ranked_150.csv,0.15480640530586243,150
948,ranked_602.csv,0.15462751686573029,602
292,ranked_911.csv,0.15461960434913635,911
509,ranked_39.csv,0.15419748425483704,39
798,ranked_832.csv,0.1540466994047165,832
706,ranked_774.csv,0.15403763949871063,774
735,ranked_13.csv,0.1538521647453308,13
648,ranked_856.csv,0.15383262932300568,856
969,ranked_768.csv,0.15374483168125153,768
533,ranked_216.csv,0.15374016761779785,216
129,ranked_422.csv,0.15373270213603973,422
9,ranked_359.csv,0.1536123901605606,359
864,ranked_382.csv,0.15358419716358185,382
633,ranked_789.csv,0.1535373479127884,789
707,ranked_398.csv,0.1535138338804245,398
406,ranked_831.csv,0.15292760729789734,831
757,ranked_835.csv,0.1528652310371399,835
22,ranked_314.csv,0.15275830030441284,314
163,ranked_848.csv,0.15273714065551758,848
316,ranked_822.csv,0.1527118980884552,822
851,ranked_703.csv,0.15269814431667328,703
457,ranked_65.csv,0.15267986059188843,65
16,ranked_235.csv,0.15266579389572144,235
453,ranked_804.csv,0.1526193618774414,804
691,ranked_92.csv,0.15252810716629028,92
244,ranked_91.csv,0.15248775482177734,91
807,ranked_312.csv,0.15236826241016388,312
165,ranked_664.csv,0.15203452110290527,664
957,ranked_72.csv,0.15203063189983368,72
664,ranked_986.csv,0.15198183059692383,986
861,ranked_104.csv,0.15166668593883514,104
899,ranked_589.csv,0.1516558676958084,589
998,ranked_897.csv,0.1515282392501831,897
255,ranked_450.csv,0.15127742290496826,450
405,ranked_685.csv,0.15119539201259613,685
365,ranked_446.csv,0.15109504759311676,446
37,ranked_526.csv,0.1509903073310852,526
657,ranked_125.csv,0.1506761908531189,125
937,ranked_264.csv,0.15064144134521484,264
536,ranked_892.csv,0.15056249499320984,892
841,ranked_353.csv,0.14995606243610382,353
919,ranked_748.csv,0.14976821839809418,748
66,ranked_761.csv,0.14975619316101074,761
56,ranked_373.csv,0.14957299828529358,373
190,ranked_120.csv,0.14948008954524994,120
434,ranked_721.csv,0.14933104813098907,721
452,ranked_228.csv,0.14927464723587036,228
403,ranked_918.csv,0.14923012256622314,918
379,ranked_643.csv,0.14904356002807617,643
82,ranked_723.csv,0.14885349571704865,723
551,ranked_992.csv,0.14854402840137482,992
590,ranked_881.csv,0.14849470555782318,881
517,ranked_955.csv,0.14844931662082672,955
337,ranked_111.csv,0.14839059114456177,111
779,ranked_759.csv,0.14837969839572906,759
447,ranked_250.csv,0.14830003678798676,250
544,ranked_211.csv,0.1482705920934677,211
535,ranked_242.csv,0.14820154011249542,242
161,ranked_389.csv,0.14804229140281677,389
141,ranked_345.csv,0.14803273975849152,345
896,ranked_858.csv,0.14791250228881836,858
32,ranked_31.csv,0.1476925015449524,31
356,ranked_996.csv,0.14748422801494598,996
931,ranked_710.csv,0.1474035680294037,710
892,ranked_680.csv,0.14735975861549377,680
569,ranked_932.csv,0.14715978503227234,932
529,ranked_23.csv,0.14703065156936646,23
204,ranked_923.csv,0.146951824426651,923
390,ranked_0.csv,0.14687053859233856,0
794,ranked_873.csv,0.14683367311954498,873
671,ranked_849.csv,0.14676496386528015,849
885,ranked_924.csv,0.14673200249671936,924
795,ranked_30.csv,0.14670595526695251,30
398,ranked_507.csv,0.14669343829154968,507
203,ranked_105.csv,0.14664921164512634,105
100,ranked_750.csv,0.14655570685863495,750
593,ranked_903.csv,0.14606451988220215,903
19,ranked_527.csv,0.14602713286876678,527
783,ranked_778.csv,0.14600802958011627,778
95,ranked_788.csv,0.14600136876106262,788
875,ranked_740.csv,0.1459907591342926,740
895,ranked_536.csv,0.14588241279125214,536
417,ranked_293.csv,0.1457214206457138,293
995,ranked_662.csv,0.14558067917823792,662
973,ranked_169.csv,0.1453377902507782,169
3,ranked_653.csv,0.14520087838172913,653
471,ranked_328.csv,0.14519500732421875,328
105,ranked_100.csv,0.14499108493328094,100
816,ranked_246.csv,0.1448078155517578,246
270,ranked_716.csv,0.14472930133342743,716
493,ranked_510.csv,0.14464932680130005,510
802,ranked_896.csv,0.14459237456321716,896
933,ranked_171.csv,0.14453217387199402,171
812,ranked_954.csv,0.14450673758983612,954
281,ranked_167.csv,0.14447492361068726,167
378,ranked_554.csv,0.14429840445518494,554
776,ranked_781.csv,0.14427021145820618,781
863,ranked_706.csv,0.1441386193037033,706
755,ranked_839.csv,0.1441158801317215,839
138,ranked_123.csv,0.14407561719417572,123
228,ranked_676.csv,0.1440466046333313,676
257,ranked_670.csv,0.14399193227291107,670
921,ranked_88.csv,0.143954798579216,88
315,ranked_101.csv,0.14379608631134033,101
688,ranked_223.csv,0.143621027469635,223
