,CSV Name,Prediction Value,AlphaRank
454,ranked_80.csv,0.7275610566139221,80
724,ranked_270.csv,0.6876747608184814,270
345,ranked_381.csv,0.6663715839385986,381
330,ranked_457.csv,0.6578349471092224,457
551,ranked_992.csv,0.6556150913238525,992
754,ranked_195.csv,0.6477802395820618,195
232,ranked_209.csv,0.63739413022995,209
735,ranked_13.csv,0.6361907720565796,13
955,ranked_68.csv,0.6342038512229919,68
163,ranked_848.csv,0.6316335201263428,848
315,ranked_101.csv,0.6207521557807922,101
825,ranked_56.csv,0.6171619296073914,56
552,ranked_401.csv,0.6153846979141235,401
328,ranked_310.csv,0.6115745902061462,310
514,ranked_201.csv,0.6105028390884399,201
13,ranked_71.csv,0.6068230271339417,71
290,ranked_4.csv,0.6025230288505554,4
834,ranked_118.csv,0.5931379795074463,118
510,ranked_197.csv,0.5859487056732178,197
188,ranked_290.csv,0.5787599086761475,290
548,ranked_729.csv,0.5736950039863586,729
288,ranked_630.csv,0.5729892253875732,630
819,ranked_175.csv,0.5704208612442017,175
867,ranked_265.csv,0.5663291811943054,265
388,ranked_482.csv,0.5663185119628906,482
7,ranked_185.csv,0.5570551753044128,185
327,ranked_57.csv,0.5568199157714844,57
835,ranked_627.csv,0.5567283630371094,627
940,ranked_48.csv,0.5539219975471497,48
941,ranked_259.csv,0.5535226464271545,259
839,ranked_319.csv,0.5531089305877686,319
222,ranked_939.csv,0.5515197515487671,939
416,ranked_564.csv,0.549979031085968,564
829,ranked_95.csv,0.5499187707901001,95
186,ranked_287.csv,0.5475238561630249,287
138,ranked_123.csv,0.5470971465110779,123
602,ranked_741.csv,0.5468838810920715,741
741,ranked_99.csv,0.5458515882492065,99
732,ranked_717.csv,0.5456117391586304,717
267,ranked_85.csv,0.5450863242149353,85
442,ranked_356.csv,0.5447542667388916,356
410,ranked_114.csv,0.5426921844482422,114
929,ranked_272.csv,0.5417625904083252,272
10,ranked_545.csv,0.5415177345275879,545
399,ranked_255.csv,0.5388377904891968,255
957,ranked_72.csv,0.5382454991340637,72
631,ranked_42.csv,0.5368127226829529,42
861,ranked_104.csv,0.5363441705703735,104
491,ranked_154.csv,0.5356884598731995,154
559,ranked_343.csv,0.5346020460128784,343
164,ranked_122.csv,0.5311428904533386,122
271,ranked_84.csv,0.5311403274536133,84
239,ranked_133.csv,0.5292605757713318,133
400,ranked_52.csv,0.5278947353363037,52
128,ranked_8.csv,0.527573823928833,8
159,ranked_189.csv,0.5269211530685425,189
951,ranked_15.csv,0.5263190865516663,15
22,ranked_314.csv,0.5263140201568604,314
739,ranked_50.csv,0.5257937908172607,50
912,ranked_205.csv,0.5255874395370483,205
59,ranked_668.csv,0.5251598954200745,668
111,ranked_530.csv,0.5242038369178772,530
886,ranked_34.csv,0.5236850380897522,34
318,ranked_317.csv,0.5230504870414734,317
471,ranked_328.csv,0.5220610499382019,328
166,ranked_471.csv,0.5211297273635864,471
281,ranked_167.csv,0.5205316543579102,167
238,ranked_61.csv,0.520379364490509,61
468,ranked_70.csv,0.5185062885284424,70
205,ranked_38.csv,0.5183026790618896,38
601,ranked_75.csv,0.5176647901535034,75
