,CSV Name,Prediction Value,AlphaRank
814,ranked_76.csv,0.30915865302085876,76
137,ranked_953.csv,0.27196061611175537,953
26,ranked_988.csv,0.26862645149230957,988
775,ranked_813.csv,0.26308536529541016,813
598,ranked_979.csv,0.2615079879760742,979
701,ranked_974.csv,0.2609783113002777,974
678,ranked_844.csv,0.26069167256355286,844
680,ranked_980.csv,0.2598327398300171,980
291,ranked_987.csv,0.2589930593967438,987
52,ranked_727.csv,0.258789598941803,727
11,ranked_671.csv,0.2585716247558594,671
314,ranked_808.csv,0.25853854417800903,808
923,ranked_823.csv,0.25833767652511597,823
909,ranked_827.csv,0.2577701210975647,827
745,ranked_880.csv,0.2573193907737732,880
670,ranked_875.csv,0.2572317123413086,875
407,ranked_965.csv,0.25639262795448303,965
375,ranked_915.csv,0.25638413429260254,915
566,ranked_878.csv,0.25585147738456726,878
206,ranked_948.csv,0.25563278794288635,948
626,ranked_814.csv,0.2552732825279236,814
211,ranked_790.csv,0.2552442252635956,790
812,ranked_954.csv,0.25517144799232483,954
360,ranked_913.csv,0.25513896346092224,913
130,ranked_967.csv,0.2546879053115845,967
374,ranked_772.csv,0.25453895330429077,772
415,ranked_926.csv,0.2535923719406128,926
373,ranked_994.csv,0.2534637749195099,994
802,ranked_896.csv,0.2534101605415344,896
272,ranked_989.csv,0.2531755566596985,989
117,ranked_982.csv,0.2528443932533264,982
273,ranked_961.csv,0.25237658619880676,961
325,ranked_937.csv,0.2522761821746826,937
524,ranked_960.csv,0.25180041790008545,960
673,ranked_871.csv,0.248997300863266,871
989,ranked_940.csv,0.2485554814338684,940
705,ranked_755.csv,0.24740470945835114,755
699,ranked_887.csv,0.24678483605384827,887
264,ranked_952.csv,0.24594566226005554,952
58,ranked_556.csv,0.24579787254333496,556
38,ranked_702.csv,0.2455390840768814,702
918,ranked_726.csv,0.24552790820598602,726
659,ranked_713.csv,0.24548810720443726,713
607,ranked_650.csv,0.24524997174739838,650
530,ranked_834.csv,0.24499289691448212,834
798,ranked_832.csv,0.2446872889995575,832
860,ranked_958.csv,0.2445865422487259,958
730,ranked_779.csv,0.24446746706962585,779
731,ranked_945.csv,0.24384132027626038,945
650,ranked_815.csv,0.24352911114692688,815
915,ranked_707.csv,0.24338284134864807,707
654,ranked_826.csv,0.24328488111495972,826
142,ranked_735.csv,0.24313898384571075,735
998,ranked_897.csv,0.2429962456226349,897
512,ranked_884.csv,0.2426522970199585,884
98,ranked_981.csv,0.24240516126155853,981
823,ranked_857.csv,0.24239152669906616,857
516,ranked_921.csv,0.24221065640449524,921
903,ranked_956.csv,0.2421223521232605,956
413,ranked_828.csv,0.24211548268795013,828
645,ranked_770.csv,0.24205297231674194,770
151,ranked_692.csv,0.24201785027980804,692
902,ranked_922.csv,0.24193978309631348,922
207,ranked_583.csv,0.24186313152313232,583
223,ranked_929.csv,0.24180272221565247,929
863,ranked_706.csv,0.24169059097766876,706
721,ranked_889.csv,0.24158760905265808,889
134,ranked_975.csv,0.24154514074325562,975
911,ranked_786.csv,0.24148143827915192,786
541,ranked_853.csv,0.24141345918178558,853
773,ranked_854.csv,0.24139317870140076,854
15,ranked_859.csv,0.24138982594013214,859
857,ranked_701.csv,0.24116839468479156,701
497,ranked_792.csv,0.2411475032567978,792
356,ranked_996.csv,0.2410745471715927,996
978,ranked_752.csv,0.24095982313156128,752
562,ranked_872.csv,0.24082893133163452,872
763,ranked_916.csv,0.24074402451515198,916
635,ranked_566.csv,0.24067367613315582,566
956,ranked_787.csv,0.24062030017375946,787
234,ranked_838.csv,0.24059896171092987,838
95,ranked_788.csv,0.24059446156024933,788
104,ranked_742.csv,0.24053993821144104,742
534,ranked_766.csv,0.24045127630233765,766
977,ranked_936.csv,0.24036341905593872,936
824,ranked_870.csv,0.24030521512031555,870
780,ranked_963.csv,0.24022257328033447,963
159,ranked_189.csv,0.2401803433895111,189
644,ranked_934.csv,0.24013221263885498,934
810,ranked_951.csv,0.23990683257579803,951
551,ranked_992.csv,0.23984113335609436,992
193,ranked_652.csv,0.23975688219070435,652
316,ranked_822.csv,0.23950888216495514,822
616,ranked_898.csv,0.23948661983013153,898
112,ranked_712.csv,0.23933200538158417,712
692,ranked_864.csv,0.23928070068359375,864
831,ranked_753.csv,0.23903633654117584,753
383,ranked_812.csv,0.23891295492649078,812
784,ranked_711.csv,0.23872172832489014,711
663,ranked_732.csv,0.2387043684720993,732
149,ranked_601.csv,0.23866814374923706,601
845,ranked_59.csv,0.23866210877895355,59
136,ranked_773.csv,0.23838019371032715,773
455,ranked_541.csv,0.23831002414226532,541
630,ranked_693.csv,0.2381708323955536,693
416,ranked_564.csv,0.23786801099777222,564
523,ranked_775.csv,0.23784239590168,775
837,ranked_860.csv,0.23771041631698608,860
489,ranked_315.csv,0.23760515451431274,315
880,ranked_45.csv,0.23736895620822906,45
