,CSV Name,Prediction Value,AlphaRank
539,ranked_672.csv,0.7642034888267517,672
260,ranked_629.csv,0.7614350318908691,629
409,ranked_739.csv,0.742693305015564,739
518,ranked_635.csv,0.7333909273147583,635
142,ranked_735.csv,0.729198694229126,735
710,ranked_661.csv,0.7239289283752441,661
298,ranked_803.csv,0.715431809425354,803
472,ranked_609.csv,0.7130940556526184,609
729,ranked_639.csv,0.7073746919631958,639
571,ranked_649.csv,0.7073653936386108,649
956,ranked_787.csv,0.7026325464248657,787
723,ranked_624.csv,0.7021468877792358,624
616,ranked_898.csv,0.695159912109375,898
789,ranked_681.csv,0.6950058341026306,681
53,ranked_618.csv,0.6933521032333374,618
654,ranked_826.csv,0.6929739713668823,826
863,ranked_706.csv,0.6921926736831665,706
467,ranked_771.csv,0.6916507482528687,771
461,ranked_665.csv,0.6912017464637756,665
5,ranked_968.csv,0.690009355545044,968
11,ranked_671.csv,0.6890738606452942,671
104,ranked_742.csv,0.6887591481208801,742
77,ranked_682.csv,0.6886173486709595,682
732,ranked_717.csv,0.6885489225387573,717
3,ranked_653.csv,0.6884343028068542,653
804,ranked_642.csv,0.6876288056373596,642
182,ranked_796.csv,0.6866906881332397,796
613,ranked_657.csv,0.6857278943061829,657
288,ranked_630.csv,0.6842263340950012,630
237,ranked_641.csv,0.6823877692222595,641
42,ranked_528.csv,0.6811639666557312,528
690,ranked_841.csv,0.681122362613678,841
648,ranked_856.csv,0.6790542602539062,856
231,ranked_600.csv,0.6780537962913513,600
778,ranked_877.csv,0.6769207119941711,877
314,ranked_808.csv,0.6761844158172607,808
15,ranked_859.csv,0.6758416295051575,859
748,ranked_751.csv,0.6749458909034729,751
884,ranked_658.csv,0.6740301251411438,658
198,ranked_690.csv,0.6739599704742432,690
701,ranked_974.csv,0.6729272603988647,974
24,ranked_698.csv,0.6721585392951965,698
272,ranked_989.csv,0.6705295443534851,989
893,ranked_999.csv,0.6699022650718689,999
903,ranked_956.csv,0.6696957349777222,956
324,ranked_758.csv,0.6696066856384277,758
146,ranked_754.csv,0.6661860942840576,754
846,ranked_647.csv,0.6658756732940674,647
74,ranked_876.csv,0.6640197038650513,876
997,ranked_646.csv,0.6619777679443359,646
223,ranked_929.csv,0.659637451171875,929
163,ranked_848.csv,0.659042239189148,848
