,CSV Name,Prediction Value,AlphaRank
10,ranked_545.csv,0.3366197943687439,545
811,ranked_900.csv,0.3271569311618805,900
70,ranked_423.csv,0.31977686285972595,423
959,ranked_179.csv,0.31586411595344543,179
752,ranked_800.csv,0.3154601454734802,800
984,ranked_26.csv,0.2957276403903961,26
776,ranked_781.csv,0.294901579618454,781
988,ranked_714.csv,0.2883599102497101,714
389,ranked_606.csv,0.2833690345287323,606
656,ranked_991.csv,0.2802133858203888,991
997,ranked_646.csv,0.2800051271915436,646
826,ranked_628.csv,0.2738701403141022,628
952,ranked_909.csv,0.27271851897239685,909
829,ranked_95.csv,0.2694184184074402,95
960,ranked_744.csv,0.26885583996772766,744
914,ranked_329.csv,0.2676524817943573,329
775,ranked_813.csv,0.2667883038520813,813
418,ranked_767.csv,0.26615193486213684,767
978,ranked_752.csv,0.26587772369384766,752
127,ranked_973.csv,0.2635721266269684,973
714,ranked_883.csv,0.26132631301879883,883
804,ranked_642.csv,0.2585236430168152,642
471,ranked_328.csv,0.2565576434135437,328
78,ranked_886.csv,0.25538545846939087,886
609,ranked_901.csv,0.25514575839042664,901
759,ranked_919.csv,0.2544943690299988,919
463,ranked_390.csv,0.2540316581726074,390
803,ranked_855.csv,0.2529495656490326,855
477,ranked_267.csv,0.2522791624069214,267
541,ranked_853.csv,0.25188764929771423,853
773,ranked_854.csv,0.246573343873024,854
646,ranked_686.csv,0.24640022218227386,686
43,ranked_413.csv,0.24634245038032532,413
982,ranked_925.csv,0.2455683946609497,925
849,ranked_882.csv,0.24406686425209045,882
474,ranked_184.csv,0.2429983764886856,184
226,ranked_691.csv,0.24070027470588684,691
462,ranked_49.csv,0.24061749875545502,49
435,ranked_591.csv,0.2405077964067459,591
591,ranked_155.csv,0.24006839096546173,155
808,ranked_463.csv,0.24003803730010986,463
885,ranked_924.csv,0.23931673169136047,924
281,ranked_167.csv,0.23900769650936127,167
744,ranked_867.csv,0.2389790266752243,867
740,ranked_370.csv,0.2384158968925476,370
20,ranked_21.csv,0.23761703073978424,21
680,ranked_980.csv,0.23710377514362335,980
400,ranked_52.csv,0.2358243763446808,52
654,ranked_826.csv,0.23564432561397552,826
516,ranked_921.csv,0.2333020269870758,921
233,ranked_321.csv,0.23294222354888916,321
403,ranked_918.csv,0.23270080983638763,918
484,ranked_367.csv,0.232308030128479,367
588,ranked_206.csv,0.2315855324268341,206
272,ranked_989.csv,0.23156020045280457,989
564,ranked_130.csv,0.23138025403022766,130
375,ranked_915.csv,0.22989670932292938,915
517,ranked_955.csv,0.22841882705688477,955
782,ranked_54.csv,0.2282533347606659,54
932,ranked_782.csv,0.2263333648443222,782
561,ranked_78.csv,0.2252565324306488,78
80,ranked_785.csv,0.22350111603736877,785
98,ranked_981.csv,0.22321510314941406,981
689,ranked_55.csv,0.22227579355239868,55
736,ranked_962.csv,0.2215660810470581,962
29,ranked_36.csv,0.2213866412639618,36
341,ranked_215.csv,0.22026360034942627,215
89,ranked_17.csv,0.22011375427246094,17
833,ranked_893.csv,0.21875810623168945,893
709,ranked_611.csv,0.21872064471244812,611
319,ranked_972.csv,0.2185802310705185,972
686,ranked_949.csv,0.21667367219924927,949
593,ranked_903.csv,0.21633678674697876,903
211,ranked_790.csv,0.21492233872413635,790
497,ranked_792.csv,0.21340543031692505,792
568,ranked_438.csv,0.21239861845970154,438
678,ranked_844.csv,0.21230216324329376,844
544,ranked_211.csv,0.2119714617729187,211
650,ranked_815.csv,0.21184812486171722,815
909,ranked_827.csv,0.2106911689043045,827
376,ranked_157.csv,0.21024109423160553,157
242,ranked_180.csv,0.20969292521476746,180
230,ranked_204.csv,0.20819590985774994,204
291,ranked_987.csv,0.2080858200788498,987
264,ranked_952.csv,0.20775549113750458,952
629,ranked_837.csv,0.2072514295578003,837
741,ranked_99.csv,0.20682589709758759,99
282,ranked_191.csv,0.2066234052181244,191
185,ranked_405.csv,0.2058005928993225,405
790,ranked_236.csv,0.2050560563802719,236
332,ranked_103.csv,0.20374934375286102,103
182,ranked_796.csv,0.203543558716774,796
512,ranked_884.csv,0.20278754830360413,884
5,ranked_968.csv,0.2019810527563095,968
244,ranked_91.csv,0.19986574351787567,91
325,ranked_937.csv,0.19985340535640717,937
478,ranked_552.csv,0.19918780028820038,552
628,ranked_27.csv,0.1980011761188507,27
64,ranked_488.csv,0.1969381868839264,488
299,ranked_984.csv,0.19609978795051575,984
785,ranked_183.csv,0.19488877058029175,183
155,ranked_135.csv,0.19460594654083252,135
703,ranked_251.csv,0.19445258378982544,251
880,ranked_45.csv,0.19325008988380432,45
367,ranked_222.csv,0.19322460889816284,222
449,ranked_153.csv,0.19316169619560242,153
657,ranked_125.csv,0.19291627407073975,125
647,ranked_578.csv,0.19286945462226868,578
260,ranked_629.csv,0.19197005033493042,629
328,ranked_310.csv,0.1917790174484253,310
132,ranked_709.csv,0.1912277489900589,709
527,ranked_811.csv,0.19116716086864471,811
330,ranked_457.csv,0.19075433909893036,457
630,ranked_693.csv,0.19073456525802612,693
72,ranked_168.csv,0.19045405089855194,168
417,ranked_293.csv,0.18956458568572998,293
345,ranked_381.csv,0.18926382064819336,381
199,ranked_416.csv,0.1886947751045227,416
923,ranked_823.csv,0.1883842498064041,823
426,ranked_341.csv,0.1875891536474228,341
747,ranked_947.csv,0.18616746366024017,947
465,ranked_840.csv,0.1858149766921997,840
152,ranked_309.csv,0.18547998368740082,309
175,ranked_798.csv,0.1854512095451355,798
66,ranked_761.csv,0.18477165699005127,761
318,ranked_317.csv,0.18354985117912292,317
74,ranked_876.csv,0.18321213126182556,876
674,ranked_912.csv,0.18319639563560486,912
455,ranked_541.csv,0.18303699791431427,541
925,ranked_673.csv,0.18266521394252777,673
763,ranked_916.csv,0.181956946849823,916
670,ranked_875.csv,0.18187202513217926,875
784,ranked_711.csv,0.18174420297145844,711
234,ranked_838.csv,0.18097953498363495,838
215,ranked_53.csv,0.18089155852794647,53
822,ranked_198.csv,0.1804054230451584,198
515,ranked_816.csv,0.1800437718629837,816
585,ranked_307.csv,0.1795431226491928,307
170,ranked_908.csv,0.1793757528066635,908
141,ranked_345.csv,0.17926771938800812,345
424,ranked_917.csv,0.17909273505210876,917
105,ranked_100.csv,0.1787237972021103,100
212,ranked_902.csv,0.17861850559711456,902
514,ranked_201.csv,0.17857398092746735,201
398,ranked_507.csv,0.17828649282455444,507
115,ranked_284.csv,0.17814552783966064,284
532,ranked_946.csv,0.17789681255817413,946
392,ranked_306.csv,0.17783966660499573,306
342,ranked_117.csv,0.17760013043880463,117
45,ranked_784.csv,0.17741340398788452,784
347,ranked_969.csv,0.1765662282705307,969
534,ranked_766.csv,0.17638595402240753,766
926,ranked_146.csv,0.17607493698596954,146
369,ranked_372.csv,0.17602093517780304,372
550,ranked_847.csv,0.17598354816436768,847
261,ranked_322.csv,0.17590317130088806,322
938,ranked_895.csv,0.17557716369628906,895
662,ranked_252.csv,0.17524787783622742,252
830,ranked_920.csv,0.17520302534103394,920
195,ranked_970.csv,0.17467035353183746,970
361,ranked_738.csv,0.17376568913459778,738
511,ranked_9.csv,0.1737205982208252,9
798,ranked_832.csv,0.17350870370864868,832
240,ranked_217.csv,0.1734331250190735,217
611,ranked_957.csv,0.17175868153572083,957
488,ranked_818.csv,0.17162004113197327,818
998,ranked_897.csv,0.17161224782466888,897
764,ranked_464.csv,0.17121826112270355,464
355,ranked_305.csv,0.17112399637699127,305
257,ranked_670.csv,0.17081382870674133,670
774,ranked_718.csv,0.16990059614181519,718
117,ranked_982.csv,0.169878289103508,982
327,ranked_57.csv,0.16967707872390747,57
543,ranked_336.csv,0.1695007085800171,336
444,ranked_406.csv,0.16948306560516357,406
473,ranked_930.csv,0.1694173961877823,930
425,ranked_294.csv,0.16903594136238098,294
137,ranked_953.csv,0.16847407817840576,953
167,ranked_199.csv,0.1682206392288208,199
834,ranked_118.csv,0.16807909309864044,118
890,ranked_757.csv,0.16806818544864655,757
893,ranked_999.csv,0.16798582673072815,999
862,ranked_299.csv,0.1675393134355545,299
750,ranked_608.csv,0.16749508678913116,608
415,ranked_926.csv,0.16694405674934387,926
399,ranked_255.csv,0.16656631231307983,255
821,ranked_874.csv,0.1659754067659378,874
582,ranked_129.csv,0.16548971831798553,129
850,ranked_393.csv,0.1649104654788971,393
112,ranked_712.csv,0.16488251090049744,712
757,ranked_835.csv,0.1636452078819275,835
748,ranked_751.csv,0.16361257433891296,751
262,ranked_888.csv,0.16353607177734375,888
181,ranked_87.csv,0.16344960033893585,87
729,ranked_639.csv,0.16283708810806274,639
878,ranked_928.csv,0.16214300692081451,928
536,ranked_892.csv,0.16213205456733704,892
525,ranked_852.csv,0.16204485297203064,852
429,ranked_820.csv,0.16141732037067413,820
977,ranked_936.csv,0.16128681600093842,936
322,ranked_338.csv,0.16094939410686493,338
413,ranked_828.csv,0.160905659198761,828
180,ranked_137.csv,0.16032589972019196,137
300,ranked_202.csv,0.15963898599147797,202
993,ranked_817.csv,0.15952733159065247,817
32,ranked_31.csv,0.15947014093399048,31
285,ranked_605.csv,0.15937311947345734,605
580,ranked_285.csv,0.1586519032716751,285
329,ranked_585.csv,0.15856437385082245,585
491,ranked_154.csv,0.15850180387496948,154
767,ranked_311.csv,0.1581549197435379,311
157,ranked_550.csv,0.15807515382766724,550
423,ranked_899.csv,0.15768557786941528,899
268,ranked_449.csv,0.1575620025396347,449
711,ranked_938.csv,0.1568630039691925,938
644,ranked_934.csv,0.1566850244998932,934
412,ranked_240.csv,0.1564205437898636,240
238,ranked_61.csv,0.15595020353794098,61
134,ranked_975.csv,0.15553751587867737,975
15,ranked_859.csv,0.15546122193336487,859
570,ranked_412.csv,0.155430868268013,412
716,ranked_570.csv,0.1554284542798996,570
677,ranked_22.csv,0.15537910163402557,22
265,ranked_164.csv,0.15533806383609772,164
501,ranked_148.csv,0.15529954433441162,148
721,ranked_889.csv,0.15519404411315918,889
648,ranked_856.csv,0.1551245152950287,856
302,ranked_571.csv,0.15492621064186096,571
537,ranked_830.csv,0.15489473938941956,830
896,ranked_858.csv,0.15484090149402618,858
710,ranked_661.csv,0.1547064334154129,661
109,ranked_687.csv,0.15459959208965302,687
569,ranked_932.csv,0.15449029207229614,932
789,ranked_681.csv,0.15379579365253448,681
954,ranked_143.csv,0.1533646434545517,143
540,ranked_113.csv,0.15336108207702637,113
160,ranked_141.csv,0.15282070636749268,141
935,ranked_421.csv,0.15268850326538086,421
294,ranked_479.csv,0.15253734588623047,479
942,ranked_431.csv,0.15245595574378967,431
287,ranked_121.csv,0.15230777859687805,121
966,ranked_749.csv,0.15207546949386597,749
401,ranked_435.csv,0.1515350341796875,435
406,ranked_831.csv,0.15149348974227905,831
428,ranked_506.csv,0.15148067474365234,506
479,ranked_253.csv,0.15139272809028625,253
950,ranked_865.csv,0.15042085945606232,865
992,ranked_560.csv,0.15021508932113647,560
102,ranked_637.csv,0.1499609351158142,637
12,ranked_214.csv,0.14983732998371124,214
140,ranked_494.csv,0.1488959640264511,494
490,ranked_258.csv,0.14887167513370514,258
869,ranked_573.csv,0.14813342690467834,573
251,ranked_638.csv,0.14776629209518433,638
383,ranked_812.csv,0.14771904051303864,812
554,ranked_60.csv,0.1467289924621582,60
768,ranked_480.csv,0.14663556218147278,480
298,ranked_803.csv,0.14627593755722046,803
929,ranked_272.csv,0.1458716243505478,272
940,ranked_48.csv,0.1458631008863449,48
