,CSV Name,Prediction Value,AlphaRank
580,ranked_285.csv,0.4380439221858978,285
914,ranked_329.csv,0.4125724732875824,329
350,ranked_363.csv,0.41120973229408264,363
279,ranked_394.csv,0.40746763348579407,394
363,ranked_355.csv,0.4059448540210724,355
224,ranked_325.csv,0.40323713421821594,325
725,ranked_232.csv,0.3987543284893036,232
96,ranked_281.csv,0.39612236618995667,281
345,ranked_381.csv,0.39512360095977783,381
475,ranked_360.csv,0.3910037875175476,360
576,ranked_362.csv,0.39097627997398376,362
727,ranked_387.csv,0.39036697149276733,387
971,ranked_383.csv,0.3884773254394531,383
862,ranked_299.csv,0.3882239758968353,299
841,ranked_353.csv,0.38518738746643066,353
94,ranked_433.csv,0.38469403982162476,433
786,ranked_475.csv,0.3811386823654175,475
948,ranked_602.csv,0.38108208775520325,602
165,ranked_664.csv,0.3762318193912506,664
764,ranked_464.csv,0.37127986550331116,464
157,ranked_550.csv,0.3643133342266083,550
371,ranked_597.csv,0.36280131340026855,597
442,ranked_356.csv,0.3623497188091278,356
772,ranked_625.csv,0.3609360158443451,625
596,ranked_666.csv,0.3608691096305847,666
546,ranked_361.csv,0.3607737720012665,361
542,ranked_645.csv,0.3590167760848999,645
835,ranked_627.csv,0.35776233673095703,627
901,ranked_623.csv,0.3568795919418335,623
187,ranked_634.csv,0.3561650514602661,634
59,ranked_668.csv,0.35608571767807007,668
366,ranked_725.csv,0.355843722820282,725
801,ranked_683.csv,0.35521042346954346,683
210,ranked_518.csv,0.35476306080818176,518
962,ranked_429.csv,0.35434114933013916,429
548,ranked_729.csv,0.35410863161087036,729
405,ranked_685.csv,0.35343241691589355,685
864,ranked_382.csv,0.3531302511692047,382
24,ranked_698.csv,0.35308724641799927,698
358,ranked_763.csv,0.35291942954063416,763
920,ranked_567.csv,0.3508571684360504,567
97,ranked_572.csv,0.35055312514305115,572
109,ranked_687.csv,0.3498257100582123,687
124,ranked_579.csv,0.3494389057159424,579
177,ranked_538.csv,0.34920257329940796,538
712,ranked_535.csv,0.34903261065483093,535
646,ranked_686.csv,0.3487471044063568,686
11,ranked_671.csv,0.3480013608932495,671
88,ranked_378.csv,0.3452661633491516,378
549,ranked_824.csv,0.3439546525478363,824
52,ranked_727.csv,0.34291940927505493,727
112,ranked_712.csv,0.3420566916465759,712
379,ranked_643.csv,0.3419717252254486,643
179,ranked_695.csv,0.34165477752685547,695
743,ranked_615.csv,0.341427206993103,615
47,ranked_517.csv,0.34065666794776917,517
309,ranked_225.csv,0.3405737578868866,225
453,ranked_804.csv,0.340535968542099,804
114,ranked_487.csv,0.34009209275245667,487
380,ranked_696.csv,0.33319130539894104,696
804,ranked_642.csv,0.3329683244228363,642
456,ranked_501.csv,0.3283834755420685,501
285,ranked_605.csv,0.32825419306755066,605
729,ranked_639.csv,0.32824379205703735,639
808,ranked_463.csv,0.32812386751174927,463
935,ranked_421.csv,0.326436847448349,421
485,ranked_513.csv,0.3261275887489319,513
53,ranked_618.csv,0.3258057236671448,618
209,ranked_694.csv,0.32502317428588867,694
846,ranked_647.csv,0.3249759078025818,647
218,ranked_495.csv,0.3235543668270111,495
326,ranked_447.csv,0.32306772470474243,447
329,ranked_585.csv,0.32277965545654297,585
123,ranked_574.csv,0.3217921853065491,574
587,ranked_484.csv,0.3215797245502472,484
884,ranked_658.csv,0.32136186957359314,658
235,ranked_439.csv,0.3189772367477417,439
733,ranked_659.csv,0.3189767599105835,659
865,ranked_599.csv,0.3187806010246277,599
171,ranked_505.csv,0.31768471002578735,505
826,ranked_628.csv,0.3167036473751068,628
77,ranked_682.csv,0.3165639638900757,682
82,ranked_723.csv,0.3160656988620758,723
120,ranked_584.csv,0.31440064311027527,584
669,ranked_708.csv,0.3139370381832123,708
