,CSV Name,Prediction Value,AlphaRank
908,ranked_493.csv,0.9876511693000793,493
865,ranked_599.csv,0.7375350594520569,599
812,ranked_954.csv,0.6848729848861694,954
761,ranked_207.csv,0.6498064994812012,207
645,ranked_770.csv,0.6380524039268494,770
562,ranked_872.csv,0.6337074041366577,872
87,ranked_728.csv,0.6318733096122742,728
785,ranked_183.csv,0.6179786324501038,183
676,ranked_869.csv,0.6097654700279236,869
209,ranked_694.csv,0.6013764142990112,694
900,ranked_633.csv,0.5982685685157776,633
376,ranked_157.csv,0.5976443290710449,157
62,ranked_631.csv,0.5824874043464661,631
349,ranked_260.csv,0.5812245011329651,260
46,ranked_477.csv,0.5798063278198242,477
311,ranked_237.csv,0.5754148960113525,237
116,ranked_277.csv,0.5728964805603027,277
243,ranked_468.csv,0.554546594619751,468
197,ranked_221.csv,0.5450528264045715,221
386,ranked_257.csv,0.5434392094612122,257
975,ranked_320.csv,0.5434176921844482,320
322,ranked_338.csv,0.5433773994445801,338
481,ranked_459.csv,0.5422123670578003,459
419,ranked_532.csv,0.5405951738357544,532
764,ranked_464.csv,0.538933277130127,464
508,ranked_282.csv,0.5370341539382935,282
879,ranked_318.csv,0.5362673997879028,318
235,ranked_439.csv,0.5349874496459961,439
767,ranked_311.csv,0.5349667072296143,311
765,ranked_347.csv,0.5346406102180481,347
493,ranked_510.csv,0.5320693850517273,510
888,ranked_226.csv,0.5314899682998657,226
565,ranked_181.csv,0.5251126885414124,181
595,ranked_136.csv,0.5177642107009888,136
707,ranked_398.csv,0.517220675945282,398
570,ranked_412.csv,0.5169353485107422,412
323,ranked_586.csv,0.5164915919303894,586
802,ranked_896.csv,0.5161860585212708,896
55,ranked_476.csv,0.5161033272743225,476
103,ranked_492.csv,0.5155954957008362,492
392,ranked_306.csv,0.5146297812461853,306
935,ranked_421.csv,0.5058757066726685,421
4,ranked_377.csv,0.5056941509246826,377
404,ranked_170.csv,0.5052459239959717,170
56,ranked_373.csv,0.5041356086730957,373
260,ranked_629.csv,0.5037095546722412,629
76,ranked_499.csv,0.5024442672729492,499
830,ranked_920.csv,0.5011821389198303,920
