,CSV Name,Prediction Value,AlphaRank
747,ranked_947.csv,0.24032306671142578,947
68,ranked_998.csv,0.22626365721225739,998
356,ranked_996.csv,0.22499457001686096,996
340,ranked_943.csv,0.20580676198005676,943
272,ranked_989.csv,0.20337335765361786,989
26,ranked_988.csv,0.1985827088356018,988
977,ranked_936.csv,0.19468864798545837,936
656,ranked_991.csv,0.1845613270998001,991
524,ranked_960.csv,0.1842450648546219,960
8,ranked_995.csv,0.18217678368091583,995
611,ranked_957.csv,0.18072117865085602,957
195,ranked_970.csv,0.1804589033126831,970
470,ranked_985.csv,0.177909716963768,985
711,ranked_938.csv,0.17584951221942902,938
680,ranked_980.csv,0.17562532424926758,980
986,ranked_933.csv,0.17383570969104767,933
299,ranked_984.csv,0.1736542135477066,984
204,ranked_923.csv,0.1732630878686905,923
612,ranked_978.csv,0.17308443784713745,978
664,ranked_986.csv,0.17253588140010834,986
989,ranked_940.csv,0.17216698825359344,940
486,ranked_983.csv,0.17051398754119873,983
273,ranked_961.csv,0.16740094125270844,961
117,ranked_982.csv,0.16708029806613922,982
893,ranked_999.csv,0.16598260402679443,999
98,ranked_981.csv,0.16299305856227875,981
5,ranked_968.csv,0.1619284301996231,968
731,ranked_945.csv,0.1614992469549179,945
373,ranked_994.csv,0.1612188220024109,994
34,ranked_993.csv,0.16086797416210175,993
860,ranked_958.csv,0.16067539155483246,958
347,ranked_969.csv,0.1598951518535614,969
319,ranked_972.csv,0.15982268750667572,972
818,ranked_977.csv,0.15941055119037628,977
812,ranked_954.csv,0.15881504118442535,954
598,ranked_979.csv,0.15823404490947723,979
592,ranked_971.csv,0.15728801488876343,971
780,ranked_963.csv,0.15633244812488556,963
551,ranked_992.csv,0.15427899360656738,992
223,ranked_929.csv,0.15276256203651428,929
438,ranked_997.csv,0.15202583372592926,997
734,ranked_944.csv,0.15195618569850922,944
130,ranked_967.csv,0.15155717730522156,967
206,ranked_948.csv,0.15132427215576172,948
222,ranked_939.csv,0.15046057105064392,939
67,ranked_950.csv,0.14959432184696198,950
473,ranked_930.csv,0.14911074936389923,930
137,ranked_953.csv,0.14870303869247437,953
127,ranked_973.csv,0.14773857593536377,973
945,ranked_964.csv,0.1472451388835907,964
810,ranked_951.csv,0.14592084288597107,951
701,ranked_974.csv,0.14327172935009003,974
353,ranked_935.csv,0.14213989675045013,935
21,ranked_959.csv,0.14180344343185425,959
134,ranked_975.csv,0.14018921554088593,975
325,ranked_937.csv,0.1390935480594635,937
445,ranked_941.csv,0.13885360956192017,941
407,ranked_965.csv,0.13800767064094543,965
31,ranked_966.csv,0.13790757954120636,966
830,ranked_920.csv,0.13735179603099823,920
885,ranked_924.csv,0.13580475747585297,924
532,ranked_946.csv,0.13561885058879852,946
75,ranked_942.csv,0.1351289004087448,942
517,ranked_955.csv,0.13370606303215027,955
264,ranked_952.csv,0.13231278955936432,952
813,ranked_976.csv,0.13002970814704895,976
516,ranked_921.csv,0.1288609653711319,921
291,ranked_987.csv,0.12505726516246796,987
644,ranked_934.csv,0.1237138882279396,934
982,ranked_925.csv,0.12077731639146805,925
569,ranked_932.csv,0.11997438222169876,932
902,ranked_922.csv,0.11394443362951279,922
519,ranked_346.csv,0.1121920719742775,346
238,ranked_61.csv,0.11187028139829636,61
1,ranked_931.csv,0.11170656234025955,931
375,ranked_915.csv,0.10996980965137482,915
903,ranked_956.csv,0.10909074544906616,956
415,ranked_926.csv,0.10877425968647003,926
686,ranked_949.csv,0.10871100425720215,949
403,ranked_918.csv,0.10746429115533829,918
878,ranked_928.csv,0.10734143108129501,928
934,ranked_927.csv,0.10600073635578156,927
147,ranked_96.csv,0.10495800524950027,96
367,ranked_222.csv,0.10313268005847931,222
736,ranked_962.csv,0.1020398810505867,962
490,ranked_258.csv,0.10160442441701889,258
819,ranked_175.csv,0.10120236873626709,175
96,ranked_281.csv,0.10061748325824738,281
739,ranked_50.csv,0.09989481419324875,50
313,ranked_297.csv,0.09934014827013016,297
751,ranked_19.csv,0.09861739724874496,19
958,ranked_79.csv,0.09830170124769211,79
594,ranked_879.csv,0.09772205352783203,879
424,ranked_917.csv,0.0964587926864624,917
267,ranked_85.csv,0.09636077284812927,85
688,ranked_223.csv,0.09613800048828125,223
250,ranked_210.csv,0.09469082206487656,210
741,ranked_99.csv,0.09416979551315308,99
641,ranked_119.csv,0.09389184415340424,119
28,ranked_74.csv,0.09378676116466522,74
561,ranked_78.csv,0.09327762573957443,78
537,ranked_830.csv,0.09296619892120361,830
287,ranked_121.csv,0.09252683073282242,121
452,ranked_228.csv,0.09163246303796768,228
462,ranked_49.csv,0.09152812510728836,49
654,ranked_826.csv,0.09147591143846512,826
372,ranked_139.csv,0.09137464314699173,139
327,ranked_57.csv,0.09118637442588806,57
674,ranked_912.csv,0.09105115383863449,912
144,ranked_208.csv,0.0908396765589714,208
216,ranked_12.csv,0.0905981957912445,12
951,ranked_15.csv,0.09002912044525146,15
930,ranked_419.csv,0.08990927040576935,419
254,ranked_990.csv,0.08965494483709335,990
938,ranked_895.csv,0.08933853358030319,895
773,ranked_854.csv,0.08929935097694397,854
450,ranked_862.csv,0.08882537484169006,862
582,ranked_129.csv,0.08880002051591873,129
636,ranked_344.csv,0.08866605907678604,344
695,ranked_40.csv,0.08795193582773209,40
935,ranked_421.csv,0.08695867657661438,421
638,ranked_582.csv,0.08689545094966888,582
507,ranked_276.csv,0.08669320493936539,276
344,ranked_64.csv,0.08599360287189484,64
583,ranked_905.csv,0.08567924052476883,905
337,ranked_111.csv,0.08544325083494186,111
952,ranked_909.csv,0.08516572415828705,909
153,ranked_544.csv,0.08511020243167877,544
30,ranked_794.csv,0.08488093316555023,794
822,ranked_198.csv,0.08441254496574402,198
778,ranked_877.csv,0.08438386768102646,877
511,ranked_9.csv,0.08423878997564316,9
494,ranked_41.csv,0.0840229019522667,41
232,ranked_209.csv,0.08379612118005753,209
429,ranked_820.csv,0.0837165117263794,820
556,ranked_212.csv,0.08370064198970795,212
495,ranked_724.csv,0.0836280807852745,724
775,ranked_813.csv,0.08320534974336624,813
506,ranked_553.csv,0.08319152146577835,553
689,ranked_55.csv,0.08302322775125504,55
0,ranked_546.csv,0.082966148853302,546
381,ranked_588.csv,0.08290212601423264,588
584,ranked_25.csv,0.0828356221318245,25
528,ranked_110.csv,0.08255667239427567,110
868,ranked_261.csv,0.08251926302909851,261
