,CSV Name,Prediction Value,AlphaRank
515,ranked_816.csv,1.2385601997375488,816
361,ranked_738.csv,1.0765328407287598,738
878,ranked_928.csv,1.0665353536605835,928
938,ranked_895.csv,1.0008913278579712,895
456,ranked_501.csv,0.9971207976341248,501
394,ranked_106.csv,0.987787663936615,106
638,ranked_582.csv,0.9841682314872742,582
692,ranked_864.csv,0.972702145576477,864
860,ranked_958.csv,0.9606698155403137,958
86,ranked_498.csv,0.9575352072715759,498
869,ranked_573.csv,0.9565470814704895,573
5,ranked_968.csv,0.929339587688446,968
516,ranked_921.csv,0.9235166907310486,921
223,ranked_929.csv,0.9228758811950684,929
775,ranked_813.csv,0.9197758436203003,813
413,ranked_828.csv,0.9180486798286438,828
824,ranked_870.csv,0.9063996076583862,870
902,ranked_922.csv,0.8925432562828064,922
650,ranked_815.csv,0.8883398175239563,815
873,ranked_32.csv,0.8875045776367188,32
157,ranked_550.csv,0.8857159614562988,550
965,ranked_885.csv,0.8854396939277649,885
896,ranked_858.csv,0.8848993182182312,858
609,ranked_901.csv,0.8821735382080078,901
178,ranked_640.csv,0.8816996812820435,640
908,ranked_493.csv,0.8729771375656128,493
625,ranked_218.csv,0.8698433041572571,218
550,ranked_847.csv,0.8626894354820251,847
137,ranked_953.csv,0.8583922982215881,953
81,ranked_906.csv,0.839910089969635,906
200,ranked_161.csv,0.839672863483429,161
845,ranked_59.csv,0.8372207283973694,59
324,ranked_758.csv,0.8353705406188965,758
932,ranked_782.csv,0.8344785571098328,782
918,ranked_726.csv,0.8318031430244446,726
769,ranked_73.csv,0.8248180150985718,73
817,ranked_851.csv,0.8237478137016296,851
853,ranked_77.csv,0.8175182342529297,77
779,ranked_759.csv,0.8159769177436829,759
541,ranked_853.csv,0.8114451766014099,853
811,ranked_900.csv,0.811385452747345,900
719,ranked_663.csv,0.8089241981506348,663
690,ranked_841.csv,0.8063713312149048,841
532,ranked_946.csv,0.8035637736320496,946
192,ranked_69.csv,0.8001360893249512,69
212,ranked_902.csv,0.7996501922607422,902
750,ranked_608.csv,0.7995669841766357,608
15,ranked_859.csv,0.7980844378471375,859
98,ranked_981.csv,0.7901645302772522,981
42,ranked_528.csv,0.7846860885620117,528
586,ranked_502.csv,0.7829859256744385,502
356,ranked_996.csv,0.781800389289856,996
272,ranked_989.csv,0.7791391611099243,989
162,ranked_503.csv,0.7788408398628235,503
54,ranked_746.csv,0.7742226719856262,746
994,ranked_612.csv,0.7717089056968689,612
921,ranked_88.csv,0.7700079083442688,88
601,ranked_75.csv,0.7682375311851501,75
308,ranked_890.csv,0.7680642604827881,890
802,ranked_896.csv,0.764846920967102,896
523,ranked_775.csv,0.762698769569397,775
120,ranked_584.csv,0.7614792585372925,584
654,ranked_826.csv,0.7614567875862122,826
63,ranked_86.csv,0.7598745822906494,86
17,ranked_655.csv,0.7585024237632751,655
547,ranked_850.csv,0.7571299076080322,850
503,ranked_519.csv,0.7567263841629028,519
393,ranked_163.csv,0.7544395327568054,163
307,ranked_380.csv,0.7541452050209045,380
837,ranked_860.csv,0.7538530230522156,860
109,ranked_687.csv,0.7538459300994873,687
434,ranked_721.csv,0.752964973449707,721
759,ranked_919.csv,0.7529470324516296,919
438,ranked_997.csv,0.752855122089386,997
95,ranked_788.csv,0.7524312734603882,788
833,ranked_893.csv,0.7523995637893677,893
411,ranked_801.csv,0.7489080429077148,801
527,ranked_811.csv,0.7476436495780945,811
792,ranked_806.csv,0.7475605010986328,806
405,ranked_685.csv,0.7460910677909851,685
118,ranked_304.csv,0.7456322312355042,304
126,ranked_108.csv,0.7445433139801025,108
424,ranked_917.csv,0.743410050868988,917
173,ranked_193.csv,0.7423579692840576,193
440,ranked_675.csv,0.7398504018783569,675
252,ranked_622.csv,0.7392424941062927,622
296,ranked_720.csv,0.739019513130188,720
391,ranked_809.csv,0.7389572858810425,809
518,ranked_635.csv,0.7370774149894714,635
331,ranked_730.csv,0.736880898475647,730
711,ranked_938.csv,0.733818531036377,938
884,ranked_658.csv,0.7305727601051331,658
170,ranked_908.csv,0.7302523851394653,908
611,ranked_957.csv,0.7287259101867676,957
795,ranked_30.csv,0.725186288356781,30
106,ranked_593.csv,0.7236064076423645,593
573,ranked_334.csv,0.7213798761367798,334
264,ranked_952.csv,0.7210364937782288,952
415,ranked_926.csv,0.7204775810241699,926
751,ranked_19.csv,0.7198788523674011,19
340,ranked_943.csv,0.7170860171318054,943
676,ranked_869.csv,0.7164110541343689,869
789,ranked_681.csv,0.714248538017273,681
408,ranked_910.csv,0.7136244773864746,910
656,ranked_991.csv,0.7119431495666504,991
101,ranked_677.csv,0.7115495800971985,677
237,ranked_641.csv,0.7110745310783386,641
45,ranked_784.csv,0.7109742760658264,784
83,ranked_151.csv,0.7105792760848999,151
94,ranked_433.csv,0.7083675265312195,433
986,ranked_933.csv,0.7075597643852234,933
598,ranked_979.csv,0.7073807716369629,979
31,ranked_966.csv,0.7062425017356873,966
997,ranked_646.csv,0.7056416273117065,646
993,ranked_817.csv,0.7046614289283752,817
447,ranked_250.csv,0.7038965225219727,250
624,ranked_134.csv,0.7030973434448242,134
906,ranked_491.csv,0.7029935717582703,491
995,ranked_662.csv,0.7023822665214539,662
852,ranked_699.csv,0.7021424174308777,699
788,ranked_368.csv,0.7019338607788086,368
529,ranked_23.csv,0.7009062767028809,23
546,ranked_361.csv,0.7005636096000671,361
403,ranked_918.csv,0.6994692087173462,918
389,ranked_606.csv,0.6993563771247864,606
429,ranked_820.csv,0.6986705660820007,820
130,ranked_967.csv,0.6980836987495422,967
901,ranked_623.csv,0.6977618932723999,623
165,ranked_664.csv,0.6960809826850891,664
84,ranked_651.csv,0.6955217123031616,651
472,ranked_609.csv,0.6929165124893188,609
854,ranked_654.csv,0.6922573447227478,654
432,ranked_445.csv,0.692116916179657,445
755,ranked_839.csv,0.6920240521430969,839
0,ranked_546.csv,0.6919687986373901,546
600,ranked_512.csv,0.6905471682548523,512
445,ranked_941.csv,0.6903706192970276,941
374,ranked_772.csv,0.6898475289344788,772
566,ranked_878.csv,0.6898006796836853,878
21,ranked_959.csv,0.6883759498596191,959
198,ranked_690.csv,0.688307523727417,690
950,ranked_865.csv,0.6881475448608398,865
847,ranked_509.csv,0.6871793270111084,509
706,ranked_774.csv,0.6864194869995117,774
224,ranked_325.csv,0.6858211755752563,325
763,ranked_916.csv,0.6856785416603088,916
458,ranked_565.csv,0.6855827569961548,565
725,ranked_232.csv,0.684925377368927,232
11,ranked_671.csv,0.6842548847198486,671
774,ranked_718.csv,0.683230459690094,718
260,ranked_629.csv,0.683194100856781,629
397,ranked_604.csv,0.6825461983680725,604
998,ranked_897.csv,0.6813166737556458,897
665,ranked_679.csv,0.6802367568016052,679
736,ranked_962.csv,0.6798236966133118,962
110,ranked_489.csv,0.6787188649177551,489
616,ranked_898.csv,0.6786470413208008,898
297,ranked_607.csv,0.6770464181900024,607
268,ranked_449.csv,0.6757548451423645,449
730,ranked_779.csv,0.6748090386390686,779
39,ranked_332.csv,0.6744974851608276,332
704,ranked_302.csv,0.6742228865623474,302
776,ranked_781.csv,0.6740754246711731,781
169,ranked_568.csv,0.6740054488182068,568
48,ranked_563.csv,0.673711359500885,563
65,ranked_511.csv,0.6730464696884155,511
637,ranked_587.csv,0.6727744936943054,587
519,ranked_346.csv,0.6726043820381165,346
368,ranked_67.csv,0.6724894642829895,67
290,ranked_4.csv,0.6721222400665283,4
551,ranked_992.csv,0.6705082654953003,992
254,ranked_990.csv,0.668984591960907,990
526,ranked_424.csv,0.6687930822372437,424
175,ranked_798.csv,0.6685637831687927,798
90,ranked_283.csv,0.6666951775550842,283
643,ranked_807.csv,0.6664754152297974,807
204,ranked_923.csv,0.6652498841285706,923
531,ranked_805.csv,0.6650577783584595,805
478,ranked_552.csv,0.6650540232658386,552
10,ranked_545.csv,0.6649172902107239,545
379,ranked_643.csv,0.6645951867103577,643
809,ranked_660.csv,0.6626630425453186,660
683,ranked_58.csv,0.6625470519065857,58
904,ranked_719.csv,0.6621363759040833,719
145,ranked_490.csv,0.6615417003631592,490
926,ranked_146.csv,0.6612887978553772,146
826,ranked_628.csv,0.66059809923172,628
745,ranked_880.csv,0.6596009731292725,880
721,ranked_889.csv,0.6587529182434082,889
659,ranked_713.csv,0.6585729122161865,713
587,ranked_484.csv,0.6579124331474304,484
119,ranked_596.csv,0.6578744053840637,596
729,ranked_639.csv,0.6574410796165466,639
843,ranked_514.csv,0.6574068665504456,514
974,ranked_409.csv,0.6569303274154663,409
910,ranked_764.csv,0.6564118266105652,764
19,ranked_527.csv,0.6559960842132568,527
382,ranked_656.csv,0.6559175848960876,656
76,ranked_499.csv,0.654914915561676,499
621,ranked_116.csv,0.6547759771347046,116
455,ranked_541.csv,0.6545082926750183,541
498,ranked_298.csv,0.6543461680412292,298
548,ranked_729.csv,0.6540147662162781,729
166,ranked_471.csv,0.6535549759864807,471
