,CSV Name,Prediction Value,AlphaRank
711,ranked_938.csv,0.211517795920372,938
531,ranked_805.csv,0.20268858969211578,805
234,ranked_838.csv,0.20206210017204285,838
331,ranked_730.csv,0.1909390687942505,730
366,ranked_725.csv,0.1756083071231842,725
678,ranked_844.csv,0.17483609914779663,844
705,ranked_755.csv,0.1643436849117279,755
837,ranked_860.csv,0.15826299786567688,860
925,ranked_673.csv,0.15607380867004395,673
361,ranked_738.csv,0.15079015493392944,738
784,ranked_711.csv,0.1478135734796524,711
197,ranked_221.csv,0.14213746786117554,221
308,ranked_890.csv,0.13365374505519867,890
101,ranked_677.csv,0.13349513709545135,677
159,ranked_189.csv,0.13093796372413635,189
596,ranked_666.csv,0.12515588104724884,666
948,ranked_602.csv,0.12462791055440903,602
336,ranked_776.csv,0.1240454837679863,776
478,ranked_552.csv,0.12258634716272354,552
944,ranked_799.csv,0.12249292433261871,799
773,ranked_854.csv,0.12219537049531937,854
604,ranked_863.csv,0.12208005040884018,863
804,ranked_642.csv,0.12171541899442673,642
572,ranked_674.csv,0.11998680233955383,674
811,ranked_900.csv,0.1183730885386467,900
492,ranked_626.csv,0.1162789911031723,626
515,ranked_816.csv,0.11575846374034882,816
108,ranked_426.csv,0.11575087159872055,426
783,ranked_778.csv,0.11529908329248428,778
863,ranked_706.csv,0.1144798994064331,706
440,ranked_675.csv,0.11248007416725159,675
533,ranked_216.csv,0.1110525131225586,216
851,ranked_703.csv,0.11096617579460144,703
663,ranked_732.csv,0.11009466648101807,732
606,ranked_760.csv,0.10846889764070511,760
567,ranked_82.csv,0.10678073763847351,82
588,ranked_206.csv,0.10650530457496643,206
890,ranked_757.csv,0.1035744845867157,757
277,ranked_469.csv,0.1024853065609932,469
892,ranked_680.csv,0.10206101089715958,680
211,ranked_790.csv,0.1015910655260086,790
296,ranked_720.csv,0.10125568509101868,720
10,ranked_545.csv,0.1009061187505722,545
34,ranked_993.csv,0.09860879927873611,993
799,ranked_224.csv,0.09814614802598953,224
904,ranked_719.csv,0.09810540080070496,719
542,ranked_645.csv,0.0971456989645958,645
54,ranked_746.csv,0.09583158046007156,746
472,ranked_609.csv,0.09544823318719864,609
566,ranked_878.csv,0.09214691072702408,878
525,ranked_852.csv,0.09126235544681549,852
175,ranked_798.csv,0.09108717739582062,798
562,ranked_872.csv,0.09070754796266556,872
977,ranked_936.csv,0.09034659713506699,936
553,ranked_354.csv,0.08912163227796555,354
742,ranked_239.csv,0.08857517689466476,239
378,ranked_554.csv,0.0870225727558136,554
559,ranked_343.csv,0.08632095903158188,343
248,ranked_271.csv,0.08627546578645706,271
660,ranked_337.csv,0.08595394343137741,337
374,ranked_772.csv,0.08594152331352234,772
858,ranked_795.csv,0.0859290137887001,795
288,ranked_630.csv,0.08536826819181442,630
884,ranked_658.csv,0.08517991006374359,658
80,ranked_785.csv,0.08514928072690964,785
490,ranked_258.csv,0.08461997658014297,258
856,ranked_907.csv,0.08445795625448227,907
532,ranked_946.csv,0.08308280259370804,946
615,ranked_462.csv,0.08292224258184433,462
519,ranked_346.csv,0.08259852975606918,346
82,ranked_723.csv,0.08244509994983673,723
456,ranked_501.csv,0.08160961419343948,501
656,ranked_991.csv,0.08126692473888397,991
448,ranked_233.csv,0.08104602992534637,233
351,ranked_636.csv,0.08050303906202316,636
36,ranked_333.csv,0.08039303869009018,333
510,ranked_197.csv,0.08031903952360153,197
730,ranked_779.csv,0.08007997274398804,779
488,ranked_818.csv,0.07950151711702347,818
792,ranked_806.csv,0.0786452665925026,806
270,ranked_716.csv,0.07843020558357239,716
146,ranked_754.csv,0.07838957756757736,754
104,ranked_742.csv,0.0782497376203537,742
938,ranked_895.csv,0.07818067818880081,895
444,ranked_406.csv,0.07777059823274612,406
137,ranked_953.csv,0.0775357335805893,953
334,ranked_684.csv,0.07752548903226852,684
536,ranked_892.csv,0.07718053460121155,892
465,ranked_840.csv,0.0766671895980835,840
434,ranked_721.csv,0.07549450546503067,721
499,ranked_230.csv,0.07509405165910721,230
995,ranked_662.csv,0.07508028298616409,662
964,ranked_481.csv,0.07493298500776291,481
847,ranked_509.csv,0.07437261939048767,509
654,ranked_826.csv,0.07434073090553284,826
842,ranked_736.csv,0.07393576949834824,736
383,ranked_812.csv,0.07347165048122406,812
208,ranked_194.csv,0.07336591929197311,194
912,ranked_205.csv,0.07321801781654358,205
69,ranked_700.csv,0.07213495671749115,700
313,ranked_297.csv,0.07135284692049026,297
715,ranked_842.csv,0.07092366367578506,842
620,ranked_249.csv,0.07092224806547165,249
801,ranked_683.csv,0.06991033256053925,683
744,ranked_867.csv,0.06955871731042862,867
956,ranked_787.csv,0.06944569200277328,787
452,ranked_228.csv,0.06909158080816269,228
129,ranked_422.csv,0.06872774660587311,422
978,ranked_752.csv,0.06855452805757523,752
625,ranked_218.csv,0.06832454353570938,218
772,ranked_625.csv,0.06815970689058304,625
24,ranked_698.csv,0.06814098358154297,698
386,ranked_257.csv,0.06774450838565826,257
339,ranked_461.csv,0.06724370270967484,461
12,ranked_214.csv,0.06693708896636963,214
731,ranked_945.csv,0.06691784411668777,945
99,ranked_731.csv,0.06680517643690109,731
417,ranked_293.csv,0.0667271688580513,293
95,ranked_788.csv,0.06667564064264297,788
757,ranked_835.csv,0.0664934515953064,835
852,ranked_699.csv,0.06648562848567963,699
324,ranked_758.csv,0.06639261543750763,758
848,ranked_132.csv,0.06636727601289749,132
752,ranked_800.csv,0.06628841906785965,800
304,ranked_734.csv,0.06500165909528732,734
274,ranked_350.csv,0.0649639219045639,350
311,ranked_237.csv,0.0648769959807396,237
544,ranked_211.csv,0.06382902711629868,211
430,ranked_292.csv,0.06360261887311935,292
901,ranked_623.csv,0.06325086206197739,623
833,ranked_893.csv,0.06308463960886002,893
406,ranked_831.csv,0.06272096931934357,831
316,ranked_822.csv,0.06260732561349869,822
90,ranked_283.csv,0.0625106543302536,283
732,ranked_717.csv,0.062293946743011475,717
676,ranked_869.csv,0.06225493550300598,869
100,ranked_750.csv,0.06224842369556427,750
548,ranked_729.csv,0.06195148080587387,729
580,ranked_285.csv,0.06188993155956268,285
57,ranked_340.csv,0.0615977868437767,340
48,ranked_563.csv,0.06138750910758972,563
682,ranked_737.csv,0.06130363047122955,737
293,ranked_547.csv,0.06129626929759979,547
62,ranked_631.csv,0.06092236936092377,631
251,ranked_638.csv,0.06089410185813904,638
74,ranked_876.csv,0.06070245802402496,876
830,ranked_920.csv,0.06066817790269852,920
398,ranked_507.csv,0.06031367927789688,507
780,ranked_963.csv,0.060284532606601715,963
987,ranked_177.csv,0.060014866292476654,177
835,ranked_627.csv,0.05997510999441147,627
547,ranked_850.csv,0.059902533888816833,850
999,ranked_323.csv,0.05987560749053955,323
461,ranked_665.csv,0.05977661907672882,665
865,ranked_599.csv,0.059722572565078735,599
766,ranked_783.csv,0.0592813715338707,783
254,ranked_990.csv,0.059241198003292084,990
329,ranked_585.csv,0.05897035449743271,585
943,ranked_610.csv,0.058955393731594086,610
436,ranked_802.csv,0.05878891050815582,802
40,ranked_743.csv,0.058592237532138824,743
960,ranked_744.csv,0.058581553399562836,744
864,ranked_382.csv,0.05824015289545059,382
905,ranked_745.csv,0.05821985751390457,745
187,ranked_634.csv,0.05796352028846741,634
497,ranked_792.csv,0.05753292143344879,792
92,ranked_747.csv,0.0575236976146698,747
380,ranked_696.csv,0.05740512162446976,696
974,ranked_409.csv,0.05737842619419098,409
418,ranked_767.csv,0.05703181028366089,767
594,ranked_879.csv,0.056907035410404205,879
812,ranked_954.csv,0.05690336972475052,954
895,ranked_536.csv,0.05680658668279648,536
486,ranked_983.csv,0.056803785264492035,983
174,ranked_269.csv,0.05662570893764496,269
506,ranked_553.csv,0.056600578129291534,553
686,ranked_949.csv,0.056592680513858795,949
759,ranked_919.csv,0.05640486627817154,919
447,ranked_250.csv,0.05634847283363342,250
79,ranked_619.csv,0.0562267005443573,619
325,ranked_937.csv,0.056148551404476166,937
775,ranked_813.csv,0.056059837341308594,813
27,ranked_632.csv,0.0559854730963707,632
583,ranked_905.csv,0.055856943130493164,905
8,ranked_995.csv,0.055808283388614655,995
902,ranked_922.csv,0.0557999387383461,922
385,ranked_280.csv,0.055776454508304596,280
113,ranked_689.csv,0.05545796453952789,689
885,ranked_924.csv,0.05544005334377289,924
918,ranked_726.csv,0.0552724227309227,726
755,ranked_839.csv,0.0547335147857666,839
671,ranked_849.csv,0.054717034101486206,849
453,ranked_804.csv,0.05467813462018967,804
909,ranked_827.csv,0.05457984656095505,827
323,ranked_586.csv,0.05451931059360504,586
120,ranked_584.csv,0.05447578430175781,584
470,ranked_985.csv,0.05440817028284073,985
629,ranked_837.csv,0.05421723425388336,837
802,ranked_896.csv,0.05418621748685837,896
426,ranked_341.csv,0.05411863327026367,341
282,ranked_191.csv,0.05407370626926422,191
860,ranked_958.csv,0.05407146364450455,958
523,ranked_775.csv,0.05402281880378723,775
41,ranked_765.csv,0.05395880341529846,765
202,ranked_617.csv,0.053740568459033966,617
650,ranked_815.csv,0.0536264106631279,815
669,ranked_708.csv,0.053512707352638245,708
357,ranked_467.csv,0.05341097712516785,467
71,ranked_894.csv,0.05333211272954941,894
64,ranked_488.csv,0.05305876582860947,488
745,ranked_880.csv,0.05303052067756653,880
900,ranked_633.csv,0.052776411175727844,633
760,ranked_914.csv,0.05275019258260727,914
280,ranked_777.csv,0.05261983722448349,777
670,ranked_875.csv,0.052442289888858795,875
963,ranked_780.csv,0.052305951714515686,780
513,ranked_577.csv,0.05211745947599411,577
43,ranked_413.csv,0.05190921574831009,413
719,ranked_663.csv,0.051742203533649445,663
132,ranked_709.csv,0.051627494394779205,709
2,ranked_704.csv,0.05161767452955246,704
924,ranked_186.csv,0.05157988518476486,186
790,ranked_236.csv,0.0515064001083374,236
153,ranked_544.csv,0.05147119611501694,544
774,ranked_718.csv,0.0512385293841362,718
389,ranked_606.csv,0.0511665865778923,606
736,ranked_962.csv,0.05089715123176575,962
221,ranked_548.csv,0.05083009600639343,548
81,ranked_906.csv,0.05079052597284317,906
659,ranked_713.csv,0.0505584180355072,713
356,ranked_996.csv,0.050512999296188354,996
474,ranked_184.csv,0.0502699539065361,184
645,ranked_770.csv,0.049962401390075684,770
460,ranked_174.csv,0.049895599484443665,174
667,ranked_603.csv,0.04988705366849899,603
915,ranked_707.csv,0.04942072182893753,707
794,ranked_873.csv,0.049376264214515686,873
986,ranked_933.csv,0.04932454228401184,933
44,ranked_756.csv,0.04923916608095169,756
37,ranked_526.csv,0.04922710359096527,526
598,ranked_979.csv,0.049131713807582855,979
414,ranked_904.csv,0.049125924706459045,904
549,ranked_824.csv,0.04902750998735428,824
831,ranked_753.csv,0.04884966462850571,753
14,ranked_551.csv,0.04850326478481293,551
278,ranked_417.csv,0.048496074974536896,417
87,ranked_728.csv,0.04841538518667221,728
581,ranked_861.csv,0.04840786010026932,861
704,ranked_302.csv,0.04834417253732681,302
198,ranked_690.csv,0.04830431193113327,690
195,ranked_970.csv,0.048121653497219086,970
263,ranked_188.csv,0.0480000302195549,188
950,ranked_865.csv,0.047897666692733765,865
541,ranked_853.csv,0.04772433638572693,853
930,ranked_419.csv,0.04760456830263138,419
807,ranked_312.csv,0.0471629872918129,312
684,ranked_891.csv,0.04714542627334595,891
528,ranked_110.csv,0.04690202325582504,110
365,ranked_446.csv,0.04689263552427292,446
328,ranked_310.csv,0.04673551023006439,310
781,ranked_836.csv,0.04659678041934967,836
463,ranked_390.csv,0.04659663140773773,390
117,ranked_982.csv,0.046506211161613464,982
257,ranked_670.csv,0.04633810371160507,670
537,ranked_830.csv,0.04599086195230484,830
299,ranked_984.csv,0.045872509479522705,984
875,ranked_740.csv,0.04584149271249771,740
303,ranked_147.csv,0.04578409343957901,147
219,ranked_425.csv,0.045773908495903015,425
281,ranked_167.csv,0.04571507126092911,167
435,ranked_591.csv,0.045696504414081573,591
50,ranked_705.csv,0.04532231390476227,705
630,ranked_693.csv,0.045306235551834106,693
607,ranked_650.csv,0.0451774075627327,650
550,ranked_847.csv,0.044760510325431824,847
545,ranked_247.csv,0.044691070914268494,247
786,ranked_475.csv,0.04465338587760925,475
776,ranked_781.csv,0.044623807072639465,781
998,ranked_897.csv,0.04448980093002319,897
945,ranked_964.csv,0.04422622174024582,964
507,ranked_276.csv,0.044161565601825714,276
176,ranked_166.csv,0.044140398502349854,166
66,ranked_761.csv,0.04402157664299011,761
305,ranked_524.csv,0.04386258125305176,524
413,ranked_828.csv,0.04378332197666168,828
778,ranked_877.csv,0.04376199096441269,877
432,ranked_445.csv,0.04348047822713852,445
46,ranked_477.csv,0.043364956974983215,477
298,ranked_803.csv,0.043264247477054596,803
680,ranked_980.csv,0.04321855306625366,980
632,ranked_797.csv,0.043200261890888214,797
199,ranked_416.csv,0.043115273118019104,416
455,ranked_541.csv,0.04309474304318428,541
688,ranked_223.csv,0.04295039921998978,223
602,ranked_741.csv,0.04283222556114197,741
