,CSV Name,Prediction Value,AlphaRank
207,ranked_583.csv,0.3882313668727875,583
54,ranked_746.csv,0.37823399901390076,746
743,ranked_615.csv,0.3435347378253937,615
630,ranked_693.csv,0.34114211797714233,693
47,ranked_517.csv,0.32026389241218567,517
277,ranked_469.csv,0.31426098942756653,469
325,ranked_937.csv,0.3072385787963867,937
705,ranked_755.csv,0.29759499430656433,755
68,ranked_998.csv,0.2971062660217285,998
56,ranked_373.csv,0.27674317359924316,373
36,ranked_333.csv,0.2751525342464447,333
401,ranked_435.csv,0.27458882331848145,435
764,ranked_464.csv,0.274101585149765,464
84,ranked_651.csv,0.24994690716266632,651
312,ranked_369.csv,0.24178946018218994,369
362,ranked_142.csv,0.23136168718338013,142
287,ranked_121.csv,0.2312077283859253,121
853,ranked_77.csv,0.2306348979473114,77
978,ranked_752.csv,0.22978582978248596,752
73,ranked_44.csv,0.2290305197238922,44
368,ranked_67.csv,0.22900259494781494,67
138,ranked_123.csv,0.22867299616336823,123
327,ranked_57.csv,0.22837644815444946,57
567,ranked_82.csv,0.22810128331184387,82
800,ranked_303.csv,0.22755029797554016,303
28,ranked_74.csv,0.22692282497882843,74
393,ranked_163.csv,0.22510069608688354,163
300,ranked_202.csv,0.22465720772743225,202
480,ranked_128.csv,0.22458358108997345,128
487,ranked_63.csv,0.22430655360221863,63
410,ranked_114.csv,0.22388891875743866,114
599,ranked_46.csv,0.22364318370819092,46
552,ranked_401.csv,0.22341766953468323,401
354,ranked_379.csv,0.2233107089996338,379
394,ranked_106.csv,0.2231655716896057,106
741,ranked_99.csv,0.2228173464536667,99
806,ranked_324.csv,0.22242943942546844,324
509,ranked_39.csv,0.22173094749450684,39
322,ranked_338.csv,0.2217143028974533,338
546,ranked_361.csv,0.2217067927122116,361
20,ranked_21.csv,0.22169548273086548,21
985,ranked_262.csv,0.2214074730873108,262
35,ranked_402.csv,0.2212020307779312,402
271,ranked_84.csv,0.2211984395980835,84
961,ranked_444.csv,0.22110560536384583,444
742,ranked_239.csv,0.22106361389160156,239
447,ranked_250.csv,0.22092881798744202,250
724,ranked_270.csv,0.22079826891422272,270
253,ranked_248.csv,0.22070097923278809,248
687,ranked_392.csv,0.22062036395072937,392
115,ranked_284.csv,0.22042082250118256,284
311,ranked_237.csv,0.22031283378601074,237
623,ranked_268.csv,0.22015586495399475,268
96,ranked_281.csv,0.21997544169425964,281
754,ranked_195.csv,0.21988186240196228,195
935,ranked_421.csv,0.21978887915611267,421
369,ranked_372.csv,0.2196868360042572,372
777,ranked_234.csv,0.21941833198070526,234
936,ranked_386.csv,0.21887342631816864,386
51,ranked_399.csv,0.21829073131084442,399
758,ranked_504.csv,0.21537640690803528,504
231,ranked_600.csv,0.21412906050682068,600
664,ranked_986.csv,0.2119634598493576,986
460,ranked_174.csv,0.2111680507659912,174
488,ranked_818.csv,0.21073102951049805,818
707,ranked_398.csv,0.21042582392692566,398
444,ranked_406.csv,0.20988713204860687,406
481,ranked_459.csv,0.20985400676727295,459
582,ranked_129.csv,0.2097110152244568,129
313,ranked_297.csv,0.20947258174419403,297
19,ranked_527.csv,0.20912784337997437,527
901,ranked_623.csv,0.20889237523078918,623
796,ranked_279.csv,0.20882558822631836,279
402,ranked_190.csv,0.20874129235744476,190
658,ranked_497.csv,0.20871107280254364,497
610,ranked_109.csv,0.20853333175182343,109
933,ranked_171.csv,0.20844890177249908,171
4,ranked_377.csv,0.20835080742835999,377
57,ranked_340.csv,0.20827117562294006,340
867,ranked_265.csv,0.2081618309020996,265
111,ranked_530.csv,0.2078714370727539,530
557,ranked_316.csv,0.2078303098678589,316
174,ranked_269.csv,0.20765912532806396,269
214,ranked_330.csv,0.2076437920331955,330
448,ranked_233.csv,0.2075938731431961,233
496,ranked_529.csv,0.20757555961608887,529
770,ranked_371.csv,0.20734620094299316,371
471,ranked_328.csv,0.20724627375602722,328
731,ranked_945.csv,0.20721475780010223,945
422,ranked_286.csv,0.20709650218486786,286
579,ranked_256.csv,0.2068789005279541,256
657,ranked_125.csv,0.20669792592525482,125
574,ranked_473.csv,0.20658442378044128,473
172,ranked_238.csv,0.20656448602676392,238
489,ranked_315.csv,0.20653332769870758,315
883,ranked_388.csv,0.20650705695152283,388
167,ranked_199.csv,0.2064334899187088,199
261,ranked_322.csv,0.20623938739299774,322
53,ranked_618.csv,0.2060396820306778,618
25,ranked_241.csv,0.20597323775291443,241
227,ranked_559.csv,0.20588722825050354,559
816,ranked_246.csv,0.20588715374469757,246
704,ranked_302.csv,0.20583927631378174,302
75,ranked_942.csv,0.20581887662410736,942
399,ranked_255.csv,0.20578967034816742,255
703,ranked_251.csv,0.20578378438949585,251
309,ranked_225.csv,0.2056494653224945,225
395,ranked_374.csv,0.20535895228385925,374
246,ranked_414.csv,0.20518562197685242,414
570,ranked_412.csv,0.20515862107276917,412
810,ranked_951.csv,0.20483902096748352,951
385,ranked_280.csv,0.20473694801330566,280
479,ranked_253.csv,0.20433756709098816,253
660,ranked_337.csv,0.20424777269363403,337
301,ranked_335.csv,0.20400398969650269,335
949,ranked_549.csv,0.20370635390281677,549
77,ranked_682.csv,0.20205026865005493,682
127,ranked_973.csv,0.20033445954322815,973
581,ranked_861.csv,0.19954079389572144,861
593,ranked_903.csv,0.19938737154006958,903
669,ranked_708.csv,0.19928866624832153,708
48,ranked_563.csv,0.19856074452400208,563
805,ranked_465.csv,0.1983093023300171,465
656,ranked_991.csv,0.19588801264762878,991
434,ranked_721.csv,0.19555100798606873,721
391,ranked_809.csv,0.19534572958946228,809
497,ranked_792.csv,0.19479472935199738,792
415,ranked_926.csv,0.19266074895858765,926
643,ranked_807.csv,0.19231531023979187,807
843,ranked_514.csv,0.1851840615272522,514
940,ranked_48.csv,0.18456938862800598,48
55,ranked_476.csv,0.18424364924430847,476
785,ranked_183.csv,0.18392951786518097,183
363,ranked_355.csv,0.1836167871952057,355
625,ranked_218.csv,0.1835697442293167,218
662,ranked_252.csv,0.18346311151981354,252
795,ranked_30.csv,0.18326757848262787,30
841,ranked_353.csv,0.18320314586162567,353
349,ranked_260.csv,0.18312400579452515,260
713,ranked_539.csv,0.1830478012561798,539
186,ranked_287.csv,0.18303334712982178,287
386,ranked_257.csv,0.18296176195144653,257
761,ranked_207.csv,0.18294759094715118,207
951,ranked_15.csv,0.18266573548316956,15
618,ranked_289.csv,0.1825166642665863,289
638,ranked_582.csv,0.18238496780395508,582
508,ranked_282.csv,0.182310551404953,282
404,ranked_170.csv,0.18215379118919373,170
723,ranked_624.csv,0.18194884061813354,624
248,ranked_271.csv,0.18185219168663025,271
749,ranked_187.csv,0.1817007064819336,187
185,ranked_405.csv,0.18166452646255493,405
862,ranked_299.csv,0.1813853532075882,299
959,ranked_179.csv,0.18137851357460022,179
200,ranked_161.csv,0.1812278926372528,161
426,ranked_341.csv,0.18118916451931,341
788,ranked_368.csv,0.18112978339195251,368
725,ranked_232.csv,0.18111294507980347,232
341,ranked_215.csv,0.1811058223247528,215
874,ranked_243.csv,0.181009441614151,243
230,ranked_204.csv,0.18004396557807922,204
85,ranked_427.csv,0.17996615171432495,427
88,ranked_378.csv,0.17954370379447937,378
730,ranked_779.csv,0.17883527278900146,779
808,ranked_463.csv,0.17816509306430817,463
431,ranked_81.csv,0.1780281364917755,81
219,ranked_425.csv,0.17748461663722992,425
526,ranked_424.csv,0.1770351380109787,424
70,ranked_423.csv,0.17682579159736633,423
130,ranked_967.csv,0.17672519385814667,967
970,ranked_715.csv,0.17633874714374542,715
585,ranked_307.csv,0.17608872056007385,307
375,ranked_915.csv,0.17226755619049072,915
190,ranked_120.csv,0.17207849025726318,120
12,ranked_214.csv,0.17161670327186584,214
834,ranked_118.csv,0.17155787348747253,118
377,ranked_112.csv,0.17067772150039673,112
809,ranked_660.csv,0.170444518327713,660
101,ranked_677.csv,0.17042943835258484,677
528,ranked_110.csv,0.1704203337430954,110
821,ranked_874.csv,0.17035555839538574,874
878,ranked_928.csv,0.17012086510658264,928
251,ranked_638.csv,0.17008665204048157,638
61,ranked_522.csv,0.16999000310897827,522
652,ranked_288.csv,0.16991038620471954,288
586,ranked_502.csv,0.1698509007692337,502
633,ranked_789.csv,0.16980764269828796,789
237,ranked_641.csv,0.16978105902671814,641
776,ranked_781.csv,0.1696021407842636,781
270,ranked_716.csv,0.16958525776863098,716
535,ranked_242.csv,0.16954800486564636,242
484,ranked_367.csv,0.16952885687351227,367
756,ranked_722.csv,0.16951417922973633,722
99,ranked_731.csv,0.1695055067539215,731
975,ranked_320.csv,0.16949628293514252,320
609,ranked_901.csv,0.1694423109292984,901
781,ranked_836.csv,0.16942556202411652,836
105,ranked_100.csv,0.16941896080970764,100
544,ranked_211.csv,0.16935335099697113,211
144,ranked_208.csv,0.16933925449848175,208
684,ranked_891.csv,0.16932427883148193,891
539,ranked_672.csv,0.16920660436153412,672
558,ranked_595.csv,0.16918370127677917,595
2,ranked_704.csv,0.1690157651901245,704
787,ranked_102.csv,0.16900357604026794,102
78,ranked_886.csv,0.16899387538433075,886
109,ranked_687.csv,0.16898156702518463,687
595,ranked_136.csv,0.16895118355751038,136
555,ranked_485.csv,0.16894395649433136,485
988,ranked_714.csv,0.16890335083007812,714
380,ranked_696.csv,0.16885368525981903,696
58,ranked_556.csv,0.1688246726989746,556
286,ranked_300.csv,0.16879382729530334,300
718,ranked_443.csv,0.1687837392091751,443
589,ranked_124.csv,0.16878166794776917,124
896,ranked_858.csv,0.1687486469745636,858
494,ranked_41.csv,0.16874772310256958,41
323,ranked_586.csv,0.1687408983707428,586
135,ranked_93.csv,0.16873881220817566,93
409,ranked_739.csv,0.16861942410469055,739
864,ranked_382.csv,0.1686047464609146,382
40,ranked_743.csv,0.1685936152935028,743
430,ranked_292.csv,0.1685754656791687,292
463,ranked_390.csv,0.16857211291790009,390
889,ranked_296.csv,0.16851899027824402,296
740,ranked_370.csv,0.16851802170276642,370
844,ranked_301.csv,0.16850510239601135,301
379,ranked_643.csv,0.16848622262477875,643
65,ranked_511.csv,0.16847342252731323,511
621,ranked_116.csv,0.1684650033712387,116
381,ranked_588.csv,0.16841521859169006,588
92,ranked_747.csv,0.16839708387851715,747
540,ranked_113.csv,0.16839247941970825,113
244,ranked_91.csv,0.1683121919631958,91
651,ranked_391.csv,0.16829261183738708,391
900,ranked_633.csv,0.16824497282505035,633
483,ranked_733.csv,0.16824188828468323,733
839,ranked_319.csv,0.16823013126850128,319
233,ranked_321.csv,0.16816648840904236,321
673,ranked_871.csv,0.1681503802537918,871
164,ranked_122.csv,0.16811363399028778,122
912,ranked_205.csv,0.16809958219528198,205
131,ranked_581.csv,0.1680816411972046,581
941,ranked_259.csv,0.16800403594970703,259
514,ranked_201.csv,0.16800296306610107,201
158,ranked_576.csv,0.16790777444839478,576
545,ranked_247.csv,0.1678844690322876,247
578,ranked_437.csv,0.16779501736164093,437
804,ranked_642.csv,0.167671799659729,642
957,ranked_72.csv,0.16759784519672394,72
182,ranked_796.csv,0.16746726632118225,796
515,ranked_816.csv,0.16744500398635864,816
168,ranked_326.csv,0.16743160784244537,326
7,ranked_185.csv,0.16742756962776184,185
663,ranked_732.csv,0.16741657257080078,732
392,ranked_306.csv,0.1674104779958725,306
717,ranked_94.csv,0.1674099862575531,94
152,ranked_309.csv,0.1674075722694397,309
9,ranked_359.csv,0.16738316416740417,359
601,ranked_75.csv,0.16724932193756104,75
947,ranked_866.csv,0.16723281145095825,866
298,ranked_803.csv,0.16722944378852844,803
334,ranked_684.csv,0.16720619797706604,684
746,ranked_263.csv,0.1671728491783142,263
953,ranked_432.csv,0.16709740459918976,432
136,ranked_773.csv,0.16704368591308594,773
215,ranked_53.csv,0.16703885793685913,53
765,ranked_347.csv,0.16701780259609222,347
342,ranked_117.csv,0.16697052121162415,117
726,ranked_349.csv,0.16683024168014526,349
82,ranked_723.csv,0.16681310534477234,723
542,ranked_645.csv,0.16678567230701447,645
495,ranked_724.csv,0.1666385531425476,724
963,ranked_780.csv,0.16659170389175415,780
361,ranked_738.csv,0.16658830642700195,738
757,ranked_835.csv,0.16657322645187378,835
974,ranked_409.csv,0.1665637493133545,409
679,ranked_868.csv,0.16652938723564148,868
387,ranked_411.csv,0.166356161236763,411
836,ranked_508.csv,0.16627565026283264,508
482,ranked_342.csv,0.1662401258945465,342
344,ranked_64.csv,0.16617274284362793,64
79,ranked_619.csv,0.16601704061031342,619
454,ranked_80.csv,0.16596946120262146,80
929,ranked_272.csv,0.16596177220344543,272
914,ranked_329.csv,0.16593864560127258,329
629,ranked_837.csv,0.16589441895484924,837
62,ranked_631.csv,0.1658410131931305,631
655,ranked_395.csv,0.16573065519332886,395
69,ranked_700.csv,0.16569456458091736,700
257,ranked_670.csv,0.16568928956985474,670
206,ranked_948.csv,0.16559144854545593,948
421,ranked_158.csv,0.16553862392902374,158
13,ranked_71.csv,0.1655261367559433,71
861,ranked_104.csv,0.16542884707450867,104
307,ranked_380.csv,0.1652311086654663,380
176,ranked_166.csv,0.16494432091712952,166
952,ranked_909.csv,0.1648859679698944,909
66,ranked_761.csv,0.16483725607395172,761
505,ranked_810.csv,0.164811909198761,810
201,ranked_254.csv,0.16478809714317322,254
211,ranked_790.csv,0.1647549867630005,790
897,ranked_385.csv,0.1647045761346817,385
116,ranked_277.csv,0.16446909308433533,277
247,ranked_478.csv,0.16425049304962158,478
353,ranked_935.csv,0.1639736294746399,935
635,ranked_566.csv,0.16395772993564606,566
203,ranked_105.csv,0.163955420255661,105
516,ranked_921.csv,0.163674458861351,921
210,ranked_518.csv,0.16366952657699585,518
627,ranked_366.csv,0.16343925893306732,366
295,ranked_648.csv,0.16328352689743042,648
169,ranked_568.csv,0.1631762534379959,568
944,ranked_799.csv,0.1631266176700592,799
45,ranked_784.csv,0.1630571484565735,784
572,ranked_674.csv,0.16287861764431,674
500,ranked_453.csv,0.16286177933216095,453
64,ranked_488.csv,0.16238711774349213,488
132,ranked_709.csv,0.16212546825408936,709
744,ranked_867.csv,0.16211387515068054,867
292,ranked_911.csv,0.16208302974700928,911
451,ranked_821.csv,0.16197048127651215,821
905,ranked_745.csv,0.16161316633224487,745
348,ranked_592.csv,0.16154491901397705,592
485,ranked_513.csv,0.16142778098583221,513
632,ranked_797.csv,0.16123482584953308,797
153,ranked_544.csv,0.16108635067939758,544
774,ranked_718.csv,0.16090239584445953,718
170,ranked_908.csv,0.16036637127399445,908
398,ranked_507.csv,0.16023406386375427,507
87,ranked_728.csv,0.15993435680866241,728
314,ranked_808.csv,0.15973009169101715,808
995,ranked_662.csv,0.15835613012313843,662
842,ranked_736.csv,0.15791746973991394,736
895,ranked_536.csv,0.15771742165088654,536
360,ranked_913.csv,0.15707720816135406,913
18,ranked_697.csv,0.1570233255624771,697
646,ranked_686.csv,0.15697680413722992,686
296,ranked_720.csv,0.15693962574005127,720
904,ranked_719.csv,0.15671193599700928,719
852,ranked_699.csv,0.15662910044193268,699
784,ranked_711.csv,0.1563769280910492,711
252,ranked_622.csv,0.15637162327766418,622
521,ranked_590.csv,0.15636533498764038,590
665,ranked_679.csv,0.15634575486183167,679
405,ranked_685.csv,0.15631017088890076,685
938,ranked_895.csv,0.15616920590400696,895
594,ranked_879.csv,0.15598423779010773,879
221,ranked_548.csv,0.15598274767398834,548
925,ranked_673.csv,0.15578901767730713,673
38,ranked_702.csv,0.1556672751903534,702
647,ranked_578.csv,0.15557578206062317,578
760,ranked_914.csv,0.15518933534622192,914
682,ranked_737.csv,0.15473487973213196,737
786,ranked_475.csv,0.15461477637290955,475
335,ranked_520.csv,0.15460868179798126,520
674,ranked_912.csv,0.15422950685024261,912
849,ranked_882.csv,0.15420907735824585,882
759,ranked_919.csv,0.1541420966386795,919
763,ranked_916.csv,0.1540583074092865,916
699,ranked_887.csv,0.15401484072208405,887
676,ranked_869.csv,0.15395069122314453,869
670,ranked_875.csv,0.15378880500793457,875
654,ranked_826.csv,0.15377575159072876,826
982,ranked_925.csv,0.1536744087934494,925
779,ranked_759.csv,0.15367233753204346,759
907,ranked_327.csv,0.15354517102241516,327
340,ranked_943.csv,0.1534825712442398,943
222,ranked_939.csv,0.15337270498275757,939
885,ranked_924.csv,0.15329930186271667,924
467,ranked_771.csv,0.15327882766723633,771
