,CSV Name,Prediction Value,AlphaRank
679,ranked_868.csv,0.20166823267936707,868
68,ranked_998.csv,0.1834559589624405,998
375,ranked_915.csv,0.1793111115694046,915
813,ranked_976.csv,0.16757729649543762,976
998,ranked_897.csv,0.1615171730518341,897
744,ranked_867.csv,0.15943381190299988,867
781,ranked_836.csv,0.1554817408323288,836
778,ranked_877.csv,0.1456371694803238,877
67,ranked_950.csv,0.14152291417121887,950
938,ranked_895.csv,0.13701000809669495,895
664,ranked_986.csv,0.13611546158790588,986
650,ranked_815.csv,0.1316354125738144,815
837,ranked_860.csv,0.12453766167163849,860
314,ranked_808.csv,0.12392833828926086,808
438,ranked_997.csv,0.12018316239118576,997
986,ranked_933.csv,0.11867700517177582,933
656,ranked_991.csv,0.11367470026016235,991
488,ranked_818.csv,0.11109935492277145,818
34,ranked_993.csv,0.10851448774337769,993
536,ranked_892.csv,0.10523945093154907,892
411,ranked_801.csv,0.10349812358617783,801
5,ranked_968.csv,0.10057255625724792,968
684,ranked_891.csv,0.10029099136590958,891
763,ranked_916.csv,0.09939553588628769,916
989,ranked_940.csv,0.0979054719209671,940
505,ranked_810.csv,0.09783870726823807,810
692,ranked_864.csv,0.09518436342477798,864
273,ranked_961.csv,0.09502306580543518,961
95,ranked_788.csv,0.09306088835000992,788
870,ranked_274.csv,0.0922035425901413,274
408,ranked_910.csv,0.09120986610651016,910
972,ranked_33.csv,0.08856628835201263,33
940,ranked_48.csv,0.08796234428882599,48
21,ranked_959.csv,0.0865185409784317,959
373,ranked_994.csv,0.08482765406370163,994
583,ranked_905.csv,0.08347204327583313,905
347,ranked_969.csv,0.08212541788816452,969
631,ranked_42.csv,0.08104497194290161,42
15,ranked_859.csv,0.08060863614082336,859
849,ranked_882.csv,0.0800257995724678,882
75,ranked_942.csv,0.07860049605369568,942
470,ranked_985.csv,0.077569380402565,985
117,ranked_982.csv,0.07585782557725906,982
291,ranked_987.csv,0.07444873452186584,987
731,ranked_945.csv,0.07422591000795364,945
292,ranked_911.csv,0.07350016385316849,911
592,ranked_971.csv,0.07303167134523392,971
468,ranked_70.csv,0.07289827615022659,70
642,ranked_833.csv,0.07256815582513809,833
30,ranked_794.csv,0.07198850065469742,794
878,ranked_928.csv,0.0698508769273758,928
812,ranked_954.csv,0.06902733445167542,954
242,ranked_180.csv,0.06883703172206879,180
676,ranked_869.csv,0.06710795313119888,869
74,ranked_876.csv,0.06632775813341141,876
319,ranked_972.csv,0.06590601056814194,972
923,ranked_823.csv,0.06564316898584366,823
598,ranked_979.csv,0.06530794501304626,979
134,ranked_975.csv,0.0616547167301178,975
858,ranked_795.csv,0.061459094285964966,795
821,ranked_874.csv,0.06059262901544571,874
453,ranked_804.csv,0.0585707351565361,804
632,ranked_797.csv,0.05648507922887802,797
41,ranked_765.csv,0.0563960000872612,765
325,ranked_937.csv,0.055421121418476105,937
977,ranked_936.csv,0.05534455180168152,936
773,ranked_854.csv,0.05521673709154129,854
593,ranked_903.csv,0.054716430604457855,903
818,ranked_977.csv,0.05231153219938278,977
694,ranked_793.csv,0.051207177340984344,793
497,ranked_792.csv,0.0511949360370636,792
127,ranked_973.csv,0.050307318568229675,973
911,ranked_786.csv,0.04942330718040466,786
644,ranked_934.csv,0.04932991415262222,934
467,ranked_771.csv,0.049248114228248596,771
323,ranked_586.csv,0.04845243692398071,586
714,ranked_883.csv,0.04813209921121597,883
701,ranked_974.csv,0.047255001962184906,974
414,ranked_904.csv,0.04663790017366409,904
626,ranked_814.csv,0.046521589159965515,814
569,ranked_932.csv,0.04650029540061951,932
108,ranked_426.csv,0.04649262875318527,426
647,ranked_578.csv,0.04643264412879944,578
952,ranked_909.csv,0.04570222645998001,909
137,ranked_953.csv,0.04536861181259155,953
890,ranked_757.csv,0.044087812304496765,757
612,ranked_978.csv,0.043790534138679504,978
130,ranked_967.csv,0.04319135099649429,967
272,ranked_989.csv,0.043020494282245636,989
734,ranked_944.csv,0.04293740540742874,944
465,ranked_840.csv,0.04290324077010155,840
934,ranked_927.csv,0.04253483563661575,927
487,ranked_63.csv,0.042125582695007324,63
407,ranked_965.csv,0.0417327918112278,965
254,ranked_990.csv,0.041646651923656464,990
590,ranked_881.csv,0.041413813829422,881
817,ranked_851.csv,0.04133785516023636,851
654,ranked_826.csv,0.04117538779973984,826
947,ranked_866.csv,0.041096508502960205,866
327,ranked_57.csv,0.04105924814939499,57
429,ranked_820.csv,0.04094023257493973,820
982,ranked_925.csv,0.04076945781707764,925
515,ranked_816.csv,0.040677472949028015,816
302,ranked_571.csv,0.04058998078107834,571
