,CSV Name,Prediction Value,AlphaRank
111,ranked_530.csv,0.4120873212814331,530
893,ranked_999.csv,0.41150301694869995,999
558,ranked_595.csv,0.35348421335220337,595
321,ranked_460.csv,0.32590749859809875,460
995,ranked_662.csv,0.29906508326530457,662
76,ranked_499.csv,0.2969932556152344,499
481,ranked_459.csv,0.2861412465572357,459
953,ranked_432.csv,0.2807791531085968,432
312,ranked_369.csv,0.27779194712638855,369
707,ranked_398.csv,0.2703063488006592,398
371,ranked_597.csv,0.2677288353443146,597
694,ranked_793.csv,0.26752769947052,793
555,ranked_485.csv,0.2637922465801239,485
719,ranked_663.csv,0.26112112402915955,663
255,ranked_450.csv,0.2595808506011963,450
990,ranked_515.csv,0.2593584954738617,515
14,ranked_551.csv,0.25833773612976074,551
41,ranked_765.csv,0.25731009244918823,765
920,ranked_567.csv,0.2565787434577942,567
235,ranked_439.csv,0.25626489520072937,439
997,ranked_646.csv,0.2504202723503113,646
247,ranked_478.csv,0.24974678456783295,478
443,ranked_456.csv,0.249591663479805,456
696,ranked_580.csv,0.24842214584350586,580
432,ranked_445.csv,0.2456667423248291,445
684,ranked_891.csv,0.24416668713092804,891
730,ranked_779.csv,0.24299603700637817,779
805,ranked_465.csv,0.2423061579465866,465
305,ranked_524.csv,0.24052487313747406,524
542,ranked_645.csv,0.23891404271125793,645
218,ranked_495.csv,0.2385038286447525,495
563,ranked_829.csv,0.2383631318807602,829
389,ranked_606.csv,0.23797492682933807,606
408,ranked_910.csv,0.23618142306804657,910
346,ranked_825.csv,0.2355676293373108,825
534,ranked_766.csv,0.23167172074317932,766
704,ranked_302.csv,0.23158100247383118,302
728,ranked_442.csv,0.23116320371627808,442
4,ranked_377.csv,0.23068320751190186,377
630,ranked_693.csv,0.2302621603012085,693
720,ranked_428.csv,0.2299283742904663,428
229,ranked_403.csv,0.22801370918750763,403
439,ranked_613.csv,0.22800828516483307,613
607,ranked_650.csv,0.22658488154411316,650
493,ranked_510.csv,0.22582566738128662,510
428,ranked_506.csv,0.22531495988368988,506
658,ranked_497.csv,0.225284606218338,497
965,ranked_885.csv,0.22246898710727692,885
302,ranked_571.csv,0.22231316566467285,571
319,ranked_972.csv,0.22224563360214233,972
53,ranked_618.csv,0.22207200527191162,618
184,ranked_434.csv,0.22073259949684143,434
876,ranked_678.csv,0.2206977903842926,678
500,ranked_453.csv,0.2200310081243515,453
478,ranked_552.csv,0.2193373292684555,552
95,ranked_788.csv,0.21916982531547546,788
843,ranked_514.csv,0.21863071620464325,514
613,ranked_657.csv,0.2183038890361786,657
109,ranked_687.csv,0.21567696332931519,687
727,ranked_387.csv,0.2139677107334137,387
503,ranked_519.csv,0.2117266207933426,519
883,ranked_388.csv,0.21147581934928894,388
713,ranked_539.csv,0.21070362627506256,539
345,ranked_381.csv,0.20856773853302002,381
352,ranked_472.csv,0.20781253278255463,472
765,ranked_347.csv,0.20763815939426422,347
278,ranked_417.csv,0.20487815141677856,417
413,ranked_828.csv,0.20411518216133118,828
297,ranked_607.csv,0.20186537504196167,607
285,ranked_605.csv,0.20040152966976166,605
