,CSV Name,Prediction Value,AlphaRank
833,ranked_893.csv,0.40525755286216736,893
78,ranked_886.csv,0.3923216760158539,886
158,ranked_576.csv,0.36754682660102844,576
483,ranked_733.csv,0.35631057620048523,733
733,ranked_659.csv,0.3439067304134369,659
195,ranked_970.csv,0.33425864577293396,970
663,ranked_732.csv,0.33031296730041504,732
537,ranked_830.csv,0.3279038071632385,830
153,ranked_544.csv,0.3270902931690216,544
314,ranked_808.csv,0.3222527801990509,808
812,ranked_954.csv,0.3167402148246765,954
77,ranked_682.csv,0.31671836972236633,682
745,ranked_880.csv,0.3154776990413666,880
170,ranked_908.csv,0.31231874227523804,908
408,ranked_910.csv,0.30766358971595764,910
166,ranked_471.csv,0.3038294017314911,471
74,ranked_876.csv,0.303792268037796,876
604,ranked_863.csv,0.302189439535141,863
525,ranked_852.csv,0.3020673394203186,852
893,ranked_999.csv,0.29919320344924927,999
692,ranked_864.csv,0.2973948121070862,864
445,ranked_941.csv,0.29676103591918945,941
802,ranked_896.csv,0.29442325234413147,896
534,ranked_766.csv,0.2942752540111542,766
860,ranked_958.csv,0.29348933696746826,958
243,ranked_468.csv,0.29264727234840393,468
626,ranked_814.csv,0.2904391288757324,814
547,ranked_850.csv,0.28987187147140503,850
130,ranked_967.csv,0.28623440861701965,967
486,ranked_983.csv,0.28551921248435974,983
538,ranked_474.csv,0.2854551374912262,474
71,ranked_894.csv,0.2839314937591553,894
539,ranked_672.csv,0.28298571705818176,672
438,ranked_997.csv,0.2826886773109436,997
209,ranked_694.csv,0.28167757391929626,694
679,ranked_868.csv,0.2813263237476349,868
61,ranked_522.csv,0.2797914445400238,522
162,ranked_503.csv,0.27803170680999756,503
798,ranked_832.csv,0.277952641248703,832
760,ranked_914.csv,0.2766706347465515,914
517,ranked_955.csv,0.27638372778892517,955
885,ranked_924.csv,0.2762821912765503,924
902,ranked_922.csv,0.2756741940975189,922
989,ranked_940.csv,0.27350157499313354,940
1,ranked_931.csv,0.27316048741340637,931
84,ranked_651.csv,0.2726122736930847,651
648,ranked_856.csv,0.27197036147117615,856
581,ranked_861.csv,0.2719534933567047,861
575,ranked_669.csv,0.2717183530330658,669
558,ranked_595.csv,0.27117446064949036,595
783,ranked_778.csv,0.2709795832633972,778
750,ranked_608.csv,0.2694307267665863,608
715,ranked_842.csv,0.2692625820636749,842
678,ranked_844.csv,0.26903167366981506,844
11,ranked_671.csv,0.26871004700660706,671
862,ranked_299.csv,0.2685551345348358,299
3,ranked_653.csv,0.2679051458835602,653
865,ranked_599.csv,0.26724931597709656,599
503,ranked_519.csv,0.26443958282470703,519
403,ranked_918.csv,0.2610092759132385,918
325,ranked_937.csv,0.26084011793136597,937
682,ranked_737.csv,0.258527934551239,737
423,ranked_899.csv,0.2577846050262451,899
132,ranked_709.csv,0.25645187497138977,709
308,ranked_890.csv,0.2562865614891052,890
541,ranked_853.csv,0.2552165687084198,853
433,ranked_843.csv,0.25413742661476135,843
163,ranked_848.csv,0.25399330258369446,848
938,ranked_895.csv,0.25326406955718994,895
821,ranked_874.csv,0.2513927221298218,874
910,ranked_764.csv,0.25018614530563354,764
495,ranked_724.csv,0.24996726214885712,724
476,ranked_846.csv,0.249906986951828,846
630,ranked_693.csv,0.24933259189128876,693
980,ranked_569.csv,0.24801592528820038,569
650,ranked_815.csv,0.24801017343997955,815
827,ranked_534.csv,0.2479092925786972,534
774,ranked_718.csv,0.24784782528877258,718
644,ranked_934.csv,0.2472420036792755,934
904,ranked_719.csv,0.24646110832691193,719
977,ranked_936.csv,0.24619118869304657,936
289,ranked_819.csv,0.24466952681541443,819
524,ranked_960.csv,0.24437282979488373,960
424,ranked_917.csv,0.2433747500181198,917
562,ranked_872.csv,0.24317379295825958,872
336,ranked_776.csv,0.24188365042209625,776
30,ranked_794.csv,0.2418602555990219,794
231,ranked_600.csv,0.24179431796073914,600
505,ranked_810.csv,0.24117690324783325,810
642,ranked_833.csv,0.24061070382595062,833
378,ranked_554.csv,0.23968686163425446,554
441,ranked_537.csv,0.23890937864780426,537
903,ranked_956.csv,0.23817843198776245,956
997,ranked_646.csv,0.23765473067760468,646
956,ranked_787.csv,0.23656977713108063,787
360,ranked_913.csv,0.23612114787101746,913
667,ranked_603.csv,0.2359687089920044,603
506,ranked_553.csv,0.23523950576782227,553
293,ranked_547.csv,0.23487414419651031,547
353,ranked_935.csv,0.23356123268604279,935
550,ranked_847.csv,0.23334349691867828,847
451,ranked_821.csv,0.2330315262079239,821
128,ranked_8.csv,0.2327103316783905,8
306,ranked_540.csv,0.2324880063533783,540
165,ranked_664.csv,0.2312776744365692,664
731,ranked_945.csv,0.23085863888263702,945
609,ranked_901.csv,0.23064863681793213,901
375,ranked_915.csv,0.23051835596561432,915
161,ranked_389.csv,0.2304837554693222,389
212,ranked_902.csv,0.22980265319347382,902
583,ranked_905.csv,0.22912420332431793,905
368,ranked_67.csv,0.22803370654582977,67
406,ranked_831.csv,0.22714608907699585,831
982,ranked_925.csv,0.22687943279743195,925
252,ranked_622.csv,0.2267041802406311,622
791,ranked_598.csv,0.2266189306974411,598
602,ranked_741.csv,0.22612370550632477,741
17,ranked_655.csv,0.22584688663482666,655
443,ranked_456.csv,0.22563724219799042,456
807,ranked_312.csv,0.2246740311384201,312
683,ranked_58.csv,0.2237359583377838,58
734,ranked_944.csv,0.2236649990081787,944
222,ranked_939.csv,0.22365786135196686,939
