,CSV Name,Prediction Value,AlphaRank
510,ranked_781.csv,0.14562956988811493,781
286,ranked_802.csv,0.1296854168176651,802
346,ranked_946.csv,0.12378935515880585,946
404,ranked_462.csv,0.11279480904340744,462
38,ranked_727.csv,0.10637901723384857,727
478,ranked_387.csv,0.0999554991722107,387
273,ranked_926.csv,0.09979091584682465,926
118,ranked_576.csv,0.09451092779636383,576
644,ranked_560.csv,0.08963710069656372,560
132,ranked_405.csv,0.08909092098474503,405
571,ranked_420.csv,0.0853191465139389,420
431,ranked_337.csv,0.08465331047773361,337
16,ranked_314.csv,0.08220896124839783,314
146,ranked_790.csv,0.07853630185127258,790
551,ranked_860.csv,0.07836883515119553,860
394,ranked_741.csv,0.07761035114526749,741
110,ranked_490.csv,0.07674827426671982,490
398,ranked_760.csv,0.07659077644348145,760
422,ranked_578.csv,0.07502824813127518,578
149,ranked_330.csv,0.07334788888692856,330
163,ranked_439.csv,0.07330898940563202,439
642,ranked_940.csv,0.07323550432920456,940
269,ranked_114.csv,0.0728585422039032,114
438,ranked_708.csv,0.07125799357891083,708
240,ranked_738.csv,0.06749433279037476,738
86,ranked_487.csv,0.06576794385910034,487
297,ranked_541.csv,0.0647939071059227,541
69,ranked_747.csv,0.06403913348913193,747
64,ranked_427.csv,0.06377056986093521,427
103,ranked_773.csv,0.06191077083349228,773
375,ranked_674.csv,0.060398317873477936,674
619,ranked_866.csv,0.059305816888809204,866
234,ranked_935.csv,0.05847649276256561,935
596,ranked_764.csv,0.05768895894289017,764
108,ranked_735.csv,0.05730137974023819,735
223,ranked_776.csv,0.05649567395448685,776
256,ranked_257.csv,0.05344964563846588,257
79,ranked_742.csv,0.05157630890607834,742
87,ranked_284.csv,0.05114979296922684,284
63,ranked_651.csv,0.05099828541278839,651
305,ranked_771.csv,0.04831650108098984,771
46,ranked_631.csv,0.048238277435302734,631
214,ranked_758.csv,0.04719313979148865,758
472,ranked_443.csv,0.04495227336883545,443
226,ranked_943.csv,0.04325050860643387,943
516,ranked_475.csv,0.041704121977090836,475
604,ranked_673.csv,0.04136236011981964,673
183,ranked_384.csv,0.039429813623428345,384
208,ranked_808.csv,0.03942446410655975,808
117,ranked_550.csv,0.03906836360692978,550
227,ranked_542.csv,0.038291193544864655,542
330,ranked_810.csv,0.03664049133658409,810
495,ranked_839.csv,0.03559829294681549,839
635,ranked_752.csv,0.03494133800268173,752
220,ranked_730.csv,0.03483748435974121,730
159,ranked_403.csv,0.0340317040681839,403
202,ranked_734.csv,0.033907148987054825,734
380,ranked_437.csv,0.0334954634308815,437
216,ranked_447.csv,0.03349224105477333,447
111,ranked_754.csv,0.033301666378974915,754
343,ranked_23.csv,0.03297582268714905,23
579,ranked_658.csv,0.03291013464331627,658
623,ranked_787.csv,0.03237902373075485,787
457,ranked_793.csv,0.030967503786087036,793
485,ranked_944.csv,0.029969720169901848,944
640,ranked_933.csv,0.02951890230178833,933
588,ranked_385.csv,0.029498938471078873,385
647,ranked_662.csv,0.02890615165233612,662
567,ranked_795.csv,0.028883609920740128,795
71,ranked_788.csv,0.02877829782664776,788
56,ranked_942.csv,0.028368135914206505,942
444,ranked_845.csv,0.028355995193123817,845
447,ranked_868.csv,0.02818138897418976,868
558,ranked_647.csv,0.027256663888692856,647
573,ranked_274.csv,0.02698049508035183,274
505,ranked_480.csv,0.02641277201473713,480
542,ranked_628.csv,0.026026569306850433,628
33,ranked_784.csv,0.025732487440109253,784
515,ranked_778.csv,0.02570602484047413,778
362,ranked_401.csv,0.025454018265008926,401
503,ranked_464.csv,0.025408007204532623,464
396,ranked_863.csv,0.025025777518749237,863
195,ranked_648.csv,0.024508172646164894,648
428,ranked_395.csv,0.024361977353692055,395
345,ranked_805.csv,0.024264125153422356,805
369,ranked_829.csv,0.02403375506401062,829
265,ranked_831.csv,0.023898834362626076,831
574,ranked_740.csv,0.02332295849919319,740
174,ranked_670.csv,0.02290918678045273,670
397,ranked_483.csv,0.022697869688272476,483
30,ranked_765.csv,0.0224141962826252,765
367,ranked_343.csv,0.02236780896782875,343
320,ranked_983.csv,0.022230662405490875,983
413,ranked_693.csv,0.022157099097967148,693
3,ranked_653.csv,0.021980896592140198,653
40,ranked_746.csv,0.02194179594516754,746
491,ranked_947.csv,0.02192135527729988,947
221,ranked_684.csv,0.021850867196917534,684
607,ranked_710.csv,0.021776610985398293,710
539,ranked_874.csv,0.021744363009929657,874
24,ranked_402.csv,0.021424848586320877,402
566,ranked_701.csv,0.020998843014240265,701
45,ranked_522.csv,0.020751632750034332,522
358,ranked_729.csv,0.020705584436655045,729
618,ranked_418.csv,0.02069026604294777,418
207,ranked_297.csv,0.02034943178296089,297
493,ranked_800.csv,0.020269690081477165,800
32,ranked_756.csv,0.02025560662150383,756
282,ranked_820.csv,0.0201956145465374,820
633,ranked_441.csv,0.020096976310014725,441
482,ranked_945.csv,0.019849110394716263,945
337,ranked_635.csv,0.01962863653898239,635
606,ranked_419.csv,0.019455427303910255,419
383,ranked_905.csv,0.019341319799423218,905
128,ranked_798.csv,0.019291549921035767,798
427,ranked_826.csv,0.01885182596743107,826
347,ranked_766.csv,0.01873469538986683,766
537,ranked_851.csv,0.018584389239549637,851
611,ranked_895.csv,0.01847418211400509,895
49,ranked_761.csv,0.01847304403781891,761
432,ranked_244.csv,0.018260130658745766,244
113,ranked_601.csv,0.01695723459124565,601
215,ranked_937.csv,0.016500817611813545,937
188,ranked_562.csv,0.016276132315397263,562
173,ranked_450.csv,0.016032777726650238,450
527,ranked_855.csv,0.015918539837002754,855
298,ranked_501.csv,0.015551581978797913,501
486,ranked_13.csv,0.015396052971482277,13
137,ranked_791.csv,0.015150977298617363,791
462,ranked_451.csv,0.014623373746871948,451
229,ranked_825.csv,0.014113616198301315,825
84,ranked_712.csv,0.01400671061128378,712
587,ranked_858.csv,0.01364040095359087,858
439,ranked_875.csv,0.013578929007053375,875
621,ranked_909.csv,0.013138974085450172,909
89,ranked_982.csv,0.012765185907483101,982
51,ranked_998.csv,0.012444084510207176,998
204,ranked_540.csv,0.01244064886122942,540
572,ranked_261.csv,0.012299123220145702,261
568,ranked_557.csv,0.012095516547560692,557
448,ranked_980.csv,0.012022987008094788,980
247,ranked_994.csv,0.01201318483799696,994
199,ranked_984.csv,0.011809409596025944,984
182,ranked_961.csv,0.011688722297549248,961
433,ranked_986.csv,0.011539488099515438,986
136,ranked_970.csv,0.011511540971696377,970
487,ranked_962.csv,0.011508055031299591,962
288,ranked_997.csv,0.011454206891357899,997
73,ranked_981.csv,0.011264853179454803,981
392,ranked_979.csv,0.011250702664256096,979
95,ranked_90.csv,0.011200002394616604,90
96,ranked_973.csv,0.011139275506138802,973
585,ranked_999.csv,0.01113629899919033,999
23,ranked_993.csv,0.011128589510917664,993
155,ranked_325.csv,0.011125125922262669,325
19,ranked_988.csv,0.01112392544746399,988
230,ranked_969.csv,0.01112186349928379,969
7,ranked_995.csv,0.011082622222602367,995
22,ranked_966.csv,0.011068876832723618,966
361,ranked_992.csv,0.010980900377035141,992
236,ranked_996.csv,0.010915903374552727,996
296,ranked_821.csv,0.010905205272138119,821
338,ranked_346.csv,0.010897807776927948,346
210,ranked_972.csv,0.010757829993963242,972
5,ranked_968.csv,0.010726621374487877,968
387,ranked_971.csv,0.01058902870863676,971
172,ranked_990.csv,0.0105723412707448,990
266,ranked_965.csv,0.010569590143859386,965
617,ranked_964.csv,0.010509910061955452,964
391,ranked_448.csv,0.010460106655955315,448
535,ranked_976.csv,0.0104487594217062,976
355,ranked_247.csv,0.01038596872240305,247
98,ranked_967.csv,0.010305475443601608,967
144,ranked_694.csv,0.010271850042045116,694
402,ranked_978.csv,0.010181610472500324,978
513,ranked_963.csv,0.010094661265611649,963
461,ranked_974.csv,0.010068095289170742,974
429,ranked_991.csv,0.009726755321025848,991
307,ranked_985.csv,0.009384915232658386,985
181,ranked_989.csv,0.009334702976047993,989
50,ranked_950.csv,0.009292591363191605,950
294,ranked_941.csv,0.009215576574206352,941
239,ranked_913.csv,0.00918002799153328,913
321,ranked_818.csv,0.009142986498773098,818
74,ranked_731.csv,0.00906040146946907,731
559,ranked_509.csv,0.008629411458969116,509
161,ranked_600.csv,0.008587246760725975,600
107,ranked_494.csv,0.008445671759545803,494
370,ranked_878.csv,0.008424319326877594,878
100,ranked_709.csv,0.008309043943881989,709
581,ranked_339.csv,0.00808667205274105,339
1,ranked_931.csv,0.00808484386652708,931
625,ranked_744.csv,0.007924048230051994,744
417,ranked_833.csv,0.007903516292572021,833
550,ranked_508.csv,0.00779907638207078,508
116,ranked_544.csv,0.007720489054918289,544
191,ranked_987.csv,0.007711732294410467,987
445,ranked_869.csv,0.007697094697505236,869
260,ranked_306.csv,0.007685085758566856,306
313,ranked_267.csv,0.007642513606697321,267
175,ranked_762.csv,0.007594424299895763,762
469,ranked_883.csv,0.0074097514152526855,883
612,ranked_313.csv,0.007377938833087683,313
454,ranked_392.csv,0.007359631825238466,392
351,ranked_672.csv,0.007270802743732929,672
502,ranked_916.csv,0.007255552802234888,916
304,ranked_351.csv,0.007212115917354822,351
141,ranked_948.csv,0.007198860868811607,948
620,ranked_865.csv,0.007067830301821232,865
388,ranked_903.csv,0.007060477510094643,903
591,ranked_623.csv,0.007039847318083048,623
440,ranked_849.csv,0.007032865658402443,849
243,ranked_725.csv,0.007013686001300812,725
334,ranked_816.csv,0.007008897140622139,816
268,ranked_739.csv,0.0069917053915560246,739
410,ranked_134.csv,0.006897171027958393,134
481,ranked_779.csv,0.0068516721948981285,779
200,ranked_335.csv,0.006820928305387497,335
246,ranked_139.csv,0.006784606259316206,139
395,ranked_138.csv,0.006782029755413532,138
169,ranked_414.csv,0.006765030790120363,414
631,ranked_768.csv,0.00673219608142972,768
