,CSV Name,Prediction Value,AlphaRank
418,ranked_899.csv,0.2918091416358948,899
469,ranked_360.csv,0.2855484187602997,360
411,ranked_564.csv,0.23786580562591553,564
969,ranked_441.csv,0.23310720920562744,441
61,ranked_86.csv,0.2305898666381836,86
284,ranked_121.csv,0.2271183729171753,121
342,ranked_381.csv,0.22566057741641998,381
458,ranked_575.csv,0.22399498522281647,575
60,ranked_631.csv,0.20484775304794312,631
283,ranked_300.csv,0.16127556562423706,300
85,ranked_378.csv,0.15867972373962402,378
396,ranked_435.csv,0.15031148493289948,435
207,ranked_518.csv,0.1494167298078537,518
612,ranked_289.csv,0.1448533535003662,289
597,ranked_138.csv,0.14264370501041412,138
302,ranked_524.csv,0.1403215229511261,524
954,ranked_444.csv,0.1394125074148178,444
300,ranked_147.csv,0.13387545943260193,147
844,ranked_393.csv,0.1320991814136505,393
590,ranked_666.csv,0.13107845187187195,666
799,ranked_465.csv,0.12891316413879395,465
978,ranked_262.csv,0.1279153674840927,262
136,ranked_410.csv,0.12737461924552917,410
493,ranked_230.csv,0.12713976204395294,230
972,ranked_400.csv,0.12588359415531158,400
359,ranked_355.csv,0.1233459860086441,355
171,ranked_269.csv,0.12212638556957245,269
901,ranked_493.csv,0.12065389007329941,493
46,ranked_563.csv,0.11914277821779251,563
376,ranked_588.csv,0.11604250967502594,588
858,ranked_382.csv,0.11425650864839554,382
99,ranked_637.csv,0.11404428631067276,637
729,ranked_13.csv,0.11397846788167953,13
232,ranked_439.csv,0.11275744438171387,439
478,ranked_367.csv,0.11257481575012207,367
748,ranked_195.csv,0.11132936179637909,195
621,ranked_366.csv,0.1082838922739029,366
240,ranked_468.csv,0.10794059932231903,468
862,ranked_261.csv,0.10508577525615692,261
252,ranked_450.csv,0.09871957451105118,450
656,ranked_252.csv,0.09799543768167496,252
184,ranked_634.csv,0.09780137240886688,634
866,ranked_295.csv,0.09770095348358154,295
809,ranked_561.csv,0.08872633427381516,561
26,ranked_632.csv,0.08809012919664383,632
951,ranked_79.csv,0.08791069686412811,79
776,ranked_54.csv,0.0871720165014267,54
238,ranked_466.csv,0.08675362914800644,466
278,ranked_167.csv,0.08674875646829605,167
583,ranked_124.csv,0.08482766896486282,124
884,ranked_757.csv,0.0844937190413475,757
941,ranked_602.csv,0.08400942385196686,602
421,ranked_341.csv,0.08341435343027115,341
579,ranked_307.csv,0.08260271698236465,307
398,ranked_918.csv,0.08244654536247253,918
33,ranked_402.csv,0.08163755387067795,402
484,ranked_258.csv,0.08129312098026276,258
242,ranked_331.csv,0.07941371202468872,331
485,ranked_154.csv,0.07852061092853546,154
634,ranked_500.csv,0.07793530076742172,500
731,ranked_396.csv,0.07775560766458511,396
824,ranked_920.csv,0.07753287255764008,920
823,ranked_95.csv,0.07712702453136444,95
362,ranked_725.csv,0.07612909376621246,725
689,ranked_40.csv,0.075995072722435,40
501,ranked_276.csv,0.07580414414405823,276
266,ranked_594.csv,0.07500892132520676,594
681,ranked_392.csv,0.07474164664745331,392
967,ranked_409.csv,0.07472864538431168,409
392,ranked_604.csv,0.07438553124666214,604
47,ranked_160.csv,0.07432832568883896,160
440,ranked_149.csv,0.07427652180194855,149
599,ranked_483.csv,0.07275014370679855,483
505,ranked_9.csv,0.07255639135837555,9
626,ranked_797.csv,0.0725502297282219,797
520,ranked_424.csv,0.07223709672689438,424
14,ranked_859.csv,0.07087716460227966,859
912,ranked_748.csv,0.07037606090307236,748
611,ranked_5.csv,0.07011257112026215,5
551,ranked_316.csv,0.06988945603370667,316
707,ranked_539.csv,0.06955552101135254,539
983,ranked_515.csv,0.06954525411128998,515
349,ranked_472.csv,0.06926066428422928,472
66,ranked_700.csv,0.06880194693803787,700
946,ranked_432.csv,0.06835456937551498,432
863,ranked_573.csv,0.06723129004240036,573
931,ranked_895.csv,0.06704778969287872,895
922,ranked_272.csv,0.06695356965065002,272
115,ranked_304.csv,0.06673678010702133,304
955,ranked_429.csv,0.0663064643740654,429
137,ranked_494.csv,0.06491299718618393,494
711,ranked_94.csv,0.06487824022769928,94
639,ranked_770.csv,0.06463073194026947,770
516,ranked_35.csv,0.06459952890872955,35
510,ranked_921.csv,0.06435604393482208,921
318,ranked_460.csv,0.06413350254297256,460
511,ranked_955.csv,0.06304194033145905,955
700,ranked_774.csv,0.06291542202234268,774
586,ranked_971.csv,0.06268743425607681,971
32,ranked_220.csv,0.062315210700035095,220
454,ranked_174.csv,0.06191784888505936,174
270,ranked_961.csv,0.06171708554029465,961
648,ranked_826.csv,0.061267539858818054,826
90,ranked_769.csv,0.060838326811790466,769
852,ranked_795.csv,0.06057631969451904,795
407,ranked_240.csv,0.060574933886528015,240
457,ranked_390.csv,0.06011386960744858,390
177,ranked_137.csv,0.05980526655912399,137
567,ranked_334.csv,0.05948083847761154,334
417,ranked_286.csv,0.059148967266082764,286
556,ranked_872.csv,0.05907279998064041,872
86,ranked_17.csv,0.058997273445129395,17
574,ranked_285.csv,0.05890951305627823,285
742,ranked_751.csv,0.05859549343585968,751
945,ranked_909.csv,0.058549121022224426,909
153,ranked_348.csv,0.05808886140584946,348
187,ranked_120.csv,0.05793290585279465,120
881,ranked_339.csv,0.05789617449045181,339
841,ranked_509.csv,0.057716190814971924,509
378,ranked_812.csv,0.057701945304870605,812
236,ranked_133.csv,0.05656946450471878,133
559,ranked_181.csv,0.0562424436211586,181
443,ranked_153.csv,0.056236542761325836,153
960,ranked_245.csv,0.05609351396560669,245
76,ranked_619.csv,0.05576542764902115,619
754,ranked_914.csv,0.05570311099290848,914
957,ranked_481.csv,0.05542292445898056,481
939,ranked_418.csv,0.054838478565216064,418
605,ranked_957.csv,0.05458103120326996,957
876,ranked_376.csv,0.0543304905295372,376
962,ranked_768.csv,0.05390838533639908,768
167,ranked_908.csv,0.05382128059864044,908
146,ranked_601.csv,0.05381671339273453,601
622,ranked_27.csv,0.053795814514160156,27
18,ranked_527.csv,0.05357268452644348,527
758,ranked_464.csv,0.05350598692893982,464
286,ranked_819.csv,0.0531994104385376,819
860,ranked_420.csv,0.05284377932548523,420
900,ranked_327.csv,0.052229560911655426,327
528,ranked_766.csv,0.051390014588832855,766
964,ranked_383.csv,0.05124001204967499,383
610,ranked_898.csv,0.05100984871387482,898
277,ranked_777.csv,0.05100885033607483,777
353,ranked_467.csv,0.05099505931138992,467
405,ranked_114.csv,0.05084657669067383,114
663,ranked_708.csv,0.05077594518661499,708
37,ranked_332.csv,0.050674133002758026,332
161,ranked_122.csv,0.05043734610080719,122
455,ranked_665.csv,0.05039804428815842,665
198,ranked_254.csv,0.05030395835638046,254
315,ranked_317.csv,0.05021389573812485,317
805,ranked_900.csv,0.05019431561231613,900
374,ranked_643.csv,0.04965142905712128,643
0,ranked_546.csv,0.04921560734510422,546
