,CSV Name,Prediction Value,AlphaRank
324,ranked_758.csv,0.5008659958839417,758
794,ranked_873.csv,0.48595938086509705,873
857,ranked_701.csv,0.4857514500617981,701
273,ranked_961.csv,0.48565056920051575,961
407,ranked_965.csv,0.48487991094589233,965
401,ranked_435.csv,0.48349565267562866,435
0,ranked_546.csv,0.4833545386791229,546
541,ranked_853.csv,0.48016127943992615,853
577,ranked_531.csv,0.4788086712360382,531
222,ranked_939.csv,0.47879907488822937,939
98,ranked_981.csv,0.4780639410018921,981
605,ranked_483.csv,0.4776495695114136,483
977,ranked_936.csv,0.4771033227443695,936
437,ranked_496.csv,0.4760540723800659,496
686,ranked_949.csv,0.4760124385356903,949
445,ranked_941.csv,0.4748755991458893,941
361,ranked_738.csv,0.47466686367988586,738
171,ranked_505.csv,0.4738817512989044,505
438,ranked_997.csv,0.47342750430107117,997
473,ranked_930.csv,0.4727044403553009,930
478,ranked_552.csv,0.47221019864082336,552
234,ranked_838.csv,0.4721141755580902,838
811,ranked_900.csv,0.4720210134983063,900
264,ranked_952.csv,0.47197529673576355,952
969,ranked_768.csv,0.4719598591327667,768
720,ranked_428.csv,0.4717662036418915,428
810,ranked_951.csv,0.47175678610801697,951
537,ranked_830.csv,0.47135379910469055,830
813,ranked_976.csv,0.47123897075653076,976
470,ranked_985.csv,0.4707849621772766,985
656,ranked_991.csv,0.47076475620269775,991
77,ranked_682.csv,0.4703541398048401,682
102,ranked_637.csv,0.470245897769928,637
938,ranked_895.csv,0.4684157967567444,895
466,ranked_351.csv,0.46823397278785706,351
440,ranked_675.csv,0.4680180847644806,675
21,ranked_959.csv,0.4679650664329529,959
326,ranked_447.csv,0.46793100237846375,447
729,ranked_639.csv,0.4678688645362854,639
82,ranked_723.csv,0.46786728501319885,723
831,ranked_753.csv,0.4677148461341858,753
375,ranked_915.csv,0.46738943457603455,915
106,ranked_593.csv,0.4673045873641968,593
532,ranked_946.csv,0.467242568731308,946
212,ranked_902.csv,0.4672400951385498,902
486,ranked_983.csv,0.46701809763908386,983
679,ranked_868.csv,0.46560269594192505,868
551,ranked_992.csv,0.46545305848121643,992
731,ranked_945.csv,0.46504053473472595,945
100,ranked_750.csv,0.4649016261100769,750
609,ranked_901.csv,0.46446624398231506,901
736,ranked_962.csv,0.46421578526496887,962
42,ranked_528.csv,0.46391892433166504,528
121,ranked_407.csv,0.46311837434768677,407
482,ranked_342.csv,0.4631132185459137,342
366,ranked_725.csv,0.46284687519073486,725
