,CSV Name,Prediction Value,AlphaRank
893,ranked_999.csv,0.014363663271069527,999
647,ranked_578.csv,0.001759546808898449,578
68,ranked_998.csv,0.0016019344329833984,998
423,ranked_899.csv,0.001571611501276493,899
260,ranked_629.csv,0.0015005860477685928,629
592,ranked_971.csv,0.0014887340366840363,971
353,ranked_935.csv,0.0014848187565803528,935
403,ranked_918.csv,0.0013537406921386719,918
29,ranked_36.csv,0.0011706072837114334,36
334,ranked_684.csv,0.0011474806815385818,684
400,ranked_52.csv,0.0011241771280765533,52
659,ranked_713.csv,0.0008867392316460609,713
802,ranked_896.csv,0.0008752131834626198,896
695,ranked_40.csv,0.0008469093590974808,40
951,ranked_15.csv,0.0008438769727945328,15
211,ranked_790.csv,0.0008397791534662247,790
317,ranked_43.csv,0.0007698154076933861,43
92,ranked_747.csv,0.0007637385278940201,747
972,ranked_33.csv,0.0007367413491010666,33
734,ranked_944.csv,0.0007225684821605682,944
739,ranked_50.csv,0.0007011443376541138,50
551,ranked_992.csv,0.000684613361954689,992
324,ranked_758.csv,0.0006354767829179764,758
549,ranked_824.csv,0.0006261030212044716,824
275,ranked_1.csv,0.0005948711186647415,1
216,ranked_12.csv,0.0005820756778120995,12
522,ranked_35.csv,0.0005496256053447723,35
380,ranked_696.csv,0.0005330955609679222,696
137,ranked_953.csv,0.000448005273938179,953
722,ranked_66.csv,0.00044278986752033234,66
390,ranked_0.csv,0.00043957866728305817,0
751,ranked_19.csv,0.0003598826006054878,19
228,ranked_676.csv,0.00035002268850803375,676
249,ranked_291.csv,0.0003227284178137779,291
805,ranked_465.csv,0.0003216201439499855,465
108,ranked_426.csv,0.000257665291428566,426
468,ranked_70.csv,0.0002284478396177292,70
205,ranked_38.csv,0.0001550372689962387,38
356,ranked_996.csv,9.260326623916626e-05,996
412,ranked_240.csv,8.454732596874237e-05,240
558,ranked_595.csv,7.329974323511124e-05,595
673,ranked_871.csv,7.119681686162949e-05,871
794,ranked_873.csv,6.953813135623932e-05,873
308,ranked_890.csv,5.744118243455887e-05,890
485,ranked_513.csv,5.7091936469078064e-05,513
919,ranked_748.csv,3.49460169672966e-05,748
539,ranked_672.csv,2.5352463126182556e-05,672
348,ranked_592.csv,8.246861398220062e-06,592
531,ranked_805.csv,-8.481554687023163e-06,805
434,ranked_721.csv,-3.74307855963707e-05,721
486,ranked_983.csv,-4.822760820388794e-05,983
382,ranked_656.csv,-5.299411714076996e-05,656
302,ranked_571.csv,-6.498489528894424e-05,571
61,ranked_522.csv,-7.995776832103729e-05,522
126,ranked_108.csv,-9.068846702575684e-05,108
111,ranked_530.csv,-9.073968976736069e-05,530
579,ranked_256.csv,-0.00010153278708457947,256
635,ranked_566.csv,-0.00011789239943027496,566
715,ranked_842.csv,-0.00011890195310115814,842
744,ranked_867.csv,-0.00012010522186756134,867
6,ranked_3.csv,-0.00014355778694152832,3
538,ranked_474.csv,-0.0001472393050789833,474
618,ranked_289.csv,-0.00015102606266736984,289
913,ranked_408.csv,-0.00015135016292333603,408
859,ranked_557.csv,-0.00018917210400104523,557
594,ranked_879.csv,-0.00018927361816167831,879
368,ranked_67.csv,-0.00020848773419857025,67
672,ranked_555.csv,-0.00022213347256183624,555
687,ranked_392.csv,-0.0002231411635875702,392
192,ranked_69.csv,-0.00022820476442575455,69
748,ranked_751.csv,-0.00022857263684272766,751
42,ranked_528.csv,-0.0002323361113667488,528
988,ranked_714.csv,-0.00023814290761947632,714
256,ranked_37.csv,-0.00024050474166870117,37
163,ranked_848.csv,-0.0002478109672665596,848
495,ranked_724.csv,-0.00024898722767829895,724
283,ranked_562.csv,-0.00025229621678590775,562
809,ranked_660.csv,-0.00025369133800268173,660
925,ranked_673.csv,-0.00025462452322244644,673
860,ranked_958.csv,-0.00025561265647411346,958
484,ranked_367.csv,-0.0002601519227027893,367
818,ranked_977.csv,-0.0002664560452103615,977
246,ranked_414.csv,-0.000266500748693943,414
823,ranked_857.csv,-0.0002755681052803993,857
185,ranked_405.csv,-0.0002790074795484543,405
670,ranked_875.csv,-0.00027931760996580124,875
768,ranked_480.csv,-0.000288533978164196,480
197,ranked_221.csv,-0.0002909945324063301,221
84,ranked_651.csv,-0.00029309652745723724,651
10,ranked_545.csv,-0.0002954527735710144,545
70,ranked_423.csv,-0.00030242931097745895,423
552,ranked_401.csv,-0.00030473992228507996,401
191,ranked_24.csv,-0.0003060121089220047,24
85,ranked_427.csv,-0.0003092074766755104,427
984,ranked_26.csv,-0.00031231995671987534,26
401,ranked_435.csv,-0.0003151828423142433,435
46,ranked_477.csv,-0.00032396893948316574,477
225,ranked_455.csv,-0.00032402947545051575,455
811,ranked_900.csv,-0.00032466743141412735,900
523,ranked_775.csv,-0.00033299345523118973,775
856,ranked_907.csv,-0.00033366773277521133,907
735,ranked_13.csv,-0.00034360960125923157,13
297,ranked_607.csv,-0.00034704990684986115,607
436,ranked_802.csv,-0.0003479132428765297,802
142,ranked_735.csv,-0.00036219414323568344,735
350,ranked_363.csv,-0.0003659687936306,363
997,ranked_646.csv,-0.00036901887506246567,646
808,ranked_463.csv,-0.0003741579130291939,463
543,ranked_336.csv,-0.00037821847945451736,336
94,ranked_433.csv,-0.0003864569589495659,433
26,ranked_988.csv,-0.00039374642074108124,988
55,ranked_476.csv,-0.00040469225496053696,476
942,ranked_431.csv,-0.0004051895812153816,431
837,ranked_860.csv,-0.00040595605969429016,860
437,ranked_496.csv,-0.00040996912866830826,496
473,ranked_930.csv,-0.0004134085029363632,930
712,ranked_535.csv,-0.00041611120104789734,535
568,ranked_438.csv,-0.00041673798114061356,438
757,ranked_835.csv,-0.0004172995686531067,835
21,ranked_959.csv,-0.00042302999645471573,959
960,ranked_744.csv,-0.00042445212602615356,744
119,ranked_596.csv,-0.0004256637766957283,596
370,ranked_20.csv,-0.00044066179543733597,20
220,ranked_11.csv,-0.00044185109436511993,11
570,ranked_412.csv,-0.0004429677501320839,412
272,ranked_989.csv,-0.0004438301548361778,989
397,ranked_604.csv,-0.0004463428631424904,604
645,ranked_770.csv,-0.0004486534744501114,770
610,ranked_109.csv,-0.00046278443187475204,109
364,ranked_2.csv,-0.0004659118130803108,2
640,ranked_500.csv,-0.0004672175273299217,500
166,ranked_471.csv,-0.0004687737673521042,471
337,ranked_111.csv,-0.0004713619127869606,111
725,ranked_232.csv,-0.00047487858682870865,232
992,ranked_560.csv,-0.00047766510397195816,560
481,ranked_459.csv,-0.0004886444658041,459
789,ranked_681.csv,-0.0004953257739543915,681
77,ranked_682.csv,-0.0004992969334125519,682
930,ranked_419.csv,-0.0004996117204427719,419
58,ranked_556.csv,-0.0005068844184279442,556
104,ranked_742.csv,-0.0005073742941021919,742
399,ranked_255.csv,-0.0005075670778751373,255
857,ranked_701.csv,-0.000509810633957386,701
931,ranked_710.csv,-0.0005109217017889023,710
162,ranked_503.csv,-0.0005132528021931648,503
