,CSV Name,Prediction Value,AlphaRank
448,ranked_233.csv,0.3427211046218872,233
751,ranked_19.csv,0.3371925354003906,19
393,ranked_163.csv,0.3362607955932617,163
474,ranked_184.csv,0.32927757501602173,184
603,ranked_138.csv,0.3272232711315155,138
565,ranked_181.csv,0.3147427439689636,181
709,ranked_611.csv,0.2826373279094696,611
250,ranked_210.csv,0.28198307752609253,210
167,ranked_199.csv,0.27744364738464355,199
269,ranked_594.csv,0.27324095368385315,594
753,ranked_97.csv,0.2719697654247284,97
742,ranked_239.csv,0.27099016308784485,239
793,ranked_196.csv,0.2704806327819824,196
309,ranked_225.csv,0.26767703890800476,225
126,ranked_108.csv,0.26060929894447327,108
933,ranked_171.csv,0.26041510701179504,171
623,ranked_268.csv,0.2592929005622864,268
959,ranked_179.csv,0.259284108877182,179
754,ranked_195.csv,0.2592165172100067,195
402,ranked_190.csv,0.25921449065208435,190
777,ranked_234.csv,0.25599831342697144,234
281,ranked_167.csv,0.25419628620147705,167
820,ranked_213.csv,0.24728068709373474,213
449,ranked_153.csv,0.2454931139945984,153
367,ranked_222.csv,0.24538090825080872,222
303,ranked_147.csv,0.2432548701763153,147
33,ranked_220.csv,0.24311695992946625,220
912,ranked_205.csv,0.23313568532466888,205
133,ranked_231.csv,0.23182706534862518,231
91,ranked_229.csv,0.23095177114009857,229
229,ranked_403.csv,0.22888381779193878,403
621,ranked_116.csv,0.22794286906719208,116
837,ranked_860.csv,0.2217261791229248,860
64,ranked_488.csv,0.22069308161735535,488
520,ranked_14.csv,0.21927747130393982,14
897,ranked_385.csv,0.2182299941778183,385
454,ranked_80.csv,0.21768030524253845,80
60,ranked_6.csv,0.21731257438659668,6
937,ranked_264.csv,0.2172795534133911,264
681,ranked_176.csv,0.21710407733917236,176
782,ranked_54.csv,0.2170969396829605,54
194,ranked_18.csv,0.21549145877361298,18
452,ranked_228.csv,0.21408912539482117,228
868,ranked_261.csv,0.2136193811893463,261
588,ranked_206.csv,0.21360081434249878,206
871,ranked_51.csv,0.2133156806230545,51
485,ranked_513.csv,0.21224045753479004,513
416,ranked_564.csv,0.21218936145305634,564
491,ranked_154.csv,0.21201707422733307,154
236,ranked_162.csv,0.21024926006793976,162
643,ranked_807.csv,0.20953115820884705,807
502,ranked_89.csv,0.20769217610359192,89
484,ranked_367.csv,0.20698845386505127,367
42,ranked_528.csv,0.20654308795928955,528
680,ranked_980.csv,0.2049364447593689,980
213,ranked_182.csv,0.2048507034778595,182
531,ranked_805.csv,0.20416390895843506,805
888,ranked_226.csv,0.20387455821037292,226
987,ranked_177.csv,0.20267972350120544,177
27,ranked_632.csv,0.20222309231758118,632
460,ranked_174.csv,0.2013622522354126,174
12,ranked_214.csv,0.19974178075790405,214
121,ranked_407.csv,0.19962093234062195,407
574,ranked_473.csv,0.19888079166412354,473
294,ranked_479.csv,0.1987246572971344,479
209,ranked_694.csv,0.19849169254302979,694
272,ranked_989.csv,0.198031947016716,989
790,ranked_236.csv,0.19736117124557495,236
776,ranked_781.csv,0.19699957966804504,781
154,ranked_172.csv,0.19654157757759094,172
827,ranked_534.csv,0.19610893726348877,534
180,ranked_137.csv,0.1952356994152069,137
865,ranked_599.csv,0.19523319602012634,599
591,ranked_155.csv,0.19515813887119293,155
291,ranked_987.csv,0.1951216459274292,987
599,ranked_46.csv,0.19508831202983856,46
425,ranked_294.csv,0.19507625699043274,294
225,ranked_455.csv,0.1949368417263031,455
433,ranked_843.csv,0.1944599151611328,843
339,ranked_461.csv,0.19413936138153076,461
428,ranked_506.csv,0.19314180314540863,506
208,ranked_194.csv,0.19309087097644806,194
347,ranked_969.csv,0.19307905435562134,969
404,ranked_170.csv,0.19248835742473602,170
114,ranked_487.csv,0.1922598034143448,487
992,ranked_560.csv,0.19220200181007385,560
708,ranked_173.csv,0.19166581332683563,173
638,ranked_582.csv,0.19161391258239746,582
749,ranked_187.csv,0.19150057435035706,187
867,ranked_265.csv,0.19127899408340454,265
468,ranked_70.csv,0.19126439094543457,70
829,ranked_95.csv,0.19097739458084106,95
227,ranked_559.csv,0.19069576263427734,559
915,ranked_707.csv,0.19068744778633118,707
13,ranked_71.csv,0.19023820757865906,71
530,ranked_834.csv,0.19022294878959656,834
200,ranked_161.csv,0.19004255533218384,161
634,ranked_140.csv,0.18989406526088715,140
190,ranked_120.csv,0.1896842122077942,120
