Filename,Value,AlphaFold Rank
ranked_989.pdb_clean,0.6519,989.0
ranked_988.pdb_clean,0.6307,988.0
ranked_997.pdb_clean,0.6272,997.0
ranked_102.pdb_clean,0.6236,102.0
ranked_100.pdb_clean,0.6235,100.0
ranked_190.pdb_clean,0.6191,190.0
ranked_121.pdb_clean,0.6189,121.0
ranked_38.pdb_clean,0.6165,38.0
ranked_169.pdb_clean,0.6150,169.0
ranked_13.pdb_clean,0.6144,13.0
ranked_606.pdb_clean,0.6142,606.0
ranked_115.pdb_clean,0.6129,115.0
ranked_40.pdb_clean,0.6121,40.0
ranked_36.pdb_clean,0.6116,36.0
ranked_191.pdb_clean,0.6113,191.0
ranked_148.pdb_clean,0.6110,148.0
ranked_345.pdb_clean,0.6088,345.0
ranked_20.pdb_clean,0.6086,20.0
ranked_775.pdb_clean,0.6080,775.0
ranked_738.pdb_clean,0.6077,738.0
ranked_636.pdb_clean,0.6077,636.0
ranked_80.pdb_clean,0.6076,80.0
ranked_141.pdb_clean,0.6072,141.0
ranked_233.pdb_clean,0.6071,233.0
ranked_33.pdb_clean,0.6069,33.0
ranked_60.pdb_clean,0.6064,60.0
ranked_130.pdb_clean,0.6062,130.0
ranked_788.pdb_clean,0.6057,788.0
ranked_99.pdb_clean,0.6056,99.0
ranked_29.pdb_clean,0.6051,29.0
ranked_647.pdb_clean,0.6049,647.0
ranked_463.pdb_clean,0.6049,463.0
ranked_219.pdb_clean,0.6047,219.0
ranked_815.pdb_clean,0.6046,815.0
ranked_185.pdb_clean,0.6045,185.0
ranked_66.pdb_clean,0.6039,66.0
ranked_179.pdb_clean,0.6035,179.0
ranked_78.pdb_clean,0.6034,78.0
ranked_30.pdb_clean,0.6032,30.0
ranked_773.pdb_clean,0.6026,773.0
ranked_72.pdb_clean,0.6026,72.0
ranked_146.pdb_clean,0.6025,146.0
ranked_664.pdb_clean,0.6022,664.0
ranked_94.pdb_clean,0.6021,94.0
ranked_731.pdb_clean,0.6014,731.0
ranked_63.pdb_clean,0.6009,63.0
ranked_180.pdb_clean,0.6009,180.0
ranked_106.pdb_clean,0.6005,106.0
ranked_74.pdb_clean,0.6002,74.0
ranked_799.pdb_clean,0.6001,799.0
ranked_7.pdb_clean,0.5995,7.0
7QWV_AB,0.5993,
ranked_864.pdb_clean,0.5991,864.0
ranked_120.pdb_clean,0.5989,120.0
ranked_58.pdb_clean,0.5988,58.0
ranked_595.pdb_clean,0.5987,595.0
ranked_68.pdb_clean,0.5985,68.0
ranked_991.pdb_clean,0.5982,991.0
ranked_206.pdb_clean,0.5982,206.0
ranked_798.pdb_clean,0.5981,798.0
ranked_52.pdb_clean,0.5980,52.0
ranked_857.pdb_clean,0.5975,857.0
ranked_73.pdb_clean,0.5975,73.0
ranked_6.pdb_clean,0.5975,6.0
ranked_805.pdb_clean,0.5974,805.0
ranked_652.pdb_clean,0.5973,652.0
ranked_14.pdb_clean,0.5973,14.0
ranked_82.pdb_clean,0.5972,82.0
ranked_779.pdb_clean,0.5971,779.0
ranked_938.pdb_clean,0.5970,938.0
ranked_807.pdb_clean,0.5970,807.0
ranked_79.pdb_clean,0.5970,79.0
ranked_783.pdb_clean,0.5968,783.0
ranked_23.pdb_clean,0.5967,23.0
ranked_95.pdb_clean,0.5965,95.0
ranked_734.pdb_clean,0.5965,734.0
ranked_662.pdb_clean,0.5965,662.0
ranked_32.pdb_clean,0.5965,32.0
ranked_118.pdb_clean,0.5965,118.0
ranked_110.pdb_clean,0.5963,110.0
ranked_741.pdb_clean,0.5962,741.0
ranked_5.pdb_clean,0.5962,5.0
ranked_62.pdb_clean,0.5961,62.0
ranked_865.pdb_clean,0.5959,865.0
ranked_22.pdb_clean,0.5955,22.0
ranked_37.pdb_clean,0.5952,37.0
ranked_175.pdb_clean,0.5952,175.0
ranked_714.pdb_clean,0.5949,714.0
ranked_75.pdb_clean,0.5948,75.0
ranked_856.pdb_clean,0.5946,856.0
ranked_133.pdb_clean,0.5946,133.0
