Filename,Value,AlphaFold Rank
ranked_695.pdb_clean,0.5766,695.0
ranked_644.pdb_clean,0.5747,644.0
ranked_576.pdb_clean,0.5587,576.0
ranked_717.pdb_clean,0.5331,717.0
ranked_579.pdb_clean,0.5264,579.0
ranked_586.pdb_clean,0.5128,586.0
ranked_580.pdb_clean,0.5054,580.0
ranked_611.pdb_clean,0.5045,611.0
ranked_599.pdb_clean,0.4972,599.0
ranked_701.pdb_clean,0.4960,701.0
ranked_564.pdb_clean,0.4931,564.0
ranked_560.pdb_clean,0.4902,560.0
ranked_638.pdb_clean,0.4796,638.0
ranked_614.pdb_clean,0.4732,614.0
ranked_647.pdb_clean,0.4506,647.0
ranked_584.pdb_clean,0.4378,584.0
ranked_713.pdb_clean,0.4247,713.0
ranked_668.pdb_clean,0.4172,668.0
ranked_625.pdb_clean,0.4105,625.0
ranked_553.pdb_clean,0.4103,553.0
ranked_4.pdb_clean,0.3998,4.0
ranked_700.pdb_clean,0.3964,700.0
ranked_2.pdb_clean,0.3962,2.0
ranked_36.pdb_clean,0.3951,36.0
ranked_532.pdb_clean,0.3932,532.0
ranked_489.pdb_clean,0.3911,489.0
ranked_0.pdb_clean,0.3907,0.0
ranked_722.pdb_clean,0.3906,722.0
ranked_39.pdb_clean,0.3901,39.0
ranked_605.pdb_clean,0.3900,605.0
7R2M_DE,0.3899,
ranked_27.pdb_clean,0.3882,27.0
ranked_29.pdb_clean,0.3879,29.0
ranked_3.pdb_clean,0.3877,3.0
ranked_30.pdb_clean,0.3877,30.0
ranked_41.pdb_clean,0.3875,41.0
ranked_21.pdb_clean,0.3873,21.0
ranked_15.pdb_clean,0.3868,15.0
ranked_33.pdb_clean,0.3863,33.0
ranked_20.pdb_clean,0.3862,20.0
ranked_16.pdb_clean,0.3857,16.0
ranked_40.pdb_clean,0.3854,40.0
ranked_22.pdb_clean,0.3853,22.0
ranked_31.pdb_clean,0.3846,31.0
ranked_19.pdb_clean,0.3846,19.0
ranked_13.pdb_clean,0.3844,13.0
ranked_6.pdb_clean,0.3843,6.0
ranked_9.pdb_clean,0.3830,9.0
ranked_32.pdb_clean,0.3826,32.0
ranked_26.pdb_clean,0.3826,26.0
ranked_11.pdb_clean,0.3824,11.0
ranked_25.pdb_clean,0.3822,25.0
ranked_7.pdb_clean,0.3821,7.0
ranked_24.pdb_clean,0.3815,24.0
ranked_35.pdb_clean,0.3812,35.0
ranked_12.pdb_clean,0.3809,12.0
ranked_14.pdb_clean,0.3803,14.0
ranked_23.pdb_clean,0.3788,23.0
ranked_610.pdb_clean,0.3785,610.0
ranked_10.pdb_clean,0.3782,10.0
ranked_8.pdb_clean,0.3781,8.0
ranked_607.pdb_clean,0.3781,607.0
ranked_28.pdb_clean,0.3778,28.0
ranked_5.pdb_clean,0.3766,5.0
ranked_1.pdb_clean,0.3757,1.0
ranked_38.pdb_clean,0.3755,38.0
ranked_689.pdb_clean,0.3749,689.0
ranked_48.pdb_clean,0.3749,48.0
ranked_94.pdb_clean,0.3744,94.0
ranked_91.pdb_clean,0.3738,91.0
ranked_63.pdb_clean,0.3737,63.0
ranked_69.pdb_clean,0.3717,69.0
ranked_55.pdb_clean,0.3717,55.0
ranked_77.pdb_clean,0.3715,77.0
ranked_175.pdb_clean,0.3714,175.0
ranked_75.pdb_clean,0.3710,75.0
ranked_720.pdb_clean,0.3710,720.0
ranked_49.pdb_clean,0.3708,49.0
ranked_47.pdb_clean,0.3702,47.0
ranked_44.pdb_clean,0.3701,44.0
ranked_54.pdb_clean,0.3698,54.0
ranked_61.pdb_clean,0.3692,61.0
ranked_18.pdb_clean,0.3692,18.0
ranked_43.pdb_clean,0.3691,43.0
ranked_595.pdb_clean,0.3688,595.0
ranked_52.pdb_clean,0.3688,52.0
ranked_87.pdb_clean,0.3687,87.0
ranked_515.pdb_clean,0.3676,515.0
ranked_411.pdb_clean,0.3666,411.0
ranked_58.pdb_clean,0.3648,58.0
ranked_569.pdb_clean,0.3645,569.0
ranked_62.pdb_clean,0.3643,62.0
ranked_73.pdb_clean,0.3639,73.0
ranked_17.pdb_clean,0.3636,17.0
ranked_728.pdb_clean,0.3618,728.0
ranked_51.pdb_clean,0.3613,51.0
ranked_53.pdb_clean,0.3609,53.0
ranked_88.pdb_clean,0.3602,88.0
ranked_587.pdb_clean,0.3602,587.0
ranked_657.pdb_clean,0.3601,657.0
ranked_56.pdb_clean,0.3600,56.0
ranked_72.pdb_clean,0.3594,72.0
ranked_639.pdb_clean,0.3588,639.0
ranked_510.pdb_clean,0.3586,510.0
ranked_496.pdb_clean,0.3580,496.0
ranked_78.pdb_clean,0.3568,78.0
ranked_97.pdb_clean,0.3561,97.0
ranked_478.pdb_clean,0.3553,478.0
ranked_546.pdb_clean,0.3551,546.0
ranked_632.pdb_clean,0.3538,632.0
ranked_631.pdb_clean,0.3531,631.0
ranked_939.pdb_clean,0.3529,939.0
ranked_115.pdb_clean,0.3517,115.0
ranked_89.pdb_clean,0.3511,89.0
ranked_80.pdb_clean,0.3511,80.0
ranked_208.pdb_clean,0.3506,208.0
ranked_168.pdb_clean,0.3498,168.0
ranked_653.pdb_clean,0.3492,653.0
ranked_679.pdb_clean,0.3491,679.0
ranked_198.pdb_clean,0.3486,198.0
ranked_449.pdb_clean,0.3478,449.0
ranked_658.pdb_clean,0.3475,658.0
ranked_519.pdb_clean,0.3466,519.0
ranked_98.pdb_clean,0.3462,98.0
ranked_125.pdb_clean,0.3461,125.0
ranked_649.pdb_clean,0.3456,649.0
ranked_127.pdb_clean,0.3453,127.0
ranked_102.pdb_clean,0.3452,102.0
ranked_67.pdb_clean,0.3438,67.0
ranked_65.pdb_clean,0.3436,65.0
ranked_615.pdb_clean,0.3434,615.0
ranked_319.pdb_clean,0.3434,319.0
ranked_280.pdb_clean,0.3432,280.0
ranked_101.pdb_clean,0.3428,101.0
ranked_513.pdb_clean,0.3427,513.0
