Filename,Value,AlphaFold Rank
ranked_976.pdb_clean,0.4409,976.0
ranked_816.pdb_clean,0.4238,816.0
ranked_844.pdb_clean,0.4192,844.0
ranked_631.pdb_clean,0.4185,631.0
ranked_965.pdb_clean,0.4176,965.0
ranked_590.pdb_clean,0.4165,590.0
ranked_522.pdb_clean,0.4151,522.0
ranked_554.pdb_clean,0.4134,554.0
ranked_624.pdb_clean,0.4126,624.0
ranked_606.pdb_clean,0.4120,606.0
ranked_511.pdb_clean,0.4116,511.0
ranked_531.pdb_clean,0.4115,531.0
ranked_549.pdb_clean,0.4113,549.0
ranked_510.pdb_clean,0.4111,510.0
ranked_559.pdb_clean,0.4106,559.0
ranked_620.pdb_clean,0.4105,620.0
ranked_707.pdb_clean,0.4104,707.0
ranked_526.pdb_clean,0.4095,526.0
ranked_865.pdb_clean,0.4094,865.0
ranked_948.pdb_clean,0.4092,948.0
ranked_930.pdb_clean,0.4089,930.0
ranked_750.pdb_clean,0.4088,750.0
ranked_579.pdb_clean,0.4086,579.0
ranked_536.pdb_clean,0.4081,536.0
ranked_515.pdb_clean,0.4080,515.0
ranked_562.pdb_clean,0.4078,562.0
ranked_778.pdb_clean,0.4076,778.0
ranked_977.pdb_clean,0.4072,977.0
ranked_92.pdb_clean,0.4070,92.0
ranked_472.pdb_clean,0.4069,472.0
ranked_415.pdb_clean,0.4069,415.0
ranked_751.pdb_clean,0.4068,751.0
ranked_578.pdb_clean,0.4066,578.0
ranked_514.pdb_clean,0.4064,514.0
ranked_548.pdb_clean,0.4063,548.0
ranked_481.pdb_clean,0.4057,481.0
ranked_678.pdb_clean,0.4053,678.0
ranked_512.pdb_clean,0.4050,512.0
ranked_376.pdb_clean,0.4049,376.0
ranked_593.pdb_clean,0.4047,593.0
ranked_890.pdb_clean,0.4044,890.0
ranked_824.pdb_clean,0.4044,824.0
ranked_575.pdb_clean,0.4043,575.0
ranked_848.pdb_clean,0.4042,848.0
ranked_964.pdb_clean,0.4041,964.0
ranked_764.pdb_clean,0.4041,764.0
ranked_693.pdb_clean,0.4041,693.0
ranked_940.pdb_clean,0.4037,940.0
ranked_885.pdb_clean,0.4037,885.0
ranked_460.pdb_clean,0.4037,460.0
ranked_837.pdb_clean,0.4036,837.0
ranked_567.pdb_clean,0.4036,567.0
ranked_635.pdb_clean,0.4034,635.0
ranked_726.pdb_clean,0.4033,726.0
ranked_738.pdb_clean,0.4031,738.0
ranked_967.pdb_clean,0.4030,967.0
ranked_573.pdb_clean,0.4030,573.0
ranked_894.pdb_clean,0.4029,894.0
ranked_867.pdb_clean,0.4028,867.0
ranked_644.pdb_clean,0.4028,644.0
ranked_834.pdb_clean,0.4026,834.0
ranked_501.pdb_clean,0.4026,501.0
ranked_817.pdb_clean,0.4025,817.0
ranked_808.pdb_clean,0.4024,808.0
ranked_708.pdb_clean,0.4024,708.0
ranked_519.pdb_clean,0.4024,519.0
ranked_498.pdb_clean,0.4021,498.0
ranked_868.pdb_clean,0.4020,868.0
ranked_767.pdb_clean,0.4020,767.0
ranked_592.pdb_clean,0.4020,592.0
ranked_52.pdb_clean,0.4020,52.0
ranked_653.pdb_clean,0.4018,653.0
ranked_925.pdb_clean,0.4017,925.0
ranked_636.pdb_clean,0.4017,636.0
ranked_492.pdb_clean,0.4016,492.0
ranked_720.pdb_clean,0.4015,720.0
ranked_695.pdb_clean,0.4015,695.0
ranked_856.pdb_clean,0.4014,856.0
ranked_563.pdb_clean,0.4014,563.0
ranked_507.pdb_clean,0.4014,507.0
ranked_829.pdb_clean,0.4012,829.0
ranked_694.pdb_clean,0.4012,694.0
ranked_570.pdb_clean,0.4012,570.0
ranked_505.pdb_clean,0.4012,505.0
ranked_632.pdb_clean,0.4010,632.0
ranked_672.pdb_clean,0.4009,672.0
ranked_612.pdb_clean,0.4006,612.0
ranked_603.pdb_clean,0.4006,603.0
ranked_985.pdb_clean,0.4004,985.0
ranked_823.pdb_clean,0.4004,823.0
ranked_934.pdb_clean,0.4003,934.0
ranked_550.pdb_clean,0.4003,550.0
ranked_485.pdb_clean,0.4003,485.0
ranked_933.pdb_clean,0.4001,933.0
ranked_873.pdb_clean,0.4001,873.0
ranked_621.pdb_clean,0.4001,621.0
ranked_464.pdb_clean,0.4001,464.0
ranked_628.pdb_clean,0.4000,628.0
ranked_534.pdb_clean,0.4000,534.0
ranked_737.pdb_clean,0.3999,737.0
ranked_557.pdb_clean,0.3999,557.0
ranked_702.pdb_clean,0.3998,702.0
ranked_482.pdb_clean,0.3998,482.0
ranked_630.pdb_clean,0.3997,630.0
ranked_966.pdb_clean,0.3996,966.0
ranked_955.pdb_clean,0.3996,955.0
ranked_981.pdb_clean,0.3995,981.0
ranked_960.pdb_clean,0.3995,960.0
ranked_610.pdb_clean,0.3995,610.0
ranked_555.pdb_clean,0.3995,555.0
ranked_929.pdb_clean,0.3994,929.0
ranked_611.pdb_clean,0.3992,611.0
ranked_986.pdb_clean,0.3991,986.0
ranked_91.pdb_clean,0.3991,91.0
ranked_711.pdb_clean,0.3991,711.0
ranked_687.pdb_clean,0.3991,687.0
ranked_477.pdb_clean,0.3990,477.0
ranked_506.pdb_clean,0.3989,506.0
ranked_565.pdb_clean,0.3987,565.0
