Filename,Value,AlphaFold Rank
ranked_2.pdb_clean,0.5804,2.0
ranked_22.pdb_clean,0.5678,22.0
ranked_53.pdb_clean,0.5650,53.0
ranked_70.pdb_clean,0.5562,70.0
ranked_959.pdb_clean,0.5545,959.0
ranked_123.pdb_clean,0.5540,123.0
ranked_30.pdb_clean,0.5518,30.0
ranked_61.pdb_clean,0.5516,61.0
ranked_573.pdb_clean,0.5488,573.0
ranked_231.pdb_clean,0.5481,231.0
ranked_935.pdb_clean,0.5476,935.0
ranked_157.pdb_clean,0.5468,157.0
ranked_968.pdb_clean,0.5467,968.0
ranked_4.pdb_clean,0.5467,4.0
ranked_62.pdb_clean,0.5449,62.0
ranked_960.pdb_clean,0.5440,960.0
ranked_14.pdb_clean,0.5440,14.0
ranked_33.pdb_clean,0.5435,33.0
ranked_87.pdb_clean,0.5431,87.0
ranked_7.pdb_clean,0.5414,7.0
ranked_6.pdb_clean,0.5411,6.0
ranked_725.pdb_clean,0.5410,725.0
ranked_161.pdb_clean,0.5410,161.0
ranked_956.pdb_clean,0.5408,956.0
ranked_44.pdb_clean,0.5405,44.0
ranked_41.pdb_clean,0.5404,41.0
ranked_854.pdb_clean,0.5403,854.0
ranked_8.pdb_clean,0.5402,8.0
ranked_147.pdb_clean,0.5400,147.0
ranked_26.pdb_clean,0.5398,26.0
ranked_974.pdb_clean,0.5395,974.0
ranked_133.pdb_clean,0.5391,133.0
ranked_92.pdb_clean,0.5390,92.0
ranked_627.pdb_clean,0.5389,627.0
ranked_908.pdb_clean,0.5387,908.0
ranked_246.pdb_clean,0.5385,246.0
ranked_633.pdb_clean,0.5384,633.0
ranked_528.pdb_clean,0.5382,528.0
ranked_864.pdb_clean,0.5379,864.0
ranked_420.pdb_clean,0.5376,420.0
ranked_18.pdb_clean,0.5373,18.0
ranked_755.pdb_clean,0.5365,755.0
ranked_255.pdb_clean,0.5362,255.0
ranked_11.pdb_clean,0.5361,11.0
ranked_934.pdb_clean,0.5359,934.0
ranked_20.pdb_clean,0.5355,20.0
ranked_151.pdb_clean,0.5352,151.0
ranked_35.pdb_clean,0.5351,35.0
ranked_186.pdb_clean,0.5346,186.0
ranked_967.pdb_clean,0.5345,967.0
ranked_65.pdb_clean,0.5345,65.0
ranked_28.pdb_clean,0.5345,28.0
ranked_798.pdb_clean,0.5342,798.0
ranked_971.pdb_clean,0.5336,971.0
ranked_951.pdb_clean,0.5336,951.0
ranked_379.pdb_clean,0.5335,379.0
ranked_27.pdb_clean,0.5335,27.0
ranked_650.pdb_clean,0.5333,650.0
ranked_38.pdb_clean,0.5330,38.0
ranked_84.pdb_clean,0.5327,84.0
ranked_48.pdb_clean,0.5327,48.0
ranked_160.pdb_clean,0.5326,160.0
ranked_63.pdb_clean,0.5325,63.0
ranked_59.pdb_clean,0.5325,59.0
ranked_57.pdb_clean,0.5324,57.0
ranked_15.pdb_clean,0.5324,15.0
ranked_889.pdb_clean,0.5323,889.0
ranked_856.pdb_clean,0.5320,856.0
ranked_761.pdb_clean,0.5319,761.0
ranked_809.pdb_clean,0.5318,809.0
ranked_184.pdb_clean,0.5315,184.0
ranked_1.pdb_clean,0.5311,1.0
ranked_9.pdb_clean,0.5310,9.0
ranked_19.pdb_clean,0.5309,19.0
ranked_925.pdb_clean,0.5308,925.0
ranked_58.pdb_clean,0.5306,58.0
