Filename,Value,AlphaFold Rank
ranked_666.pdb_clean,0.5654,666.0
ranked_656.pdb_clean,0.5632,656.0
ranked_724.pdb_clean,0.5608,724.0
ranked_783.pdb_clean,0.5591,783.0
ranked_730.pdb_clean,0.5570,730.0
ranked_628.pdb_clean,0.5554,628.0
ranked_753.pdb_clean,0.5551,753.0
ranked_608.pdb_clean,0.5548,608.0
ranked_704.pdb_clean,0.5536,704.0
ranked_931.pdb_clean,0.5512,931.0
ranked_747.pdb_clean,0.5507,747.0
ranked_679.pdb_clean,0.5499,679.0
ranked_689.pdb_clean,0.5496,689.0
ranked_712.pdb_clean,0.5479,712.0
ranked_690.pdb_clean,0.5472,690.0
ranked_735.pdb_clean,0.5471,735.0
ranked_705.pdb_clean,0.5469,705.0
ranked_676.pdb_clean,0.5468,676.0
ranked_621.pdb_clean,0.5468,621.0
ranked_775.pdb_clean,0.5458,775.0
ranked_637.pdb_clean,0.5452,637.0
ranked_754.pdb_clean,0.5451,754.0
ranked_695.pdb_clean,0.5446,695.0
ranked_734.pdb_clean,0.5434,734.0
ranked_642.pdb_clean,0.5424,642.0
ranked_785.pdb_clean,0.5413,785.0
ranked_673.pdb_clean,0.5411,673.0
ranked_813.pdb_clean,0.5409,813.0
ranked_629.pdb_clean,0.5409,629.0
ranked_692.pdb_clean,0.5405,692.0
ranked_722.pdb_clean,0.5403,722.0
ranked_606.pdb_clean,0.5394,606.0
ranked_768.pdb_clean,0.5392,768.0
ranked_795.pdb_clean,0.5388,795.0
ranked_723.pdb_clean,0.5388,723.0
ranked_610.pdb_clean,0.5387,610.0
ranked_770.pdb_clean,0.5382,770.0
ranked_687.pdb_clean,0.5382,687.0
ranked_623.pdb_clean,0.5378,623.0
ranked_634.pdb_clean,0.5376,634.0
ranked_675.pdb_clean,0.5375,675.0
ranked_596.pdb_clean,0.5375,596.0
ranked_662.pdb_clean,0.5372,662.0
ranked_736.pdb_clean,0.5368,736.0
ranked_837.pdb_clean,0.5366,837.0
ranked_624.pdb_clean,0.5366,624.0
ranked_646.pdb_clean,0.5363,646.0
ranked_851.pdb_clean,0.5362,851.0
ranked_609.pdb_clean,0.5355,609.0
ranked_640.pdb_clean,0.5351,640.0
ranked_697.pdb_clean,0.5349,697.0
ranked_617.pdb_clean,0.5344,617.0
ranked_633.pdb_clean,0.5342,633.0
ranked_668.pdb_clean,0.5341,668.0
ranked_711.pdb_clean,0.5339,711.0
ranked_774.pdb_clean,0.5338,774.0
ranked_641.pdb_clean,0.5338,641.0
ranked_732.pdb_clean,0.5321,732.0
ranked_620.pdb_clean,0.5320,620.0
ranked_604.pdb_clean,0.5320,604.0
ranked_653.pdb_clean,0.5314,653.0
ranked_685.pdb_clean,0.5313,685.0
ranked_787.pdb_clean,0.5312,787.0
ranked_683.pdb_clean,0.5311,683.0
ranked_755.pdb_clean,0.5310,755.0
ranked_728.pdb_clean,0.5310,728.0
ranked_726.pdb_clean,0.5305,726.0
ranked_660.pdb_clean,0.5302,660.0
ranked_632.pdb_clean,0.5301,632.0
ranked_766.pdb_clean,0.5298,766.0
ranked_809.pdb_clean,0.5297,809.0
ranked_598.pdb_clean,0.5295,598.0
ranked_710.pdb_clean,0.5292,710.0
ranked_639.pdb_clean,0.5289,639.0
