Filename,Value,AlphaFold Rank
ranked_248.pdb_clean,0.6457,248.0
ranked_220.pdb_clean,0.6450,220.0
ranked_216.pdb_clean,0.6440,216.0
ranked_123.pdb_clean,0.6423,123.0
ranked_15.pdb_clean,0.6420,15.0
ranked_93.pdb_clean,0.6412,93.0
ranked_97.pdb_clean,0.6406,97.0
ranked_229.pdb_clean,0.6404,229.0
ranked_12.pdb_clean,0.6404,12.0
ranked_55.pdb_clean,0.6402,55.0
ranked_10.pdb_clean,0.6393,10.0
ranked_3.pdb_clean,0.6391,3.0
ranked_8.pdb_clean,0.6385,8.0
ranked_91.pdb_clean,0.6381,91.0
ranked_31.pdb_clean,0.6381,31.0
ranked_179.pdb_clean,0.6381,179.0
ranked_5.pdb_clean,0.6379,5.0
ranked_86.pdb_clean,0.6378,86.0
ranked_150.pdb_clean,0.6377,150.0
ranked_52.pdb_clean,0.6376,52.0
ranked_6.pdb_clean,0.6374,6.0
ranked_184.pdb_clean,0.6374,184.0
ranked_4.pdb_clean,0.6373,4.0
ranked_11.pdb_clean,0.6371,11.0
ranked_0.pdb_clean,0.6371,0.0
ranked_36.pdb_clean,0.6370,36.0
ranked_235.pdb_clean,0.6369,235.0
ranked_2.pdb_clean,0.6368,2.0
ranked_7.pdb_clean,0.6367,7.0
ranked_296.pdb_clean,0.6366,296.0
ranked_27.pdb_clean,0.6366,27.0
ranked_189.pdb_clean,0.6364,189.0
ranked_98.pdb_clean,0.6362,98.0
ranked_311.pdb_clean,0.6362,311.0
ranked_1.pdb_clean,0.6362,1.0
ranked_265.pdb_clean,0.6360,265.0
ranked_19.pdb_clean,0.6354,19.0
ranked_148.pdb_clean,0.6353,148.0
ranked_9.pdb_clean,0.6346,9.0
ranked_147.pdb_clean,0.6345,147.0
ranked_223.pdb_clean,0.6338,223.0
ranked_277.pdb_clean,0.6337,277.0
ranked_200.pdb_clean,0.6334,200.0
ranked_76.pdb_clean,0.6328,76.0
ranked_29.pdb_clean,0.6325,29.0
ranked_183.pdb_clean,0.6323,183.0
ranked_77.pdb_clean,0.6317,77.0
ranked_46.pdb_clean,0.6317,46.0
ranked_35.pdb_clean,0.6317,35.0
ranked_80.pdb_clean,0.6315,80.0
ranked_49.pdb_clean,0.6314,49.0
ranked_341.pdb_clean,0.6313,341.0
ranked_92.pdb_clean,0.6310,92.0
ranked_66.pdb_clean,0.6309,66.0
ranked_171.pdb_clean,0.6307,171.0
ranked_59.pdb_clean,0.6305,59.0
ranked_320.pdb_clean,0.6301,320.0
ranked_215.pdb_clean,0.6301,215.0
ranked_37.pdb_clean,0.6300,37.0
ranked_34.pdb_clean,0.6298,34.0
ranked_162.pdb_clean,0.6298,162.0
ranked_57.pdb_clean,0.6297,57.0
ranked_20.pdb_clean,0.6297,20.0
ranked_172.pdb_clean,0.6297,172.0
ranked_24.pdb_clean,0.6295,24.0
ranked_22.pdb_clean,0.6295,22.0
ranked_64.pdb_clean,0.6289,64.0
ranked_28.pdb_clean,0.6289,28.0
ranked_110.pdb_clean,0.6287,110.0
ranked_16.pdb_clean,0.6284,16.0
ranked_111.pdb_clean,0.6284,111.0
ranked_17.pdb_clean,0.6283,17.0
ranked_169.pdb_clean,0.6282,169.0
ranked_82.pdb_clean,0.6281,82.0
ranked_480.pdb_clean,0.6280,480.0
ranked_54.pdb_clean,0.6278,54.0
ranked_95.pdb_clean,0.6277,95.0
ranked_118.pdb_clean,0.6276,118.0
ranked_307.pdb_clean,0.6274,307.0
ranked_181.pdb_clean,0.6274,181.0
ranked_116.pdb_clean,0.6271,116.0
ranked_62.pdb_clean,0.6270,62.0
ranked_18.pdb_clean,0.6270,18.0
ranked_33.pdb_clean,0.6268,33.0
ranked_238.pdb_clean,0.6264,238.0
ranked_21.pdb_clean,0.6263,21.0
ranked_100.pdb_clean,0.6263,100.0
ranked_96.pdb_clean,0.6261,96.0
ranked_68.pdb_clean,0.6261,68.0
ranked_44.pdb_clean,0.6259,44.0
ranked_161.pdb_clean,0.6258,161.0
ranked_25.pdb_clean,0.6257,25.0
