Filename,Value,AlphaFold Rank
ranked_991.pdb_clean,0.7513,991.0
ranked_588.pdb_clean,0.7334,588.0
ranked_978.pdb_clean,0.7320,978.0
ranked_706.pdb_clean,0.7295,706.0
ranked_699.pdb_clean,0.7281,699.0
ranked_950.pdb_clean,0.7274,950.0
ranked_790.pdb_clean,0.7253,790.0
ranked_787.pdb_clean,0.7244,787.0
ranked_580.pdb_clean,0.7238,580.0
ranked_729.pdb_clean,0.7201,729.0
ranked_766.pdb_clean,0.7193,766.0
ranked_958.pdb_clean,0.7192,958.0
ranked_981.pdb_clean,0.7191,981.0
ranked_462.pdb_clean,0.7190,462.0
ranked_879.pdb_clean,0.7177,879.0
ranked_681.pdb_clean,0.7175,681.0
ranked_996.pdb_clean,0.7135,996.0
ranked_776.pdb_clean,0.7131,776.0
ranked_662.pdb_clean,0.7130,662.0
ranked_965.pdb_clean,0.7129,965.0
ranked_700.pdb_clean,0.7126,700.0
ranked_936.pdb_clean,0.7124,936.0
ranked_786.pdb_clean,0.7117,786.0
ranked_865.pdb_clean,0.7112,865.0
ranked_824.pdb_clean,0.7112,824.0
ranked_984.pdb_clean,0.7106,984.0
ranked_870.pdb_clean,0.7105,870.0
ranked_988.pdb_clean,0.7104,988.0
ranked_712.pdb_clean,0.7104,712.0
ranked_747.pdb_clean,0.7100,747.0
ranked_811.pdb_clean,0.7096,811.0
ranked_441.pdb_clean,0.7077,441.0
ranked_801.pdb_clean,0.7076,801.0
ranked_897.pdb_clean,0.7066,897.0
ranked_853.pdb_clean,0.7063,853.0
ranked_521.pdb_clean,0.7057,521.0
ranked_192.pdb_clean,0.7056,192.0
ranked_504.pdb_clean,0.7055,504.0
ranked_764.pdb_clean,0.7051,764.0
ranked_906.pdb_clean,0.7046,906.0
ranked_966.pdb_clean,0.7045,966.0
ranked_968.pdb_clean,0.7042,968.0
ranked_427.pdb_clean,0.7039,427.0
ranked_982.pdb_clean,0.7033,982.0
ranked_568.pdb_clean,0.7021,568.0
ranked_960.pdb_clean,0.7019,960.0
ranked_389.pdb_clean,0.7019,389.0
ranked_471.pdb_clean,0.7017,471.0
ranked_964.pdb_clean,0.7005,964.0
ranked_777.pdb_clean,0.7004,777.0
ranked_929.pdb_clean,0.7001,929.0
ranked_774.pdb_clean,0.7000,774.0
ranked_455.pdb_clean,0.6988,455.0
ranked_943.pdb_clean,0.6981,943.0
ranked_672.pdb_clean,0.6977,672.0
ranked_703.pdb_clean,0.6969,703.0
ranked_820.pdb_clean,0.6967,820.0
ranked_682.pdb_clean,0.6967,682.0
ranked_625.pdb_clean,0.6966,625.0
ranked_522.pdb_clean,0.6966,522.0
ranked_650.pdb_clean,0.6964,650.0
ranked_166.pdb_clean,0.6963,166.0
ranked_921.pdb_clean,0.6962,921.0
ranked_980.pdb_clean,0.6960,980.0
ranked_900.pdb_clean,0.6958,900.0
ranked_899.pdb_clean,0.6958,899.0
ranked_435.pdb_clean,0.6955,435.0
ranked_488.pdb_clean,0.6953,488.0
ranked_578.pdb_clean,0.6950,578.0
