Filename,Value,AlphaFold Rank
ranked_991.pdb_clean,0.2053,991.0
ranked_977.pdb_clean,0.2024,977.0
ranked_611.pdb_clean,0.2024,611.0
ranked_996.pdb_clean,0.2022,996.0
ranked_989.pdb_clean,0.2014,989.0
ranked_980.pdb_clean,0.2009,980.0
ranked_998.pdb_clean,0.2007,998.0
ranked_971.pdb_clean,0.2006,971.0
ranked_990.pdb_clean,0.2004,990.0
ranked_830.pdb_clean,0.1996,830.0
ranked_997.pdb_clean,0.1993,997.0
ranked_973.pdb_clean,0.1992,973.0
ranked_993.pdb_clean,0.1990,993.0
ranked_918.pdb_clean,0.1989,918.0
ranked_247.pdb_clean,0.1989,247.0
ranked_886.pdb_clean,0.1987,886.0
ranked_628.pdb_clean,0.1985,628.0
ranked_578.pdb_clean,0.1984,578.0
ranked_903.pdb_clean,0.1983,903.0
ranked_853.pdb_clean,0.1983,853.0
ranked_957.pdb_clean,0.1981,957.0
ranked_454.pdb_clean,0.1981,454.0
ranked_669.pdb_clean,0.1980,669.0
ranked_550.pdb_clean,0.1979,550.0
ranked_639.pdb_clean,0.1978,639.0
ranked_421.pdb_clean,0.1978,421.0
ranked_297.pdb_clean,0.1978,297.0
ranked_615.pdb_clean,0.1977,615.0
ranked_346.pdb_clean,0.1977,346.0
ranked_547.pdb_clean,0.1976,547.0
ranked_340.pdb_clean,0.1976,340.0
ranked_278.pdb_clean,0.1976,278.0
ranked_681.pdb_clean,0.1975,681.0
ranked_481.pdb_clean,0.1975,481.0
ranked_732.pdb_clean,0.1973,732.0
ranked_501.pdb_clean,0.1973,501.0
ranked_272.pdb_clean,0.1973,272.0
ranked_913.pdb_clean,0.1972,913.0
ranked_751.pdb_clean,0.1972,751.0
ranked_672.pdb_clean,0.1972,672.0
ranked_569.pdb_clean,0.1972,569.0
ranked_431.pdb_clean,0.1972,431.0
ranked_707.pdb_clean,0.1970,707.0
ranked_700.pdb_clean,0.1970,700.0
ranked_661.pdb_clean,0.1969,661.0
ranked_642.pdb_clean,0.1968,642.0
ranked_359.pdb_clean,0.1968,359.0
ranked_777.pdb_clean,0.1966,777.0
ranked_631.pdb_clean,0.1966,631.0
ranked_610.pdb_clean,0.1966,610.0
ranked_391.pdb_clean,0.1966,391.0
ranked_804.pdb_clean,0.1965,804.0
ranked_456.pdb_clean,0.1965,456.0
ranked_392.pdb_clean,0.1965,392.0
ranked_764.pdb_clean,0.1964,764.0
ranked_279.pdb_clean,0.1964,279.0
ranked_812.pdb_clean,0.1963,812.0
ranked_809.pdb_clean,0.1963,809.0
ranked_746.pdb_clean,0.1963,746.0
ranked_654.pdb_clean,0.1963,654.0
ranked_622.pdb_clean,0.1963,622.0
ranked_544.pdb_clean,0.1963,544.0
ranked_493.pdb_clean,0.1963,493.0
ranked_256.pdb_clean,0.1963,256.0
ranked_999.pdb_clean,0.1962,999.0
ranked_743.pdb_clean,0.1962,743.0
ranked_596.pdb_clean,0.1962,596.0
ranked_776.pdb_clean,0.1961,776.0
