Filename,Value,AlphaFold Rank
ranked_139.pdb_clean,0.4872,139.0
ranked_102.pdb_clean,0.4841,102.0
ranked_155.pdb_clean,0.4832,155.0
ranked_151.pdb_clean,0.4815,151.0
ranked_116.pdb_clean,0.4813,116.0
ranked_184.pdb_clean,0.4769,184.0
ranked_113.pdb_clean,0.4754,113.0
ranked_203.pdb_clean,0.4751,203.0
ranked_150.pdb_clean,0.4747,150.0
ranked_135.pdb_clean,0.4746,135.0
ranked_163.pdb_clean,0.4731,163.0
ranked_172.pdb_clean,0.4722,172.0
ranked_166.pdb_clean,0.4720,166.0
ranked_159.pdb_clean,0.4720,159.0
ranked_98.pdb_clean,0.4714,98.0
ranked_112.pdb_clean,0.4713,112.0
ranked_210.pdb_clean,0.4706,210.0
ranked_173.pdb_clean,0.4706,173.0
ranked_188.pdb_clean,0.4698,188.0
ranked_311.pdb_clean,0.4686,311.0
ranked_200.pdb_clean,0.4683,200.0
ranked_132.pdb_clean,0.4677,132.0
ranked_323.pdb_clean,0.4668,323.0
ranked_101.pdb_clean,0.4668,101.0
ranked_264.pdb_clean,0.4667,264.0
ranked_260.pdb_clean,0.4665,260.0
ranked_131.pdb_clean,0.4661,131.0
ranked_93.pdb_clean,0.4660,93.0
ranked_146.pdb_clean,0.4655,146.0
ranked_241.pdb_clean,0.4654,241.0
ranked_147.pdb_clean,0.4648,147.0
ranked_128.pdb_clean,0.4647,128.0
ranked_320.pdb_clean,0.4646,320.0
ranked_185.pdb_clean,0.4645,185.0
ranked_152.pdb_clean,0.4638,152.0
ranked_127.pdb_clean,0.4630,127.0
ranked_225.pdb_clean,0.4618,225.0
ranked_158.pdb_clean,0.4616,158.0
ranked_122.pdb_clean,0.4616,122.0
ranked_329.pdb_clean,0.4611,329.0
ranked_943.pdb_clean,0.4606,943.0
ranked_243.pdb_clean,0.4606,243.0
ranked_207.pdb_clean,0.4604,207.0
ranked_560.pdb_clean,0.4603,560.0
ranked_126.pdb_clean,0.4603,126.0
ranked_244.pdb_clean,0.4601,244.0
ranked_449.pdb_clean,0.4599,449.0
ranked_26.pdb_clean,0.4597,26.0
ranked_256.pdb_clean,0.4597,256.0
ranked_124.pdb_clean,0.4594,124.0
ranked_76.pdb_clean,0.4593,76.0
ranked_39.pdb_clean,0.4590,39.0
ranked_125.pdb_clean,0.4588,125.0
ranked_72.pdb_clean,0.4584,72.0
ranked_208.pdb_clean,0.4584,208.0
ranked_64.pdb_clean,0.4581,64.0
ranked_234.pdb_clean,0.4576,234.0
ranked_80.pdb_clean,0.4573,80.0
ranked_118.pdb_clean,0.4573,118.0
ranked_94.pdb_clean,0.4568,94.0
ranked_224.pdb_clean,0.4564,224.0
ranked_186.pdb_clean,0.4561,186.0
ranked_168.pdb_clean,0.4555,168.0
ranked_92.pdb_clean,0.4553,92.0
ranked_84.pdb_clean,0.4550,84.0
ranked_104.pdb_clean,0.4546,104.0
ranked_114.pdb_clean,0.4544,114.0
ranked_315.pdb_clean,0.4543,315.0
ranked_136.pdb_clean,0.4542,136.0
ranked_250.pdb_clean,0.4541,250.0
ranked_189.pdb_clean,0.4541,189.0
ranked_161.pdb_clean,0.4541,161.0
ranked_90.pdb_clean,0.4540,90.0
ranked_107.pdb_clean,0.4540,107.0
ranked_339.pdb_clean,0.4537,339.0
ranked_269.pdb_clean,0.4536,269.0
ranked_140.pdb_clean,0.4536,140.0
