Filename,Value,AlphaFold Rank
ranked_214.pdb_clean,0.3345,214.0
ranked_273.pdb_clean,0.3313,273.0
ranked_268.pdb_clean,0.3307,268.0
ranked_337.pdb_clean,0.3306,337.0
ranked_208.pdb_clean,0.3303,208.0
ranked_242.pdb_clean,0.3302,242.0
ranked_185.pdb_clean,0.3301,185.0
ranked_163.pdb_clean,0.3295,163.0
ranked_254.pdb_clean,0.3294,254.0
ranked_236.pdb_clean,0.3283,236.0
ranked_461.pdb_clean,0.3278,461.0
ranked_218.pdb_clean,0.3278,218.0
ranked_237.pdb_clean,0.3275,237.0
ranked_183.pdb_clean,0.3275,183.0
ranked_271.pdb_clean,0.3270,271.0
ranked_275.pdb_clean,0.3267,275.0
ranked_297.pdb_clean,0.3264,297.0
ranked_291.pdb_clean,0.3258,291.0
ranked_201.pdb_clean,0.3257,201.0
ranked_411.pdb_clean,0.3256,411.0
ranked_340.pdb_clean,0.3256,340.0
ranked_192.pdb_clean,0.3250,192.0
ranked_233.pdb_clean,0.3249,233.0
ranked_225.pdb_clean,0.3249,225.0
ranked_452.pdb_clean,0.3248,452.0
ranked_313.pdb_clean,0.3248,313.0
ranked_216.pdb_clean,0.3248,216.0
ranked_206.pdb_clean,0.3248,206.0
ranked_179.pdb_clean,0.3248,179.0
ranked_392.pdb_clean,0.3247,392.0
ranked_229.pdb_clean,0.3247,229.0
ranked_382.pdb_clean,0.3245,382.0
ranked_352.pdb_clean,0.3245,352.0
ranked_329.pdb_clean,0.3244,329.0
ranked_258.pdb_clean,0.3244,258.0
ranked_252.pdb_clean,0.3242,252.0
ranked_209.pdb_clean,0.3241,209.0
ranked_465.pdb_clean,0.3240,465.0
ranked_417.pdb_clean,0.3239,417.0
ranked_336.pdb_clean,0.3238,336.0
ranked_330.pdb_clean,0.3238,330.0
ranked_299.pdb_clean,0.3238,299.0
ranked_103.pdb_clean,0.3238,103.0
ranked_397.pdb_clean,0.3235,397.0
ranked_272.pdb_clean,0.3235,272.0
ranked_434.pdb_clean,0.3233,434.0
ranked_636.pdb_clean,0.3232,636.0
ranked_327.pdb_clean,0.3232,327.0
ranked_249.pdb_clean,0.3232,249.0
ranked_189.pdb_clean,0.3232,189.0
ranked_182.pdb_clean,0.3232,182.0
ranked_135.pdb_clean,0.3232,135.0
ranked_324.pdb_clean,0.3230,324.0
ranked_129.pdb_clean,0.3230,129.0
ranked_379.pdb_clean,0.3228,379.0
ranked_583.pdb_clean,0.3227,583.0
ranked_458.pdb_clean,0.3226,458.0
