Filename,Value,AlphaFold Rank
ranked_985.pdb_clean,0.5685,985.0
ranked_902.pdb_clean,0.5556,902.0
ranked_895.pdb_clean,0.5456,895.0
ranked_438.pdb_clean,0.5422,438.0
ranked_887.pdb_clean,0.5407,887.0
ranked_514.pdb_clean,0.5377,514.0
ranked_883.pdb_clean,0.5346,883.0
ranked_891.pdb_clean,0.5337,891.0
ranked_399.pdb_clean,0.5326,399.0
ranked_899.pdb_clean,0.5319,899.0
ranked_904.pdb_clean,0.5265,904.0
ranked_894.pdb_clean,0.5261,894.0
ranked_376.pdb_clean,0.5257,376.0
ranked_900.pdb_clean,0.5245,900.0
ranked_886.pdb_clean,0.5230,886.0
ranked_409.pdb_clean,0.5227,409.0
ranked_504.pdb_clean,0.5221,504.0
ranked_882.pdb_clean,0.5212,882.0
ranked_884.pdb_clean,0.5210,884.0
ranked_885.pdb_clean,0.5189,885.0
ranked_898.pdb_clean,0.5171,898.0
ranked_609.pdb_clean,0.5148,609.0
ranked_538.pdb_clean,0.5145,538.0
ranked_386.pdb_clean,0.5136,386.0
ranked_897.pdb_clean,0.5134,897.0
ranked_596.pdb_clean,0.5132,596.0
ranked_246.pdb_clean,0.5132,246.0
ranked_714.pdb_clean,0.5131,714.0
ranked_251.pdb_clean,0.5119,251.0
ranked_206.pdb_clean,0.5115,206.0
ranked_635.pdb_clean,0.5109,635.0
ranked_893.pdb_clean,0.5107,893.0
ranked_396.pdb_clean,0.5099,396.0
ranked_273.pdb_clean,0.5088,273.0
ranked_336.pdb_clean,0.5086,336.0
ranked_987.pdb_clean,0.5082,987.0
ranked_501.pdb_clean,0.5078,501.0
ranked_356.pdb_clean,0.5060,356.0
ranked_358.pdb_clean,0.5058,358.0
ranked_478.pdb_clean,0.5055,478.0
ranked_659.pdb_clean,0.5050,659.0
ranked_580.pdb_clean,0.5045,580.0
ranked_654.pdb_clean,0.5036,654.0
ranked_888.pdb_clean,0.5034,888.0
ranked_447.pdb_clean,0.5034,447.0
ranked_259.pdb_clean,0.5034,259.0
ranked_82.pdb_clean,0.5032,82.0
ranked_889.pdb_clean,0.5026,889.0
ranked_416.pdb_clean,0.5022,416.0
ranked_371.pdb_clean,0.5020,371.0
