Filename,Value,AlphaFold Rank
ranked_543.pdb_clean,0.6658,543.0
ranked_214.pdb_clean,0.6547,214.0
ranked_422.pdb_clean,0.6546,422.0
ranked_777.pdb_clean,0.6540,777.0
ranked_438.pdb_clean,0.6540,438.0
ranked_401.pdb_clean,0.6539,401.0
ranked_318.pdb_clean,0.6539,318.0
ranked_278.pdb_clean,0.6538,278.0
ranked_260.pdb_clean,0.6538,260.0
ranked_353.pdb_clean,0.6534,353.0
ranked_364.pdb_clean,0.6533,364.0
ranked_319.pdb_clean,0.6533,319.0
ranked_502.pdb_clean,0.6531,502.0
ranked_299.pdb_clean,0.6531,299.0
ranked_233.pdb_clean,0.6531,233.0
ranked_113.pdb_clean,0.6530,113.0
ranked_760.pdb_clean,0.6529,760.0
ranked_369.pdb_clean,0.6529,369.0
ranked_335.pdb_clean,0.6529,335.0
ranked_151.pdb_clean,0.6529,151.0
ranked_307.pdb_clean,0.6528,307.0
ranked_768.pdb_clean,0.6527,768.0
ranked_668.pdb_clean,0.6527,668.0
ranked_363.pdb_clean,0.6527,363.0
ranked_285.pdb_clean,0.6527,285.0
ranked_661.pdb_clean,0.6526,661.0
ranked_313.pdb_clean,0.6526,313.0
ranked_286.pdb_clean,0.6526,286.0
ranked_368.pdb_clean,0.6525,368.0
ranked_248.pdb_clean,0.6524,248.0
ranked_303.pdb_clean,0.6523,303.0
ranked_273.pdb_clean,0.6523,273.0
ranked_177.pdb_clean,0.6523,177.0
ranked_160.pdb_clean,0.6523,160.0
ranked_743.pdb_clean,0.6522,743.0
ranked_420.pdb_clean,0.6522,420.0
ranked_293.pdb_clean,0.6522,293.0
ranked_263.pdb_clean,0.6522,263.0
ranked_236.pdb_clean,0.6522,236.0
ranked_147.pdb_clean,0.6522,147.0
ranked_471.pdb_clean,0.6521,471.0
ranked_339.pdb_clean,0.6521,339.0
ranked_222.pdb_clean,0.6521,222.0
ranked_203.pdb_clean,0.6521,203.0
ranked_155.pdb_clean,0.6521,155.0
ranked_153.pdb_clean,0.6521,153.0
ranked_342.pdb_clean,0.6520,342.0
ranked_265.pdb_clean,0.6520,265.0
ranked_196.pdb_clean,0.6520,196.0
ranked_751.pdb_clean,0.6519,751.0
ranked_341.pdb_clean,0.6519,341.0
ranked_216.pdb_clean,0.6519,216.0
ranked_343.pdb_clean,0.6518,343.0
ranked_330.pdb_clean,0.6518,330.0
ranked_328.pdb_clean,0.6518,328.0
ranked_282.pdb_clean,0.6518,282.0
ranked_241.pdb_clean,0.6518,241.0
ranked_116.pdb_clean,0.6518,116.0
ranked_579.pdb_clean,0.6517,579.0
ranked_345.pdb_clean,0.6517,345.0
ranked_277.pdb_clean,0.6517,277.0
ranked_270.pdb_clean,0.6517,270.0
ranked_254.pdb_clean,0.6516,254.0
ranked_322.pdb_clean,0.6515,322.0
ranked_727.pdb_clean,0.6514,727.0
ranked_383.pdb_clean,0.6514,383.0
ranked_227.pdb_clean,0.6514,227.0
ranked_358.pdb_clean,0.6513,358.0
ranked_309.pdb_clean,0.6513,309.0
ranked_291.pdb_clean,0.6513,291.0
ranked_244.pdb_clean,0.6513,244.0
ranked_231.pdb_clean,0.6513,231.0
ranked_704.pdb_clean,0.6512,704.0
ranked_398.pdb_clean,0.6512,398.0
ranked_325.pdb_clean,0.6512,325.0
ranked_321.pdb_clean,0.6512,321.0
ranked_801.pdb_clean,0.6511,801.0
ranked_550.pdb_clean,0.6511,550.0
ranked_510.pdb_clean,0.6511,510.0
ranked_419.pdb_clean,0.6511,419.0
ranked_404.pdb_clean,0.6511,404.0
ranked_272.pdb_clean,0.6511,272.0
ranked_206.pdb_clean,0.6511,206.0
ranked_352.pdb_clean,0.6510,352.0
ranked_316.pdb_clean,0.6510,316.0
ranked_310.pdb_clean,0.6510,310.0
ranked_514.pdb_clean,0.6509,514.0
ranked_685.pdb_clean,0.6508,685.0
ranked_606.pdb_clean,0.6508,606.0
ranked_582.pdb_clean,0.6508,582.0
ranked_580.pdb_clean,0.6508,580.0
ranked_559.pdb_clean,0.6508,559.0
ranked_492.pdb_clean,0.6508,492.0
ranked_480.pdb_clean,0.6508,480.0
ranked_264.pdb_clean,0.6508,264.0
ranked_262.pdb_clean,0.6508,262.0
ranked_234.pdb_clean,0.6508,234.0
ranked_144.pdb_clean,0.6508,144.0
ranked_556.pdb_clean,0.6507,556.0
ranked_331.pdb_clean,0.6507,331.0
ranked_320.pdb_clean,0.6507,320.0
ranked_289.pdb_clean,0.6507,289.0
ranked_258.pdb_clean,0.6507,258.0
ranked_198.pdb_clean,0.6507,198.0
ranked_593.pdb_clean,0.6506,593.0
ranked_523.pdb_clean,0.6506,523.0
ranked_455.pdb_clean,0.6506,455.0
ranked_427.pdb_clean,0.6506,427.0
ranked_327.pdb_clean,0.6506,327.0
ranked_183.pdb_clean,0.6506,183.0
ranked_800.pdb_clean,0.6505,800.0
ranked_734.pdb_clean,0.6505,734.0
ranked_295.pdb_clean,0.6505,295.0
ranked_125.pdb_clean,0.6505,125.0
ranked_621.pdb_clean,0.6504,621.0
ranked_362.pdb_clean,0.6504,362.0
ranked_332.pdb_clean,0.6504,332.0
ranked_308.pdb_clean,0.6504,308.0
ranked_279.pdb_clean,0.6504,279.0
ranked_577.pdb_clean,0.6503,577.0
ranked_490.pdb_clean,0.6503,490.0
ranked_280.pdb_clean,0.6503,280.0
ranked_240.pdb_clean,0.6503,240.0
