Filename,Value,AlphaFold Rank
ranked_242.pdb_clean,0.6818,242.0
ranked_298.pdb_clean,0.6714,298.0
ranked_600.pdb_clean,0.6659,600.0
ranked_538.pdb_clean,0.6651,538.0
ranked_648.pdb_clean,0.6624,648.0
ranked_420.pdb_clean,0.6622,420.0
ranked_550.pdb_clean,0.6533,550.0
ranked_371.pdb_clean,0.6496,371.0
ranked_544.pdb_clean,0.6475,544.0
ranked_599.pdb_clean,0.6466,599.0
ranked_805.pdb_clean,0.6446,805.0
7Y9C_AC,0.6443,
ranked_360.pdb_clean,0.6429,360.0
ranked_5.pdb_clean,0.6413,5.0
ranked_2.pdb_clean,0.6413,2.0
ranked_249.pdb_clean,0.6403,249.0
ranked_381.pdb_clean,0.6400,381.0
ranked_389.pdb_clean,0.6388,389.0
ranked_391.pdb_clean,0.6345,391.0
ranked_16.pdb_clean,0.6334,16.0
ranked_418.pdb_clean,0.6329,418.0
ranked_605.pdb_clean,0.6327,605.0
ranked_537.pdb_clean,0.6320,537.0
ranked_4.pdb_clean,0.6310,4.0
ranked_338.pdb_clean,0.6300,338.0
ranked_154.pdb_clean,0.6283,154.0
ranked_435.pdb_clean,0.6259,435.0
ranked_190.pdb_clean,0.6259,190.0
ranked_406.pdb_clean,0.6257,406.0
ranked_137.pdb_clean,0.6250,137.0
ranked_1.pdb_clean,0.6239,1.0
ranked_8.pdb_clean,0.6234,8.0
ranked_24.pdb_clean,0.6232,24.0
ranked_50.pdb_clean,0.6230,50.0
ranked_354.pdb_clean,0.6222,354.0
ranked_782.pdb_clean,0.6209,782.0
ranked_6.pdb_clean,0.6208,6.0
ranked_486.pdb_clean,0.6202,486.0
ranked_461.pdb_clean,0.6200,461.0
ranked_433.pdb_clean,0.6180,433.0
ranked_3.pdb_clean,0.6167,3.0
ranked_676.pdb_clean,0.6164,676.0
ranked_306.pdb_clean,0.6158,306.0
ranked_626.pdb_clean,0.6153,626.0
ranked_97.pdb_clean,0.6136,97.0
ranked_560.pdb_clean,0.6136,560.0
ranked_0.pdb_clean,0.6129,0.0
ranked_425.pdb_clean,0.6119,425.0
ranked_241.pdb_clean,0.6119,241.0
ranked_666.pdb_clean,0.6090,666.0
ranked_179.pdb_clean,0.6081,179.0
ranked_449.pdb_clean,0.6068,449.0
ranked_195.pdb_clean,0.6064,195.0
ranked_591.pdb_clean,0.6056,591.0
ranked_520.pdb_clean,0.6054,520.0
ranked_436.pdb_clean,0.6050,436.0
ranked_458.pdb_clean,0.6048,458.0
ranked_624.pdb_clean,0.6045,624.0
ranked_197.pdb_clean,0.6041,197.0
ranked_489.pdb_clean,0.6037,489.0
ranked_367.pdb_clean,0.6004,367.0
ranked_707.pdb_clean,0.6003,707.0
ranked_383.pdb_clean,0.6002,383.0
ranked_331.pdb_clean,0.5993,331.0
ranked_480.pdb_clean,0.5985,480.0
ranked_204.pdb_clean,0.5985,204.0
ranked_589.pdb_clean,0.5973,589.0
ranked_455.pdb_clean,0.5972,455.0
ranked_547.pdb_clean,0.5961,547.0
ranked_513.pdb_clean,0.5947,513.0
ranked_408.pdb_clean,0.5946,408.0
ranked_289.pdb_clean,0.5945,289.0
ranked_640.pdb_clean,0.5940,640.0
ranked_720.pdb_clean,0.5929,720.0
ranked_139.pdb_clean,0.5922,139.0
