Filename,Value,AlphaFold Rank
ranked_700.pdb_clean,0.6814,700.0
ranked_303.pdb_clean,0.6785,303.0
ranked_450.pdb_clean,0.6697,450.0
ranked_310.pdb_clean,0.6681,310.0
ranked_595.pdb_clean,0.6647,595.0
ranked_803.pdb_clean,0.6637,803.0
ranked_956.pdb_clean,0.6618,956.0
ranked_323.pdb_clean,0.6605,323.0
ranked_360.pdb_clean,0.6601,360.0
ranked_270.pdb_clean,0.6582,270.0
ranked_283.pdb_clean,0.6561,283.0
ranked_596.pdb_clean,0.6549,596.0
ranked_367.pdb_clean,0.6539,367.0
ranked_744.pdb_clean,0.6532,744.0
ranked_732.pdb_clean,0.6531,732.0
ranked_266.pdb_clean,0.6529,266.0
ranked_302.pdb_clean,0.6522,302.0
ranked_427.pdb_clean,0.6509,427.0
ranked_694.pdb_clean,0.6506,694.0
ranked_127.pdb_clean,0.6504,127.0
ranked_223.pdb_clean,0.6502,223.0
ranked_327.pdb_clean,0.6494,327.0
ranked_520.pdb_clean,0.6481,520.0
ranked_318.pdb_clean,0.6481,318.0
ranked_176.pdb_clean,0.6481,176.0
ranked_305.pdb_clean,0.6477,305.0
ranked_287.pdb_clean,0.6475,287.0
ranked_686.pdb_clean,0.6473,686.0
ranked_374.pdb_clean,0.6471,374.0
ranked_321.pdb_clean,0.6464,321.0
ranked_158.pdb_clean,0.6463,158.0
ranked_504.pdb_clean,0.6462,504.0
ranked_85.pdb_clean,0.6460,85.0
ranked_456.pdb_clean,0.6458,456.0
ranked_263.pdb_clean,0.6438,263.0
ranked_600.pdb_clean,0.6434,600.0
ranked_298.pdb_clean,0.6431,298.0
ranked_586.pdb_clean,0.6427,586.0
ranked_309.pdb_clean,0.6421,309.0
ranked_464.pdb_clean,0.6407,464.0
ranked_55.pdb_clean,0.6406,55.0
ranked_442.pdb_clean,0.6402,442.0
ranked_306.pdb_clean,0.6389,306.0
ranked_433.pdb_clean,0.6376,433.0
ranked_680.pdb_clean,0.6367,680.0
ranked_651.pdb_clean,0.6362,651.0
ranked_534.pdb_clean,0.6360,534.0
ranked_53.pdb_clean,0.6344,53.0
ranked_726.pdb_clean,0.6339,726.0
ranked_630.pdb_clean,0.6322,630.0
ranked_614.pdb_clean,0.6321,614.0
ranked_103.pdb_clean,0.6321,103.0
ranked_282.pdb_clean,0.6318,282.0
ranked_159.pdb_clean,0.6302,159.0
ranked_91.pdb_clean,0.6295,91.0
ranked_567.pdb_clean,0.6294,567.0
ranked_565.pdb_clean,0.6290,565.0
ranked_580.pdb_clean,0.6282,580.0
ranked_73.pdb_clean,0.6279,73.0
ranked_594.pdb_clean,0.6277,594.0
ranked_435.pdb_clean,0.6274,435.0
ranked_508.pdb_clean,0.6271,508.0
ranked_27.pdb_clean,0.6259,27.0
ranked_487.pdb_clean,0.6257,487.0
ranked_320.pdb_clean,0.6256,320.0
ranked_333.pdb_clean,0.6253,333.0
ranked_304.pdb_clean,0.6250,304.0
ranked_423.pdb_clean,0.6249,423.0
ranked_57.pdb_clean,0.6246,57.0
ranked_190.pdb_clean,0.6240,190.0
ranked_121.pdb_clean,0.6240,121.0
ranked_250.pdb_clean,0.6237,250.0
ranked_41.pdb_clean,0.6234,41.0
ranked_62.pdb_clean,0.6233,62.0
ranked_345.pdb_clean,0.6226,345.0
ranked_537.pdb_clean,0.6223,537.0
ranked_24.pdb_clean,0.6211,24.0
ranked_597.pdb_clean,0.6207,597.0
ranked_324.pdb_clean,0.6203,324.0
ranked_243.pdb_clean,0.6203,243.0
ranked_500.pdb_clean,0.6199,500.0
ranked_406.pdb_clean,0.6197,406.0
ranked_697.pdb_clean,0.6173,697.0
ranked_23.pdb_clean,0.6167,23.0
ranked_209.pdb_clean,0.6166,209.0
ranked_609.pdb_clean,0.6158,609.0
ranked_189.pdb_clean,0.6158,189.0
ranked_316.pdb_clean,0.6154,316.0
