Filename,Value,AlphaFold Rank
ranked_960.pdb_clean,0.6679,960.0
ranked_640.pdb_clean,0.6608,640.0
ranked_452.pdb_clean,0.6537,452.0
ranked_608.pdb_clean,0.6376,608.0
ranked_45.pdb_clean,0.6225,45.0
ranked_51.pdb_clean,0.6201,51.0
ranked_48.pdb_clean,0.6184,48.0
ranked_66.pdb_clean,0.6181,66.0
ranked_46.pdb_clean,0.6180,46.0
ranked_118.pdb_clean,0.6180,118.0
ranked_100.pdb_clean,0.6173,100.0
ranked_61.pdb_clean,0.6148,61.0
ranked_482.pdb_clean,0.6140,482.0
ranked_82.pdb_clean,0.6132,82.0
ranked_714.pdb_clean,0.6115,714.0
ranked_583.pdb_clean,0.6087,583.0
ranked_697.pdb_clean,0.6079,697.0
ranked_692.pdb_clean,0.6071,692.0
ranked_53.pdb_clean,0.6069,53.0
ranked_38.pdb_clean,0.6069,38.0
ranked_42.pdb_clean,0.6067,42.0
ranked_57.pdb_clean,0.6059,57.0
ranked_505.pdb_clean,0.6042,505.0
ranked_49.pdb_clean,0.6025,49.0
ranked_69.pdb_clean,0.6019,69.0
ranked_89.pdb_clean,0.6018,89.0
ranked_59.pdb_clean,0.6005,59.0
ranked_524.pdb_clean,0.6002,524.0
ranked_217.pdb_clean,0.5992,217.0
ranked_55.pdb_clean,0.5970,55.0
ranked_44.pdb_clean,0.5970,44.0
ranked_52.pdb_clean,0.5965,52.0
ranked_107.pdb_clean,0.5962,107.0
ranked_454.pdb_clean,0.5958,454.0
ranked_568.pdb_clean,0.5956,568.0
ranked_98.pdb_clean,0.5942,98.0
ranked_60.pdb_clean,0.5931,60.0
ranked_128.pdb_clean,0.5929,128.0
ranked_54.pdb_clean,0.5922,54.0
ranked_537.pdb_clean,0.5889,537.0
ranked_88.pdb_clean,0.5878,88.0
ranked_105.pdb_clean,0.5870,105.0
ranked_592.pdb_clean,0.5858,592.0
ranked_435.pdb_clean,0.5857,435.0
ranked_222.pdb_clean,0.5848,222.0
ranked_40.pdb_clean,0.5841,40.0
ranked_75.pdb_clean,0.5835,75.0
ranked_209.pdb_clean,0.5829,209.0
ranked_62.pdb_clean,0.5820,62.0
ranked_64.pdb_clean,0.5784,64.0
ranked_621.pdb_clean,0.5769,621.0
ranked_50.pdb_clean,0.5767,50.0
ranked_47.pdb_clean,0.5767,47.0
ranked_43.pdb_clean,0.5743,43.0
ranked_492.pdb_clean,0.5736,492.0
ranked_127.pdb_clean,0.5704,127.0
ranked_407.pdb_clean,0.5699,407.0
ranked_552.pdb_clean,0.5675,552.0
ranked_309.pdb_clean,0.5664,309.0
ranked_41.pdb_clean,0.5654,41.0
ranked_438.pdb_clean,0.5635,438.0
ranked_467.pdb_clean,0.5616,467.0
ranked_216.pdb_clean,0.5611,216.0
ranked_428.pdb_clean,0.5607,428.0
ranked_582.pdb_clean,0.5604,582.0
ranked_463.pdb_clean,0.5602,463.0
ranked_398.pdb_clean,0.5555,398.0
ranked_557.pdb_clean,0.5545,557.0
ranked_509.pdb_clean,0.5502,509.0
ranked_503.pdb_clean,0.5500,503.0
ranked_269.pdb_clean,0.5495,269.0
ranked_81.pdb_clean,0.5485,81.0
ranked_198.pdb_clean,0.5484,198.0
ranked_184.pdb_clean,0.5479,184.0
ranked_968.pdb_clean,0.5475,968.0
ranked_520.pdb_clean,0.5475,520.0
ranked_436.pdb_clean,0.5473,436.0
ranked_479.pdb_clean,0.5459,479.0
ranked_381.pdb_clean,0.5429,381.0
ranked_142.pdb_clean,0.5422,142.0
7ZX4_BD,0.5420,
ranked_442.pdb_clean,0.5417,442.0
ranked_761.pdb_clean,0.5411,761.0
ranked_545.pdb_clean,0.5411,545.0
ranked_615.pdb_clean,0.5379,615.0
ranked_498.pdb_clean,0.5359,498.0
ranked_496.pdb_clean,0.5355,496.0
ranked_179.pdb_clean,0.5337,179.0
ranked_502.pdb_clean,0.5335,502.0
ranked_470.pdb_clean,0.5334,470.0
ranked_58.pdb_clean,0.5329,58.0
ranked_271.pdb_clean,0.5329,271.0
ranked_546.pdb_clean,0.5321,546.0
ranked_510.pdb_clean,0.5315,510.0
ranked_425.pdb_clean,0.5315,425.0
ranked_56.pdb_clean,0.5289,56.0
ranked_515.pdb_clean,0.5285,515.0
ranked_293.pdb_clean,0.5285,293.0
ranked_983.pdb_clean,0.5280,983.0
ranked_114.pdb_clean,0.5276,114.0
ranked_764.pdb_clean,0.5262,764.0
ranked_131.pdb_clean,0.5259,131.0
ranked_474.pdb_clean,0.5257,474.0
ranked_561.pdb_clean,0.5256,561.0
ranked_306.pdb_clean,0.5255,306.0
ranked_76.pdb_clean,0.5244,76.0
ranked_458.pdb_clean,0.5234,458.0
ranked_395.pdb_clean,0.5219,395.0
ranked_77.pdb_clean,0.5218,77.0
ranked_372.pdb_clean,0.5198,372.0
ranked_310.pdb_clean,0.5185,310.0
ranked_97.pdb_clean,0.5178,97.0
ranked_584.pdb_clean,0.5165,584.0
ranked_892.pdb_clean,0.5147,892.0
ranked_541.pdb_clean,0.5141,541.0
ranked_144.pdb_clean,0.5141,144.0
ranked_527.pdb_clean,0.5136,527.0
ranked_225.pdb_clean,0.5135,225.0
ranked_391.pdb_clean,0.5114,391.0
ranked_7.pdb_clean,0.5110,7.0
ranked_243.pdb_clean,0.5096,243.0
ranked_3.pdb_clean,0.5091,3.0
ranked_4.pdb_clean,0.5080,4.0
ranked_947.pdb_clean,0.5076,947.0
ranked_292.pdb_clean,0.5057,292.0
ranked_556.pdb_clean,0.5056,556.0
ranked_182.pdb_clean,0.5050,182.0
ranked_314.pdb_clean,0.5047,314.0
ranked_382.pdb_clean,0.5045,382.0
ranked_273.pdb_clean,0.5015,273.0
ranked_619.pdb_clean,0.5012,619.0
ranked_2.pdb_clean,0.4991,2.0
ranked_11.pdb_clean,0.4987,11.0
ranked_295.pdb_clean,0.4984,295.0
ranked_245.pdb_clean,0.4982,245.0
ranked_10.pdb_clean,0.4969,10.0
ranked_5.pdb_clean,0.4968,5.0
ranked_17.pdb_clean,0.4957,17.0
ranked_169.pdb_clean,0.4953,169.0
ranked_21.pdb_clean,0.4952,21.0
ranked_140.pdb_clean,0.4948,140.0
ranked_9.pdb_clean,0.4945,9.0
ranked_20.pdb_clean,0.4944,20.0
ranked_23.pdb_clean,0.4940,23.0
ranked_16.pdb_clean,0.4938,16.0
ranked_19.pdb_clean,0.4923,19.0
ranked_13.pdb_clean,0.4921,13.0
ranked_459.pdb_clean,0.4905,459.0
ranked_12.pdb_clean,0.4904,12.0
ranked_976.pdb_clean,0.4903,976.0
ranked_359.pdb_clean,0.4894,359.0
ranked_26.pdb_clean,0.4894,26.0
ranked_15.pdb_clean,0.4894,15.0
ranked_18.pdb_clean,0.4889,18.0
ranked_1.pdb_clean,0.4870,1.0
ranked_39.pdb_clean,0.4857,39.0
ranked_616.pdb_clean,0.4852,616.0
ranked_409.pdb_clean,0.4852,409.0
ranked_605.pdb_clean,0.4842,605.0
ranked_111.pdb_clean,0.4840,111.0
ranked_0.pdb_clean,0.4812,0.0
ranked_22.pdb_clean,0.4808,22.0
ranked_24.pdb_clean,0.4794,24.0
ranked_585.pdb_clean,0.4793,585.0
ranked_229.pdb_clean,0.4785,229.0
ranked_14.pdb_clean,0.4763,14.0
ranked_588.pdb_clean,0.4757,588.0
ranked_589.pdb_clean,0.4746,589.0
ranked_265.pdb_clean,0.4734,265.0
ranked_845.pdb_clean,0.4724,845.0
ranked_649.pdb_clean,0.4715,649.0
ranked_473.pdb_clean,0.4712,473.0
ranked_6.pdb_clean,0.4706,6.0
ranked_542.pdb_clean,0.4700,542.0
ranked_367.pdb_clean,0.4688,367.0
ranked_8.pdb_clean,0.4684,8.0
ranked_25.pdb_clean,0.4684,25.0
ranked_260.pdb_clean,0.4682,260.0
ranked_223.pdb_clean,0.4671,223.0
ranked_475.pdb_clean,0.4666,475.0
ranked_285.pdb_clean,0.4640,285.0
ranked_437.pdb_clean,0.4639,437.0
ranked_710.pdb_clean,0.4627,710.0
ranked_311.pdb_clean,0.4617,311.0
ranked_674.pdb_clean,0.4589,674.0
ranked_453.pdb_clean,0.4583,453.0
ranked_979.pdb_clean,0.4577,979.0
ranked_563.pdb_clean,0.4570,563.0
ranked_609.pdb_clean,0.4561,609.0
ranked_658.pdb_clean,0.4533,658.0
ranked_466.pdb_clean,0.4524,466.0
ranked_385.pdb_clean,0.4505,385.0
ranked_342.pdb_clean,0.4502,342.0
ranked_483.pdb_clean,0.4467,483.0
ranked_517.pdb_clean,0.4432,517.0
ranked_506.pdb_clean,0.4419,506.0
ranked_73.pdb_clean,0.4414,73.0
ranked_478.pdb_clean,0.4391,478.0
ranked_165.pdb_clean,0.4380,165.0
ranked_124.pdb_clean,0.4371,124.0
ranked_356.pdb_clean,0.4366,356.0
ranked_129.pdb_clean,0.4351,129.0
ranked_325.pdb_clean,0.4347,325.0
ranked_370.pdb_clean,0.4345,370.0
ranked_146.pdb_clean,0.4324,146.0
ranked_344.pdb_clean,0.4321,344.0
