Filename,Value,AlphaFold Rank
ranked_950.pdb_clean,0.6677,950.0
ranked_678.pdb_clean,0.6665,678.0
ranked_938.pdb_clean,0.6659,938.0
ranked_941.pdb_clean,0.6656,941.0
ranked_223.pdb_clean,0.6654,223.0
ranked_194.pdb_clean,0.6652,194.0
ranked_991.pdb_clean,0.6649,991.0
ranked_876.pdb_clean,0.6637,876.0
ranked_782.pdb_clean,0.6636,782.0
ranked_698.pdb_clean,0.6636,698.0
ranked_960.pdb_clean,0.6635,960.0
ranked_874.pdb_clean,0.6635,874.0
ranked_423.pdb_clean,0.6635,423.0
ranked_961.pdb_clean,0.6628,961.0
ranked_609.pdb_clean,0.6627,609.0
ranked_994.pdb_clean,0.6626,994.0
ranked_924.pdb_clean,0.6626,924.0
ranked_625.pdb_clean,0.6620,625.0
ranked_268.pdb_clean,0.6620,268.0
ranked_969.pdb_clean,0.6619,969.0
ranked_644.pdb_clean,0.6619,644.0
ranked_511.pdb_clean,0.6619,511.0
ranked_471.pdb_clean,0.6619,471.0
ranked_922.pdb_clean,0.6615,922.0
ranked_176.pdb_clean,0.6612,176.0
ranked_139.pdb_clean,0.6611,139.0
ranked_426.pdb_clean,0.6610,426.0
ranked_932.pdb_clean,0.6608,932.0
ranked_370.pdb_clean,0.6605,370.0
ranked_279.pdb_clean,0.6603,279.0
ranked_935.pdb_clean,0.6600,935.0
ranked_221.pdb_clean,0.6599,221.0
ranked_943.pdb_clean,0.6596,943.0
ranked_987.pdb_clean,0.6595,987.0
ranked_400.pdb_clean,0.6595,400.0
ranked_216.pdb_clean,0.6595,216.0
ranked_641.pdb_clean,0.6593,641.0
ranked_521.pdb_clean,0.6592,521.0
ranked_692.pdb_clean,0.6591,692.0
ranked_928.pdb_clean,0.6590,928.0
ranked_905.pdb_clean,0.6590,905.0
ranked_495.pdb_clean,0.6589,495.0
ranked_915.pdb_clean,0.6588,915.0
ranked_273.pdb_clean,0.6585,273.0
ranked_929.pdb_clean,0.6584,929.0
ranked_651.pdb_clean,0.6584,651.0
ranked_300.pdb_clean,0.6584,300.0
ranked_290.pdb_clean,0.6580,290.0
ranked_934.pdb_clean,0.6579,934.0
ranked_526.pdb_clean,0.6578,526.0
ranked_186.pdb_clean,0.6577,186.0
ranked_171.pdb_clean,0.6576,171.0
ranked_153.pdb_clean,0.6574,153.0
ranked_954.pdb_clean,0.6572,954.0
ranked_858.pdb_clean,0.6572,858.0
ranked_831.pdb_clean,0.6570,831.0
ranked_612.pdb_clean,0.6570,612.0
ranked_481.pdb_clean,0.6570,481.0
ranked_124.pdb_clean,0.6570,124.0
ranked_794.pdb_clean,0.6569,794.0
ranked_917.pdb_clean,0.6568,917.0
ranked_832.pdb_clean,0.6568,832.0
ranked_328.pdb_clean,0.6568,328.0
ranked_792.pdb_clean,0.6567,792.0
ranked_530.pdb_clean,0.6565,530.0
ranked_958.pdb_clean,0.6564,958.0
ranked_256.pdb_clean,0.6563,256.0
ranked_650.pdb_clean,0.6562,650.0
ranked_262.pdb_clean,0.6562,262.0
ranked_25.pdb_clean,0.6562,25.0
ranked_486.pdb_clean,0.6560,486.0
ranked_645.pdb_clean,0.6558,645.0
ranked_303.pdb_clean,0.6558,303.0
