Filename,Value,AlphaFold Rank
ranked_996.pdb_clean,0.8674,996.0
ranked_804.pdb_clean,0.8527,804.0
ranked_953.pdb_clean,0.8408,953.0
ranked_780.pdb_clean,0.8391,780.0
ranked_980.pdb_clean,0.8379,980.0
ranked_706.pdb_clean,0.8367,706.0
ranked_903.pdb_clean,0.8357,903.0
ranked_692.pdb_clean,0.8335,692.0
ranked_955.pdb_clean,0.8313,955.0
ranked_958.pdb_clean,0.8306,958.0
ranked_901.pdb_clean,0.8289,901.0
ranked_910.pdb_clean,0.8240,910.0
ranked_905.pdb_clean,0.8234,905.0
ranked_839.pdb_clean,0.8216,839.0
ranked_813.pdb_clean,0.8210,813.0
ranked_979.pdb_clean,0.8209,979.0
ranked_985.pdb_clean,0.8207,985.0
ranked_926.pdb_clean,0.8200,926.0
ranked_933.pdb_clean,0.8178,933.0
ranked_946.pdb_clean,0.8163,946.0
ranked_808.pdb_clean,0.8152,808.0
ranked_965.pdb_clean,0.8149,965.0
ranked_918.pdb_clean,0.8103,918.0
ranked_883.pdb_clean,0.8064,883.0
ranked_976.pdb_clean,0.8063,976.0
ranked_914.pdb_clean,0.8034,914.0
ranked_919.pdb_clean,0.8018,919.0
ranked_993.pdb_clean,0.8015,993.0
ranked_937.pdb_clean,0.8014,937.0
ranked_995.pdb_clean,0.7995,995.0
ranked_913.pdb_clean,0.7987,913.0
ranked_646.pdb_clean,0.7982,646.0
ranked_795.pdb_clean,0.7981,795.0
ranked_856.pdb_clean,0.7979,856.0
ranked_923.pdb_clean,0.7975,923.0
ranked_799.pdb_clean,0.7951,799.0
ranked_920.pdb_clean,0.7950,920.0
ranked_851.pdb_clean,0.7935,851.0
ranked_656.pdb_clean,0.7931,656.0
ranked_854.pdb_clean,0.7867,854.0
ranked_898.pdb_clean,0.7854,898.0
ranked_772.pdb_clean,0.7849,772.0
ranked_969.pdb_clean,0.7796,969.0
ranked_670.pdb_clean,0.7789,670.0
ranked_987.pdb_clean,0.7773,987.0
ranked_982.pdb_clean,0.7766,982.0
ranked_827.pdb_clean,0.7681,827.0
ranked_850.pdb_clean,0.7654,850.0
ranked_986.pdb_clean,0.7653,986.0
ranked_844.pdb_clean,0.7643,844.0
ranked_902.pdb_clean,0.7633,902.0
ranked_869.pdb_clean,0.7604,869.0
ranked_899.pdb_clean,0.7596,899.0
ranked_989.pdb_clean,0.7595,989.0
ranked_991.pdb_clean,0.7584,991.0
ranked_900.pdb_clean,0.7580,900.0
ranked_928.pdb_clean,0.7543,928.0
ranked_642.pdb_clean,0.7515,642.0
ranked_912.pdb_clean,0.7511,912.0
ranked_922.pdb_clean,0.7504,922.0
ranked_552.pdb_clean,0.7490,552.0
ranked_915.pdb_clean,0.7485,915.0
ranked_866.pdb_clean,0.7483,866.0
ranked_966.pdb_clean,0.7482,966.0
ranked_510.pdb_clean,0.7425,510.0
ranked_750.pdb_clean,0.7410,750.0
ranked_888.pdb_clean,0.7403,888.0
ranked_508.pdb_clean,0.7383,508.0
ranked_859.pdb_clean,0.7379,859.0
ranked_320.pdb_clean,0.7372,320.0
ranked_947.pdb_clean,0.7369,947.0
ranked_492.pdb_clean,0.7368,492.0
ranked_855.pdb_clean,0.7366,855.0
ranked_952.pdb_clean,0.7358,952.0
ranked_613.pdb_clean,0.7356,613.0
ranked_386.pdb_clean,0.7354,386.0
ranked_945.pdb_clean,0.7351,945.0
ranked_574.pdb_clean,0.7339,574.0
ranked_948.pdb_clean,0.7338,948.0
ranked_726.pdb_clean,0.7337,726.0
ranked_484.pdb_clean,0.7290,484.0
ranked_840.pdb_clean,0.7286,840.0
ranked_860.pdb_clean,0.7273,860.0
ranked_998.pdb_clean,0.7267,998.0
ranked_719.pdb_clean,0.7253,719.0
ranked_723.pdb_clean,0.7242,723.0
ranked_515.pdb_clean,0.7238,515.0
ranked_428.pdb_clean,0.7234,428.0
ranked_722.pdb_clean,0.7228,722.0
ranked_743.pdb_clean,0.7221,743.0
ranked_732.pdb_clean,0.7219,732.0
ranked_963.pdb_clean,0.7213,963.0
ranked_833.pdb_clean,0.7204,833.0
ranked_481.pdb_clean,0.7194,481.0
ranked_606.pdb_clean,0.7185,606.0
ranked_336.pdb_clean,0.7153,336.0
ranked_470.pdb_clean,0.7143,470.0
ranked_178.pdb_clean,0.7140,178.0
ranked_868.pdb_clean,0.7139,868.0
ranked_956.pdb_clean,0.7127,956.0
ranked_783.pdb_clean,0.7124,783.0
ranked_599.pdb_clean,0.7120,599.0
ranked_87.pdb_clean,0.7112,87.0
ranked_904.pdb_clean,0.7107,904.0
ranked_938.pdb_clean,0.7091,938.0
ranked_814.pdb_clean,0.7091,814.0
ranked_192.pdb_clean,0.7090,192.0
ranked_863.pdb_clean,0.7089,863.0
ranked_217.pdb_clean,0.7087,217.0
ranked_296.pdb_clean,0.7078,296.0
ranked_264.pdb_clean,0.7078,264.0
ranked_990.pdb_clean,0.7065,990.0
ranked_886.pdb_clean,0.7062,886.0
ranked_249.pdb_clean,0.7046,249.0
ranked_779.pdb_clean,0.7044,779.0
ranked_791.pdb_clean,0.7036,791.0
ranked_342.pdb_clean,0.7036,342.0
ranked_809.pdb_clean,0.7035,809.0
ranked_67.pdb_clean,0.7030,67.0
ranked_234.pdb_clean,0.7019,234.0
ranked_89.pdb_clean,0.7008,89.0
ranked_676.pdb_clean,0.6994,676.0
ranked_887.pdb_clean,0.6991,887.0
ranked_177.pdb_clean,0.6982,177.0
ranked_951.pdb_clean,0.6979,951.0
ranked_84.pdb_clean,0.6978,84.0
ranked_786.pdb_clean,0.6956,786.0
ranked_847.pdb_clean,0.6955,847.0
ranked_802.pdb_clean,0.6954,802.0
ranked_801.pdb_clean,0.6951,801.0
ranked_906.pdb_clean,0.6944,906.0
ranked_683.pdb_clean,0.6943,683.0
ranked_525.pdb_clean,0.6938,525.0
ranked_897.pdb_clean,0.6934,897.0
ranked_792.pdb_clean,0.6934,792.0
ranked_757.pdb_clean,0.6933,757.0
ranked_823.pdb_clean,0.6928,823.0
ranked_764.pdb_clean,0.6920,764.0
ranked_182.pdb_clean,0.6912,182.0
ranked_522.pdb_clean,0.6909,522.0
