Filename,Value,AlphaFold Rank
ranked_374.pdb_clean,0.5203,374.0
ranked_257.pdb_clean,0.4974,257.0
ranked_194.pdb_clean,0.4904,194.0
ranked_339.pdb_clean,0.4740,339.0
ranked_630.pdb_clean,0.4709,630.0
ranked_864.pdb_clean,0.3721,864.0
ranked_195.pdb_clean,0.3589,195.0
ranked_912.pdb_clean,0.3455,912.0
ranked_220.pdb_clean,0.3408,220.0
ranked_765.pdb_clean,0.3358,765.0
ranked_186.pdb_clean,0.3357,186.0
ranked_441.pdb_clean,0.3348,441.0
ranked_198.pdb_clean,0.3330,198.0
ranked_253.pdb_clean,0.3310,253.0
ranked_467.pdb_clean,0.3307,467.0
ranked_488.pdb_clean,0.3293,488.0
ranked_517.pdb_clean,0.3286,517.0
ranked_349.pdb_clean,0.3280,349.0
ranked_323.pdb_clean,0.3276,323.0
ranked_607.pdb_clean,0.3275,607.0
ranked_525.pdb_clean,0.3270,525.0
ranked_205.pdb_clean,0.3268,205.0
ranked_434.pdb_clean,0.3265,434.0
ranked_660.pdb_clean,0.3264,660.0
ranked_733.pdb_clean,0.3259,733.0
ranked_179.pdb_clean,0.3249,179.0
ranked_541.pdb_clean,0.3248,541.0
ranked_201.pdb_clean,0.3247,201.0
ranked_506.pdb_clean,0.3246,506.0
ranked_786.pdb_clean,0.3243,786.0
ranked_196.pdb_clean,0.3229,196.0
ranked_182.pdb_clean,0.3227,182.0
ranked_533.pdb_clean,0.3225,533.0
ranked_429.pdb_clean,0.3215,429.0
ranked_177.pdb_clean,0.3213,177.0
ranked_394.pdb_clean,0.3212,394.0
ranked_183.pdb_clean,0.3209,183.0
ranked_790.pdb_clean,0.3203,790.0
ranked_738.pdb_clean,0.3201,738.0
ranked_502.pdb_clean,0.3200,502.0
ranked_496.pdb_clean,0.3197,496.0
ranked_261.pdb_clean,0.3196,261.0
ranked_514.pdb_clean,0.3193,514.0
ranked_611.pdb_clean,0.3192,611.0
ranked_623.pdb_clean,0.3191,623.0
ranked_217.pdb_clean,0.3187,217.0
ranked_363.pdb_clean,0.3186,363.0
ranked_175.pdb_clean,0.3186,175.0
ranked_567.pdb_clean,0.3185,567.0
ranked_810.pdb_clean,0.3182,810.0
ranked_510.pdb_clean,0.3182,510.0
ranked_516.pdb_clean,0.3179,516.0
ranked_582.pdb_clean,0.3177,582.0
ranked_554.pdb_clean,0.3176,554.0
ranked_301.pdb_clean,0.3175,301.0
ranked_187.pdb_clean,0.3175,187.0
ranked_552.pdb_clean,0.3172,552.0
ranked_451.pdb_clean,0.3171,451.0
ranked_210.pdb_clean,0.3171,210.0
ranked_711.pdb_clean,0.3166,711.0
ranked_603.pdb_clean,0.3163,603.0
ranked_622.pdb_clean,0.3162,622.0
ranked_547.pdb_clean,0.3162,547.0
ranked_252.pdb_clean,0.3161,252.0
ranked_158.pdb_clean,0.3158,158.0
ranked_689.pdb_clean,0.3157,689.0
ranked_259.pdb_clean,0.3157,259.0
ranked_391.pdb_clean,0.3156,391.0
ranked_468.pdb_clean,0.3154,468.0
ranked_413.pdb_clean,0.3154,413.0
ranked_170.pdb_clean,0.3154,170.0
ranked_160.pdb_clean,0.3153,160.0
ranked_484.pdb_clean,0.3152,484.0
ranked_18.pdb_clean,0.3151,18.0
ranked_493.pdb_clean,0.3148,493.0
ranked_668.pdb_clean,0.3147,668.0
ranked_643.pdb_clean,0.3142,643.0
ranked_520.pdb_clean,0.3142,520.0
ranked_792.pdb_clean,0.3141,792.0
ranked_580.pdb_clean,0.3141,580.0
ranked_214.pdb_clean,0.3140,214.0
ranked_827.pdb_clean,0.3133,827.0
ranked_498.pdb_clean,0.3133,498.0
