Filename,Value,AlphaFold Rank
ranked_826.pdb_clean,0.3604,826.0
ranked_823.pdb_clean,0.3395,823.0
ranked_790.pdb_clean,0.3386,790.0
ranked_999.pdb_clean,0.3093,999.0
ranked_9.pdb_clean,0.3060,9.0
ranked_26.pdb_clean,0.3038,26.0
ranked_989.pdb_clean,0.3033,989.0
ranked_30.pdb_clean,0.3015,30.0
ranked_982.pdb_clean,0.3012,982.0
ranked_998.pdb_clean,0.3007,998.0
ranked_5.pdb_clean,0.2998,5.0
ranked_974.pdb_clean,0.2980,974.0
ranked_24.pdb_clean,0.2973,24.0
ranked_3.pdb_clean,0.2969,3.0
ranked_15.pdb_clean,0.2958,15.0
ranked_930.pdb_clean,0.2942,930.0
ranked_18.pdb_clean,0.2918,18.0
ranked_932.pdb_clean,0.2908,932.0
ranked_56.pdb_clean,0.2907,56.0
ranked_969.pdb_clean,0.2904,969.0
ranked_954.pdb_clean,0.2903,954.0
ranked_997.pdb_clean,0.2896,997.0
ranked_22.pdb_clean,0.2894,22.0
ranked_11.pdb_clean,0.2886,11.0
ranked_14.pdb_clean,0.2875,14.0
ranked_917.pdb_clean,0.2854,917.0
ranked_970.pdb_clean,0.2829,970.0
ranked_911.pdb_clean,0.2819,911.0
ranked_801.pdb_clean,0.2816,801.0
ranked_19.pdb_clean,0.2808,19.0
ranked_31.pdb_clean,0.2801,31.0
ranked_939.pdb_clean,0.2797,939.0
ranked_25.pdb_clean,0.2796,25.0
ranked_920.pdb_clean,0.2792,920.0
ranked_12.pdb_clean,0.2791,12.0
ranked_23.pdb_clean,0.2790,23.0
ranked_958.pdb_clean,0.2788,958.0
ranked_951.pdb_clean,0.2786,951.0
8C2P_AB,0.2781,
ranked_17.pdb_clean,0.2777,17.0
ranked_20.pdb_clean,0.2774,20.0
ranked_610.pdb_clean,0.2771,610.0
ranked_972.pdb_clean,0.2768,972.0
ranked_585.pdb_clean,0.2766,585.0
ranked_943.pdb_clean,0.2765,943.0
ranked_953.pdb_clean,0.2763,953.0
ranked_992.pdb_clean,0.2758,992.0
ranked_747.pdb_clean,0.2755,747.0
ranked_13.pdb_clean,0.2754,13.0
ranked_942.pdb_clean,0.2751,942.0
ranked_978.pdb_clean,0.2748,978.0
ranked_634.pdb_clean,0.2739,634.0
ranked_573.pdb_clean,0.2735,573.0
ranked_995.pdb_clean,0.2733,995.0
ranked_8.pdb_clean,0.2733,8.0
ranked_213.pdb_clean,0.2730,213.0
ranked_611.pdb_clean,0.2728,611.0
ranked_938.pdb_clean,0.2723,938.0
ranked_570.pdb_clean,0.2718,570.0
ranked_957.pdb_clean,0.2716,957.0
ranked_973.pdb_clean,0.2714,973.0
ranked_7.pdb_clean,0.2711,7.0
ranked_140.pdb_clean,0.2708,140.0
ranked_10.pdb_clean,0.2707,10.0
ranked_918.pdb_clean,0.2704,918.0
ranked_34.pdb_clean,0.2700,34.0
ranked_16.pdb_clean,0.2692,16.0
ranked_994.pdb_clean,0.2685,994.0
ranked_976.pdb_clean,0.2673,976.0
ranked_149.pdb_clean,0.2673,149.0
ranked_937.pdb_clean,0.2666,937.0
ranked_576.pdb_clean,0.2666,576.0
ranked_353.pdb_clean,0.2663,353.0
ranked_589.pdb_clean,0.2659,589.0
ranked_984.pdb_clean,0.2657,984.0
ranked_417.pdb_clean,0.2657,417.0
ranked_971.pdb_clean,0.2655,971.0
ranked_928.pdb_clean,0.2654,928.0
ranked_415.pdb_clean,0.2654,415.0
ranked_229.pdb_clean,0.2653,229.0
ranked_103.pdb_clean,0.2652,103.0
ranked_949.pdb_clean,0.2651,949.0
ranked_968.pdb_clean,0.2646,968.0
ranked_499.pdb_clean,0.2646,499.0
ranked_433.pdb_clean,0.2646,433.0
ranked_321.pdb_clean,0.2645,321.0
ranked_664.pdb_clean,0.2643,664.0
ranked_963.pdb_clean,0.2641,963.0
ranked_418.pdb_clean,0.2640,418.0
ranked_360.pdb_clean,0.2637,360.0
ranked_607.pdb_clean,0.2630,607.0
ranked_155.pdb_clean,0.2630,155.0
ranked_152.pdb_clean,0.2630,152.0
ranked_132.pdb_clean,0.2628,132.0
ranked_629.pdb_clean,0.2627,629.0
ranked_529.pdb_clean,0.2627,529.0
ranked_319.pdb_clean,0.2627,319.0
ranked_853.pdb_clean,0.2626,853.0
ranked_33.pdb_clean,0.2625,33.0
ranked_277.pdb_clean,0.2624,277.0
ranked_993.pdb_clean,0.2623,993.0
ranked_325.pdb_clean,0.2621,325.0
ranked_162.pdb_clean,0.2619,162.0
ranked_528.pdb_clean,0.2615,528.0
ranked_333.pdb_clean,0.2615,333.0
ranked_157.pdb_clean,0.2613,157.0
ranked_324.pdb_clean,0.2612,324.0
ranked_156.pdb_clean,0.2612,156.0
ranked_443.pdb_clean,0.2610,443.0
ranked_931.pdb_clean,0.2609,931.0
ranked_950.pdb_clean,0.2606,950.0
ranked_366.pdb_clean,0.2606,366.0
ranked_952.pdb_clean,0.2604,952.0
ranked_378.pdb_clean,0.2604,378.0
ranked_258.pdb_clean,0.2604,258.0
ranked_251.pdb_clean,0.2603,251.0
ranked_122.pdb_clean,0.2603,122.0
ranked_263.pdb_clean,0.2601,263.0
ranked_550.pdb_clean,0.2600,550.0
ranked_390.pdb_clean,0.2598,390.0
ranked_314.pdb_clean,0.2598,314.0
ranked_137.pdb_clean,0.2598,137.0
ranked_135.pdb_clean,0.2598,135.0
ranked_233.pdb_clean,0.2597,233.0
ranked_136.pdb_clean,0.2597,136.0
ranked_406.pdb_clean,0.2596,406.0
ranked_95.pdb_clean,0.2594,95.0
ranked_533.pdb_clean,0.2593,533.0
ranked_544.pdb_clean,0.2592,544.0
ranked_465.pdb_clean,0.2592,465.0
ranked_88.pdb_clean,0.2590,88.0
ranked_182.pdb_clean,0.2589,182.0
ranked_534.pdb_clean,0.2588,534.0
ranked_352.pdb_clean,0.2588,352.0
ranked_141.pdb_clean,0.2588,141.0
ranked_287.pdb_clean,0.2587,287.0
ranked_686.pdb_clean,0.2586,686.0
ranked_363.pdb_clean,0.2586,363.0
ranked_716.pdb_clean,0.2585,716.0
ranked_329.pdb_clean,0.2585,329.0
ranked_625.pdb_clean,0.2584,625.0
ranked_91.pdb_clean,0.2582,91.0
ranked_438.pdb_clean,0.2582,438.0
ranked_209.pdb_clean,0.2582,209.0
ranked_420.pdb_clean,0.2581,420.0
ranked_110.pdb_clean,0.2577,110.0
ranked_940.pdb_clean,0.2575,940.0
ranked_602.pdb_clean,0.2575,602.0
ranked_190.pdb_clean,0.2575,190.0
ranked_347.pdb_clean,0.2574,347.0
ranked_1.pdb_clean,0.2574,1.0
ranked_456.pdb_clean,0.2573,456.0
ranked_983.pdb_clean,0.2572,983.0
ranked_242.pdb_clean,0.2572,242.0
ranked_515.pdb_clean,0.2570,515.0
ranked_307.pdb_clean,0.2570,307.0
ranked_411.pdb_clean,0.2569,411.0
ranked_392.pdb_clean,0.2568,392.0
ranked_302.pdb_clean,0.2568,302.0
ranked_120.pdb_clean,0.2568,120.0
ranked_350.pdb_clean,0.2567,350.0
ranked_440.pdb_clean,0.2566,440.0
ranked_527.pdb_clean,0.2564,527.0
ranked_514.pdb_clean,0.2564,514.0
ranked_431.pdb_clean,0.2564,431.0
ranked_368.pdb_clean,0.2564,368.0
ranked_259.pdb_clean,0.2564,259.0
ranked_408.pdb_clean,0.2562,408.0
ranked_758.pdb_clean,0.2561,758.0
ranked_317.pdb_clean,0.2561,317.0
ranked_395.pdb_clean,0.2560,395.0
ranked_111.pdb_clean,0.2560,111.0
ranked_603.pdb_clean,0.2559,603.0
ranked_561.pdb_clean,0.2559,561.0
ranked_473.pdb_clean,0.2559,473.0
ranked_495.pdb_clean,0.2558,495.0
ranked_286.pdb_clean,0.2558,286.0
ranked_32.pdb_clean,0.2557,32.0
ranked_276.pdb_clean,0.2557,276.0
ranked_600.pdb_clean,0.2556,600.0
ranked_290.pdb_clean,0.2556,290.0
ranked_458.pdb_clean,0.2555,458.0
ranked_340.pdb_clean,0.2555,340.0
ranked_4.pdb_clean,0.2554,4.0
ranked_457.pdb_clean,0.2553,457.0
ranked_298.pdb_clean,0.2553,298.0
ranked_243.pdb_clean,0.2553,243.0
ranked_364.pdb_clean,0.2551,364.0
ranked_494.pdb_clean,0.2550,494.0
ranked_297.pdb_clean,0.2550,297.0
ranked_421.pdb_clean,0.2549,421.0
ranked_282.pdb_clean,0.2549,282.0
ranked_143.pdb_clean,0.2549,143.0
ranked_915.pdb_clean,0.2548,915.0
ranked_439.pdb_clean,0.2548,439.0
ranked_413.pdb_clean,0.2548,413.0
ranked_358.pdb_clean,0.2548,358.0
ranked_211.pdb_clean,0.2548,211.0
ranked_181.pdb_clean,0.2548,181.0
ranked_101.pdb_clean,0.2548,101.0
ranked_300.pdb_clean,0.2547,300.0
ranked_432.pdb_clean,0.2546,432.0
ranked_335.pdb_clean,0.2546,335.0
ranked_474.pdb_clean,0.2545,474.0
ranked_167.pdb_clean,0.2545,167.0
ranked_549.pdb_clean,0.2544,549.0
ranked_416.pdb_clean,0.2544,416.0
ranked_476.pdb_clean,0.2543,476.0
