Filename,Value,AlphaFold Rank
ranked_26.pdb_clean,0.6144,26.0
ranked_27.pdb_clean,0.5927,27.0
8CCW_AB,0.5869,
ranked_3.pdb_clean,0.5724,3.0
ranked_201.pdb_clean,0.5566,201.0
ranked_1.pdb_clean,0.5561,1.0
ranked_21.pdb_clean,0.5554,21.0
ranked_25.pdb_clean,0.5537,25.0
ranked_24.pdb_clean,0.5514,24.0
ranked_2.pdb_clean,0.5462,2.0
ranked_186.pdb_clean,0.5452,186.0
ranked_38.pdb_clean,0.5446,38.0
ranked_107.pdb_clean,0.5392,107.0
ranked_45.pdb_clean,0.5391,45.0
ranked_233.pdb_clean,0.5379,233.0
ranked_59.pdb_clean,0.5354,59.0
ranked_110.pdb_clean,0.5354,110.0
ranked_99.pdb_clean,0.5349,99.0
ranked_977.pdb_clean,0.5345,977.0
ranked_63.pdb_clean,0.5340,63.0
ranked_39.pdb_clean,0.5328,39.0
ranked_154.pdb_clean,0.5323,154.0
ranked_88.pdb_clean,0.5298,88.0
ranked_51.pdb_clean,0.5292,51.0
ranked_254.pdb_clean,0.5273,254.0
ranked_122.pdb_clean,0.5273,122.0
ranked_35.pdb_clean,0.5270,35.0
ranked_132.pdb_clean,0.5270,132.0
ranked_98.pdb_clean,0.5268,98.0
ranked_93.pdb_clean,0.5264,93.0
ranked_78.pdb_clean,0.5253,78.0
ranked_56.pdb_clean,0.5245,56.0
ranked_146.pdb_clean,0.5236,146.0
ranked_69.pdb_clean,0.5223,69.0
ranked_350.pdb_clean,0.5223,350.0
ranked_114.pdb_clean,0.5220,114.0
ranked_76.pdb_clean,0.5218,76.0
ranked_120.pdb_clean,0.5217,120.0
ranked_108.pdb_clean,0.5205,108.0
ranked_80.pdb_clean,0.5202,80.0
ranked_31.pdb_clean,0.5197,31.0
ranked_62.pdb_clean,0.5188,62.0
ranked_127.pdb_clean,0.5185,127.0
ranked_66.pdb_clean,0.5178,66.0
ranked_81.pdb_clean,0.5176,81.0
ranked_40.pdb_clean,0.5176,40.0
ranked_272.pdb_clean,0.5174,272.0
ranked_47.pdb_clean,0.5173,47.0
ranked_49.pdb_clean,0.5161,49.0
ranked_32.pdb_clean,0.5155,32.0
ranked_413.pdb_clean,0.5152,413.0
ranked_262.pdb_clean,0.5152,262.0
ranked_79.pdb_clean,0.5141,79.0
ranked_33.pdb_clean,0.5139,33.0
ranked_125.pdb_clean,0.5138,125.0
ranked_28.pdb_clean,0.5135,28.0
ranked_6.pdb_clean,0.5133,6.0
ranked_41.pdb_clean,0.5128,41.0
ranked_71.pdb_clean,0.5126,71.0
ranked_94.pdb_clean,0.5114,94.0
ranked_320.pdb_clean,0.5114,320.0
ranked_30.pdb_clean,0.5109,30.0
ranked_374.pdb_clean,0.5106,374.0
ranked_316.pdb_clean,0.5105,316.0
ranked_166.pdb_clean,0.5097,166.0
ranked_145.pdb_clean,0.5093,145.0
ranked_335.pdb_clean,0.5089,335.0
ranked_324.pdb_clean,0.5088,324.0
ranked_271.pdb_clean,0.5086,271.0
ranked_92.pdb_clean,0.5083,92.0
ranked_278.pdb_clean,0.5083,278.0
ranked_89.pdb_clean,0.5073,89.0
ranked_5.pdb_clean,0.5071,5.0
ranked_67.pdb_clean,0.5063,67.0
ranked_74.pdb_clean,0.5056,74.0
ranked_175.pdb_clean,0.5052,175.0
ranked_90.pdb_clean,0.5044,90.0
ranked_147.pdb_clean,0.5025,147.0
ranked_456.pdb_clean,0.5014,456.0
ranked_143.pdb_clean,0.5012,143.0
ranked_371.pdb_clean,0.4938,371.0
ranked_60.pdb_clean,0.4934,60.0
ranked_220.pdb_clean,0.4933,220.0
ranked_130.pdb_clean,0.4930,130.0
ranked_226.pdb_clean,0.4927,226.0
ranked_46.pdb_clean,0.4923,46.0
ranked_999.pdb_clean,0.4920,999.0
ranked_65.pdb_clean,0.4901,65.0
ranked_287.pdb_clean,0.4898,287.0
ranked_61.pdb_clean,0.4893,61.0
ranked_299.pdb_clean,0.4886,299.0
ranked_101.pdb_clean,0.4881,101.0
ranked_247.pdb_clean,0.4869,247.0
ranked_293.pdb_clean,0.4863,293.0
ranked_117.pdb_clean,0.4857,117.0
ranked_57.pdb_clean,0.4843,57.0
ranked_17.pdb_clean,0.4838,17.0
ranked_103.pdb_clean,0.4825,103.0
ranked_43.pdb_clean,0.4822,43.0
ranked_34.pdb_clean,0.4822,34.0
ranked_84.pdb_clean,0.4816,84.0
ranked_310.pdb_clean,0.4813,310.0
ranked_290.pdb_clean,0.4810,290.0
ranked_136.pdb_clean,0.4808,136.0
ranked_161.pdb_clean,0.4800,161.0
