Filename,Value,AlphaFold Rank
ranked_368.pdb_clean,0.7020,368.0
ranked_339.pdb_clean,0.6955,339.0
ranked_402.pdb_clean,0.6920,402.0
ranked_426.pdb_clean,0.6916,426.0
ranked_361.pdb_clean,0.6872,361.0
ranked_837.pdb_clean,0.6822,837.0
ranked_377.pdb_clean,0.6814,377.0
ranked_603.pdb_clean,0.6772,603.0
ranked_444.pdb_clean,0.6770,444.0
ranked_457.pdb_clean,0.6755,457.0
ranked_461.pdb_clean,0.6754,461.0
ranked_405.pdb_clean,0.6743,405.0
ranked_622.pdb_clean,0.6740,622.0
ranked_758.pdb_clean,0.6713,758.0
ranked_755.pdb_clean,0.6711,755.0
ranked_385.pdb_clean,0.6677,385.0
ranked_505.pdb_clean,0.6669,505.0
ranked_613.pdb_clean,0.6660,613.0
ranked_733.pdb_clean,0.6658,733.0
ranked_915.pdb_clean,0.6656,915.0
ranked_836.pdb_clean,0.6634,836.0
ranked_645.pdb_clean,0.6567,645.0
ranked_844.pdb_clean,0.6550,844.0
ranked_807.pdb_clean,0.6537,807.0
ranked_850.pdb_clean,0.6536,850.0
ranked_828.pdb_clean,0.6533,828.0
ranked_834.pdb_clean,0.6522,834.0
ranked_776.pdb_clean,0.6522,776.0
ranked_759.pdb_clean,0.6520,759.0
ranked_543.pdb_clean,0.6515,543.0
ranked_813.pdb_clean,0.6476,813.0
ranked_528.pdb_clean,0.6466,528.0
ranked_692.pdb_clean,0.6465,692.0
ranked_701.pdb_clean,0.6461,701.0
ranked_544.pdb_clean,0.6432,544.0
ranked_671.pdb_clean,0.6428,671.0
ranked_335.pdb_clean,0.6410,335.0
ranked_408.pdb_clean,0.6406,408.0
ranked_977.pdb_clean,0.6396,977.0
ranked_473.pdb_clean,0.6391,473.0
ranked_363.pdb_clean,0.6384,363.0
ranked_633.pdb_clean,0.6381,633.0
ranked_748.pdb_clean,0.6375,748.0
ranked_587.pdb_clean,0.6372,587.0
ranked_965.pdb_clean,0.6354,965.0
ranked_464.pdb_clean,0.6326,464.0
ranked_535.pdb_clean,0.6320,535.0
ranked_799.pdb_clean,0.6302,799.0
ranked_537.pdb_clean,0.6285,537.0
ranked_605.pdb_clean,0.6282,605.0
ranked_467.pdb_clean,0.6276,467.0
ranked_666.pdb_clean,0.6272,666.0
ranked_775.pdb_clean,0.6267,775.0
ranked_72.pdb_clean,0.6259,72.0
ranked_808.pdb_clean,0.6257,808.0
ranked_329.pdb_clean,0.6241,329.0
ranked_737.pdb_clean,0.6234,737.0
ranked_824.pdb_clean,0.6229,824.0
ranked_284.pdb_clean,0.6206,284.0
ranked_124.pdb_clean,0.6195,124.0
ranked_663.pdb_clean,0.6193,663.0
ranked_604.pdb_clean,0.6181,604.0
ranked_908.pdb_clean,0.6166,908.0
ranked_899.pdb_clean,0.6165,899.0
ranked_343.pdb_clean,0.6160,343.0
ranked_325.pdb_clean,0.6155,325.0
ranked_782.pdb_clean,0.6130,782.0
ranked_811.pdb_clean,0.6094,811.0
ranked_414.pdb_clean,0.6072,414.0
ranked_797.pdb_clean,0.6068,797.0
ranked_729.pdb_clean,0.6064,729.0
ranked_972.pdb_clean,0.6052,972.0
ranked_185.pdb_clean,0.6050,185.0
ranked_736.pdb_clean,0.6043,736.0
ranked_353.pdb_clean,0.6036,353.0
ranked_806.pdb_clean,0.6027,806.0
ranked_409.pdb_clean,0.6024,409.0
ranked_628.pdb_clean,0.6022,628.0
ranked_942.pdb_clean,0.6014,942.0
ranked_774.pdb_clean,0.6013,774.0
ranked_914.pdb_clean,0.6011,914.0
ranked_476.pdb_clean,0.5977,476.0
ranked_846.pdb_clean,0.5958,846.0
ranked_562.pdb_clean,0.5953,562.0
ranked_465.pdb_clean,0.5951,465.0
ranked_640.pdb_clean,0.5940,640.0
ranked_300.pdb_clean,0.5933,300.0
ranked_822.pdb_clean,0.5932,822.0
ranked_564.pdb_clean,0.5929,564.0
ranked_841.pdb_clean,0.5914,841.0
ranked_731.pdb_clean,0.5911,731.0
ranked_680.pdb_clean,0.5905,680.0
ranked_747.pdb_clean,0.5898,747.0
ranked_371.pdb_clean,0.5887,371.0
ranked_472.pdb_clean,0.5885,472.0
ranked_383.pdb_clean,0.5883,383.0
ranked_360.pdb_clean,0.5883,360.0
ranked_299.pdb_clean,0.5883,299.0
ranked_615.pdb_clean,0.5881,615.0
ranked_949.pdb_clean,0.5880,949.0
ranked_725.pdb_clean,0.5878,725.0
ranked_674.pdb_clean,0.5865,674.0
ranked_876.pdb_clean,0.5858,876.0
ranked_741.pdb_clean,0.5857,741.0
ranked_610.pdb_clean,0.5857,610.0
ranked_586.pdb_clean,0.5852,586.0
ranked_413.pdb_clean,0.5847,413.0
ranked_698.pdb_clean,0.5846,698.0
ranked_242.pdb_clean,0.5842,242.0
ranked_829.pdb_clean,0.5841,829.0
ranked_295.pdb_clean,0.5831,295.0
ranked_756.pdb_clean,0.5814,756.0
ranked_847.pdb_clean,0.5806,847.0
ranked_700.pdb_clean,0.5798,700.0
ranked_529.pdb_clean,0.5794,529.0
ranked_497.pdb_clean,0.5789,497.0
ranked_642.pdb_clean,0.5772,642.0
ranked_204.pdb_clean,0.5770,204.0
8CIR_AC,0.5767,
ranked_270.pdb_clean,0.5763,270.0
ranked_223.pdb_clean,0.5763,223.0
ranked_878.pdb_clean,0.5754,878.0
ranked_875.pdb_clean,0.5737,875.0
ranked_941.pdb_clean,0.5735,941.0
ranked_907.pdb_clean,0.5735,907.0
ranked_796.pdb_clean,0.5719,796.0
ranked_508.pdb_clean,0.5716,508.0
ranked_394.pdb_clean,0.5712,394.0
ranked_280.pdb_clean,0.5709,280.0
ranked_268.pdb_clean,0.5707,268.0
ranked_771.pdb_clean,0.5699,771.0
ranked_723.pdb_clean,0.5699,723.0
ranked_367.pdb_clean,0.5683,367.0
ranked_791.pdb_clean,0.5675,791.0
ranked_523.pdb_clean,0.5675,523.0
ranked_624.pdb_clean,0.5669,624.0
ranked_187.pdb_clean,0.5664,187.0
ranked_827.pdb_clean,0.5660,827.0
ranked_259.pdb_clean,0.5658,259.0
ranked_786.pdb_clean,0.5657,786.0
ranked_485.pdb_clean,0.5657,485.0
ranked_386.pdb_clean,0.5654,386.0
ranked_812.pdb_clean,0.5653,812.0
ranked_27.pdb_clean,0.5649,27.0
ranked_180.pdb_clean,0.5646,180.0
ranked_319.pdb_clean,0.5645,319.0
ranked_326.pdb_clean,0.5640,326.0
ranked_214.pdb_clean,0.5640,214.0
ranked_275.pdb_clean,0.5636,275.0
ranked_164.pdb_clean,0.5632,164.0
ranked_285.pdb_clean,0.5628,285.0
ranked_678.pdb_clean,0.5626,678.0
ranked_291.pdb_clean,0.5616,291.0
ranked_930.pdb_clean,0.5613,930.0
ranked_358.pdb_clean,0.5612,358.0
ranked_241.pdb_clean,0.5611,241.0
ranked_156.pdb_clean,0.5607,156.0
ranked_255.pdb_clean,0.5605,255.0
ranked_494.pdb_clean,0.5599,494.0
ranked_296.pdb_clean,0.5599,296.0
ranked_781.pdb_clean,0.5598,781.0
ranked_346.pdb_clean,0.5598,346.0
ranked_208.pdb_clean,0.5596,208.0
ranked_207.pdb_clean,0.5594,207.0
ranked_830.pdb_clean,0.5593,830.0
ranked_999.pdb_clean,0.5578,999.0
ranked_331.pdb_clean,0.5573,331.0
ranked_324.pdb_clean,0.5570,324.0
ranked_803.pdb_clean,0.5566,803.0
ranked_390.pdb_clean,0.5565,390.0
ranked_656.pdb_clean,0.5564,656.0
ranked_608.pdb_clean,0.5562,608.0
ranked_757.pdb_clean,0.5552,757.0
ranked_391.pdb_clean,0.5552,391.0
ranked_192.pdb_clean,0.5552,192.0
ranked_384.pdb_clean,0.5550,384.0
ranked_287.pdb_clean,0.5549,287.0
ranked_333.pdb_clean,0.5546,333.0
ranked_359.pdb_clean,0.5544,359.0
ranked_251.pdb_clean,0.5544,251.0
ranked_462.pdb_clean,0.5530,462.0
ranked_61.pdb_clean,0.5526,61.0
ranked_884.pdb_clean,0.5524,884.0
ranked_403.pdb_clean,0.5524,403.0
ranked_424.pdb_clean,0.5522,424.0
ranked_283.pdb_clean,0.5521,283.0
ranked_609.pdb_clean,0.5520,609.0
ranked_290.pdb_clean,0.5519,290.0
ranked_218.pdb_clean,0.5518,218.0
ranked_373.pdb_clean,0.5517,373.0
ranked_191.pdb_clean,0.5515,191.0
ranked_506.pdb_clean,0.5514,506.0
ranked_591.pdb_clean,0.5512,591.0
ranked_309.pdb_clean,0.5509,309.0
