Filename,Value,AlphaFold Rank
ranked_833.pdb_clean,0.4298,833
ranked_794.pdb_clean,0.4298,794
ranked_839.pdb_clean,0.4294,839
ranked_709.pdb_clean,0.4294,709
ranked_690.pdb_clean,0.4294,690
ranked_680.pdb_clean,0.4294,680
ranked_677.pdb_clean,0.4294,677
ranked_655.pdb_clean,0.4294,655
ranked_714.pdb_clean,0.4289,714
ranked_322.pdb_clean,0.4289,322
ranked_784.pdb_clean,0.4286,784
ranked_699.pdb_clean,0.4286,699
ranked_720.pdb_clean,0.4275,720
ranked_773.pdb_clean,0.4273,773
ranked_743.pdb_clean,0.4273,743
ranked_684.pdb_clean,0.4273,684
ranked_657.pdb_clean,0.4273,657
ranked_732.pdb_clean,0.4272,732
ranked_706.pdb_clean,0.427,706
ranked_664.pdb_clean,0.427,664
ranked_850.pdb_clean,0.4264,850
ranked_819.pdb_clean,0.4264,819
ranked_798.pdb_clean,0.4264,798
ranked_774.pdb_clean,0.4264,774
ranked_754.pdb_clean,0.4264,754
ranked_758.pdb_clean,0.4263,758
ranked_766.pdb_clean,0.4258,766
ranked_701.pdb_clean,0.4254,701
ranked_750.pdb_clean,0.4249,750
ranked_695.pdb_clean,0.4249,695
ranked_824.pdb_clean,0.4248,824
ranked_438.pdb_clean,0.4248,438
ranked_747.pdb_clean,0.4247,747
ranked_792.pdb_clean,0.4245,792
ranked_717.pdb_clean,0.4241,717
ranked_682.pdb_clean,0.4241,682
ranked_823.pdb_clean,0.4236,823
ranked_820.pdb_clean,0.4236,820
ranked_705.pdb_clean,0.4236,705
ranked_681.pdb_clean,0.4236,681
ranked_617.pdb_clean,0.4236,617
ranked_346.pdb_clean,0.4236,346
ranked_812.pdb_clean,0.4235,812
ranked_740.pdb_clean,0.4235,740
ranked_749.pdb_clean,0.423,749
ranked_715.pdb_clean,0.423,715
ranked_660.pdb_clean,0.423,660
ranked_805.pdb_clean,0.4229,805
ranked_781.pdb_clean,0.4229,781
ranked_738.pdb_clean,0.4229,738
ranked_696.pdb_clean,0.4229,696
