Filename,Value,AlphaFold Rank
ranked_487.pdb_clean,0.4471,487.0
ranked_569.pdb_clean,0.4390,569.0
ranked_415.pdb_clean,0.4327,415.0
ranked_454.pdb_clean,0.4301,454.0
ranked_213.pdb_clean,0.4269,213.0
ranked_594.pdb_clean,0.4248,594.0
ranked_252.pdb_clean,0.4235,252.0
ranked_484.pdb_clean,0.4228,484.0
ranked_306.pdb_clean,0.4224,306.0
ranked_224.pdb_clean,0.4221,224.0
ranked_999.pdb_clean,0.4217,999.0
ranked_348.pdb_clean,0.4212,348.0
ranked_321.pdb_clean,0.4195,321.0
ranked_361.pdb_clean,0.4191,361.0
ranked_285.pdb_clean,0.4179,285.0
ranked_206.pdb_clean,0.4177,206.0
ranked_543.pdb_clean,0.4160,543.0
ranked_431.pdb_clean,0.4159,431.0
ranked_316.pdb_clean,0.4154,316.0
ranked_400.pdb_clean,0.4144,400.0
ranked_292.pdb_clean,0.4125,292.0
ranked_455.pdb_clean,0.4123,455.0
ranked_359.pdb_clean,0.4119,359.0
ranked_591.pdb_clean,0.4106,591.0
ranked_339.pdb_clean,0.4102,339.0
ranked_278.pdb_clean,0.4094,278.0
ranked_353.pdb_clean,0.4091,353.0
ranked_304.pdb_clean,0.4086,304.0
ranked_575.pdb_clean,0.4081,575.0
ranked_416.pdb_clean,0.4079,416.0
ranked_207.pdb_clean,0.4076,207.0
ranked_582.pdb_clean,0.4069,582.0
ranked_566.pdb_clean,0.4066,566.0
ranked_247.pdb_clean,0.4062,247.0
ranked_485.pdb_clean,0.4061,485.0
ranked_324.pdb_clean,0.4061,324.0
ranked_257.pdb_clean,0.4060,257.0
ranked_219.pdb_clean,0.4058,219.0
ranked_397.pdb_clean,0.4055,397.0
ranked_347.pdb_clean,0.4050,347.0
ranked_274.pdb_clean,0.4046,274.0
ranked_555.pdb_clean,0.4045,555.0
ranked_273.pdb_clean,0.4042,273.0
ranked_413.pdb_clean,0.4039,413.0
ranked_356.pdb_clean,0.4039,356.0
ranked_373.pdb_clean,0.4036,373.0
ranked_305.pdb_clean,0.4035,305.0
ranked_522.pdb_clean,0.4031,522.0
ranked_675.pdb_clean,0.4029,675.0
ranked_427.pdb_clean,0.4027,427.0
ranked_314.pdb_clean,0.4027,314.0
ranked_245.pdb_clean,0.4026,245.0
ranked_294.pdb_clean,0.4020,294.0
ranked_622.pdb_clean,0.4019,622.0
ranked_498.pdb_clean,0.4015,498.0
ranked_490.pdb_clean,0.4014,490.0
ranked_357.pdb_clean,0.4014,357.0
ranked_243.pdb_clean,0.4014,243.0
ranked_521.pdb_clean,0.4012,521.0
ranked_360.pdb_clean,0.4011,360.0
ranked_283.pdb_clean,0.4011,283.0
ranked_350.pdb_clean,0.4009,350.0
ranked_430.pdb_clean,0.4007,430.0
ranked_311.pdb_clean,0.4006,311.0
ranked_227.pdb_clean,0.4006,227.0
ranked_215.pdb_clean,0.4006,215.0
ranked_201.pdb_clean,0.4006,201.0
ranked_374.pdb_clean,0.4004,374.0
ranked_308.pdb_clean,0.4001,308.0
ranked_597.pdb_clean,0.3999,597.0
ranked_624.pdb_clean,0.3997,624.0
ranked_489.pdb_clean,0.3995,489.0
ranked_483.pdb_clean,0.3991,483.0
ranked_412.pdb_clean,0.3991,412.0
ranked_259.pdb_clean,0.3991,259.0
ranked_502.pdb_clean,0.3990,502.0
ranked_390.pdb_clean,0.3988,390.0
ranked_464.pdb_clean,0.3985,464.0
ranked_460.pdb_clean,0.3984,460.0
ranked_481.pdb_clean,0.3982,481.0
ranked_371.pdb_clean,0.3981,371.0
ranked_202.pdb_clean,0.3981,202.0
ranked_653.pdb_clean,0.3979,653.0
ranked_517.pdb_clean,0.3978,517.0
ranked_486.pdb_clean,0.3978,486.0
ranked_402.pdb_clean,0.3973,402.0
ranked_523.pdb_clean,0.3972,523.0
ranked_330.pdb_clean,0.3972,330.0
ranked_229.pdb_clean,0.3971,229.0
ranked_443.pdb_clean,0.3970,443.0
ranked_269.pdb_clean,0.3970,269.0
ranked_577.pdb_clean,0.3969,577.0
ranked_548.pdb_clean,0.3969,548.0
ranked_717.pdb_clean,0.3968,717.0
ranked_384.pdb_clean,0.3968,384.0
ranked_368.pdb_clean,0.3968,368.0
ranked_599.pdb_clean,0.3967,599.0
ranked_410.pdb_clean,0.3967,410.0
ranked_480.pdb_clean,0.3966,480.0
ranked_419.pdb_clean,0.3966,419.0
ranked_280.pdb_clean,0.3966,280.0
ranked_534.pdb_clean,0.3965,534.0
ranked_401.pdb_clean,0.3963,401.0
ranked_363.pdb_clean,0.3963,363.0
ranked_729.pdb_clean,0.3958,729.0
ranked_396.pdb_clean,0.3958,396.0
ranked_422.pdb_clean,0.3955,422.0
ranked_188.pdb_clean,0.3953,188.0
ranked_290.pdb_clean,0.3952,290.0
ranked_221.pdb_clean,0.3951,221.0
ranked_345.pdb_clean,0.3950,345.0
ranked_529.pdb_clean,0.3949,529.0
ranked_333.pdb_clean,0.3949,333.0
ranked_309.pdb_clean,0.3949,309.0
ranked_388.pdb_clean,0.3948,388.0
ranked_446.pdb_clean,0.3947,446.0
ranked_289.pdb_clean,0.3946,289.0
ranked_589.pdb_clean,0.3945,589.0
ranked_510.pdb_clean,0.3945,510.0
ranked_500.pdb_clean,0.3945,500.0
ranked_380.pdb_clean,0.3945,380.0
ranked_332.pdb_clean,0.3945,332.0
ranked_270.pdb_clean,0.3944,270.0
ranked_281.pdb_clean,0.3942,281.0
ranked_0.pdb_clean,0.3941,0.0
ranked_372.pdb_clean,0.3940,372.0
ranked_571.pdb_clean,0.3937,571.0
ranked_198.pdb_clean,0.3936,198.0
ranked_585.pdb_clean,0.3935,585.0
ranked_237.pdb_clean,0.3935,237.0
ranked_554.pdb_clean,0.3933,554.0
ranked_354.pdb_clean,0.3933,354.0
ranked_214.pdb_clean,0.3931,214.0
ranked_776.pdb_clean,0.3930,776.0
ranked_442.pdb_clean,0.3929,442.0
ranked_326.pdb_clean,0.3929,326.0
ranked_833.pdb_clean,0.3928,833.0
ranked_279.pdb_clean,0.3928,279.0
ranked_375.pdb_clean,0.3926,375.0
ranked_240.pdb_clean,0.3925,240.0
ranked_287.pdb_clean,0.3923,287.0
ranked_605.pdb_clean,0.3922,605.0
ranked_504.pdb_clean,0.3922,504.0
ranked_562.pdb_clean,0.3921,562.0
ranked_295.pdb_clean,0.3921,295.0
ranked_506.pdb_clean,0.3920,506.0
ranked_473.pdb_clean,0.3920,473.0
ranked_421.pdb_clean,0.3919,421.0
ranked_395.pdb_clean,0.3919,395.0
ranked_434.pdb_clean,0.3917,434.0
ranked_364.pdb_clean,0.3917,364.0
ranked_329.pdb_clean,0.3917,329.0
ranked_301.pdb_clean,0.3915,301.0
ranked_276.pdb_clean,0.3915,276.0
ranked_190.pdb_clean,0.3914,190.0
ranked_210.pdb_clean,0.3913,210.0
ranked_495.pdb_clean,0.3910,495.0
ranked_478.pdb_clean,0.3910,478.0
ranked_404.pdb_clean,0.3910,404.0
ranked_349.pdb_clean,0.3910,349.0
ranked_461.pdb_clean,0.3909,461.0
ranked_579.pdb_clean,0.3908,579.0
ranked_367.pdb_clean,0.3908,367.0
ranked_560.pdb_clean,0.3907,560.0
ranked_408.pdb_clean,0.3906,408.0
ranked_499.pdb_clean,0.3905,499.0
ranked_458.pdb_clean,0.3905,458.0
ranked_436.pdb_clean,0.3905,436.0
ranked_320.pdb_clean,0.3905,320.0
ranked_183.pdb_clean,0.3905,183.0
ranked_496.pdb_clean,0.3904,496.0
ranked_246.pdb_clean,0.3903,246.0
ranked_101.pdb_clean,0.3903,101.0
ranked_541.pdb_clean,0.3902,541.0
ranked_327.pdb_clean,0.3902,327.0
ranked_512.pdb_clean,0.3901,512.0
ranked_952.pdb_clean,0.3900,952.0
ranked_184.pdb_clean,0.3900,184.0
ranked_538.pdb_clean,0.3898,538.0
ranked_457.pdb_clean,0.3897,457.0
ranked_352.pdb_clean,0.3896,352.0
ranked_251.pdb_clean,0.3895,251.0
ranked_428.pdb_clean,0.3894,428.0
ranked_465.pdb_clean,0.3893,465.0
ranked_438.pdb_clean,0.3893,438.0
ranked_288.pdb_clean,0.3893,288.0
ranked_791.pdb_clean,0.3892,791.0
ranked_315.pdb_clean,0.3892,315.0
ranked_531.pdb_clean,0.3891,531.0
ranked_891.pdb_clean,0.3890,891.0
ranked_225.pdb_clean,0.3890,225.0
ranked_561.pdb_clean,0.3889,561.0
ranked_409.pdb_clean,0.3888,409.0
ranked_226.pdb_clean,0.3888,226.0
ranked_155.pdb_clean,0.3885,155.0
ranked_986.pdb_clean,0.3884,986.0
ranked_236.pdb_clean,0.3884,236.0
ranked_432.pdb_clean,0.3881,432.0
ranked_399.pdb_clean,0.3881,399.0
ranked_254.pdb_clean,0.3881,254.0
ranked_392.pdb_clean,0.3878,392.0
ranked_191.pdb_clean,0.3878,191.0
ranked_515.pdb_clean,0.3877,515.0
ranked_459.pdb_clean,0.3877,459.0
ranked_265.pdb_clean,0.3877,265.0
ranked_954.pdb_clean,0.3876,954.0
ranked_358.pdb_clean,0.3876,358.0
ranked_232.pdb_clean,0.3876,232.0
ranked_208.pdb_clean,0.3876,208.0
ranked_574.pdb_clean,0.3875,574.0
ranked_196.pdb_clean,0.3875,196.0
ranked_299.pdb_clean,0.3874,299.0
ranked_275.pdb_clean,0.3874,275.0
ranked_439.pdb_clean,0.3873,439.0
ranked_513.pdb_clean,0.3872,513.0
ranked_346.pdb_clean,0.3872,346.0
ranked_310.pdb_clean,0.3872,310.0
ranked_924.pdb_clean,0.3870,924.0
ranked_383.pdb_clean,0.3869,383.0
ranked_544.pdb_clean,0.3867,544.0
ranked_272.pdb_clean,0.3866,272.0
ranked_601.pdb_clean,0.3865,601.0
ranked_598.pdb_clean,0.3865,598.0
ranked_592.pdb_clean,0.3865,592.0
ranked_479.pdb_clean,0.3865,479.0
ranked_337.pdb_clean,0.3865,337.0
ranked_298.pdb_clean,0.3865,298.0
ranked_557.pdb_clean,0.3864,557.0
ranked_556.pdb_clean,0.3863,556.0
ranked_338.pdb_clean,0.3863,338.0
ranked_199.pdb_clean,0.3863,199.0
ranked_600.pdb_clean,0.3862,600.0
ranked_450.pdb_clean,0.3862,450.0
ranked_187.pdb_clean,0.3862,187.0
ranked_393.pdb_clean,0.3861,393.0
ranked_194.pdb_clean,0.3860,194.0
ranked_537.pdb_clean,0.3859,537.0
ranked_27.pdb_clean,0.3858,27.0
ranked_242.pdb_clean,0.3857,242.0
ranked_161.pdb_clean,0.3857,161.0
ranked_204.pdb_clean,0.3856,204.0
ranked_689.pdb_clean,0.3854,689.0
ranked_433.pdb_clean,0.3854,433.0
ranked_381.pdb_clean,0.3854,381.0
ranked_241.pdb_clean,0.3854,241.0
ranked_377.pdb_clean,0.3853,377.0
ranked_303.pdb_clean,0.3851,303.0
ranked_444.pdb_clean,0.3850,444.0
ranked_406.pdb_clean,0.3850,406.0
ranked_297.pdb_clean,0.3850,297.0
ranked_98.pdb_clean,0.3849,98.0
ranked_655.pdb_clean,0.3849,655.0
ranked_516.pdb_clean,0.3849,516.0
ranked_973.pdb_clean,0.3848,973.0
ranked_657.pdb_clean,0.3848,657.0
ranked_609.pdb_clean,0.3848,609.0
ranked_331.pdb_clean,0.3848,331.0
ranked_307.pdb_clean,0.3848,307.0
ranked_614.pdb_clean,0.3847,614.0
ranked_581.pdb_clean,0.3847,581.0
ranked_382.pdb_clean,0.3847,382.0
ranked_366.pdb_clean,0.3847,366.0
ranked_178.pdb_clean,0.3847,178.0
ranked_606.pdb_clean,0.3846,606.0
ranked_595.pdb_clean,0.3846,595.0
ranked_526.pdb_clean,0.3846,526.0
ranked_468.pdb_clean,0.3846,468.0
ranked_701.pdb_clean,0.3845,701.0
ranked_630.pdb_clean,0.3845,630.0
ranked_16.pdb_clean,0.3845,16.0
ranked_927.pdb_clean,0.3844,927.0
ranked_218.pdb_clean,0.3843,218.0
ranked_798.pdb_clean,0.3842,798.0
ranked_300.pdb_clean,0.3842,300.0
ranked_752.pdb_clean,0.3841,752.0
ranked_651.pdb_clean,0.3841,651.0
ranked_573.pdb_clean,0.3841,573.0
ranked_578.pdb_clean,0.3839,578.0
ranked_456.pdb_clean,0.3839,456.0
ranked_398.pdb_clean,0.3839,398.0
ranked_235.pdb_clean,0.3839,235.0
ranked_193.pdb_clean,0.3839,193.0
ranked_122.pdb_clean,0.3839,122.0
ranked_250.pdb_clean,0.3838,250.0
ranked_851.pdb_clean,0.3837,851.0
ranked_209.pdb_clean,0.3837,209.0
ranked_81.pdb_clean,0.3836,81.0
ranked_223.pdb_clean,0.3836,223.0
ranked_403.pdb_clean,0.3835,403.0
ranked_181.pdb_clean,0.3835,181.0
ranked_634.pdb_clean,0.3833,634.0
ranked_463.pdb_clean,0.3833,463.0
ranked_882.pdb_clean,0.3832,882.0
ranked_958.pdb_clean,0.3831,958.0
ranked_389.pdb_clean,0.3831,389.0
ranked_755.pdb_clean,0.3830,755.0
ranked_583.pdb_clean,0.3829,583.0
ranked_542.pdb_clean,0.3829,542.0
ranked_151.pdb_clean,0.3829,151.0
ranked_957.pdb_clean,0.3828,957.0
ranked_775.pdb_clean,0.3827,775.0
ranked_593.pdb_clean,0.3827,593.0
ranked_509.pdb_clean,0.3827,509.0
ranked_980.pdb_clean,0.3825,980.0
ranked_584.pdb_clean,0.3825,584.0
ranked_365.pdb_clean,0.3825,365.0
ranked_268.pdb_clean,0.3825,268.0
ranked_984.pdb_clean,0.3823,984.0
ranked_620.pdb_clean,0.3823,620.0
ranked_590.pdb_clean,0.3823,590.0
ranked_394.pdb_clean,0.3823,394.0
ranked_217.pdb_clean,0.3823,217.0
ranked_89.pdb_clean,0.3822,89.0
ranked_862.pdb_clean,0.3822,862.0
ranked_12.pdb_clean,0.3822,12.0
ranked_703.pdb_clean,0.3819,703.0
ranked_942.pdb_clean,0.3818,942.0
ranked_929.pdb_clean,0.3818,929.0
ranked_887.pdb_clean,0.3818,887.0
ranked_628.pdb_clean,0.3818,628.0
ranked_615.pdb_clean,0.3818,615.0
ranked_567.pdb_clean,0.3818,567.0
ranked_264.pdb_clean,0.3818,264.0
ranked_870.pdb_clean,0.3817,870.0
ranked_313.pdb_clean,0.3817,313.0
ranked_692.pdb_clean,0.3816,692.0
ranked_572.pdb_clean,0.3816,572.0
ranked_284.pdb_clean,0.3816,284.0
ranked_925.pdb_clean,0.3815,925.0
ranked_944.pdb_clean,0.3814,944.0
ranked_850.pdb_clean,0.3814,850.0
ranked_616.pdb_clean,0.3814,616.0
ranked_376.pdb_clean,0.3814,376.0
ranked_177.pdb_clean,0.3814,177.0
ranked_162.pdb_clean,0.3814,162.0
ranked_52.pdb_clean,0.3813,52.0
