Filename,Value,AlphaFold Rank
ranked_206.pdb_clean,0.6404,206.0
ranked_266.pdb_clean,0.6403,266.0
ranked_228.pdb_clean,0.6403,228.0
ranked_211.pdb_clean,0.6403,211.0
ranked_219.pdb_clean,0.6402,219.0
ranked_281.pdb_clean,0.6401,281.0
ranked_249.pdb_clean,0.6397,249.0
ranked_271.pdb_clean,0.6396,271.0
ranked_259.pdb_clean,0.6396,259.0
ranked_225.pdb_clean,0.6396,225.0
ranked_222.pdb_clean,0.6396,222.0
ranked_213.pdb_clean,0.6396,213.0
ranked_238.pdb_clean,0.6395,238.0
ranked_230.pdb_clean,0.6395,230.0
ranked_447.pdb_clean,0.6393,447.0
ranked_258.pdb_clean,0.6393,258.0
ranked_229.pdb_clean,0.6393,229.0
ranked_207.pdb_clean,0.6393,207.0
ranked_333.pdb_clean,0.6392,333.0
ranked_223.pdb_clean,0.6392,223.0
ranked_377.pdb_clean,0.6391,377.0
ranked_265.pdb_clean,0.6391,265.0
ranked_242.pdb_clean,0.6389,242.0
ranked_227.pdb_clean,0.6388,227.0
ranked_404.pdb_clean,0.6387,404.0
ranked_361.pdb_clean,0.6386,361.0
ranked_251.pdb_clean,0.6386,251.0
ranked_240.pdb_clean,0.6386,240.0
ranked_234.pdb_clean,0.6386,234.0
ranked_233.pdb_clean,0.6386,233.0
ranked_250.pdb_clean,0.6385,250.0
ranked_308.pdb_clean,0.6384,308.0
ranked_303.pdb_clean,0.6384,303.0
ranked_353.pdb_clean,0.6383,353.0
ranked_295.pdb_clean,0.6382,295.0
ranked_286.pdb_clean,0.6382,286.0
ranked_231.pdb_clean,0.6381,231.0
ranked_299.pdb_clean,0.6380,299.0
ranked_243.pdb_clean,0.6377,243.0
ranked_269.pdb_clean,0.6376,269.0
ranked_254.pdb_clean,0.6376,254.0
ranked_253.pdb_clean,0.6375,253.0
ranked_246.pdb_clean,0.6373,246.0
ranked_371.pdb_clean,0.6371,371.0
ranked_209.pdb_clean,0.6371,209.0
ranked_252.pdb_clean,0.6370,252.0
ranked_392.pdb_clean,0.6369,392.0
ranked_232.pdb_clean,0.6369,232.0
ranked_248.pdb_clean,0.6368,248.0
ranked_245.pdb_clean,0.6368,245.0
ranked_235.pdb_clean,0.6368,235.0
ranked_13.pdb_clean,0.6368,13.0
ranked_217.pdb_clean,0.6367,217.0
ranked_432.pdb_clean,0.6365,432.0
ranked_236.pdb_clean,0.6365,236.0
ranked_959.pdb_clean,0.6364,959.0
ranked_803.pdb_clean,0.6364,803.0
ranked_796.pdb_clean,0.6364,796.0
ranked_532.pdb_clean,0.6364,532.0
