Filename,Value,AlphaFold Rank
ranked_71.pdb_clean,0.5093,71.0
ranked_589.pdb_clean,0.5012,589.0
ranked_531.pdb_clean,0.4826,531.0
ranked_415.pdb_clean,0.4547,415.0
ranked_202.pdb_clean,0.4415,202.0
ranked_466.pdb_clean,0.4366,466.0
ranked_88.pdb_clean,0.4310,88.0
ranked_346.pdb_clean,0.4220,346.0
ranked_590.pdb_clean,0.4141,590.0
ranked_121.pdb_clean,0.4124,121.0
ranked_223.pdb_clean,0.4102,223.0
ranked_104.pdb_clean,0.4073,104.0
ranked_248.pdb_clean,0.4032,248.0
ranked_519.pdb_clean,0.4014,519.0
ranked_320.pdb_clean,0.3969,320.0
ranked_427.pdb_clean,0.3939,427.0
ranked_866.pdb_clean,0.3909,866.0
ranked_820.pdb_clean,0.3895,820.0
ranked_61.pdb_clean,0.3895,61.0
ranked_479.pdb_clean,0.3895,479.0
ranked_307.pdb_clean,0.3866,307.0
ranked_911.pdb_clean,0.3858,911.0
ranked_670.pdb_clean,0.3858,670.0
ranked_585.pdb_clean,0.3852,585.0
ranked_242.pdb_clean,0.3836,242.0
ranked_680.pdb_clean,0.3835,680.0
ranked_396.pdb_clean,0.3833,396.0
ranked_701.pdb_clean,0.3823,701.0
ranked_586.pdb_clean,0.3822,586.0
ranked_3.pdb_clean,0.3820,3.0
ranked_367.pdb_clean,0.3819,367.0
ranked_14.pdb_clean,0.3819,14.0
ranked_809.pdb_clean,0.3811,809.0
ranked_283.pdb_clean,0.3809,283.0
ranked_217.pdb_clean,0.3806,217.0
ranked_650.pdb_clean,0.3800,650.0
ranked_924.pdb_clean,0.3794,924.0
ranked_309.pdb_clean,0.3788,309.0
ranked_773.pdb_clean,0.3786,773.0
ranked_44.pdb_clean,0.3783,44.0
ranked_365.pdb_clean,0.3782,365.0
ranked_889.pdb_clean,0.3781,889.0
ranked_626.pdb_clean,0.3772,626.0
ranked_201.pdb_clean,0.3771,201.0
ranked_625.pdb_clean,0.3767,625.0
ranked_935.pdb_clean,0.3762,935.0
ranked_76.pdb_clean,0.3760,76.0
ranked_721.pdb_clean,0.3759,721.0
ranked_877.pdb_clean,0.3756,877.0
ranked_699.pdb_clean,0.3755,699.0
ranked_241.pdb_clean,0.3753,241.0
ranked_249.pdb_clean,0.3752,249.0
ranked_314.pdb_clean,0.3751,314.0
ranked_170.pdb_clean,0.3751,170.0
ranked_235.pdb_clean,0.3750,235.0
ranked_753.pdb_clean,0.3744,753.0
ranked_73.pdb_clean,0.3744,73.0
ranked_157.pdb_clean,0.3743,157.0
ranked_186.pdb_clean,0.3738,186.0
ranked_169.pdb_clean,0.3736,169.0
ranked_286.pdb_clean,0.3734,286.0
ranked_857.pdb_clean,0.3728,857.0
ranked_910.pdb_clean,0.3725,910.0
ranked_222.pdb_clean,0.3724,222.0
ranked_119.pdb_clean,0.3724,119.0
ranked_19.pdb_clean,0.3723,19.0
ranked_929.pdb_clean,0.3722,929.0
ranked_774.pdb_clean,0.3721,774.0
ranked_492.pdb_clean,0.3721,492.0
ranked_225.pdb_clean,0.3720,225.0
ranked_876.pdb_clean,0.3719,876.0
ranked_310.pdb_clean,0.3719,310.0
ranked_113.pdb_clean,0.3719,113.0
ranked_146.pdb_clean,0.3717,146.0
ranked_42.pdb_clean,0.3716,42.0
ranked_418.pdb_clean,0.3716,418.0
ranked_43.pdb_clean,0.3713,43.0
ranked_708.pdb_clean,0.3709,708.0
ranked_611.pdb_clean,0.3707,611.0
ranked_208.pdb_clean,0.3706,208.0
ranked_725.pdb_clean,0.3705,725.0
ranked_551.pdb_clean,0.3705,551.0
ranked_874.pdb_clean,0.3703,874.0
ranked_702.pdb_clean,0.3702,702.0
ranked_818.pdb_clean,0.3701,818.0
ranked_449.pdb_clean,0.3700,449.0
ranked_893.pdb_clean,0.3699,893.0
ranked_833.pdb_clean,0.3699,833.0
ranked_6.pdb_clean,0.3698,6.0
ranked_406.pdb_clean,0.3698,406.0
ranked_195.pdb_clean,0.3697,195.0
ranked_908.pdb_clean,0.3696,908.0
ranked_824.pdb_clean,0.3696,824.0
ranked_461.pdb_clean,0.3696,461.0
ranked_684.pdb_clean,0.3693,684.0
ranked_351.pdb_clean,0.3691,351.0
ranked_814.pdb_clean,0.3689,814.0
ranked_444.pdb_clean,0.3689,444.0
ranked_784.pdb_clean,0.3688,784.0
ranked_183.pdb_clean,0.3688,183.0
ranked_851.pdb_clean,0.3686,851.0
ranked_769.pdb_clean,0.3686,769.0
ranked_765.pdb_clean,0.3686,765.0
ranked_250.pdb_clean,0.3686,250.0
ranked_861.pdb_clean,0.3685,861.0
ranked_156.pdb_clean,0.3684,156.0
ranked_643.pdb_clean,0.3681,643.0
ranked_616.pdb_clean,0.3681,616.0
ranked_231.pdb_clean,0.3679,231.0
ranked_226.pdb_clean,0.3679,226.0
ranked_811.pdb_clean,0.3678,811.0
ranked_640.pdb_clean,0.3678,640.0
ranked_45.pdb_clean,0.3675,45.0
ranked_120.pdb_clean,0.3673,120.0
ranked_831.pdb_clean,0.3672,831.0
ranked_533.pdb_clean,0.3671,533.0
ranked_292.pdb_clean,0.3671,292.0
ranked_883.pdb_clean,0.3667,883.0
ranked_176.pdb_clean,0.3666,176.0
ranked_303.pdb_clean,0.3665,303.0
ranked_797.pdb_clean,0.3664,797.0
ranked_229.pdb_clean,0.3664,229.0
ranked_895.pdb_clean,0.3663,895.0
ranked_583.pdb_clean,0.3662,583.0
ranked_276.pdb_clean,0.3662,276.0
ranked_841.pdb_clean,0.3661,841.0
ranked_913.pdb_clean,0.3660,913.0
ranked_859.pdb_clean,0.3660,859.0
ranked_534.pdb_clean,0.3660,534.0
ranked_839.pdb_clean,0.3656,839.0
ranked_810.pdb_clean,0.3656,810.0
ranked_925.pdb_clean,0.3655,925.0
ranked_423.pdb_clean,0.3655,423.0
ranked_47.pdb_clean,0.3654,47.0
ranked_375.pdb_clean,0.3653,375.0
ranked_750.pdb_clean,0.3651,750.0
ranked_677.pdb_clean,0.3651,677.0
ranked_271.pdb_clean,0.3651,271.0
ranked_233.pdb_clean,0.3651,233.0
ranked_190.pdb_clean,0.3651,190.0
ranked_160.pdb_clean,0.3650,160.0
ranked_751.pdb_clean,0.3649,751.0
ranked_737.pdb_clean,0.3649,737.0
ranked_927.pdb_clean,0.3646,927.0
ranked_220.pdb_clean,0.3646,220.0
ranked_128.pdb_clean,0.3646,128.0
ranked_764.pdb_clean,0.3644,764.0
ranked_690.pdb_clean,0.3643,690.0
ranked_484.pdb_clean,0.3642,484.0
ranked_887.pdb_clean,0.3639,887.0
ranked_148.pdb_clean,0.3639,148.0
ranked_763.pdb_clean,0.3638,763.0
ranked_724.pdb_clean,0.3638,724.0
ranked_15.pdb_clean,0.3638,15.0
ranked_898.pdb_clean,0.3636,898.0
ranked_509.pdb_clean,0.3636,509.0
ranked_455.pdb_clean,0.3635,455.0
ranked_962.pdb_clean,0.3634,962.0
ranked_720.pdb_clean,0.3634,720.0
ranked_713.pdb_clean,0.3634,713.0
ranked_956.pdb_clean,0.3633,956.0
ranked_860.pdb_clean,0.3633,860.0
ranked_804.pdb_clean,0.3632,804.0
ranked_890.pdb_clean,0.3631,890.0
ranked_172.pdb_clean,0.3631,172.0
ranked_826.pdb_clean,0.3630,826.0
ranked_761.pdb_clean,0.3629,761.0
ranked_185.pdb_clean,0.3629,185.0
ranked_126.pdb_clean,0.3629,126.0
ranked_57.pdb_clean,0.3626,57.0
ranked_845.pdb_clean,0.3625,845.0
ranked_852.pdb_clean,0.3624,852.0
ranked_884.pdb_clean,0.3623,884.0
ranked_297.pdb_clean,0.3621,297.0
ranked_135.pdb_clean,0.3621,135.0
ranked_549.pdb_clean,0.3620,549.0
ranked_336.pdb_clean,0.3620,336.0
ranked_91.pdb_clean,0.3619,91.0
ranked_483.pdb_clean,0.3619,483.0
ranked_786.pdb_clean,0.3618,786.0
ranked_238.pdb_clean,0.3618,238.0
ranked_161.pdb_clean,0.3617,161.0
ranked_98.pdb_clean,0.3616,98.0
ranked_166.pdb_clean,0.3615,166.0
ranked_187.pdb_clean,0.3614,187.0
ranked_681.pdb_clean,0.3613,681.0
ranked_25.pdb_clean,0.3613,25.0
ranked_871.pdb_clean,0.3612,871.0
