Filename,Value,AlphaFold Rank
ranked_877.pdb_clean,0.6205,877.0
ranked_231.pdb_clean,0.6150,231.0
ranked_288.pdb_clean,0.6146,288.0
ranked_708.pdb_clean,0.6066,708.0
ranked_248.pdb_clean,0.6055,248.0
ranked_300.pdb_clean,0.6028,300.0
ranked_567.pdb_clean,0.5998,567.0
ranked_217.pdb_clean,0.5978,217.0
ranked_416.pdb_clean,0.5974,416.0
ranked_378.pdb_clean,0.5970,378.0
ranked_190.pdb_clean,0.5949,190.0
ranked_763.pdb_clean,0.5938,763.0
ranked_632.pdb_clean,0.5925,632.0
ranked_650.pdb_clean,0.5897,650.0
ranked_511.pdb_clean,0.5892,511.0
ranked_798.pdb_clean,0.5891,798.0
ranked_571.pdb_clean,0.5877,571.0
ranked_305.pdb_clean,0.5863,305.0
ranked_343.pdb_clean,0.5859,343.0
ranked_286.pdb_clean,0.5856,286.0
ranked_746.pdb_clean,0.5853,746.0
ranked_298.pdb_clean,0.5850,298.0
ranked_304.pdb_clean,0.5849,304.0
ranked_280.pdb_clean,0.5847,280.0
ranked_127.pdb_clean,0.5847,127.0
ranked_797.pdb_clean,0.5838,797.0
ranked_724.pdb_clean,0.5838,724.0
ranked_278.pdb_clean,0.5835,278.0
ranked_36.pdb_clean,0.5834,36.0
ranked_629.pdb_clean,0.5832,629.0
ranked_425.pdb_clean,0.5832,425.0
ranked_847.pdb_clean,0.5829,847.0
ranked_134.pdb_clean,0.5828,134.0
ranked_187.pdb_clean,0.5825,187.0
ranked_633.pdb_clean,0.5820,633.0
ranked_864.pdb_clean,0.5818,864.0
ranked_644.pdb_clean,0.5818,644.0
ranked_221.pdb_clean,0.5804,221.0
ranked_901.pdb_clean,0.5794,901.0
ranked_749.pdb_clean,0.5792,749.0
ranked_444.pdb_clean,0.5790,444.0
ranked_538.pdb_clean,0.5788,538.0
ranked_577.pdb_clean,0.5784,577.0
ranked_818.pdb_clean,0.5781,818.0
ranked_342.pdb_clean,0.5781,342.0
ranked_173.pdb_clean,0.5780,173.0
ranked_595.pdb_clean,0.5771,595.0
ranked_576.pdb_clean,0.5771,576.0
ranked_857.pdb_clean,0.5766,857.0
ranked_969.pdb_clean,0.5758,969.0
ranked_272.pdb_clean,0.5758,272.0
ranked_423.pdb_clean,0.5756,423.0
ranked_411.pdb_clean,0.5752,411.0
ranked_833.pdb_clean,0.5746,833.0
ranked_718.pdb_clean,0.5746,718.0
ranked_712.pdb_clean,0.5743,712.0
ranked_784.pdb_clean,0.5742,784.0
ranked_734.pdb_clean,0.5739,734.0
ranked_161.pdb_clean,0.5724,161.0
ranked_692.pdb_clean,0.5723,692.0
ranked_185.pdb_clean,0.5723,185.0
ranked_726.pdb_clean,0.5722,726.0
ranked_581.pdb_clean,0.5722,581.0
ranked_267.pdb_clean,0.5722,267.0
ranked_904.pdb_clean,0.5714,904.0
ranked_385.pdb_clean,0.5712,385.0
ranked_764.pdb_clean,0.5710,764.0
ranked_946.pdb_clean,0.5709,946.0
ranked_852.pdb_clean,0.5706,852.0
ranked_761.pdb_clean,0.5696,761.0
ranked_351.pdb_clean,0.5696,351.0
ranked_873.pdb_clean,0.5691,873.0
ranked_157.pdb_clean,0.5687,157.0
ranked_725.pdb_clean,0.5686,725.0
ranked_672.pdb_clean,0.5676,672.0
ranked_611.pdb_clean,0.5672,611.0
ranked_545.pdb_clean,0.5668,545.0
ranked_615.pdb_clean,0.5659,615.0
ranked_542.pdb_clean,0.5658,542.0
ranked_967.pdb_clean,0.5649,967.0
ranked_357.pdb_clean,0.5647,357.0
ranked_700.pdb_clean,0.5645,700.0
ranked_711.pdb_clean,0.5638,711.0
ranked_227.pdb_clean,0.5631,227.0
ranked_189.pdb_clean,0.5630,189.0
ranked_580.pdb_clean,0.5629,580.0
ranked_837.pdb_clean,0.5628,837.0
ranked_845.pdb_clean,0.5627,845.0
ranked_162.pdb_clean,0.5625,162.0
ranked_479.pdb_clean,0.5623,479.0
ranked_685.pdb_clean,0.5619,685.0
ranked_562.pdb_clean,0.5617,562.0
ranked_323.pdb_clean,0.5617,323.0
ranked_123.pdb_clean,0.5611,123.0
ranked_234.pdb_clean,0.5608,234.0
ranked_872.pdb_clean,0.5605,872.0
ranked_645.pdb_clean,0.5603,645.0
ranked_802.pdb_clean,0.5602,802.0
ranked_696.pdb_clean,0.5602,696.0
ranked_308.pdb_clean,0.5602,308.0
ranked_951.pdb_clean,0.5601,951.0
ranked_735.pdb_clean,0.5601,735.0
ranked_891.pdb_clean,0.5600,891.0
ranked_594.pdb_clean,0.5598,594.0
ranked_128.pdb_clean,0.5596,128.0
ranked_808.pdb_clean,0.5594,808.0
ranked_432.pdb_clean,0.5593,432.0
ranked_704.pdb_clean,0.5590,704.0
ranked_271.pdb_clean,0.5583,271.0
ranked_813.pdb_clean,0.5580,813.0
ranked_806.pdb_clean,0.5580,806.0
ranked_648.pdb_clean,0.5579,648.0
ranked_454.pdb_clean,0.5579,454.0
ranked_656.pdb_clean,0.5578,656.0
ranked_774.pdb_clean,0.5574,774.0
ranked_943.pdb_clean,0.5572,943.0
ranked_676.pdb_clean,0.5568,676.0
ranked_519.pdb_clean,0.5563,519.0
ranked_145.pdb_clean,0.5563,145.0
ranked_803.pdb_clean,0.5561,803.0
ranked_649.pdb_clean,0.5561,649.0
ranked_220.pdb_clean,0.5561,220.0
ranked_678.pdb_clean,0.5560,678.0
ranked_524.pdb_clean,0.5559,524.0
ranked_133.pdb_clean,0.5558,133.0
ranked_653.pdb_clean,0.5554,653.0
ranked_331.pdb_clean,0.5552,331.0
ranked_458.pdb_clean,0.5550,458.0
ranked_367.pdb_clean,0.5550,367.0
ranked_252.pdb_clean,0.5550,252.0
ranked_166.pdb_clean,0.5548,166.0
ranked_243.pdb_clean,0.5541,243.0
ranked_888.pdb_clean,0.5538,888.0
ranked_257.pdb_clean,0.5535,257.0
ranked_709.pdb_clean,0.5534,709.0
ranked_634.pdb_clean,0.5533,634.0
ranked_321.pdb_clean,0.5533,321.0
ranked_604.pdb_clean,0.5532,604.0
ranked_318.pdb_clean,0.5532,318.0
ranked_168.pdb_clean,0.5532,168.0
ranked_810.pdb_clean,0.5530,810.0
ranked_762.pdb_clean,0.5530,762.0
ranked_391.pdb_clean,0.5529,391.0
ranked_590.pdb_clean,0.5528,590.0
ranked_468.pdb_clean,0.5528,468.0
ranked_682.pdb_clean,0.5527,682.0
ranked_729.pdb_clean,0.5524,729.0
ranked_796.pdb_clean,0.5523,796.0
ranked_91.pdb_clean,0.5522,91.0
ranked_639.pdb_clean,0.5521,639.0
ranked_409.pdb_clean,0.5517,409.0
ranked_212.pdb_clean,0.5517,212.0
ranked_130.pdb_clean,0.5517,130.0
ranked_863.pdb_clean,0.5514,863.0
ranked_363.pdb_clean,0.5513,363.0
ranked_284.pdb_clean,0.5506,284.0
ranked_600.pdb_clean,0.5503,600.0
ranked_776.pdb_clean,0.5501,776.0
ranked_400.pdb_clean,0.5501,400.0
ranked_706.pdb_clean,0.5499,706.0
